"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NSH","2018-10-04","2018020006","20182019","NYR","0",2,1,0,0,2,2,0,0,0,0
"NSH","2018-10-06","2018020021","20182019","NYI","0",1.67,3,0,0,1,3,0,0,0,0
"NSH","2018-10-09","2018020039","20182019","CGY","1",6,5,1,0,1,5,1,0,0,0
"NSH","2018-10-11","2018020055","20182019","WPG","1",16.12,11,2,1,12,12,2,1,0,0
"NSH","2018-10-13","2018020066","20182019","NYI","1",2,3,0,0,1,3,0,0,0,0
"NSH","2018-10-15","2018020077","20182019","MIN","1",5.9,5,1,0,3,7,1,0,0,0
"NSH","2018-10-19","2018020101","20182019","CGY","0",4.5,2,2,0,4,2,2,0,0,0
"NSH","2018-10-20","2018020111","20182019","EDM","0",8,6,1,0,8,6,2,0,0,0
"NSH","2018-10-23","2018020126","20182019","S.J","1",8,5,2,0,3,7,2,0,0,0
"NSH","2018-10-25","2018020136","20182019","N.J","0",7.25,7,0,0,3,9,0,0,0,0
"NSH","2018-10-27","2018020150","20182019","EDM","1",8.35,4,0,0,10,4,0,0,0,0
"NSH","2018-10-30","2018020173","20182019","VGK","1",6.25,5,0,0,10,5,0,0,0,0
"NSH","2018-11-01","2018020185","20182019","T.B","0",2,1,0,0,5,1,0,1,0,0
"NSH","2018-11-03","2018020202","20182019","BOS","1",9.97,6,2,2,5,7,2,2,0,0
"NSH","2018-11-07","2018020225","20182019","COL","0",4.57,5,0,0,4,6,0,0,0,0
"NSH","2018-11-10","2018020244","20182019","DAL","0",6.27,4,0,0,5,5,0,1,1,0
"NSH","2018-11-12","2018020263","20182019","ANA","0",13.42,8,2,0,11,12,4,0,0,0
"NSH","2018-11-13","2018020272","20182019","S.J","0",4.67,3,0,0,5,4,0,0,0,0
"NSH","2018-11-15","2018020284","20182019","ARI","0",10,6,2,0,10,6,2,0,0,0
"NSH","2018-11-17","2018020299","20182019","L.A","1",5.78,5,0,0,3,7,0,0,0,0
"NSH","2018-11-19","2018020314","20182019","T.B","1",5.07,3,2,1,4,3,2,1,0,0
"NSH","2018-11-21","2018020326","20182019","STL","1",4.57,3,0,0,7,3,0,0,0,0
"NSH","2018-11-23","2018020343","20182019","STL","0",4.15,3,0,0,5,3,1,0,0,0
"NSH","2018-11-25","2018020360","20182019","ANA","1",6.93,8,2,0,2,9,3,0,0,0
"NSH","2018-11-27","2018020371","20182019","COL","1",6,3,2,0,2,3,2,0,0,0
"NSH","2018-11-29","2018020386","20182019","ARI","1",4,1,0,1,4,3,0,1,0,0
"NSH","2018-12-01","2018020404","20182019","CHI","1",6.28,3,1,0,4,3,2,0,0,0
"NSH","2018-12-03","2018020414","20182019","BUF","1",2.22,1,1,0,3,4,2,0,0,0
"NSH","2018-12-06","2018020437","20182019","VAN","0",2,1,0,0,3,1,0,0,0,0
