"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NSH","2017-10-05","2017020005","20172018","BOS","0",7.12,0,1,8,8,0,1,10,0,0
"NSH","2017-10-07","2017020021","20172018","PIT","0",5.73,0,1,6,10,0,1,6,0,0
"NSH","2017-10-10","2017020042","20172018","PHI","1",6.95,0,1,6,5,0,2,6,0,0
"NSH","2017-10-12","2017020053","20172018","DAL","1",0.55,0,0,0,0,0,0,0,0,0
"NSH","2017-10-14","2017020071","20172018","CHI","0",11.15,0,3,8,17,0,3,8,0,0
"NSH","2017-10-17","2017020086","20172018","COL","1",7.25,0,1,4,9,1,1,4,0,0
"NSH","2017-10-19","2017020097","20172018","PHI","0",6.5,1,1,5,9,1,1,5,0,0
"NSH","2017-10-21","2017020110","20172018","NYR","0",9.53,0,0,7,17,0,0,7,0,0
"NSH","2017-10-24","2017020132","20172018","CGY","1",8,0,2,4,7,0,3,4,0,0
"NSH","2017-10-27","2017020153","20172018","CHI","0",10.18,1,1,6,13,1,1,6,0,0
"NSH","2017-10-28","2017020163","20172018","NYI","1",5.1,0,1,4,3,1,1,4,0,0
"NSH","2017-11-01","2017020185","20172018","S.J","0",12.77,0,1,13,19,0,1,15,0,0
"NSH","2017-11-03","2017020199","20172018","ANA","0",5.27,0,1,4,6,0,1,5,0,0
"NSH","2017-11-04","2017020211","20172018","L.A","0",6.43,0,2,7,5,0,2,8,0,0
"NSH","2017-11-07","2017020228","20172018","CBJ","0",8,0,0,6,10,1,0,6,0,0
"NSH","2017-11-11","2017020258","20172018","PIT","1",6.6,0,0,8,9,0,0,9,0,0
"NSH","2017-11-14","2017020270","20172018","WSH","1",3.42,1,1,4,2,2,1,4,0,1
"NSH","2017-11-16","2017020283","20172018","MIN","0",8.33,0,1,8,6,0,1,8,0,0
"NSH","2017-11-18","2017020302","20172018","COL","1",16.9,0,4,12,25,0,6,12,0,0
"NSH","2017-11-20","2017020313","20172018","WPG","1",2.7,0,0,2,3,0,0,3,0,0
"NSH","2017-11-22","2017020329","20172018","MTL","1",6.92,0,1,6,6,0,1,6,0,0
"NSH","2017-11-24","2017020344","20172018","STL","0",6,0,3,4,4,0,3,4,0,0
"NSH","2017-11-26","2017020359","20172018","CAR","0",5.37,1,1,6,7,1,1,6,0,0
"NSH","2017-11-28","2017020373","20172018","CHI","1",5.8,0,4,4,7,0,4,4,0,0
"NSH","2017-11-30","2017020383","20172018","VAN","1",5.38,0,2,4,4,0,2,4,0,0
"NSH","2017-12-02","2017020404","20172018","ANA","1",3.43,0,0,2,3,0,0,2,0,0
"NSH","2017-12-04","2017020414","20172018","BOS","1",4.33,0,1,5,3,0,1,7,0,0
"NSH","2017-12-05","2017020421","20172018","DAL","0",4,0,1,2,8,0,2,2,0,0
"NSH","2017-12-08","2017020441","20172018","VGK","1",6.4,0,1,4,11,0,2,5,0,0
"NSH","2017-12-13","2017020478","20172018","VAN","0",4.98,0,1,4,8,0,1,5,0,0
"NSH","2017-12-14","2017020488","20172018","EDM","0",6,0,1,5,8,0,1,6,0,0
