"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYI","2019-10-04","2019020014","20192020","WSH","1",52.8,50,44.68,43.75,40.45,36.04,1,1,21,26,28,36,36,53,0.9,1.6,0,-5,-8,-17,-0.7
"NYI","2019-10-06","2019020033","20192020","WPG","1",54.1,75,44.26,46.25,41.51,60.55,3,1,27,34,37,43,44,62,2.65,1.72,2,-7,-6,-18,0.92
"NYI","2019-10-08","2019020037","20192020","EDM","1",47.82,25,59.52,54.1,54.55,39.87,1,3,25,17,33,28,48,40,1.14,1.72,-2,8,5,8,-0.58
"NYI","2019-10-11","2019020060","20192020","CAR","0",50.55,0,27.45,34.67,38.83,27.88,0,4,14,37,26,49,40,63,1.38,3.57,-4,-23,-23,-23,-2.19
"NYI","2019-10-12","2019020067","20192020","FLA","1",58.25,50,42.62,45.45,44.95,49.43,2,2,26,35,35,42,49,60,2.02,2.07,0,-9,-7,-11,-0.05
"NYI","2019-10-14","2019020081","20192020","STL","1",54.97,66.67,54.55,50.91,53.26,62.31,2,1,24,20,28,27,49,43,1.93,1.16,1,4,1,6,0.76
"NYI","2019-10-17","2019020102","20192020","WPG","0",54.42,100,48.98,45.45,42.27,42.37,1,0,24,25,35,42,41,56,1.76,2.4,1,-1,-7,-15,-0.63
"NYI","2019-10-19","2019020119","20192020","CBJ","0",58.55,60,50.75,50.56,41.86,50.65,3,2,34,33,45,44,54,75,2.24,2.19,1,1,1,-21,0.06
"NYI","2019-10-24","2019020146","20192020","ARI","1",53.2,75,50,46.43,46.43,43.57,3,1,20,20,26,30,39,45,1.77,2.3,2,0,-4,-6,-0.52
"NYI","2019-10-25","2019020158","20192020","OTT","0",43.8,75,48.72,50.79,48.78,54.83,3,1,19,20,32,31,40,42,1.99,1.64,2,-1,1,-2,0.35
"NYI","2019-10-27","2019020173","20192020","PHI","1",47.15,62.5,60,53.62,48.89,67.78,5,3,30,20,37,32,44,46,5.3,2.52,2,10,5,-2,2.78
"NYI","2019-11-01","2019020197","20192020","T.B","1",45.32,80,43.18,45.45,43.75,53.98,4,1,19,25,25,30,35,45,1.44,1.23,3,-6,-5,-10,0.21
"NYI","2019-11-02","2019020207","20192020","BUF","0",50.42,100,46.34,42.42,43.02,58.34,1,0,19,22,28,38,37,49,2.14,1.53,1,-3,-10,-12,0.61
"NYI","2019-11-05","2019020225","20192020","OTT","1",50.2,100,51.06,56.45,59.52,65.1,2,0,24,23,35,27,50,34,2.35,1.26,2,1,8,16,1.09
"NYI","2019-11-07","2019020239","20192020","PIT","1",56.95,33.33,38.89,36.25,37.74,33.77,2,4,21,33,29,51,40,66,1.26,2.47,-2,-12,-22,-26,-1.21
"NYI","2019-11-09","2019020252","20192020","FLA","1",44.4,100,49.12,47.06,45.37,46.57,2,0,28,29,40,45,49,59,3.29,3.77,2,-1,-5,-10,-0.48
"NYI","2019-11-13","2019020282","20192020","TOR","1",49.83,40,43.48,41.18,37.63,54.5,2,3,20,26,28,40,35,58,2.82,2.36,-1,-6,-12,-23,0.47
"NYI","2019-11-16","2019020307","20192020","PHI","0",53.18,50,55.56,54.93,56.25,62,2,2,30,24,39,32,54,42,2.03,1.25,0,6,7,12,0.79
"NYI","2019-11-19","2019020321","20192020","PIT","0",50.67,66.67,59.26,60.61,56.82,65.91,4,2,32,22,40,26,50,38,3.09,1.6,2,10,14,12,1.49
"NYI","2019-11-21","2019020335","20192020","PIT","1",49.32,50,39.47,37.04,39.44,41.8,2,2,15,23,20,34,28,43,1.24,1.72,0,-8,-14,-15,-0.49
"NYI","2019-11-23","2019020361","20192020","S.J","0",48.35,33.33,46.15,49.09,50,46.07,1,2,18,21,27,28,40,40,1.36,1.6,-1,-3,-1,0,-0.23
"NYI","2019-11-25","2019020372","20192020","ANA","0",51.62,0,51.11,55.88,58.51,40.4,0,3,23,22,38,30,55,39,1.17,1.73,-3,1,8,16,-0.56
"NYI","2019-11-27","2019020388","20192020","L.A","0",47.55,33.33,41.86,43.28,46.81,34.02,1,2,18,25,29,38,44,50,1.1,2.13,-1,-7,-9,-6,-1.03
"NYI","2019-11-30","2019020409","20192020","CBJ","1",56.22,100,42.86,42.35,41.12,37.14,2,0,27,36,36,49,44,63,2.37,4.02,2,-9,-13,-19,-1.64
"NYI","2019-12-02","2019020421","20192020","DET","0",42.47,100,44.74,44.44,46.58,45.36,3,0,17,21,24,30,34,39,1.39,1.67,3,-4,-6,-5,-0.28
"NYI","2019-12-03","2019020425","20192020","MTL","0",52.9,25,26.53,30.77,38.24,25.34,1,3,13,36,20,45,39,63,0.92,2.7,-2,-23,-25,-24,-1.79
"NYI","2019-12-05","2019020441","20192020","VGK","1",59.45,50,49.15,53.66,50.44,69.18,2,2,29,30,44,38,57,56,4.45,1.98,0,-1,6,1,2.47
"NYI","2019-12-07","2019020461","20192020","DAL","0",52.98,50,45.16,45.24,45.45,47.84,1,1,28,34,38,46,50,60,2.43,2.65,0,-6,-8,-10,-0.22
"NYI","2019-12-09","2019020468","20192020","T.B","0",50.57,75,43.18,39.13,39.78,41.28,3,1,19,25,27,42,37,56,1.48,2.1,2,-6,-15,-19,-0.62
"NYI","2019-12-12","2019020489","20192020","FLA","0",47.48,0,47.92,50.75,48.28,53.62,0,1,23,25,34,33,42,45,1.38,1.2,-1,-2,1,-3,0.19
"NYI","2019-12-14","2019020502","20192020","BUF","1",51.72,100,50,45.76,40.74,60.82,3,0,23,23,27,32,33,48,1.36,0.87,3,0,-5,-15,0.48
"NYI","2019-12-17","2019020527","20192020","NSH","1",49.07,14.29,54.76,54.84,59.38,43.59,1,6,23,19,34,28,57,39,1.62,2.1,-5,4,6,18,-0.48
"NYI","2019-12-19","2019020538","20192020","BOS","0",52.18,66.67,45,50,46.34,51.71,2,1,18,22,32,32,38,44,1.86,1.73,1,-4,0,-6,0.12
"NYI","2019-12-21","2019020553","20192020","ANA","1",54.33,50,56.25,50,51.76,57.68,3,3,27,21,30,30,44,41,2.09,1.53,0,6,0,3,0.56
"NYI","2019-12-23","2019020573","20192020","CBJ","1",51.9,50,45.9,46.25,51.96,47.69,2,2,28,33,37,43,53,49,2.22,2.43,0,-5,-6,4,-0.22
"NYI","2019-12-27","2019020589","20192020","CHI","0",48,16.67,53.45,50.72,48.45,56.37,1,5,31,27,35,34,47,50,2.08,1.61,-4,4,1,-3,0.47
"NYI","2019-12-29","2019020605","20192020","MIN","0",48.65,75,52.08,45.31,46.67,37.63,3,1,25,23,29,35,42,48,1.08,1.79,2,2,-6,-6,-0.71
"NYI","2019-12-31","2019020614","20192020","WSH","0",52.28,57.14,39.62,36.36,35.4,44.33,4,3,21,32,28,49,40,73,2.09,2.62,1,-11,-21,-33,-0.53
"NYI","2020-01-02","2019020630","20192020","N.J","1",49.4,33.33,46.3,38.82,43.59,51.1,1,2,25,29,33,52,51,66,1.98,1.89,-1,-4,-19,-15,0.09
"NYI","2020-01-04","2019020646","20192020","TOR","0",57.52,0,59.62,52.86,50.55,49.89,0,2,31,21,37,33,46,45,1.97,1.98,-2,10,4,1,-0.01
"NYI","2020-01-06","2019020661","20192020","COL","1",52.55,100,49.21,45.88,39.67,41.5,1,0,31,32,39,46,48,73,1.49,2.1,1,-1,-7,-25,-0.61
"NYI","2020-01-07","2019020665","20192020","N.J","0",63.03,66.67,57.75,54,55.91,64.64,4,2,41,30,54,46,71,56,4.66,2.55,2,11,8,15,2.11
"NYI","2020-01-11","2019020694","20192020","BOS","1",56.67,50,56.25,55.56,54.1,60.05,2,2,36,28,50,40,66,56,2.73,1.81,0,8,10,10,0.91
"NYI","2020-01-13","2019020710","20192020","NYR","0",51.73,16.67,48.39,46.99,49.57,43.19,1,5,30,32,39,44,57,58,2.31,3.03,-4,-2,-5,-1,-0.73
