"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYI","2016-10-13","2016020006","20162017","NYR","0",6,0,60,66.67,75,51.38,0,0,3,2,4,2,6,2,0.22,0.21,0,1,2,4,0.01
"NYI","2016-10-15","2016020022","20162017","WSH","0",2.68,100,100,100,100,100,1,0,4,0,4,0,5,0,0.27,0,1,4,4,5,0.27
"NYI","2016-10-16","2016020030","20162017","ANA","1",7.63,0,100,100,91.67,100,0,0,5,0,8,0,11,1,0.6,0,0,5,8,10,0.6
"NYI","2016-10-18","2016020038","20162017","S.J","1",2,0,50,50,66.67,54.5,0,0,1,1,1,1,2,1,0.17,0.14,0,0,0,1,0.03
"NYI","2016-10-21","2016020062","20162017","ARI","1",5.42,0,100,100,100,100,0,0,2,0,3,0,11,0,0.26,0,0,2,3,11,0.26
"NYI","2016-10-23","2016020078","20162017","MIN","1",2,0,100,100,100,100,0,0,2,0,4,0,4,0,0.12,0,0,2,4,4,0.12
"NYI","2016-10-26","2016020094","20162017","MTL","1",0.58,100,66.67,66.67,66.67,77.01,1,0,2,1,2,1,2,1,0.42,0.13,1,1,1,1,0.3
"NYI","2016-10-27","2016020100","20162017","PIT","0",8.42,100,80,77.78,78.26,91.44,1,0,12,3,14,4,18,5,1.71,0.16,1,9,10,13,1.55
"NYI","2016-10-30","2016020126","20162017","TOR","1",3.32,0,75,85.71,88.89,91.43,0,0,3,1,6,1,8,1,0.6,0.06,0,2,5,7,0.54
"NYI","2016-11-01","2016020131","20162017","T.B","1",8,0,72.73,73.33,73.33,51.08,0,1,8,3,11,4,11,4,1.25,1.2,-1,5,7,7,0.05
"NYI","2016-11-03","2016020147","20162017","PHI","1",4.05,100,100,100,100,100,1,0,5,0,7,0,8,0,0.91,0,1,5,7,8,0.91
"NYI","2016-11-05","2016020167","20162017","EDM","1",6,0,100,100,100,100,0,0,2,0,4,0,5,0,0.27,0,0,2,4,5,0.27
"NYI","2016-11-07","2016020181","20162017","VAN","1",4,0,100,100,100,100,0,0,5,0,6,0,8,0,0.55,0,0,5,6,8,0.55
"NYI","2016-11-10","2016020201","20162017","T.B","0",2,0,0,100,100,100,0,0,0,0,2,0,2,0,0.07,0,0,0,2,2,0.07
"NYI","2016-11-12","2016020214","20162017","FLA","0",8.8,100,100,100,100,100,1,0,8,0,10,0,12,0,1,0,1,8,10,12,1
"NYI","2016-11-14","2016020229","20162017","T.B","1",6.37,0,100,100,100,100,0,0,11,0,13,0,18,0,1.34,0,0,11,13,18,1.34
"NYI","2016-11-18","2016020255","20162017","PIT","1",3.85,100,100,100,100,100,1,0,3,0,5,0,6,0,0.41,0,1,3,5,6,0.41
"NYI","2016-11-22","2016020287","20162017","ANA","0",9.42,100,94.44,95,95.24,99.04,1,0,17,1,19,1,20,1,1.61,0.02,1,16,18,19,1.59
"NYI","2016-11-23","2016020298","20162017","L.A","0",4,0,100,100,100,100,0,0,1,0,3,0,5,0,0.13,0,0,1,3,5,0.13
"NYI","2016-11-25","2016020305","20162017","S.J","0",0.47,100,100,100,100,100,1,0,1,0,1,0,1,0,0.1,0,1,1,1,1,0.1
"NYI","2016-11-28","2016020328","20162017","CGY","1",8,0,100,100,100,100,0,0,5,0,9,0,10,0,0.65,0,0,5,9,10,0.65
"NYI","2016-11-30","2016020342","20162017","PIT","1",6,0,80,87.5,90.91,96.43,0,0,4,1,7,1,10,1,1.13,0.04,0,3,6,9,1.09
"NYI","2016-12-01","2016020348","20162017","WSH","0",4,0,66.67,66.67,75,59.09,0,0,2,1,4,2,6,2,0.27,0.19,0,1,2,4,0.08
"NYI","2016-12-04","2016020372","20162017","DET","1",2,0,80,83.33,83.33,89.64,0,0,4,1,5,1,5,1,0.37,0.04,0,3,4,4,0.32
"NYI","2016-12-06","2016020384","20162017","NYR","1",2.88,100,100,100,75,100,1,0,3,0,3,0,3,1,0.29,0,1,3,3,2,0.29
"NYI","2016-12-08","2016020396","20162017","STL","1",4.2,100,100,83.33,80,99.33,1,0,2,0,5,1,8,2,0.48,0,1,2,4,6,0.48
"NYI","2016-12-10","2016020417","20162017","CBJ","0",4.18,0,100,100,100,100,0,0,1,0,2,0,3,0,0.09,0,0,1,2,3,0.09
"NYI","2016-12-13","2016020432","20162017","WSH","1",2,0,100,100,100,100,0,0,2,0,2,0,2,0,0.13,0,0,2,2,2,0.13
"NYI","2016-12-15","2016020446","20162017","CHI","1",4,0,40,50,62.5,30.17,0,0,2,3,3,3,5,3,0.19,0.43,0,-1,0,2,-0.25
"NYI","2016-12-16","2016020453","20162017","BUF","0",1.8,100,66.67,66.67,80,93.06,1,0,2,1,2,1,4,1,0.32,0.02,1,1,1,3,0.3
"NYI","2016-12-18","2016020473","20162017","OTT","1",5.95,0,100,75,81.82,78.32,0,0,3,0,6,2,9,2,0.42,0.12,0,3,4,7,0.3
