"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYI","2018-10-04","2018020008","20182019","CAR","0",6,0,25,11.11,7.69,0.76,0,0,1,3,1,8,1,12,0,0.62,0,-2,-7,-11,-0.62
"NYI","2018-10-06","2018020021","20182019","NSH","1",1.67,0,66.67,66.67,50,92.8,0,0,2,1,2,1,2,2,0.33,0.03,0,1,1,0,0.31
"NYI","2018-10-08","2018020033","20182019","S.J","1",6.3,0,12.5,9.09,14.29,3.76,0,0,1,7,1,10,2,12,0.03,0.69,0,-6,-9,-10,-0.67
"NYI","2018-10-13","2018020066","20182019","NSH","0",2,0,0,25,20,22.72,0,1,0,3,1,3,1,4,0.09,0.31,-1,-3,-2,-3,-0.22
"NYI","2018-10-17","2018020089","20182019","ANA","0",4.32,0,20,20,28.57,14.71,0,1,1,4,1,4,2,5,0.07,0.42,-1,-3,-3,-3,-0.35
"NYI","2018-10-18","2018020097","20182019","L.A","0",4.7,33.33,12.5,20,27.27,12.97,1,2,1,7,2,8,3,8,0.1,0.7,-1,-6,-6,-5,-0.6
"NYI","2018-10-20","2018020114","20182019","S.J","0",4,0,50,37.5,33.33,34.47,0,0,3,3,3,5,3,6,0.14,0.26,0,0,-2,-3,-0.12
"NYI","2018-10-24","2018020130","20182019","FLA","1",8.48,0,0,0,0,0,0,2,0,12,0,14,0,16,0,1.02,-2,-12,-14,-16,-1.02
"NYI","2018-10-27","2018020149","20182019","PHI","0",6,0,100,100,25,100,0,0,1,0,1,0,1,3,0,0,0,1,1,-2,0
"NYI","2018-10-28","2018020161","20182019","CAR","0",6,0,10,9.09,7.69,0.25,0,0,1,9,1,10,1,12,0,1.42,0,-8,-9,-11,-1.42
"NYI","2018-10-30","2018020168","20182019","PIT","0",5.13,0,0,0,0,0,0,0,0,6,0,7,0,10,0,0.98,0,-6,-7,-10,-0.98
"NYI","2018-11-01","2018020181","20182019","PIT","1",4.85,33.33,14.29,12.5,11.11,20.03,1,2,1,6,1,7,1,8,0.18,0.72,-1,-5,-6,-7,-0.54
"NYI","2018-11-03","2018020198","20182019","N.J","1",6.35,0,0,0,0,0,0,0,0,6,0,10,0,12,0,1.14,0,-6,-10,-12,-1.14
"NYI","2018-11-05","2018020211","20182019","MTL","1",4.33,0,0,0,0,0,0,1,0,4,0,7,0,11,0,0.59,-1,-4,-7,-11,-0.59
"NYI","2018-11-08","2018020232","20182019","T.B","0",6.98,0,0,0,8.33,0,0,0,0,5,0,7,1,11,0,0.63,0,-5,-7,-10,-0.63
"NYI","2018-11-10","2018020248","20182019","FLA","0",6.78,0,0,0,7.69,0,0,1,0,6,0,7,1,12,0,0.46,-1,-6,-7,-11,-0.46
"NYI","2018-11-13","2018020266","20182019","VAN","1",8.43,0,0,0,0,0,0,1,0,8,0,8,0,10,0,0.9,-1,-8,-8,-10,-0.9
"NYI","2018-11-15","2018020277","20182019","NYR","1",5.53,0,7.14,6.25,5.26,0.27,0,2,1,13,1,15,1,18,0,1.29,-2,-12,-14,-17,-1.29
"NYI","2018-11-18","2018020303","20182019","DAL","1",6,0,20,20,12.5,1.42,0,0,1,4,1,4,1,7,0.01,0.4,0,-3,-3,-6,-0.39
"NYI","2018-11-21","2018020320","20182019","NYR","0",5.07,0,0,0,0,0,0,1,0,6,0,6,0,12,0,0.93,-1,-6,-6,-12,-0.93
"NYI","2018-11-23","2018020334","20182019","N.J","0",4.15,0,0,9.09,7.69,1.12,0,0,0,8,1,10,1,12,0.01,1.28,0,-8,-9,-11,-1.27
