"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NYI","2015-10-09","2015020015","20152016","CHI","1",53.17,7,19,40,21,2,1,0,0,-1,34,24,10
"NYI","2015-10-10","2015020026","20152016","CHI","0",45.77,10,7,46,30,4,1,0,0,-3,22,18,4
"NYI","2015-10-12","2015020033","20152016","WPG","1",44.42,7,16,25,37,5,8,0,0,3,30,21,9
"NYI","2015-10-15","2015020050","20152016","NSH","1",50.08,13,10,40,27,3,3,0,0,0,26,27,-1
"NYI","2015-10-17","2015020071","20152016","S.J","1",52.77,7,8,29,16,1,4,0,0,3,32,25,7
"NYI","2015-10-20","2015020084","20152016","CBJ","0",45.07,4,3,25,34,8,2,0,0,-6,17,21,-4
"NYI","2015-10-23","2015020101","20152016","BOS","1",49.85,11,11,34,44,2,2,1,1,0,21,22,-1
"NYI","2015-10-24","2015020111","20152016","STL","0",49.47,2,5,25,17,4,3,0,0,-1,19,21,-2
"NYI","2015-10-26","2015020121","20152016","CGY","1",49.3,8,13,31,36,3,3,0,0,0,25,22,3
"NYI","2015-10-29","2015020137","20152016","CAR","1",55.72,20,20,29,19,1,2,0,0,1,27,19,8
"NYI","2015-10-31","2015020154","20152016","N.J","0",55.13,0,2,14,12,4,3,0,0,-1,17,22,-5
"NYI","2015-11-01","2015020167","20152016","BUF","1",58.83,10,13,44,29,0,0,0,0,0,20,23,-3
"NYI","2015-11-03","2015020173","20152016","N.J","1",52.58,9,11,60,26,4,2,0,0,-2,23,27,-4
"NYI","2015-11-05","2015020187","20152016","MTL","0",48.8,11,1,39,27,2,4,0,0,2,18,21,-3
"NYI","2015-11-08","2015020213","20152016","BOS","1",47.43,5,8,22,24,2,6,0,0,4,25,21,4
"NYI","2015-11-10","2015020227","20152016","S.J","0",50.62,4,4,36,29,3,3,0,0,0,24,23,1
"NYI","2015-11-12","2015020241","20152016","L.A","0",48.62,9,0,35,29,3,2,0,0,-1,23,19,4
"NYI","2015-11-13","2015020245","20152016","ANA","0",47.2,8,4,30,34,3,5,1,1,2,22,22,0
"NYI","2015-11-16","2015020261","20152016","ARI","1",48.05,11,13,32,23,2,4,0,0,2,19,24,-5
"NYI","2015-11-20","2015020290","20152016","MTL","1",50.58,14,15,41,15,2,4,0,0,2,28,26,2
"NYI","2015-11-22","2015020306","20152016","MTL","0",42.8,9,2,33,16,4,3,0,0,-1,22,15,7
"NYI","2015-11-25","2015020319","20152016","PHI","1",49.05,8,4,33,29,4,2,2,2,-2,13,22,-9
"NYI","2015-11-27","2015020339","20152016","FLA","0",60.12,3,0,33,22,3,2,0,0,-1,23,22,1
"NYI","2015-11-28","2015020345","20152016","T.B","0",46.87,3,7,29,22,5,3,1,1,-2,16,26,-10
"NYI","2015-11-30","2015020355","20152016","COL","1",45.83,12,6,42,45,3,2,0,0,-1,25,15,10
"NYI","2015-12-02","2015020370","20152016","NYR","1",55.88,11,8,52,49,3,2,0,0,-1,21,21,0
"NYI","2015-12-04","2015020384","20152016","STL","1",57,12,7,51,47,2,2,0,0,0,22,26,-4
"NYI","2015-12-05","2015020390","20152016","OTT","0",55.3,5,4,22,27,2,1,0,0,-1,21,34,-13
"NYI","2015-12-08","2015020408","20152016","PHI","0",59,10,5,33,29,2,2,0,0,0,31,27,4
"NYI","2015-12-12","2015020439","20152016","CBJ","0",57.18,2,1,12,31,0,3,0,0,3,19,23,-4
"NYI","2015-12-13","2015020445","20152016","N.J","1",47.1,10,9,19,17,4,3,1,1,-1,27,15,12
"NYI","2015-12-15","2015020454","20152016","FLA","1",45.37,10,5,17,19,3,4,0,0,1,20,20,0
"NYI","2015-12-17","2015020475","20152016","COL","0",47.67,2,4,14,17,0,3,0,0,3,23,26,-3
"NYI","2015-12-19","2015020491","20152016","ARI","0",48.92,3,2,27,23,2,3,0,0,1,16,25,-9
