"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NYI","2015-10-09","2015020015","20152016","CHI","1",4,2,0,0,1,0,0,0,0,0,3,1,2
"NYI","2015-10-10","2015020026","20152016","CHI","0",2.85,0,0,1,0,1,0,0,0,-1,0,2,-2
"NYI","2015-10-12","2015020033","20152016","WPG","1",9.82,1,0,1,2,0,0,0,0,0,7,3,4
"NYI","2015-10-15","2015020050","20152016","NSH","1",4,1,0,0,1,0,0,0,0,0,3,2,1
"NYI","2015-10-17","2015020071","20152016","S.J","1",4.03,0,1,0,1,1,0,0,0,-1,2,3,-1
"NYI","2015-10-20","2015020084","20152016","CBJ","0",2,0,0,1,2,0,0,0,0,0,1,1,0
"NYI","2015-10-23","2015020101","20152016","BOS","1",3.3,1,0,1,2,0,0,0,0,0,3,0,3
"NYI","2015-10-24","2015020111","20152016","STL","0",4.43,0,0,1,0,0,0,0,0,0,3,0,3
"NYI","2015-10-26","2015020121","20152016","CGY","1",5.85,0,1,0,1,0,0,0,0,0,3,2,1
"NYI","2015-10-29","2015020137","20152016","CAR","1",2.47,0,0,0,1,0,0,0,0,0,2,2,0
"NYI","2015-10-31","2015020154","20152016","N.J","0",3.87,1,0,0,0,0,0,0,0,0,2,2,0
"NYI","2015-11-01","2015020167","20152016","BUF","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYI","2015-11-03","2015020173","20152016","N.J","1",0.3,0,0,0,0,1,0,0,0,-1,1,0,1
"NYI","2015-11-05","2015020187","20152016","MTL","0",6,1,0,2,1,0,0,0,0,0,3,2,1
"NYI","2015-11-08","2015020213","20152016","BOS","1",9.02,3,0,2,1,1,1,0,0,0,7,7,0
"NYI","2015-11-10","2015020227","20152016","S.J","0",4,2,0,0,1,0,0,0,0,0,2,2,0
"NYI","2015-11-12","2015020241","20152016","L.A","0",5.27,0,0,0,1,0,1,0,0,1,4,3,1
"NYI","2015-11-13","2015020245","20152016","ANA","0",8.12,1,0,0,2,0,1,0,0,1,3,7,-4
"NYI","2015-11-16","2015020261","20152016","ARI","1",6.47,2,0,0,0,0,0,0,0,0,0,7,-7
"NYI","2015-11-20","2015020290","20152016","MTL","1",6,1,0,0,3,0,0,0,0,0,3,2,1
"NYI","2015-11-22","2015020306","20152016","MTL","0",10,2,0,0,0,0,0,0,0,0,4,6,-2
"NYI","2015-11-25","2015020319","20152016","PHI","1",4,1,0,0,1,0,0,0,0,0,1,2,-1
"NYI","2015-11-27","2015020339","20152016","FLA","0",2.88,0,0,0,1,0,0,0,0,0,2,1,1
"NYI","2015-11-28","2015020345","20152016","T.B","0",3.75,0,0,0,1,0,0,1,1,0,4,1,3
"NYI","2015-11-30","2015020355","20152016","COL","1",4.7,0,0,1,3,0,1,0,0,1,5,3,2
"NYI","2015-12-02","2015020370","20152016","NYR","1",3.12,1,0,0,2,0,1,0,0,1,3,1,2
"NYI","2015-12-04","2015020384","20152016","STL","1",4,1,2,1,4,0,0,0,0,0,1,1,0
"NYI","2015-12-05","2015020390","20152016","OTT","0",1.78,1,0,0,1,0,0,0,0,0,1,1,0
"NYI","2015-12-08","2015020408","20152016","PHI","0",1.93,0,0,0,1,0,0,0,0,0,1,1,0
"NYI","2015-12-12","2015020439","20152016","CBJ","0",5.08,0,0,0,2,0,0,0,0,0,1,4,-3
"NYI","2015-12-13","2015020445","20152016","N.J","1",8,2,1,0,1,0,0,0,0,0,4,1,3
"NYI","2015-12-15","2015020454","20152016","FLA","1",6.78,1,0,2,0,0,0,0,0,0,4,8,-4
"NYI","2015-12-17","2015020475","20152016","COL","0",8.18,1,1,0,0,1,0,0,0,-1,3,4,-1
"NYI","2015-12-19","2015020491","20152016","ARI","0",6,1,0,1,2,0,0,0,0,0,2,3,-1
"NYI","2015-12-21","2015020499","20152016","ANA","1",4.75,1,0,0,0,0,0,0,0,0,1,3,-2
"NYI","2015-12-27","2015020528","20152016","TOR","1",2,0,0,0,1,0,0,0,0,0,2,0,2
"NYI","2015-12-29","2015020542","20152016","TOR","0",6.68,3,0,1,2,1,0,0,0,-1,3,4,-1
"NYI","2015-12-31","2015020556","20152016","BUF","0",2.97,0,0,0,1,0,0,0,0,0,2,1,1
"NYI","2016-01-02","2015020574","20152016","PIT","0",2,0,0,0,0,0,0,0,0,0,2,0,2
"NYI","2016-01-03","2015020579","20152016","DAL","1",10.12,1,1,1,0,0,0,0,0,0,5,6,-1
"NYI","2016-01-07","2015020601","20152016","WSH","1",4,0,0,0,1,0,0,0,0,0,2,1,1
"NYI","2016-01-09","2015020615","20152016","PHI","0",3.52,0,0,0,1,2,0,0,0,-2,4,3,1
"NYI","2016-01-12","2015020634","20152016","CBJ","1",6.83,0,1,0,0,2,0,0,0,-2,3,2,1
"NYI","2016-01-14","2015020646","20152016","NYR","1",2.9,0,0,0,0,0,0,0,0,0,2,1,1
"NYI","2016-01-17","2015020671","20152016","VAN","1",4.37,0,0,0,1,0,0,0,0,0,5,3,2
"NYI","2016-01-22","2015020706","20152016","OTT","0",4.83,2,0,0,4,1,0,0,0,-1,2,5,-3
"NYI","2016-04-10","2015020716","20152016","PHI","1",5.92,0,0,1,0,0,1,0,0,1,3,3,0
"NYI","2016-01-25","2015020725","20152016","DET","1",4,2,2,1,0,0,0,0,0,0,4,2,2
"NYI","2016-02-02","2015020746","20152016","MIN","1",1.47,1,0,0,1,0,0,0,0,0,1,2,-1
"NYI","2016-02-04","2015020761","20152016","WSH","0",2.17,0,0,1,0,0,0,0,0,0,3,2,1
"NYI","2016-02-06","2015020778","20152016","DET","0",8.38,0,0,1,1,0,0,0,0,0,5,1,4
"NYI","2016-02-07","2015020789","20152016","EDM","1",7.22,0,0,0,0,0,0,0,0,0,1,7,-6
"NYI","2016-02-09","2015020798","20152016","CBJ","0",2.52,0,0,0,0,0,0,0,0,0,2,1,1
"NYI","2016-02-11","2015020809","20152016","L.A","1",6.43,1,0,0,5,0,0,0,0,0,4,3,1
"NYI","2016-02-13","2015020828","20152016","CAR","0",3.15,0,1,1,0,0,0,0,0,0,1,1,0
"NYI","2016-02-15","2015020840","20152016","DET","1",8.18,1,1,1,2,0,0,0,0,0,4,3,1
"NYI","2016-02-18","2015020858","20152016","WSH","1",3.57,1,0,1,0,1,0,0,0,-1,2,1,1
"NYI","2016-02-19","2015020869","20152016","N.J","0",9.28,1,0,3,0,0,0,0,0,0,2,4,-2
"NYI","2016-02-23","2015020898","20152016","MIN","0",3.1,0,0,0,0,0,0,0,0,0,2,4,-2
"NYI","2016-02-25","2015020913","20152016","CGY","0",4,0,0,0,0,0,0,0,0,0,2,1,1
"NYI","2016-02-28","2015020936","20152016","EDM","0",8,1,0,0,1,0,0,0,0,0,2,4,-2
"NYI","2016-03-01","2015020950","20152016","VAN","0",2,0,0,1,0,0,0,0,0,0,0,1,-1
"NYI","2016-03-03","2015020961","20152016","WPG","0",8,0,0,0,2,0,0,0,0,0,2,7,-5
"NYI","2016-03-06","2015020982","20152016","NYR","0",4.78,1,0,0,0,0,0,0,0,0,2,2,0
"NYI","2016-03-08","2015020994","20152016","PIT","1",4.22,0,0,0,1,1,0,0,0,-1,5,2,3
"NYI","2016-03-09","2015021001","20152016","TOR","0",1.23,0,0,0,0,1,0,0,0,-1,1,0,1
"NYI","2016-03-12","2015021018","20152016","BOS","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYI","2016-03-14","2015021033","20152016","FLA","1",4,1,0,0,0,1,1,0,0,0,2,3,-1
"NYI","2016-03-15","2015021040","20152016","PIT","0",5.3,0,0,1,3,0,0,0,0,0,3,2,1
"NYI","2016-03-17","2015021057","20152016","NSH","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYI","2016-03-19","2015021074","20152016","DAL","0",2,0,0,0,1,0,0,0,0,0,0,1,-1
"NYI","2016-03-21","2015021085","20152016","PHI","1",6,2,0,0,1,0,0,0,0,0,3,1,2
"NYI","2016-03-23","2015021099","20152016","OTT","1",6,0,0,0,0,0,0,0,0,0,4,2,2
"NYI","2016-03-25","2015021113","20152016","T.B","0",6,1,0,1,2,0,0,0,0,0,6,4,2
"NYI","2016-03-26","2015021124","20152016","CAR","0",3.28,0,1,1,1,1,0,0,0,-1,2,1,1
"NYI","2016-03-29","2015021141","20152016","CAR","1",5.03,1,0,0,0,0,0,0,0,0,3,2,1
"NYI","2016-03-31","2015021153","20152016","CBJ","1",3.15,1,0,0,1,0,0,0,0,0,3,3,0
"NYI","2016-04-02","2015021167","20152016","PIT","1",6.78,1,0,2,1,0,0,0,0,0,3,4,-1
"NYI","2016-04-04","2015021183","20152016","T.B","1",2.37,0,1,0,0,0,0,0,0,0,1,3,-2
"NYI","2016-04-05","2015021191","20152016","WSH","0",4,0,0,0,1,0,0,0,0,0,1,3,-2
"NYI","2016-04-07","2015021204","20152016","NYR","0",4.83,0,0,0,2,0,0,0,0,0,3,2,1
"NYI","2016-04-09","2015021225","20152016","BUF","1",2,0,0,0,0,0,0,0,0,0,0,5,-5
"NYI","Total","-","20152016","-","-",4.58,50,14,32,76,16,7,1,1,-9,203,201,2
