"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NYI","2019-10-04","2019020014","20192020","WSH","1",52.8,8,11,10,106,10,15,19,7,1
"NYI","2019-10-06","2019020033","20192020","WPG","1",54.1,9,15,10,110,13,16,19,5,5
"NYI","2019-10-08","2019020037","20192020","EDM","1",47.82,9,15,7,93,12,16,11,3,2
"NYI","2019-10-11","2019020060","20192020","CAR","0",50.55,9,15,16,99,13,20,24,4,4
"NYI","2019-10-12","2019020067","20192020","FLA","1",58.25,12,18,16,102,14,20,20,2,3
"NYI","2019-10-14","2019020081","20192020","STL","1",54.97,12,14,12,107,17,17,19,7,2
"NYI","2019-10-17","2019020102","20192020","WPG","0",54.42,12,11,17,106,14,13,25,7,2
"NYI","2019-10-19","2019020119","20192020","CBJ","0",58.55,12,12,10,98,20,18,20,6,6
"NYI","2019-10-24","2019020146","20192020","ARI","1",53.2,11,15,9,114,13,16,19,8,3
"NYI","2019-10-25","2019020158","20192020","OTT","0",43.8,9,19,3,116,10,20,5,1,2
"NYI","2019-10-27","2019020173","20192020","PHI","1",47.15,9,17,8,113,13,17,12,5,4
"NYI","2019-11-01","2019020197","20192020","T.B","1",45.32,6,10,7,106,9,10,12,3,4
"NYI","2019-11-02","2019020207","20192020","BUF","0",50.42,14,7,7,117,15,7,13,6,3
"NYI","2019-11-05","2019020225","20192020","OTT","1",50.2,5,13,7,137,8,14,13,4,4
"NYI","2019-11-07","2019020239","20192020","PIT","1",56.95,10,14,8,125,11,15,16,6,0
"NYI","2019-11-09","2019020252","20192020","FLA","1",44.4,10,9,10,77,14,11,16,2,4
"NYI","2019-11-13","2019020282","20192020","TOR","1",49.83,4,18,6,98,5,20,11,3,2
"NYI","2019-11-16","2019020307","20192020","PHI","0",53.18,11,13,8,128,13,16,9,1,7
"NYI","2019-11-19","2019020321","20192020","PIT","0",50.67,9,19,16,88,12,21,22,5,5
"NYI","2019-11-21","2019020335","20192020","PIT","1",49.32,9,15,12,102,12,18,16,4,7
"NYI","2019-11-23","2019020361","20192020","S.J","0",48.35,8,9,7,118,9,12,9,0,4
"NYI","2019-11-25","2019020372","20192020","ANA","0",51.62,16,7,10,83,22,8,13,3,6
"NYI","2019-11-27","2019020388","20192020","L.A","0",47.55,13,11,13,76,16,14,17,4,4
"NYI","2019-11-30","2019020409","20192020","CBJ","1",56.22,8,9,11,118,14,11,17,4,1
"NYI","2019-12-02","2019020421","20192020","DET","0",42.47,7,11,5,92,10,14,9,3,5
"NYI","2019-12-03","2019020425","20192020","MTL","0",52.9,4,22,13,100,5,33,17,1,1
