"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NYI","2018-10-04","2018020008","20182019","CAR","0",4.78,3,1,0,5,3,1,0,0,0
"NYI","2018-10-06","2018020021","20182019","NSH","1",6.58,4,0,0,4,6,0,0,0,0
"NYI","2018-10-08","2018020033","20182019","S.J","1",7.8,5,2,0,5,8,2,0,0,0
"NYI","2018-10-13","2018020066","20182019","NSH","0",2,2,0,0,1,3,0,0,0,0
"NYI","2018-10-17","2018020089","20182019","ANA","0",7.05,4,0,0,6,4,0,1,0,0
"NYI","2018-10-18","2018020097","20182019","L.A","0",5.88,3,0,0,7,4,0,0,0,0
"NYI","2018-10-20","2018020114","20182019","S.J","0",2,2,0,0,4,2,0,0,0,0
"NYI","2018-10-24","2018020130","20182019","FLA","1",3.65,3,1,0,2,4,2,0,0,0
"NYI","2018-10-27","2018020149","20182019","PHI","0",4.53,6,0,0,3,7,0,1,0,0
"NYI","2018-10-28","2018020161","20182019","CAR","0",6.15,5,1,0,10,5,4,0,0,0
"NYI","2018-10-30","2018020168","20182019","PIT","0",7.15,4,2,1,7,4,2,1,0,0
"NYI","2018-11-01","2018020181","20182019","PIT","1",2.23,2,0,0,1,2,1,0,0,0
"NYI","2018-11-03","2018020198","20182019","N.J","1",6.83,5,0,0,8,6,0,0,0,0
"NYI","2018-11-05","2018020211","20182019","MTL","1",8.02,5,3,0,4,5,3,0,0,0
"NYI","2018-11-08","2018020232","20182019","T.B","0",8.37,4,1,0,6,4,1,1,0,0
"NYI","2018-11-10","2018020248","20182019","FLA","0",6.63,5,0,0,6,5,0,0,0,0
"NYI","2018-11-13","2018020266","20182019","VAN","1",8.55,5,1,0,6,6,1,0,0,0
"NYI","2018-11-15","2018020277","20182019","NYR","1",7.82,5,2,0,5,7,2,0,0,0
"NYI","2018-11-18","2018020303","20182019","DAL","1",4,2,0,0,2,2,0,0,0,0
"NYI","2018-11-21","2018020320","20182019","NYR","0",2,0,1,0,3,1,1,0,0,0
"NYI","2018-11-23","2018020334","20182019","N.J","0",6,3,1,0,6,4,1,0,0,0
"NYI","2018-11-24","2018020352","20182019","CAR","1",0.52,1,0,0,0,1,0,0,0,0
"NYI","2018-11-26","2018020364","20182019","WSH","1",8,4,0,0,9,5,2,0,0,0
"NYI","2018-11-29","2018020382","20182019","BOS","0",2,1,0,1,2,1,0,1,1,0
"NYI","2018-12-01","2018020401","20182019","CBJ","1",4.1,2,1,0,4,2,1,0,0,0
"NYI","2018-12-04","2018020418","20182019","WPG","1",2.58,2,0,0,2,2,1,0,0,0
"NYI","2018-12-06","2018020432","20182019","PIT","0",4,2,1,0,3,3,1,1,1,0
"NYI","2018-12-08","2018020448","20182019","DET","0",7.27,5,2,0,8,5,2,0,0,0
"NYI","2018-12-10","2018020461","20182019","PIT","1",8,5,0,0,8,7,0,0,0,0
"NYI","2018-12-12","2018020475","20182019","VGK","1",2,1,0,0,2,2,0,0,0,0
"NYI","2018-12-15","2018020498","20182019","DET","1",10.4,7,0,0,9,10,0,0,0,0
"NYI","2018-12-17","2018020516","20182019","COL","0",6.33,4,2,0,5,4,2,0,0,0
"NYI","2018-12-18","2018020525","20182019","ARI","0",4,2,1,1,0,3,1,2,0,0
"NYI","2018-12-20","2018020540","20182019","VGK","0",4,2,0,0,3,2,0,0,0,0
"NYI","2018-12-23","2018020564","20182019","DAL","0",5.42,3,0,0,4,4,1,0,0,0
