"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NYI","2016-10-13","2016020006","20162017","NYR","0",7.57,1,2,5,10,1,4,6,0,1
"NYI","2016-10-15","2016020022","20162017","WSH","0",10,1,1,6,19,1,1,6,0,1
"NYI","2016-10-16","2016020030","20162017","ANA","1",7.63,0,3,6,10,0,3,8,0,0
"NYI","2016-10-18","2016020038","20162017","S.J","1",2,1,0,1,2,1,0,1,0,0
"NYI","2016-10-21","2016020062","20162017","ARI","1",7.42,2,2,4,12,2,2,4,0,0
"NYI","2016-10-23","2016020078","20162017","MIN","1",6,0,1,4,7,0,1,4,0,0
"NYI","2016-10-26","2016020094","20162017","MTL","1",0.88,0,0,1,1,0,0,1,0,0
"NYI","2016-10-27","2016020100","20162017","PIT","0",3.78,0,0,3,5,0,0,4,0,0
"NYI","2016-10-30","2016020126","20162017","TOR","1",5.18,0,1,3,4,0,3,3,0,0
"NYI","2016-11-01","2016020131","20162017","T.B","1",11.48,0,1,12,11,0,1,12,0,0
"NYI","2016-11-03","2016020147","20162017","PHI","1",9.32,0,1,8,8,0,2,9,0,0
"NYI","2016-11-05","2016020167","20162017","EDM","1",5.02,0,0,3,11,0,0,3,0,0
"NYI","2016-11-07","2016020181","20162017","VAN","1",2.77,0,1,2,6,0,1,2,0,0
"NYI","2016-11-10","2016020201","20162017","T.B","0",9.97,1,1,9,9,2,1,9,0,0
"NYI","2016-11-12","2016020214","20162017","FLA","0",9.35,0,1,8,15,0,1,9,0,0
"NYI","2016-11-14","2016020229","20162017","T.B","1",10,1,0,5,13,1,0,5,0,0
"NYI","2016-11-18","2016020255","20162017","PIT","1",8.67,1,0,5,14,1,1,6,0,0
"NYI","2016-11-22","2016020287","20162017","ANA","0",2.43,0,1,3,4,0,1,4,0,0
"NYI","2016-11-23","2016020298","20162017","L.A","0",4,0,0,2,9,0,0,2,0,0
"NYI","2016-11-25","2016020305","20162017","S.J","0",2,0,0,2,2,0,0,2,0,0
"NYI","2016-11-28","2016020328","20162017","CGY","1",2,0,0,1,2,0,0,1,0,0
"NYI","2016-11-30","2016020342","20162017","PIT","1",6,0,2,5,10,0,2,5,0,0
"NYI","2016-12-01","2016020348","20162017","WSH","0",12,0,2,7,20,0,4,7,0,0
"NYI","2016-12-04","2016020372","20162017","DET","1",0,0,0,0,0,0,0,0,0,0
"NYI","2016-12-06","2016020384","20162017","NYR","1",8,0,0,7,11,0,0,7,0,0
"NYI","2016-12-08","2016020396","20162017","STL","1",0,0,0,0,0,0,0,0,0,0
"NYI","2016-12-10","2016020417","20162017","CBJ","0",5.95,0,1,2,12,0,1,2,0,0
"NYI","2016-12-13","2016020432","20162017","WSH","1",4.73,1,0,4,7,1,0,4,0,0
"NYI","2016-12-15","2016020446","20162017","CHI","1",4.05,0,0,4,7,0,0,4,0,0
"NYI","2016-12-16","2016020453","20162017","BUF","0",5.97,0,1,6,10,0,1,6,0,0
"NYI","2016-12-18","2016020473","20162017","OTT","1",2.33,0,0,4,3,0,1,5,0,0
"NYI","2016-12-20","2016020481","20162017","BOS","0",6,0,2,4,8,0,2,4,0,0
"NYI","2016-12-23","2016020505","20162017","BUF","1",4,0,2,2,7,0,2,2,0,0
"NYI","2016-12-27","2016020518","20162017","WSH","1",6.03,0,0,6,10,0,0,7,0,0
"NYI","2016-12-29","2016020538","20162017","MIN","0",2,0,0,2,2,0,0,3,0,0
"NYI","2016-12-31","2016020553","20162017","WPG","0",5.08,0,1,3,9,0,1,3,0,0
"NYI","2017-01-06","2016020588","20162017","COL","0",5.78,0,1,8,9,0,2,8,0,0
"NYI","2017-01-07","2016020600","20162017","ARI","0",4,0,1,4,6,0,1,4,0,0
"NYI","2017-01-11","2016020620","20162017","FLA","1",2,0,0,1,4,0,0,1,0,0
"NYI","2017-01-13","2016020636","20162017","FLA","0",5.18,0,1,4,8,0,2,5,0,0
"NYI","2017-01-14","2016020646","20162017","CAR","0",0,0,0,0,0,0,0,0,0,0
