"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYR","2016-10-13","2016020006","20162017","NYI","1",45.47,50,48.98,47.14,49,48.39,3,3,24,25,33,37,49,51,2.61,2.79,0,-1,-4,-2,-0.17
"NYR","2016-10-15","2016020025","20162017","STL","0",46.33,50,67.44,68.42,69.33,64.18,2,2,29,14,39,18,52,23,2.45,1.37,0,15,21,29,1.08
"NYR","2016-10-17","2016020033","20162017","S.J","1",45.92,57.14,46.67,43.86,36.36,55.68,4,3,21,24,25,32,28,49,1.92,1.53,1,-3,-7,-21,0.39
"NYR","2016-10-19","2016020049","20162017","DET","1",45.35,50,63.16,63.64,62.22,64.38,1,1,24,14,42,24,56,34,2.29,1.27,0,10,18,22,1.03
"NYR","2016-10-22","2016020071","20162017","WSH","0",49.42,50,46.67,47.54,48.81,56.51,2,2,21,24,29,32,41,43,2.03,1.56,0,-3,-3,-2,0.47
"NYR","2016-10-23","2016020079","20162017","ARI","1",53.42,50,45.1,50,41.58,62.66,2,2,23,28,36,36,42,59,2.75,1.64,0,-5,0,-17,1.11
"NYR","2016-10-26","2016020095","20162017","BOS","1",47.4,60,35,41.07,45.21,57.62,3,2,14,26,23,33,33,40,2.25,1.65,1,-12,-10,-7,0.59
"NYR","2016-10-28","2016020108","20162017","CAR","0",54.63,33.33,55.81,54.69,51.69,60.43,1,2,24,19,35,29,46,43,1.95,1.27,-1,5,6,3,0.67
"NYR","2016-10-30","2016020127","20162017","T.B","1",45.55,100,54.24,53.57,52.78,61.51,6,0,32,27,45,39,57,51,3.43,2.14,6,5,6,6,1.28
"NYR","2016-11-01","2016020132","20162017","STL","1",48.88,100,39.62,39.44,39.18,51.96,3,0,21,32,28,43,38,59,2.57,2.37,3,-11,-15,-21,0.19
"NYR","2016-11-03","2016020148","20162017","EDM","1",47.03,66.67,60.87,58.06,61.33,73.96,4,2,28,18,36,26,46,29,3.14,1.11,2,10,10,17,2.03
"NYR","2016-11-05","2016020162","20162017","BOS","0",49.43,50,33.33,33.33,35.23,34.1,2,2,15,30,21,42,31,57,1.47,2.84,0,-15,-21,-26,-1.37
"NYR","2016-11-06","2016020177","20162017","WPG","1",53.63,66.67,45.95,45.45,44.87,38.73,4,2,17,20,25,30,35,43,1.4,2.22,2,-3,-5,-8,-0.82
"NYR","2016-11-08","2016020184","20162017","VAN","1",46.4,33.33,48.78,54,54.29,57.32,2,4,20,21,27,23,38,32,1.92,1.43,-2,-1,4,6,0.49
"NYR","2016-11-12","2016020222","20162017","CGY","0",50.4,100,41.51,43.66,40,44.53,4,0,22,31,31,40,38,57,1.66,2.07,4,-9,-9,-19,-0.41
"NYR","2016-11-13","2016020228","20162017","EDM","0",53.8,66.67,42.37,37.33,37.62,46.52,2,1,25,34,28,47,38,63,3.06,3.52,1,-9,-19,-25,-0.46
"NYR","2016-11-15","2016020241","20162017","VAN","0",48.73,71.43,36.73,39.39,36.36,52.36,5,2,18,31,26,40,32,56,1.98,1.8,3,-13,-14,-24,0.18
"NYR","2016-11-18","2016020257","20162017","CBJ","0",50.92,50,50,49.25,47.13,51.69,2,2,22,22,33,34,41,46,1.77,1.65,0,0,-1,-5,0.12
"NYR","2016-11-20","2016020272","20162017","FLA","1",52.18,66.67,55.77,52.46,46.51,59.29,2,1,29,23,32,29,40,46,2.11,1.45,1,6,3,-6,0.66
"NYR","2016-11-21","2016020277","20162017","PIT","0",52.42,60,54.55,54.41,50.59,52.88,3,2,30,25,37,31,43,42,2.16,1.92,1,5,6,1,0.24
"NYR","2016-11-23","2016020290","20162017","PIT","1",48.87,0,26.83,35.38,38.46,30.12,0,6,11,30,23,42,35,56,1.25,2.9,-6,-19,-19,-21,-1.65
"NYR","2016-11-25","2016020302","20162017","PHI","0",53.97,75,37.93,37.14,32.04,40.42,3,1,22,36,26,44,33,70,1.9,2.8,2,-14,-18,-37,-0.9
"NYR","2016-11-27","2016020326","20162017","OTT","1",46.42,0,59.57,58.73,53.12,59.13,0,1,28,19,37,26,51,45,2.36,1.63,-1,9,11,6,0.73
"NYR","2016-11-29","2016020330","20162017","CAR","1",49.07,50,48.57,49.09,45.98,52.48,2,2,17,18,27,28,40,47,2.01,1.82,0,-1,-1,-7,0.19
"NYR","2016-12-01","2016020346","20162017","BUF","0",54.15,25,32.61,37.5,35.35,41.77,1,3,15,31,27,45,35,64,1.57,2.19,-2,-16,-18,-29,-0.62
"NYR","2016-12-03","2016020360","20162017","CAR","1",52.05,66.67,44,44.26,44.57,48.05,4,2,22,28,27,34,41,51,2.09,2.26,2,-6,-7,-10,-0.17
"NYR","2016-12-06","2016020384","20162017","NYI","0",46.52,40,46.15,48.48,55.06,41.27,2,3,24,28,32,34,49,40,1.85,2.63,-1,-4,-2,9,-0.78
"NYR","2016-12-08","2016020401","20162017","WPG","0",48.32,0,54.29,54.17,52.94,41.27,0,1,19,16,26,22,36,32,1.02,1.45,-1,3,4,4,-0.43
"NYR","2016-12-09","2016020409","20162017","CHI","0",54.92,100,61.02,59.46,53.64,56.8,1,0,36,23,44,30,59,51,2.19,1.67,1,13,14,8,0.53
"NYR","2016-12-11","2016020426","20162017","N.J","1",41.53,100,56.25,57.78,55.88,51.87,2,0,18,14,26,19,38,30,1.16,1.08,2,4,7,8,0.08
"NYR","2016-12-13","2016020433","20162017","CHI","1",56.68,33.33,60.71,60,53.51,58.33,1,2,34,22,51,34,61,53,3.15,2.25,-1,12,17,8,0.9
"NYR","2016-12-15","2016020452","20162017","DAL","0",40.07,0,54.05,49.12,46.58,56.47,0,0,20,17,28,29,34,39,1.65,1.28,0,3,-1,-5,0.38
"NYR","2016-12-17","2016020468","20162017","NSH","0",55,50,46.3,46.91,46.3,41.86,1,1,25,29,38,43,50,58,1.93,2.68,0,-4,-5,-8,-0.75
"NYR","2016-12-18","2016020475","20162017","N.J","1",53.33,50,46.67,44.44,47.57,35.03,1,1,21,24,32,40,49,54,1.78,3.29,0,-3,-8,-5,-1.52
"NYR","2016-12-20","2016020483","20162017","PIT","0",46.95,33.33,35.09,33.33,36.67,28.32,2,4,20,37,24,48,33,57,1.32,3.35,-2,-17,-24,-24,-2.03
"NYR","2016-12-23","2016020506","20162017","MIN","1",54.2,37.5,64.58,58.33,61.39,54.19,3,5,31,17,42,30,62,39,2.35,1.99,-2,14,12,23,0.36
"NYR","2016-12-27","2016020519","20162017","OTT","1",44.13,50,30.77,39.66,40.54,34.23,3,3,12,27,23,35,30,44,1.18,2.26,0,-15,-12,-14,-1.08
"NYR","2016-12-29","2016020543","20162017","ARI","0",46.7,33.33,58.33,52.31,48.78,59.47,1,2,21,15,34,31,40,42,1.73,1.18,-1,6,3,-2,0.55
"NYR","2016-12-31","2016020555","20162017","COL","0",49.62,66.67,51.92,47.89,45.78,50.61,4,2,27,25,34,37,38,45,1.91,1.87,2,2,-3,-7,0.05
"NYR","2017-01-03","2016020565","20162017","BUF","1",49.05,25,60,60,56.41,45.91,1,3,21,14,33,22,44,34,1.39,1.64,-2,7,11,10,-0.25
"NYR","2017-01-04","2016020573","20162017","PHI","0",53.78,80,51.02,55.88,49.47,57.31,4,1,25,24,38,30,47,48,2.07,1.54,3,1,8,-1,0.53
"NYR","2017-01-07","2016020598","20162017","CBJ","0",52.13,57.14,49.18,46.84,50.49,43.68,4,3,30,31,37,42,52,51,1.99,2.57,1,-1,-5,1,-0.58
"NYR","2017-01-13","2016020633","20162017","TOR","1",43.7,50,59.18,60,56.63,59.48,2,2,29,20,39,26,47,36,2.25,1.53,0,9,13,11,0.72
"NYR","2017-01-14","2016020642","20162017","MTL","0",47.5,28.57,44.64,45.07,46.6,50.25,2,5,25,31,32,39,48,55,2.2,2.18,-3,-6,-7,-7,0.02
