"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYR","2018-10-04","2018020006","20182019","NSH","1",2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.21,0,-2,-2,-2,-0.21
"NYR","2018-10-06","2018020017","20182019","BUF","0",7.07,0,0,7.69,6.25,11.07,0,2,0,8,1,12,1,15,0.08,0.64,-2,-8,-11,-14,-0.56
"NYR","2018-10-07","2018020029","20182019","CAR","0",6.88,0,18.18,21.43,21.43,8.19,0,0,2,9,3,11,3,11,0.09,1.04,0,-7,-8,-8,-0.95
"NYR","2018-10-11","2018020049","20182019","S.J","1",6,0,33.33,22.22,13.33,8.55,0,0,2,4,2,7,2,13,0.05,0.58,0,-2,-5,-11,-0.52
"NYR","2018-10-13","2018020057","20182019","EDM","1",7.2,0,0,0,0,0,0,1,0,3,0,7,0,8,0,0.4,-1,-3,-7,-8,-0.4
"NYR","2018-10-16","2018020079","20182019","COL","1",3.63,0,0,0,0,0,0,1,0,4,0,6,0,8,0,0.91,-1,-4,-6,-8,-0.91
"NYR","2018-10-17","2018020087","20182019","WSH","0",6.7,0,11.11,18.18,13.33,24.93,0,2,1,8,2,9,2,13,0.27,0.81,-2,-7,-7,-11,-0.54
"NYR","2018-10-21","2018020115","20182019","CGY","1",3.88,0,33.33,25,40,1.63,0,0,1,2,1,3,2,3,0,0.24,0,-1,-2,-1,-0.23
"NYR","2018-10-23","2018020122","20182019","FLA","1",5.9,50,25,25,22.22,16.53,1,1,2,6,2,6,2,7,0.1,0.52,0,-4,-4,-5,-0.42
"NYR","2018-10-25","2018020139","20182019","CHI","0",8,0,0,0,0,0,0,0,0,9,0,10,0,12,0,1.02,0,-9,-10,-12,-1.02
"NYR","2018-10-28","2018020159","20182019","L.A","0",3.42,0,0,0,0,0,0,2,0,8,0,9,0,11,0,0.84,-2,-8,-9,-11,-0.84
"NYR","2018-10-30","2018020177","20182019","S.J","0",3.35,0,50,25,16.67,20.8,0,0,1,1,1,3,1,5,0.08,0.3,0,0,-2,-4,-0.22
"NYR","2018-11-01","2018020189","20182019","ANA","0",5.05,0,0,0,0,0,0,1,0,3,0,6,0,9,0,0.81,-1,-3,-6,-9,-0.81
"NYR","2018-11-04","2018020208","20182019","BUF","1",8,0,0,0,0,0,0,0,0,14,0,19,0,21,0,1.62,0,-14,-19,-21,-1.62
"NYR","2018-11-06","2018020216","20182019","MTL","1",8.87,50,25,21.43,18.75,19.96,1,1,3,9,3,11,3,13,0.22,0.87,0,-6,-8,-10,-0.65
"NYR","2018-11-09","2018020238","20182019","DET","0",4,0,33.33,33.33,16.67,56.62,0,0,1,2,1,2,1,5,0.14,0.1,0,-1,-1,-4,0.03
"NYR","2018-11-10","2018020251","20182019","CBJ","0",3.47,0,0,0,0,0,0,1,0,5,0,5,0,7,0,0.49,-1,-5,-5,-7,-0.49
"NYR","2018-11-12","2018020260","20182019","VAN","1",3.87,0,50,25,20,4.49,0,0,1,1,1,3,1,4,0.01,0.29,0,0,-2,-3,-0.28
"NYR","2018-11-15","2018020277","20182019","NYI","0",7.82,33.33,28.57,28.57,20,37.27,1,2,2,5,2,5,2,8,0.21,0.36,-1,-3,-3,-6,-0.15
"NYR","2018-11-17","2018020296","20182019","FLA","1",5.62,0,12.5,18.18,13.33,30.53,0,1,1,7,2,9,2,13,0.34,0.78,-1,-6,-7,-11,-0.44
"NYR","2018-11-19","2018020309","20182019","DAL","1",5.77,0,50,25,20,31.59,0,1,1,1,1,3,1,4,0.11,0.24,-1,0,-2,-3,-0.13
"NYR","2018-11-21","2018020320","20182019","NYI","1",2,0,0,33.33,33.33,49.5,0,0,0,1,1,2,1,2,0.06,0.06,0,-1,-1,-1,0
