"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NYR","2016-10-13","2016020006","20162017","NYI","1",45.47,14,9,20,27,3,4,0,0,1,25,24,1
"NYR","2016-10-15","2016020025","20162017","STL","0",46.33,1,5,21,11,2,1,0,0,-1,29,18,11
"NYR","2016-10-17","2016020033","20162017","S.J","1",45.92,5,5,22,17,4,3,0,0,-1,30,18,12
"NYR","2016-10-19","2016020049","20162017","DET","1",45.35,6,15,17,14,3,1,0,0,-2,22,20,2
"NYR","2016-10-22","2016020071","20162017","WSH","0",49.42,5,4,20,23,2,2,0,0,0,18,21,-3
"NYR","2016-10-23","2016020079","20162017","ARI","1",53.42,22,9,20,18,1,1,0,0,0,23,28,-5
"NYR","2016-10-26","2016020095","20162017","BOS","1",47.4,12,13,12,21,1,7,0,0,6,22,29,-7
"NYR","2016-10-28","2016020108","20162017","CAR","0",54.63,1,8,19,21,1,2,0,0,1,17,25,-8
"NYR","2016-10-30","2016020127","20162017","T.B","1",45.55,7,9,21,20,2,2,0,0,0,32,26,6
"NYR","2016-11-01","2016020132","20162017","STL","1",48.88,13,9,12,18,3,6,0,0,3,25,27,-2
"NYR","2016-11-03","2016020148","20162017","EDM","1",47.03,9,11,24,20,4,2,0,0,-2,26,25,1
"NYR","2016-11-05","2016020162","20162017","BOS","0",49.43,11,14,16,20,2,3,0,0,1,20,23,-3
"NYR","2016-11-06","2016020177","20162017","WPG","1",53.63,12,3,15,28,1,0,0,0,-1,27,23,4
"NYR","2016-11-08","2016020184","20162017","VAN","1",46.4,13,6,15,16,2,4,0,0,2,16,28,-12
"NYR","2016-11-12","2016020222","20162017","CGY","0",50.4,6,7,8,13,3,1,0,0,-2,25,17,8
"NYR","2016-11-13","2016020228","20162017","EDM","0",53.8,10,9,14,29,2,0,0,0,-2,24,28,-4
"NYR","2016-11-15","2016020241","20162017","VAN","0",48.73,4,5,13,12,4,2,0,0,-2,25,29,-4
"NYR","2016-11-18","2016020257","20162017","CBJ","0",50.92,3,2,7,20,2,1,0,0,-1,18,28,-10
"NYR","2016-11-20","2016020272","20162017","FLA","1",52.18,10,11,22,25,3,2,0,0,-1,27,29,-2
"NYR","2016-11-21","2016020277","20162017","PIT","0",52.42,2,10,35,25,4,2,0,0,-2,22,21,1
"NYR","2016-11-23","2016020290","20162017","PIT","1",48.87,15,5,21,17,1,3,1,0,1,21,25,-4
"NYR","2016-11-25","2016020302","20162017","PHI","0",53.97,10,7,37,26,1,3,2,2,2,29,31,-2
"NYR","2016-11-27","2016020326","20162017","OTT","1",46.42,12,8,22,17,3,3,0,0,0,24,23,1
"NYR","2016-11-29","2016020330","20162017","CAR","1",49.07,14,6,19,9,3,4,0,0,1,15,23,-8
"NYR","2016-12-01","2016020346","20162017","BUF","0",54.15,8,2,17,18,2,2,0,0,0,21,23,-2
"NYR","2016-12-03","2016020360","20162017","CAR","1",52.05,13,7,24,17,2,1,0,0,-1,20,17,3
"NYR","2016-12-06","2016020384","20162017","NYI","0",46.52,6,6,19,11,2,3,0,0,1,19,17,2
"NYR","2016-12-08","2016020401","20162017","WPG","0",48.32,7,5,21,20,2,3,0,0,1,18,21,-3
"NYR","2016-12-09","2016020409","20162017","CHI","0",54.92,8,4,18,10,1,2,0,0,1,24,25,-1
"NYR","2016-12-11","2016020426","20162017","N.J","1",41.53,8,4,14,18,3,5,1,1,2,22,19,3
"NYR","2016-12-13","2016020433","20162017","CHI","1",56.68,17,7,27,9,2,0,0,0,-2,18,22,-4
"NYR","2016-12-15","2016020452","20162017","DAL","0",40.07,7,4,14,14,5,2,0,0,-3,21,16,5
"NYR","2016-12-17","2016020468","20162017","NSH","0",55,10,3,23,19,3,2,0,0,-1,23,27,-4
"NYR","2016-12-18","2016020475","20162017","N.J","1",53.33,14,8,21,19,3,2,0,0,-1,16,24,-8
"NYR","2016-12-20","2016020483","20162017","PIT","0",46.95,5,5,40,25,5,2,0,0,-3,23,21,2
"NYR","2016-12-23","2016020506","20162017","MIN","1",54.2,19,2,20,22,1,1,0,0,0,21,32,-11
"NYR","2016-12-27","2016020519","20162017","OTT","1",44.13,11,5,21,19,4,6,1,1,2,21,31,-10
"NYR","2016-12-29","2016020543","20162017","ARI","0",46.7,2,6,21,26,3,4,0,0,1,21,25,-4
"NYR","2016-12-31","2016020555","20162017","COL","0",49.62,2,13,10,22,2,4,0,0,2,21,33,-12
"NYR","2017-01-03","2016020565","20162017","BUF","1",49.05,15,3,23,17,4,1,0,0,-3,22,26,-4
"NYR","2017-01-04","2016020573","20162017","PHI","0",53.78,5,5,27,34,2,1,0,0,-1,18,35,-17
"NYR","2017-01-07","2016020598","20162017","CBJ","0",52.13,3,3,13,17,2,2,0,0,0,26,25,1
"NYR","2017-01-13","2016020633","20162017","TOR","1",43.7,13,7,12,19,2,6,0,0,4,17,22,-5
"NYR","2017-01-14","2016020642","20162017","MTL","0",47.5,20,5,24,12,2,2,1,2,1,18,29,-11
"NYR","2017-01-17","2016020663","20162017","DAL","1",56.92,8,10,30,23,2,2,1,1,0,32,31,1
"NYR","2017-01-19","2016020679","20162017","TOR","0",47.58,10,7,32,19,3,5,0,0,2,28,20,8
"NYR","2017-01-22","2016020703","20162017","DET","0",48.72,6,3,19,15,3,2,0,0,-1,26,29,-3
"NYR","2017-01-23","2016020708","20162017","L.A","1",51.97,7,11,20,30,3,3,1,1,0,22,26,-4
"NYR","2017-01-25","2016020725","20162017","PHI","1",48.48,10,7,16,17,1,3,0,0,2,16,22,-6
"NYR","2017-01-31","2016020742","20162017","CBJ","1",54.9,12,9,23,18,1,2,0,0,1,35,30,5
"NYR","2017-02-02","2016020758","20162017","BUF","0",53.08,4,1,22,20,4,2,0,0,-2,27,29,-2
"NYR","2017-02-05","2016020786","20162017","CGY","1",55.58,9,10,22,20,1,0,2,2,-1,21,24,-3
"NYR","2017-02-07","2016020791","20162017","ANA","1",48.48,11,7,11,19,5,2,0,0,-3,21,20,1
"NYR","2017-02-09","2016020804","20162017","NSH","1",53.05,7,11,25,24,2,1,0,0,-1,23,26,-3
"NYR","2017-02-11","2016020823","20162017","COL","1",53.3,8,11,16,22,1,1,0,0,0,30,26,4
"NYR","2017-02-13","2016020834","20162017","CBJ","0",41.5,3,2,5,8,3,1,0,0,-2,19,20,-1
