"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"NYR","2016-10-13","2016020006","20162017","NYI","1",7.57,0,0,1,2,0,0,0,0,0,6,5,1
"NYR","2016-10-15","2016020025","20162017","STL","0",4,1,0,0,0,0,0,0,0,0,1,1,0
"NYR","2016-10-17","2016020033","20162017","S.J","1",5.85,0,0,1,0,0,0,0,0,0,4,2,2
"NYR","2016-10-19","2016020049","20162017","DET","1",6.93,2,1,0,1,0,1,0,0,1,6,1,5
"NYR","2016-10-22","2016020071","20162017","WSH","0",4.75,0,1,1,1,0,0,0,0,0,2,1,1
"NYR","2016-10-23","2016020079","20162017","ARI","1",3.35,0,0,0,0,0,0,0,0,0,3,0,3
"NYR","2016-10-26","2016020095","20162017","BOS","1",10.57,3,1,2,1,0,0,0,0,0,5,9,-4
"NYR","2016-10-28","2016020108","20162017","CAR","0",3.05,0,0,0,0,0,0,0,0,0,1,1,0
"NYR","2016-10-30","2016020127","20162017","T.B","1",7.37,2,0,1,0,2,0,0,0,-2,3,5,-2
"NYR","2016-11-01","2016020132","20162017","STL","1",8.48,4,1,1,0,0,0,0,0,0,8,2,6
"NYR","2016-11-03","2016020148","20162017","EDM","1",6.23,3,0,0,0,0,0,0,0,0,2,5,-3
"NYR","2016-11-05","2016020162","20162017","BOS","0",4.35,0,0,0,1,0,0,0,0,0,4,1,3
"NYR","2016-11-06","2016020177","20162017","WPG","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYR","2016-11-08","2016020184","20162017","VAN","1",9,10,0,0,1,0,0,0,0,0,4,7,-3
"NYR","2016-11-12","2016020222","20162017","CGY","0",4,1,1,0,0,0,0,0,0,0,1,2,-1
"NYR","2016-11-13","2016020228","20162017","EDM","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYR","2016-11-15","2016020241","20162017","VAN","0",3.27,1,1,0,0,0,0,0,0,0,3,1,2
"NYR","2016-11-18","2016020257","20162017","CBJ","0",4,3,0,0,0,0,0,0,0,0,3,3,0
"NYR","2016-11-20","2016020272","20162017","FLA","1",5.5,2,0,2,1,1,1,0,0,0,4,2,2
"NYR","2016-11-21","2016020277","20162017","PIT","0",2,0,0,0,0,0,0,0,0,0,1,1,0
"NYR","2016-11-23","2016020290","20162017","PIT","1",4.07,1,1,0,2,0,1,0,0,1,4,1,3
"NYR","2016-11-25","2016020302","20162017","PHI","0",4,1,0,0,4,0,0,0,0,0,1,1,0
"NYR","2016-11-27","2016020326","20162017","OTT","1",7.83,1,2,0,1,0,0,0,0,0,5,1,4
"NYR","2016-11-29","2016020330","20162017","CAR","1",5.58,3,0,0,0,0,0,0,0,0,4,2,2
"NYR","2016-12-01","2016020346","20162017","BUF","0",2.63,0,0,0,1,0,0,0,0,0,2,1,1
"NYR","2016-12-03","2016020360","20162017","CAR","1",2.33,2,0,0,0,0,0,0,0,0,1,2,-1
"NYR","2016-12-06","2016020384","20162017","NYI","0",8,1,0,1,3,0,0,0,0,0,4,3,1
"NYR","2016-12-08","2016020401","20162017","WPG","0",5.82,0,0,0,1,0,0,0,0,0,2,3,-1
"NYR","2016-12-09","2016020409","20162017","CHI","0",4,0,0,0,0,0,0,0,0,0,2,2,0
"NYR","2016-12-11","2016020426","20162017","N.J","1",8.87,2,1,0,0,1,0,0,0,-1,3,9,-6
"NYR","2016-12-13","2016020433","20162017","CHI","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYR","2016-12-15","2016020452","20162017","DAL","0",8.15,0,0,0,0,0,0,0,1,1,2,5,-3
"NYR","2016-12-17","2016020468","20162017","NSH","0",4,2,0,0,1,0,0,0,0,0,1,2,-1
"NYR","2016-12-18","2016020475","20162017","N.J","1",4,1,0,0,0,0,0,0,0,0,3,1,2
"NYR","2016-12-20","2016020483","20162017","PIT","0",5.22,0,0,1,3,0,0,0,0,0,3,3,0
"NYR","2016-12-23","2016020506","20162017","MIN","1",3.35,2,1,0,0,0,0,0,0,0,1,1,0
"NYR","2016-12-27","2016020519","20162017","OTT","1",6.07,3,0,0,0,0,0,0,0,0,2,3,-1
"NYR","2016-12-29","2016020543","20162017","ARI","0",9.25,0,0,0,1,0,0,0,0,0,4,5,-1
"NYR","2016-12-31","2016020555","20162017","COL","0",6.8,1,0,0,1,1,0,0,0,-1,1,7,-6
"NYR","2017-01-03","2016020565","20162017","BUF","1",2,1,0,0,1,0,0,0,0,0,2,1,1
"NYR","2017-01-04","2016020573","20162017","PHI","0",0.95,0,0,0,0,0,0,0,0,0,2,0,2
"NYR","2017-01-07","2016020598","20162017","CBJ","0",3.15,1,0,0,0,0,0,0,0,0,4,1,3
"NYR","2017-01-13","2016020633","20162017","TOR","1",10.92,5,0,1,2,1,0,0,0,-1,4,6,-2
"NYR","2017-01-14","2016020642","20162017","MTL","0",7.07,0,1,0,1,0,0,0,0,0,2,4,-2
"NYR","2017-01-17","2016020663","20162017","DAL","1",1.32,1,0,0,0,0,0,0,0,0,1,0,1
"NYR","2017-01-19","2016020679","20162017","TOR","0",8,1,1,2,2,0,0,0,0,0,6,5,1
"NYR","2017-01-22","2016020703","20162017","DET","0",7.32,3,0,0,1,0,0,0,0,0,2,5,-3
"NYR","2017-01-23","2016020708","20162017","L.A","1",4.62,3,0,1,1,0,0,0,0,0,1,2,-1
"NYR","2017-01-25","2016020725","20162017","PHI","1",6,2,0,1,0,0,0,0,0,0,3,4,-1
"NYR","2017-01-31","2016020742","20162017","CBJ","1",2,0,1,0,0,0,0,0,0,0,3,2,1
"NYR","2017-02-02","2016020758","20162017","BUF","0",4.57,0,0,0,0,0,0,0,0,0,2,3,-1
"NYR","2017-02-05","2016020786","20162017","CGY","1",1.2,0,0,0,0,0,0,0,0,0,3,0,3
"NYR","2017-02-07","2016020791","20162017","ANA","1",2,0,0,0,1,0,0,0,0,0,2,0,2
"NYR","2017-02-09","2016020804","20162017","NSH","1",2,1,0,0,1,0,0,0,0,0,1,1,0
"NYR","2017-02-11","2016020823","20162017","COL","1",4.73,1,0,0,1,0,0,0,0,0,3,3,0
"NYR","2017-02-13","2016020834","20162017","CBJ","0",8.8,1,0,0,0,0,0,0,0,0,4,4,0
"NYR","2017-02-16","2016020849","20162017","NYI","0",7.92,1,1,0,2,0,0,0,0,0,1,5,-4
"NYR","2017-02-19","2016020869","20162017","WSH","1",4,1,0,0,3,0,0,0,0,0,3,3,0
"NYR","2017-02-21","2016020883","20162017","MTL","1",7.22,1,1,0,1,0,0,0,0,0,7,4,3
"NYR","2017-02-23","2016020894","20162017","TOR","0",4,1,0,1,2,0,0,0,0,0,3,0,3
"NYR","2017-02-25","2016020905","20162017","N.J","0",2,0,0,0,0,0,0,0,0,0,4,0,4
"NYR","2017-02-26","2016020914","20162017","CBJ","1",4,1,0,0,0,1,0,0,0,-1,3,6,-3
"NYR","2017-02-28","2016020924","20162017","WSH","1",8,3,1,0,0,0,0,0,0,0,2,7,-5
"NYR","2017-03-02","2016020936","20162017","BOS","0",8.83,1,2,1,2,0,0,0,0,0,4,7,-3
"NYR","2017-03-04","2016020956","20162017","MTL","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYR","2017-03-06","2016020971","20162017","T.B","0",5.38,1,0,2,2,1,0,0,0,-1,4,1,3
"NYR","2017-03-07","2016020976","20162017","FLA","0",8,1,0,0,1,0,0,0,0,0,4,3,1
"NYR","2017-03-09","2016020985","20162017","CAR","0",7.3,1,0,2,3,1,1,0,0,0,3,4,-1
"NYR","2017-03-12","2016021011","20162017","DET","0",2.83,0,0,1,2,0,0,0,0,0,0,3,-3
"NYR","2017-03-13","2016021017","20162017","T.B","1",2,0,0,0,0,0,0,0,0,0,1,0,1
"NYR","2017-03-17","2016021049","20162017","FLA","1",4.82,1,0,0,0,0,0,0,0,0,5,1,4
"NYR","2017-03-18","2016021059","20162017","MIN","0",6,0,0,0,2,0,0,0,0,0,8,1,7
"NYR","2017-03-21","2016021077","20162017","N.J","0",4,0,0,1,0,0,0,0,0,0,4,3,1
"NYR","2017-03-22","2016021087","20162017","NYI","1",6.63,2,0,0,0,0,0,0,0,0,4,4,0
"NYR","2017-03-25","2016021116","20162017","L.A","0",2.8,1,0,0,0,1,0,0,0,-1,2,2,0
"NYR","2017-03-26","2016021121","20162017","ANA","0",3.45,2,0,1,2,1,0,0,0,-1,3,3,0
"NYR","2017-03-28","2016021136","20162017","S.J","0",4.45,0,1,0,0,0,0,0,0,0,1,4,-3
"NYR","2017-03-31","2016021150","20162017","PIT","1",3.4,1,0,0,0,0,0,0,0,0,1,1,0
"NYR","2017-04-02","2016021173","20162017","PHI","1",6.17,2,0,0,0,0,0,0,0,0,2,3,-1
"NYR","2017-04-05","2016021193","20162017","WSH","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"NYR","2017-04-08","2016021207","20162017","OTT","0",4,0,0,1,0,0,0,0,0,0,1,3,-2
"NYR","2017-04-09","2016021226","20162017","PIT","1",0.23,0,0,0,0,0,0,0,0,0,1,1,0
"NYR","Total","-","20162017","-","-",4.81,93,20,26,59,11,4,0,1,-6,222,211,11
