"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NYR","2017-10-05","2017020007","20172018","COL","1",41.43,9,14,3,86,13,17,7,2,3
"NYR","2017-10-07","2017020016","20172018","TOR","0",46.28,17,23,8,84,22,23,14,5,10
"NYR","2017-10-08","2017020031","20172018","MTL","1",49.33,10,11,11,105,10,16,15,2,5
"NYR","2017-10-10","2017020039","20172018","STL","1",46.22,13,10,6,91,18,13,12,6,7
"NYR","2017-10-13","2017020059","20172018","CBJ","0",45.58,10,11,14,78,14,14,24,10,3
"NYR","2017-10-14","2017020065","20172018","N.J","1",42.95,16,10,4,103,22,12,6,2,5
"NYR","2017-10-17","2017020082","20172018","PIT","1",46.3,12,15,5,103,12,17,14,6,5
"NYR","2017-10-19","2017020096","20172018","NYI","1",58.4,18,18,9,153,23,20,13,3,5
"NYR","2017-10-21","2017020110","20172018","NSH","1",39.38,8,14,6,70,10,17,8,2,5
"NYR","2017-10-23","2017020124","20172018","S.J","1",46.23,13,12,7,90,13,15,11,4,2
"NYR","2017-10-26","2017020140","20172018","ARI","1",50.85,11,13,10,123,13,15,19,6,3
"NYR","2017-10-28","2017020158","20172018","MTL","0",43.1,12,19,9,84,16,19,14,4,5
"NYR","2017-10-31","2017020178","20172018","VGK","1",45.18,12,16,4,79,16,17,12,8,3
"NYR","2017-11-02","2017020189","20172018","T.B","0",53.05,12,17,13,82,16,20,20,5,5
"NYR","2017-11-04","2017020203","20172018","FLA","0",52.9,17,21,9,81,22,22,14,3,5
"NYR","2017-11-06","2017020219","20172018","CBJ","1",51.68,9,18,11,115,14,19,15,5,3
"NYR","2017-11-08","2017020233","20172018","BOS","1",51.28,10,15,12,109,14,15,18,4,2
"NYR","2017-11-11","2017020249","20172018","EDM","1",51.25,12,15,11,109,16,17,18,6,4
"NYR","2017-11-15","2017020276","20172018","CHI","0",45.58,9,21,9,82,13,25,16,8,3
"NYR","2017-11-17","2017020290","20172018","CBJ","0",48.12,13,7,13,88,17,9,17,5,4
"NYR","2017-11-19","2017020307","20172018","OTT","1",44.3,8,14,5,92,10,16,12,6,2
"NYR","2017-11-22","2017020326","20172018","CAR","0",47.22,6,21,7,99,7,21,14,5,3
"NYR","2017-11-24","2017020341","20172018","DET","1",50.02,17,12,22,98,22,16,29,6,7
"NYR","2017-11-26","2017020360","20172018","VAN","1",59,9,14,10,126,11,15,15,6,3
"NYR","2017-11-28","2017020369","20172018","FLA","1",53.93,15,15,9,111,19,20,15,5,4
"NYR","2017-12-01","2017020390","20172018","CAR","1",48.4,7,13,11,103,7,16,12,1,0
"NYR","2017-12-05","2017020416","20172018","PIT","0",51.25,12,13,12,97,13,14,19,7,4
"NYR","2017-12-08","2017020440","20172018","WSH","0",48.02,13,17,5,86,14,20,8,2,2
"NYR","2017-12-09","2017020449","20172018","N.J","1",49.2,11,14,11,119,15,17,15,6,1
"NYR","2017-12-11","2017020461","20172018","DAL","1",59.83,10,10,12,159,15,11,23,11,7
"NYR","2017-12-13","2017020475","20172018","OTT","0",52.87,15,12,8,100,16,13,11,2,3
"NYR","2017-12-15","2017020493","20172018","L.A","1",51.53,10,15,6,95,12,16,13,6,3
"NYR","2017-12-16","2017020497","20172018","BOS","0",44.63,9,16,11,92,11,16,19,6,3
"NYR","2017-12-19","2017020519","20172018","ANA","1",54,10,14,14,110,13,14,18,4,4
"NYR","2017-12-21","2017020530","20172018","N.J","0",55.05,7,13,9,102,9,16,16,4,1
"NYR","2017-12-23","2017020548","20172018","TOR","1",47.27,14,17,15,90,18,20,22,7,6
"NYR","2017-12-27","2017020561","20172018","WSH","1",56.58,6,12,12,145,13,15,17,3,2
"NYR","2017-12-29","2017020578","20172018","DET","0",47.53,21,13,12,66,24,16,15,3,6
"NYR","2018-01-01","2017020601","20172018","BUF","0",48.93,16,19,3,102,19,21,6,3,6
"NYR","2018-01-03","2017020615","20172018","CHI","1",45.87,8,17,11,101,11,20,16,6,4
"NYR","2018-01-06","2017020639","20172018","ARI","0",61.4,19,6,6,145,26,9,10,3,9
"NYR","2018-01-07","2017020651","20172018","VGK","0",51.87,9,11,15,94,14,13,25,8,6
"NYR","2018-01-13","2017020670","20172018","NYI","1",51.07,16,14,11,90,22,18,14,3,7
"NYR","2018-01-14","2017020679","20172018","PIT","0",51.87,11,22,8,93,17,25,11,3,6
"NYR","2018-01-16","2017020689","20172018","PHI","1",50.7,9,15,10,102,12,18,15,5,2
"NYR","2018-01-18","2017020697","20172018","BUF","1",49.73,9,19,12,82,18,22,12,2,7
"NYR","2018-01-20","2017020710","20172018","COL","0",55.45,15,12,11,104,15,13,19,5,3
"NYR","2018-01-21","2017020725","20172018","L.A","0",45.8,8,19,9,67,9,19,12,3,2
"NYR","2018-01-23","2017020742","20172018","ANA","0",44.58,13,14,12,69,17,15,14,1,4
"NYR","2018-01-25","2017020760","20172018","S.J","0",51.47,12,22,11,128,14,23,11,1,4
"NYR","2018-02-01","2017020779","20172018","TOR","1",52,8,12,10,124,10,13,18,7,3
"NYR","2018-02-03","2017020800","20172018","NSH","0",47.72,11,24,7,82,15,26,11,4,6
"NYR","2018-02-05","2017020810","20172018","DAL","0",44.38,9,11,10,86,10,13,14,4,1
"NYR","2018-02-07","2017020824","20172018","BOS","1",51.58,10,14,5,126,12,19,9,3,3
"NYR","2018-02-09","2017020836","20172018","CGY","1",39.78,9,16,6,97,10,18,10,5,3
"NYR","2018-02-11","2017020854","20172018","WPG","0",42.6,6,12,10,98,8,12,15,6,1
"NYR","2018-02-13","2017020872","20172018","MIN","0",52.17,12,13,6,125,15,13,10,3,4
"NYR","2018-02-15","2017020880","20172018","NYI","0",51.78,23,13,4,119,28,14,8,4,5
"NYR","2018-02-17","2017020895","20172018","OTT","0",52.87,12,17,4,109,17,22,10,4,3
"NYR","2018-02-18","2017020905","20172018","PHI","1",58,12,23,9,97,21,28,16,5,2
"NYR","2018-02-22","2017020933","20172018","MTL","0",42.75,6,8,15,93,7,11,19,3,0
"NYR","2018-02-23","2017020941","20172018","MIN","1",56.48,9,12,10,142,12,15,11,0,4
"NYR","2018-02-25","2017020960","20172018","DET","1",56.92,19,16,8,92,22,17,19,8,4
"NYR","2018-02-28","2017020982","20172018","VAN","0",52.77,12,20,12,155,13,24,16,4,5
"NYR","2018-03-02","2017020996","20172018","CGY","0",44.82,12,13,11,133,16,17,17,6,3
"NYR","2018-03-03","2017021007","20172018","EDM","0",52.3,14,16,15,95,15,17,22,8,3
"NYR","2018-03-06","2017021022","20172018","WPG","1",55.57,12,9,18,119,16,12,23,2,3
"NYR","2018-03-08","2017021037","20172018","T.B","0",46.37,12,18,12,86,15,23,17,2,5
"NYR","2018-03-10","2017021056","20172018","FLA","0",59.12,18,22,8,100,19,23,15,9,7
"NYR","2018-03-12","2017021063","20172018","CAR","1",48.83,13,15,15,73,18,20,19,2,3
"NYR","2018-03-14","2017021079","20172018","PIT","1",54.17,9,16,12,120,14,18,15,2,3
"NYR","2018-03-17","2017021105","20172018","STL","0",51.78,9,17,16,84,10,22,23,6,3
"NYR","2018-03-20","2017021122","20172018","CBJ","1",49.63,13,15,8,89,18,17,11,2,4
"NYR","2018-03-22","2017021137","20172018","PHI","0",50.25,18,16,3,86,22,17,7,3,12
"NYR","2018-03-24","2017021159","20172018","BUF","1",51.05,7,15,15,111,9,17,22,3,1
"NYR","2018-03-26","2017021170","20172018","WSH","1",44.95,10,10,7,86,13,12,14,2,1
"NYR","2018-03-28","2017021187","20172018","WSH","0",44.4,16,16,12,71,17,17,17,2,3
"NYR","2018-03-30","2017021201","20172018","T.B","1",51.57,10,17,18,83,15,20,29,7,4
"NYR","2018-03-31","2017021212","20172018","CAR","0",51.3,6,12,19,100,9,13,28,5,0
"NYR","2018-04-03","2017021229","20172018","N.J","0",51.72,13,18,10,82,17,21,17,2,4
"NYR","2018-04-05","2017021242","20172018","NYI","0",49.4,12,8,6,101,15,12,9,1,4
"NYR","2018-04-07","2017021257","20172018","PHI","0",55.9,7,15,13,106,11,20,19,4,5
"NYR","Total","-","20172018","-","-",49.99,957,1224,818,8252,1226,1413,1255,357,320
