"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"NYR","2015-10-07","2015020002","20152016","CHI","0",0,0,0,0,0,0,0,0,0,0
"NYR","2015-10-09","2015020013","20152016","CBJ","0",4.4,2,2,1,9,2,2,1,0,0
"NYR","2015-10-10","2015020021","20152016","CBJ","1",2.13,2,0,0,1,2,0,0,0,0
"NYR","2015-10-13","2015020038","20152016","WPG","1",8.62,4,2,0,12,6,2,1,1,0
"NYR","2015-10-15","2015020053","20152016","MTL","0",5.85,5,1,0,10,5,1,0,0,0
"NYR","2015-10-18","2015020075","20152016","N.J","1",4,3,2,0,2,3,2,0,0,0
"NYR","2015-10-19","2015020080","20152016","S.J","1",0.43,1,0,0,0,1,0,0,0,0
"NYR","2015-10-22","2015020092","20152016","ARI","1",4.13,5,0,0,1,6,0,0,0,0
"NYR","2015-10-24","2015020110","20152016","PHI","0",5.93,4,0,0,8,5,0,1,1,0
"NYR","2015-10-25","2015020119","20152016","CGY","1",4,1,0,1,4,2,0,1,0,0
"NYR","2015-10-30","2015020146","20152016","TOR","1",6,3,0,0,13,5,0,1,1,0
"NYR","2015-11-03","2015020174","20152016","WSH","1",2,1,0,0,2,1,0,0,0,0
"NYR","2015-11-06","2015020197","20152016","COL","0",2.85,2,0,0,2,3,0,0,0,0
"NYR","2015-11-07","2015020208","20152016","ARI","0",6.32,5,0,0,8,5,0,1,1,0
"NYR","2015-11-10","2015020217","20152016","CAR","1",4,4,0,0,6,5,0,1,0,0
"NYR","2015-11-12","2015020231","20152016","STL","1",3.3,2,0,0,3,2,0,0,0,0
"NYR","2015-11-14","2015020246","20152016","OTT","0",2.63,2,1,0,2,2,1,0,0,0
"NYR","2015-11-15","2015020259","20152016","TOR","1",3.78,1,1,0,6,1,1,1,0,0
"NYR","2015-11-19","2015020284","20152016","T.B","0",2.6,3,1,0,3,4,1,0,0,0
"NYR","2015-11-21","2015020296","20152016","FLA","0",2.82,3,0,0,2,5,0,0,0,1
"NYR","2015-11-23","2015020309","20152016","NSH","1",7.53,5,1,0,3,5,1,0,0,0
"NYR","2015-11-25","2015020320","20152016","MTL","1",8.53,5,0,0,12,5,0,1,0,0
"NYR","2015-11-27","2015020330","20152016","BOS","0",5.48,5,1,1,5,5,2,1,0,0
