"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"OTT","2015-10-08","2015020006","20152016","BUF","0",53.55,100,47.73,49.15,48.75,51.06,2,0,21,23,29,30,39,41,1.5,1.44,2,-2,-1,-2,0.06
"OTT","2015-10-10","2015020019","20152016","TOR","0",50.83,25,40.32,40.96,40.74,39.98,1,3,25,37,34,49,44,64,1.62,2.44,-2,-12,-15,-20,-0.81
"OTT","2015-10-11","2015020031","20152016","MTL","1",43.88,0,30.23,36.51,40.66,41.59,0,3,13,30,23,40,37,54,1.31,1.85,-3,-17,-17,-17,-0.53
"OTT","2015-10-14","2015020046","20152016","CBJ","0",48.4,71.43,43.48,45.59,44.19,41.68,5,2,20,26,31,37,38,48,2.09,2.92,3,-6,-6,-10,-0.83
"OTT","2015-10-15","2015020051","20152016","PIT","0",48.23,0,40,45.45,48.28,45.3,0,2,20,30,30,36,42,45,1.56,1.88,-2,-10,-6,-3,-0.32
"OTT","2015-10-17","2015020066","20152016","NSH","1",52.6,75,64.15,61.64,62.14,74.2,3,1,34,19,45,28,64,39,3.14,1.09,2,15,17,25,2.05
"OTT","2015-10-22","2015020094","20152016","N.J","1",47.88,66.67,53.7,54.17,55.32,57.47,2,1,29,25,39,33,52,42,3.58,2.65,1,4,6,10,0.93
"OTT","2015-10-24","2015020109","20152016","ARI","1",49.88,25,58.82,62.16,60,58.47,1,3,30,21,46,28,57,38,2.32,1.65,-2,9,18,19,0.67
"OTT","2015-10-28","2015020134","20152016","CGY","1",50.3,57.14,37.5,37.68,42.27,40.07,4,3,18,30,26,43,41,56,1.38,2.06,1,-12,-17,-15,-0.68
"OTT","2015-10-30","2015020149","20152016","DET","0",41.08,100,57.78,52.63,47.89,57.14,2,0,26,19,30,27,34,37,1.29,0.96,2,7,3,-3,0.32
"OTT","2015-10-31","2015020158","20152016","DET","1",48.83,50,54.35,53.52,56.38,55.55,3,3,25,21,38,33,53,41,2.09,1.67,0,4,5,12,0.42
"OTT","2015-11-03","2015020175","20152016","MTL","0",53.42,100,41.18,41.79,38.46,51.13,1,0,21,30,28,39,35,56,1.97,1.88,1,-9,-11,-21,0.09
"OTT","2015-11-05","2015020188","20152016","WPG","1",58.2,50,40.3,38.89,42.15,43.12,2,2,27,40,35,55,51,70,2.16,2.85,0,-13,-20,-19,-0.69
"OTT","2015-11-07","2015020204","20152016","CAR","0",53,50,34,32.89,34,29.44,1,1,17,33,25,51,34,66,1.29,3.09,0,-16,-26,-32,-1.8
"OTT","2015-11-10","2015020223","20152016","NSH","0",48.73,25,37.25,32.39,37.5,26.83,2,6,19,32,23,48,36,60,0.89,2.44,-4,-13,-25,-24,-1.54
"OTT","2015-11-12","2015020234","20152016","VAN","1",46.95,50,38.64,41.38,38.1,46,1,1,17,27,24,34,32,52,0.96,1.12,0,-10,-10,-20,-0.17
"OTT","2015-11-14","2015020246","20152016","NYR","1",57.37,0,39.62,50.68,51.96,47.68,0,0,21,32,37,36,53,49,2.28,2.5,0,-11,1,4,-0.22
"OTT","2015-11-16","2015020264","20152016","DET","1",54.15,40,42.31,44.74,48.08,42.1,2,3,22,30,34,42,50,54,1.91,2.63,-1,-8,-8,-4,-0.72
"OTT","2015-11-19","2015020283","20152016","CBJ","1",43.93,100,52.5,50,51.76,34.92,2,0,21,19,29,29,44,41,1.34,2.49,2,2,0,3,-1.16
"OTT","2015-11-21","2015020294","20152016","PHI","1",45.47,100,53.7,47.3,41.12,59.71,4,0,29,25,35,39,44,63,2.16,1.46,4,4,-4,-19,0.7
"OTT","2015-11-24","2015020315","20152016","DAL","0",49.7,57.14,34.09,40.62,42.53,47.5,4,3,15,29,26,38,37,50,1.79,1.98,1,-14,-12,-13,-0.19
"OTT","2015-11-25","2015020328","20152016","COL","0",47.7,66.67,47.27,44.74,42.11,51.39,4,2,26,29,34,42,40,55,1.69,1.6,2,-3,-8,-15,0.09
"OTT","2015-11-28","2015020351","20152016","ARI","0",51.78,33.33,66,64.38,64.44,46.38,2,4,33,17,47,26,58,32,1.73,2,-2,16,21,26,-0.27
"OTT","2015-12-01","2015020361","20152016","PHI","1",47.32,50,50,41.67,45.78,42.59,2,2,23,23,25,35,38,45,1.45,1.95,0,0,-10,-7,-0.5
"OTT","2015-12-03","2015020376","20152016","CHI","1",53.65,50,40.35,39.19,36.36,48.38,2,2,23,34,29,45,36,63,2,2.13,0,-11,-16,-27,-0.13
"OTT","2015-12-05","2015020390","20152016","NYI","1",55.3,66.67,47.17,45.12,45.13,45.3,2,1,25,28,37,45,51,62,2.54,3.07,1,-3,-8,-11,-0.53
"OTT","2015-12-06","2015020401","20152016","NYR","0",53.42,50,43.75,45.83,52.48,49.17,1,1,21,27,33,39,53,48,2.47,2.55,0,-6,-6,5,-0.08
"OTT","2015-12-08","2015020412","20152016","FLA","0",47.72,33.33,40,48.94,46.97,49.07,1,2,12,18,23,24,31,35,1.27,1.32,-1,-6,-1,-4,-0.05
"OTT","2015-12-10","2015020422","20152016","T.B","0",47.88,0,47.83,53.23,53.16,56.82,0,2,22,24,33,29,42,37,2.11,1.6,-2,-2,4,5,0.51
"OTT","2015-12-12","2015020437","20152016","MTL","0",47.2,25,40.68,42.25,45.92,50.77,1,3,24,35,30,41,45,53,2.41,2.34,-2,-11,-11,-8,0.07
"OTT","2015-12-14","2015020451","20152016","L.A","1",46.92,71.43,36.96,32.26,36.84,54.34,5,2,17,29,20,42,28,48,1.66,1.4,3,-12,-22,-20,0.27
"OTT","2015-12-16","2015020464","20152016","WSH","0",49.63,0,46.34,45,46.15,32.75,0,2,19,22,27,33,36,42,0.92,1.89,-2,-3,-6,-6,-0.97
"OTT","2015-12-18","2015020480","20152016","S.J","1",47.15,80,52.73,47.06,46.15,43.45,4,1,29,26,32,36,42,49,1.58,2.06,3,3,-4,-7,-0.48
"OTT","2015-12-20","2015020495","20152016","T.B","0",45.78,50,44.44,40.74,38.46,30.25,1,1,20,25,22,32,30,48,0.88,2.04,0,-5,-10,-18,-1.15
"OTT","2015-12-22","2015020511","20152016","FLA","0",52.17,0,35,37.93,35.14,35.58,0,1,14,26,22,36,26,48,1.18,2.13,-1,-12,-14,-22,-0.95
"OTT","2015-12-27","2015020526","20152016","BOS","1",52.32,50,37.25,36.11,41.3,43.03,1,1,19,32,26,46,38,54,1.3,1.72,0,-13,-20,-16,-0.42
"OTT","2015-12-29","2015020541","20152016","BOS","0",44.93,50,55.1,57.14,57,58.76,3,3,27,22,40,30,57,43,2.15,1.51,0,5,10,14,0.64
"OTT","2015-12-30","2015020553","20152016","N.J","1",43.38,0,62.5,64.29,71.79,62.66,0,1,25,15,36,20,56,22,1.77,1.06,-1,10,16,34,0.72
"OTT","2016-01-03","2015020581","20152016","CHI","0",52.32,0,45.28,46.38,50.98,41.37,0,2,24,29,32,37,52,50,1.63,2.31,-2,-5,-5,2,-0.68
"OTT","2016-01-04","2015020584","20152016","STL","0",56,50,46.67,42.31,42.42,43.64,1,1,28,32,33,45,42,57,1.38,1.79,0,-4,-12,-15,-0.4
"OTT","2016-01-07","2015020602","20152016","FLA","1",48.53,40,58.97,61.82,61.36,58.01,2,3,23,16,34,21,54,34,1.75,1.26,-1,7,13,20,0.48
"OTT","2016-01-09","2015020617","20152016","BOS","1",58.37,66.67,52.78,51.65,53.08,59.29,2,1,38,34,47,44,69,61,3.19,2.19,1,4,3,8,1
"OTT","2016-01-10","2015020625","20152016","WSH","0",47.88,20,50.98,49.28,48.89,48.97,1,4,26,25,34,35,44,46,1.91,2,-3,1,-1,-2,-0.08
"OTT","2016-01-13","2015020645","20152016","ANA","0",51,25,36.73,33.33,38.2,31.8,1,3,18,31,22,44,34,55,1.12,2.41,-2,-13,-22,-21,-1.28
"OTT","2016-01-16","2015020661","20152016","L.A","0",47.1,75,44.19,44.62,42.22,55.19,3,1,19,24,29,36,38,52,2.39,1.94,2,-5,-7,-14,0.45
"OTT","2016-01-18","2015020681","20152016","S.J","0",60.82,25,33.33,32.89,33.93,27.92,1,3,15,30,25,51,38,74,1.31,3.37,-2,-15,-26,-36,-2.07
"OTT","2016-01-21","2015020694","20152016","N.J","0",49.5,40,62.5,61.11,58.46,56.39,2,3,25,15,33,21,38,27,2.12,1.64,-1,10,12,11,0.48
"OTT","2016-01-22","2015020706","20152016","NYI","1",52.65,33.33,47.27,44.59,43.12,37.97,2,4,26,29,33,41,47,62,1.71,2.8,-2,-3,-8,-15,-1.08
"OTT","2016-01-24","2015020721","20152016","NYR","1",49.63,100,50.85,51.81,57.26,58.14,2,0,30,29,43,40,67,50,2.39,1.72,2,1,3,17,0.67
"OTT","2016-01-26","2015020735","20152016","BUF","1",51.9,50,56.82,59.68,58.24,55.09,2,2,25,19,37,25,53,38,1.96,1.6,0,6,12,15,0.36
"OTT","2016-02-02","2015020748","20152016","PIT","0",49.23,55.56,36.54,32.84,36.9,35.78,5,4,19,33,22,45,31,53,1.53,2.76,1,-14,-23,-22,-1.22
"OTT","2016-02-04","2015020763","20152016","EDM","1",51.38,20,55.77,54.55,55.66,40.19,1,4,29,23,36,30,59,47,1.13,1.68,-3,6,6,12,-0.55
"OTT","2016-02-06","2015020780","20152016","TOR","1",45.97,85.71,53.33,50.85,48.1,70.2,6,1,24,21,30,29,38,41,3,1.28,5,3,1,-3,1.73
"OTT","2016-02-08","2015020792","20152016","T.B","1",41.82,75,42.22,41.07,38.96,43.4,3,1,19,26,23,33,30,47,1.41,1.84,2,-7,-10,-17,-0.43
