"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"OTT","2016-10-12","2016020001","20162017","TOR","1",4,0,100,100,100,100,0,0,4,0,5,0,7,0,0.42,0,0,4,5,7,0.42
"OTT","2016-10-15","2016020018","20162017","MTL","1",6.18,0,100,100,100,100,0,0,4,0,9,0,13,0,0.88,0,0,4,9,13,0.88
"OTT","2016-10-17","2016020035","20162017","DET","0",6,0,100,100,90.91,100,0,0,5,0,6,0,10,1,0.46,0,0,5,6,9,0.46
"OTT","2016-10-18","2016020041","20162017","ARI","1",2.07,100,100,100,100,100,1,0,4,0,4,0,4,0,0.33,0,1,4,4,4,0.33
"OTT","2016-10-22","2016020066","20162017","T.B","1",6,0,88.89,88.89,92.86,92.85,0,0,8,1,8,1,13,1,0.5,0.04,0,7,7,12,0.47
"OTT","2016-10-25","2016020091","20162017","VAN","0",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2016-10-28","2016020110","20162017","CGY","0",5.35,100,100,100,100,100,2,0,9,0,13,0,18,0,1.3,0,2,9,13,18,1.3
"OTT","2016-10-30","2016020129","20162017","EDM","0",4,0,71.43,75,76.92,94.48,0,0,5,2,6,2,10,3,0.76,0.04,0,3,4,7,0.71
"OTT","2016-11-01","2016020135","20162017","CAR","1",2.72,0,50,66.67,75,38.96,0,0,1,1,2,1,3,1,0.08,0.12,0,0,1,2,-0.04
"OTT","2016-11-03","2016020150","20162017","VAN","1",6,0,50,75,75,65.78,0,0,1,1,3,1,6,2,0.19,0.1,0,0,2,4,0.09
"OTT","2016-11-05","2016020165","20162017","BUF","1",6.77,100,100,100,100,100,1,0,5,0,8,0,9,0,0.45,0,1,5,8,9,0.45
"OTT","2016-11-08","2016020190","20162017","NSH","0",2.55,0,100,100,100,100,0,0,2,0,2,0,2,0,0.17,0,0,2,2,2,0.17
"OTT","2016-11-09","2016020194","20162017","BUF","0",4.45,0,80,90,90.91,93.29,0,0,4,1,9,1,10,1,0.83,0.06,0,3,8,9,0.77
"OTT","2016-11-11","2016020208","20162017","L.A","1",5.63,0,83.33,88.89,83.33,64.93,0,0,5,1,8,1,10,2,0.58,0.31,0,4,7,8,0.27
"OTT","2016-11-13","2016020225","20162017","MIN","1",8,0,71.43,85.71,82.35,77.39,0,1,5,2,12,2,14,3,0.89,0.26,-1,3,10,11,0.63
"OTT","2016-11-15","2016020230","20162017","PHI","0",4,0,33.33,50,71.43,60.34,0,0,1,2,2,2,5,2,0.09,0.06,0,-1,0,3,0.03
"OTT","2016-11-17","2016020248","20162017","NSH","1",9.03,100,83.33,85.71,91.67,95.57,1,0,5,1,6,1,11,1,0.31,0.01,1,4,5,10,0.3
"OTT","2016-11-19","2016020265","20162017","FLA","1",4,0,100,100,100,100,0,0,5,0,6,0,8,0,0.75,0,0,5,6,8,0.75
"OTT","2016-11-22","2016020285","20162017","MTL","0",5.5,100,100,100,85.71,100,1,0,5,0,5,0,6,1,0.29,0,1,5,5,5,0.29
"OTT","2016-11-24","2016020301","20162017","BOS","1",4,0,75,75,75,98.39,0,0,3,1,3,1,3,1,0.45,0.01,0,2,2,2,0.45
"OTT","2016-11-26","2016020314","20162017","CAR","1",2,0,50,50,50,74.17,0,0,1,1,1,1,1,1,0.07,0.02,0,0,0,0,0.05
"OTT","2016-11-27","2016020326","20162017","NYR","0",3.43,100,100,100,100,100,1,0,1,0,4,0,6,0,0.27,0,1,1,4,6,0.27
"OTT","2016-11-29","2016020333","20162017","BUF","1",6.47,100,83.33,80,84.62,65.68,1,0,5,1,8,2,11,2,0.64,0.33,1,4,6,9,0.3
"OTT","2016-12-01","2016020349","20162017","PHI","1",0.88,100,100,100,100,100,1,0,1,0,1,0,2,0,0.1,0,1,1,1,2,0.1
"OTT","2016-12-03","2016020363","20162017","FLA","1",12.17,0,66.67,75,71.43,76.35,0,0,6,3,9,3,10,4,0.82,0.25,0,3,6,6,0.56
"OTT","2016-12-05","2016020379","20162017","PIT","0",6.4,75,92.31,94.44,95.45,91.78,3,1,12,1,17,1,21,1,2.15,0.19,2,11,16,20,1.96
"OTT","2016-12-07","2016020394","20162017","S.J","0",5.45,100,66.67,66.67,77.78,72.24,1,0,4,2,4,2,7,2,0.34,0.13,1,2,2,5,0.21
"OTT","2016-12-10","2016020412","20162017","L.A","0",8,0,100,83.33,90,89.49,0,0,3,0,5,1,9,1,0.24,0.03,0,3,4,8,0.21
"OTT","2016-12-11","2016020421","20162017","ANA","0",4.45,100,100,75,75,79.81,1,0,2,0,3,1,3,1,0.29,0.07,1,2,2,2,0.22
"OTT","2016-12-14","2016020441","20162017","S.J","1",8.92,100,100,100,100,100,1,0,10,0,11,0,15,0,0.72,0,1,10,11,15,0.72
"OTT","2016-12-17","2016020463","20162017","N.J","1",2,0,100,100,100,100,0,0,1,0,3,0,4,0,0.24,0,0,1,3,4,0.24
"OTT","2016-12-18","2016020473","20162017","NYI","0",2.33,100,100,100,100,100,1,0,4,0,4,0,4,0,0.52,0,1,4,4,4,0.52
"OTT","2016-12-20","2016020489","20162017","CHI","0",8.27,100,88.89,90.91,92.31,80.82,1,0,8,1,10,1,12,1,0.71,0.17,1,7,9,11,0.54
