"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"OTT","2015-10-08","2015020006","20152016","BUF","0",5.43,0,0,0,0,0,0,1,0,3,0,4,0,6,0,0.23,-1,-3,-4,-6,-0.23
"OTT","2015-10-10","2015020019","20152016","TOR","0",5.42,0,0,0,0,0,0,1,0,3,0,8,0,12,0,0.65,-1,-3,-8,-12,-0.65
"OTT","2015-10-11","2015020031","20152016","MTL","1",10.5,100,40,22.22,16.67,24.06,1,0,2,3,2,7,3,15,0.23,0.73,1,-1,-5,-12,-0.5
"OTT","2015-10-14","2015020046","20152016","CBJ","0",6.42,0,0,0,0,0,0,1,0,15,0,15,0,17,0,2.28,-1,-15,-15,-17,-2.28
"OTT","2015-10-15","2015020051","20152016","PIT","0",4.43,0,0,0,0,0,0,0,0,5,0,7,0,7,0,0.8,0,-5,-7,-7,-0.8
"OTT","2015-10-17","2015020066","20152016","NSH","1",8.13,0,25,22.22,16.67,2.4,0,2,2,6,2,7,2,10,0.02,0.93,-2,-4,-5,-8,-0.91
"OTT","2015-10-22","2015020094","20152016","N.J","1",4.98,33.33,33.33,33.33,28.57,37.64,1,2,2,4,2,4,2,5,0.4,0.67,-1,-2,-2,-3,-0.26
"OTT","2015-10-24","2015020109","20152016","ARI","1",3.88,0,25,20,33.33,1.62,0,0,1,3,1,4,2,4,0,0.26,0,-2,-3,-2,-0.25
"OTT","2015-10-28","2015020134","20152016","CGY","1",6.2,0,11.11,10,9.09,0.47,0,1,1,8,1,9,1,10,0,0.75,-1,-7,-8,-9,-0.75
"OTT","2015-10-30","2015020149","20152016","DET","0",8.45,0,18.18,12.5,10.53,9.58,0,1,2,9,2,14,2,17,0.17,1.56,-1,-7,-12,-15,-1.4
"OTT","2015-10-31","2015020158","20152016","DET","1",4.35,0,14.29,10,10,3.61,0,2,1,6,1,9,1,9,0.04,0.95,-2,-5,-8,-8,-0.92
"OTT","2015-11-03","2015020175","20152016","MTL","0",5.08,50,12.5,10,6.67,11.32,1,1,1,7,1,9,1,14,0.16,1.27,0,-6,-8,-13,-1.11
"OTT","2015-11-05","2015020188","20152016","WPG","1",2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2015-11-07","2015020204","20152016","CAR","0",4.07,0,22.22,18.18,18.18,11.13,0,1,2,7,2,9,2,9,0.09,0.7,-1,-5,-7,-7,-0.61
"OTT","2015-11-10","2015020223","20152016","NSH","0",4.13,50,20,16.67,12.5,34.39,1,1,1,4,1,5,1,7,0.27,0.52,0,-3,-4,-6,-0.25
"OTT","2015-11-12","2015020234","20152016","VAN","1",4,0,33.33,25,22.22,34.93,0,0,1,2,2,6,2,7,0.24,0.45,0,-1,-4,-5,-0.21
"OTT","2015-11-14","2015020246","20152016","NYR","1",2.63,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0.2,-1,-1,-1,-3,-0.2
"OTT","2015-11-16","2015020264","20152016","DET","1",3.95,0,14.29,12.5,9.09,3.5,0,0,1,6,1,7,1,10,0.04,1.17,0,-5,-6,-9,-1.13
"OTT","2015-11-19","2015020283","20152016","CBJ","1",5.75,0,0,0,0,0,0,0,0,6,0,7,0,11,0,0.37,0,-6,-7,-11,-0.37
"OTT","2015-11-21","2015020294","20152016","PHI","1",8,0,0,0,0,0,0,0,0,10,0,12,0,17,0,1.28,0,-10,-12,-17,-1.28
"OTT","2015-11-24","2015020315","20152016","DAL","0",4,100,20,12.5,10,36.69,1,0,1,4,1,7,1,9,0.29,0.49,1,-3,-6,-8,-0.21
"OTT","2015-11-25","2015020328","20152016","COL","0",8.12,0,22.22,15.38,11.11,22.59,0,0,2,7,2,11,2,16,0.23,0.8,0,-5,-9,-14,-0.57
