"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"OTT","2019-10-02","2019020001","20192020","TOR","0",44.13,5,5,41,17,3,3,0,0,0,35,22,13
"OTT","2019-10-05","2019020020","20192020","NYR","1",46.12,9,3,36,18,3,5,0,0,2,17,27,-10
"OTT","2019-10-10","2019020051","20192020","STL","1",52.38,12,6,28,31,3,0,0,0,-3,31,24,7
"OTT","2019-10-12","2019020062","20192020","T.B","1",45.4,14,2,22,19,2,2,2,2,0,13,24,-11
"OTT","2019-10-14","2019020079","20192020","MIN","1",39.72,14,4,15,20,7,5,0,0,-2,22,23,-1
"OTT","2019-10-17","2019020105","20192020","VGK","0",50.93,8,11,35,29,3,3,1,1,0,28,30,-2
"OTT","2019-10-19","2019020120","20192020","ARI","0",46.83,6,2,28,15,5,1,0,0,-4,23,26,-3
"OTT","2019-10-21","2019020132","20192020","DAL","0",45.82,9,4,12,11,4,2,0,0,-2,25,24,1
"OTT","2019-10-23","2019020143","20192020","DET","1",44.88,7,7,25,18,4,0,0,0,-4,32,23,9
"OTT","2019-10-25","2019020158","20192020","NYI","1",43.8,12,6,24,24,3,6,1,1,3,21,14,7
"OTT","2019-10-27","2019020172","20192020","S.J","1",45.58,8,6,35,21,3,2,0,0,-1,22,12,10
"OTT","2019-11-02","2019020206","20192020","BOS","0",45.58,9,7,23,16,3,1,0,0,-2,27,24,3
"OTT","2019-11-04","2019020221","20192020","NYR","0",45.62,10,3,22,17,4,7,2,2,3,24,29,-5
"OTT","2019-11-05","2019020225","20192020","NYI","0",50.2,14,6,27,27,3,4,0,0,1,12,23,-11
"OTT","2019-11-07","2019020242","20192020","L.A","1",53.83,6,4,29,32,2,2,0,0,0,30,26,4
"OTT","2019-11-09","2019020255","20192020","CAR","1",47.62,27,5,34,28,3,2,0,0,-1,23,28,-5
"OTT","2019-11-11","2019020271","20192020","CAR","0",47.8,8,7,29,17,4,2,1,1,-2,33,25,8
"OTT","2019-11-13","2019020281","20192020","N.J","0",50.52,1,7,19,8,3,1,0,0,-2,25,19,6
"OTT","2019-11-15","2019020298","20192020","PHI","1",47.02,7,5,31,20,5,2,0,0,-3,18,21,-3
"OTT","2019-11-16","2019020304","20192020","BUF","0",50.63,10,2,13,16,2,0,0,0,-2,27,23,4
"OTT","2019-11-19","2019020323","20192020","DET","0",47.82,8,4,20,17,3,4,0,0,1,23,25,-2
"OTT","2019-11-20","2019020331","20192020","MTL","0",52.65,10,6,26,30,1,3,0,0,2,24,26,-2
"OTT","2019-11-22","2019020347","20192020","NYR","1",48.92,13,6,20,23,4,2,0,0,-2,22,20,2
"OTT","2019-11-25","2019020369","20192020","CBJ","0",49,9,6,22,17,1,1,0,0,0,21,23,-2
"OTT","2019-11-27","2019020378","20192020","BOS","1",50.37,6,6,34,29,1,2,0,0,1,14,18,-4
"OTT","2019-11-29","2019020395","20192020","MIN","0",53.43,2,3,11,7,4,2,0,0,-2,37,32,5
"OTT","2019-11-30","2019020410","20192020","CGY","0",51.88,3,5,18,15,3,1,0,0,-2,31,19,12
"OTT","2019-12-03","2019020432","20192020","VAN","0",51.25,3,6,20,21,2,3,0,0,1,22,20,2
"OTT","2019-12-04","2019020436","20192020","EDM","0",46.47,5,10,23,18,5,2,0,0,-3,20,17,3
"OTT","2019-12-07","2019020452","20192020","PHI","0",47.82,5,1,18,17,0,3,2,2,3,19,21,-2
"OTT","2019-12-09","2019020470","20192020","BOS","1",46.73,14,10,19,20,3,1,0,0,-2,22,21,1
"OTT","2019-12-11","2019020485","20192020","MTL","0",46.87,9,10,24,28,4,4,0,0,0,20,27,-7
"OTT","2019-12-14","2019020501","20192020","CBJ","1",53.83,11,7,29,25,2,3,1,1,1,30,22,8
"OTT","2019-12-16","2019020519","20192020","FLA","0",48.53,11,8,29,21,6,2,0,0,-4,24,21,3
"OTT","2019-12-17","2019020526","20192020","T.B","0",57.25,2,9,24,20,0,3,0,0,3,21,29,-8
"OTT","2019-12-19","2019020542","20192020","NSH","1",57.32,12,10,26,18,1,2,0,0,1,31,37,-6
"OTT","2019-12-21","2019020557","20192020","PHI","1",51.03,7,8,26,20,2,4,0,0,2,22,28,-6
"OTT","2019-12-23","2019020575","20192020","BUF","1",50.13,12,7,29,19,2,2,0,0,0,28,24,4
"OTT","2019-12-29","2019020603","20192020","N.J","1",48.78,13,1,29,26,4,3,1,1,-1,24,20,4
