"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"OTT","2018-10-04","2018020009","20182019","CHI","1",3.18,1,0,0,0,1,1,0,0,0,2,1,1
"OTT","2018-10-06","2018020018","20182019","TOR","0",4,0,0,1,1,0,0,0,0,0,2,1,1
"OTT","2018-10-08","2018020032","20182019","BOS","0",4.73,0,0,0,1,0,1,0,0,1,2,3,-1
"OTT","2018-10-10","2018020042","20182019","PHI","1",9.55,1,0,0,1,1,0,0,0,-1,3,7,-4
"OTT","2018-10-13","2018020059","20182019","L.A","1",1.8,0,0,0,0,0,0,0,0,0,0,2,-2
"OTT","2018-10-15","2018020076","20182019","DAL","1",4,1,0,0,0,0,0,0,0,0,3,1,2
"OTT","2018-10-20","2018020107","20182019","MTL","1",7.63,2,0,4,0,0,0,0,0,0,7,3,4
"OTT","2018-10-23","2018020125","20182019","BOS","1",9.53,1,1,0,3,0,0,0,0,0,10,3,7
"OTT","2018-10-26","2018020147","20182019","COL","0",4,0,0,0,2,0,0,0,0,0,2,0,2
"OTT","2018-10-28","2018020163","20182019","VGK","0",2.67,0,0,0,0,0,0,0,0,0,1,0,1
"OTT","2018-10-30","2018020175","20182019","ARI","0",8,1,0,1,1,0,0,0,0,0,3,4,-1
"OTT","2018-11-01","2018020183","20182019","BUF","1",9.08,2,1,1,2,0,0,0,0,0,5,3,2
"OTT","2018-11-03","2018020195","20182019","BUF","0",2,0,0,0,0,0,0,0,0,0,0,4,-4
"OTT","2018-11-04","2018020207","20182019","T.B","1",2.95,0,0,0,1,0,0,0,0,0,4,0,4
"OTT","2018-11-06","2018020218","20182019","N.J","1",7.12,3,0,1,1,0,0,0,0,0,2,3,-1
"OTT","2018-11-08","2018020231","20182019","VGK","1",4,1,0,0,0,0,0,0,0,0,2,2,0
"OTT","2018-11-10","2018020247","20182019","T.B","0",4.15,0,0,0,0,0,0,0,0,0,5,1,4
"OTT","2018-11-11","2018020254","20182019","FLA","0",9.55,0,0,2,1,0,0,0,0,0,2,8,-6
"OTT","2018-11-15","2018020281","20182019","DET","1",8.43,3,1,0,0,0,1,0,0,1,3,7,-4
"OTT","2018-11-17","2018020295","20182019","PIT","1",6,1,0,0,0,0,0,0,0,0,3,5,-2
"OTT","2018-11-19","2018020312","20182019","FLA","1",7.77,4,0,2,2,0,1,0,0,1,2,4,-2
"OTT","2018-11-21","2018020327","20182019","MIN","0",8,2,1,1,1,0,0,0,0,0,6,2,4
"OTT","2018-11-23","2018020344","20182019","DAL","0",2.33,0,0,0,1,0,0,0,0,0,2,2,0
"OTT","2018-11-26","2018020365","20182019","NYR","0",4,1,1,1,1,0,0,0,0,0,3,1,2
"OTT","2018-11-27","2018020368","20182019","PHI","0",6,1,1,0,1,0,0,0,0,0,3,3,0
"OTT","2018-11-29","2018020384","20182019","NYR","1",2,0,1,1,1,0,0,0,0,0,1,0,1
"OTT","2018-12-01","2018020395","20182019","S.J","1",3.03,1,0,0,0,0,0,0,0,0,2,4,-2
"OTT","2018-12-04","2018020421","20182019","MTL","0",5.95,0,0,0,1,0,0,0,0,0,4,2,2
"OTT","2018-12-06","2018020433","20182019","MTL","1",0.38,0,0,0,0,0,0,0,0,0,0,1,-1
"OTT","2018-12-08","2018020447","20182019","PIT","1",8.37,2,0,1,2,0,0,0,0,0,5,4,1
"OTT","2018-12-09","2018020456","20182019","BOS","1",3.73,4,0,0,0,0,1,0,0,1,3,1,2
"OTT","2018-12-11","2018020471","20182019","NSH","0",6,2,1,0,1,0,0,0,0,0,3,4,-1
"OTT","2018-12-14","2018020490","20182019","DET","0",3.87,1,0,0,0,0,0,0,0,0,1,2,-1
"OTT","2018-12-15","2018020496","20182019","MTL","0",3.2,0,0,0,0,1,1,0,0,0,2,0,2
"OTT","2018-12-17","2018020515","20182019","NSH","1",5.37,2,0,0,0,0,0,0,0,0,4,3,1
"OTT","2018-12-21","2018020542","20182019","N.J","0",8.47,1,0,0,0,0,0,0,0,0,3,4,-1
"OTT","2018-12-22","2018020553","20182019","WSH","1",2.42,0,0,0,0,1,0,0,0,-1,2,0,2
"OTT","2018-12-28","2018020581","20182019","NYI","0",0.7,1,0,0,0,2,1,1,1,-1,1,1,0
"OTT","2018-12-29","2018020589","20182019","WSH","1",2,0,0,0,0,0,0,0,0,0,1,0,1
"OTT","2018-12-31","2018020604","20182019","CBJ","0",5.25,0,0,0,2,0,0,0,0,0,4,2,2
"OTT","2019-01-02","2018020615","20182019","VAN","1",4.1,1,0,0,0,0,0,0,0,0,1,2,-1
"OTT","2019-01-05","2018020637","20182019","MIN","1",1.97,1,0,0,0,1,0,0,0,-1,0,1,-1
"OTT","2019-01-06","2018020647","20182019","CAR","1",7.83,4,0,1,2,0,0,0,0,0,3,2,1
"OTT","2019-01-09","2018020670","20182019","ANA","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2019-01-10","2018020682","20182019","L.A","0",2.17,0,0,0,2,0,0,0,0,0,2,1,1
"OTT","2019-01-12","2018020697","20182019","S.J","0",6,3,0,0,2,0,0,0,0,0,3,3,0
"OTT","2019-01-16","2018020721","20182019","COL","1",6,3,0,1,2,0,0,0,0,0,2,4,-2
"OTT","2019-01-18","2018020736","20182019","CAR","0",2,0,0,0,1,0,0,0,0,0,2,1,1
"OTT","2019-01-19","2018020745","20182019","STL","0",2,0,1,0,1,0,0,0,0,0,1,0,1
"OTT","2019-01-22","2018020761","20182019","ARI","1",4,3,0,0,0,0,0,0,0,0,2,2,0
"OTT","2019-02-01","2018020784","20182019","PIT","0",2.17,0,1,2,0,0,0,0,0,0,1,3,-2
"OTT","2019-02-02","2018020792","20182019","DET","1",4,1,0,0,1,0,0,0,0,0,1,2,-1
"OTT","2019-02-06","2018020821","20182019","TOR","0",4,2,0,0,1,0,0,0,0,0,2,1,1
"OTT","2019-02-07","2018020829","20182019","ANA","1",2,1,0,0,0,0,0,0,0,0,0,2,-2
"OTT","2019-02-09","2018020843","20182019","WPG","1",0.25,0,0,0,0,0,0,0,0,0,0,1,-1
"OTT","2019-02-12","2018020867","20182019","CAR","1",4,1,0,0,1,0,0,0,0,0,2,3,-1
"OTT","2019-02-14","2018020879","20182019","DET","0",2,0,0,0,0,0,0,0,0,0,0,1,-1
"OTT","2019-02-16","2018020897","20182019","WPG","0",10.37,0,0,0,1,0,2,0,0,2,8,8,0
"OTT","2019-02-18","2018020912","20182019","CHI","0",2.85,0,1,0,0,0,0,0,0,0,1,1,0
