"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"OTT","2016-10-12","2016020001","20162017","TOR","1",8,0,2,3,1,0,0,0,0,0,2,6,-4
"OTT","2016-10-15","2016020018","20162017","MTL","1",7.83,0,0,3,4,0,0,0,0,0,2,4,-2
"OTT","2016-10-17","2016020035","20162017","DET","0",5.67,0,0,1,1,0,0,0,0,0,4,2,2
"OTT","2016-10-18","2016020041","20162017","ARI","1",8.97,2,1,1,1,2,1,0,0,-1,7,5,2
"OTT","2016-10-22","2016020066","20162017","T.B","1",3.87,1,0,0,0,0,0,0,0,0,2,3,-1
"OTT","2016-10-25","2016020091","20162017","VAN","0",0.1,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2016-10-28","2016020110","20162017","CGY","0",4,1,1,0,0,0,0,0,0,0,1,2,-1
"OTT","2016-10-30","2016020129","20162017","EDM","0",8,2,1,2,0,0,0,0,0,0,4,5,-1
"OTT","2016-11-01","2016020135","20162017","CAR","1",4.72,2,0,1,1,0,0,0,0,0,2,3,-1
"OTT","2016-11-03","2016020150","20162017","VAN","1",4,0,0,1,2,0,0,0,0,0,1,4,-3
"OTT","2016-11-05","2016020165","20162017","BUF","1",2,0,0,0,0,0,0,0,0,0,1,1,0
"OTT","2016-11-08","2016020190","20162017","NSH","0",4.55,0,1,1,0,0,1,0,0,1,2,2,0
"OTT","2016-11-09","2016020194","20162017","BUF","0",4,1,0,0,0,0,0,0,0,0,2,2,0
"OTT","2016-11-11","2016020208","20162017","L.A","1",4,0,0,1,0,0,0,0,0,0,2,2,0
"OTT","2016-11-13","2016020225","20162017","MIN","1",6,1,1,3,2,0,0,0,0,0,2,6,-4
"OTT","2016-11-15","2016020230","20162017","PHI","0",8,3,1,0,0,0,0,0,0,0,5,7,-2
"OTT","2016-11-17","2016020248","20162017","NSH","1",6.13,0,1,1,0,1,2,0,0,1,4,3,1
"OTT","2016-11-19","2016020265","20162017","FLA","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2016-11-22","2016020285","20162017","MTL","0",10.9,4,2,2,3,0,0,0,0,0,7,11,-4
"OTT","2016-11-24","2016020301","20162017","BOS","1",1.88,0,0,0,0,0,0,0,0,0,2,0,2
"OTT","2016-11-26","2016020314","20162017","CAR","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2016-11-27","2016020326","20162017","NYR","0",7.83,0,1,1,0,0,0,0,0,0,1,5,-4
"OTT","2016-11-29","2016020333","20162017","BUF","1",5.98,0,0,0,0,0,0,0,0,0,4,2,2
"OTT","2016-12-01","2016020349","20162017","PHI","1",6.63,0,2,2,1,1,2,0,0,1,5,4,1
"OTT","2016-12-03","2016020363","20162017","FLA","1",6.35,3,1,1,1,0,0,0,0,0,5,4,1
"OTT","2016-12-05","2016020379","20162017","PIT","0",8,0,1,1,2,0,0,0,0,0,3,4,-1
"OTT","2016-12-07","2016020394","20162017","S.J","0",10.32,1,5,1,0,0,1,0,0,1,4,5,-1
"OTT","2016-12-10","2016020412","20162017","L.A","0",6.88,2,2,3,1,0,0,0,0,0,3,2,1
"OTT","2016-12-11","2016020421","20162017","ANA","0",2.78,0,1,1,0,0,0,0,0,0,3,1,2
"OTT","2016-12-14","2016020441","20162017","S.J","1",14.53,1,3,3,0,0,2,0,0,2,10,9,1
"OTT","2016-12-17","2016020463","20162017","N.J","1",2,0,0,0,0,0,0,0,0,0,1,0,1
"OTT","2016-12-18","2016020473","20162017","NYI","0",5.95,1,2,2,0,0,0,0,0,0,1,5,-4
"OTT","2016-12-20","2016020489","20162017","CHI","0",4.97,0,0,0,0,0,0,0,0,0,2,3,-1
"OTT","2016-12-22","2016020499","20162017","ANA","1",6.72,0,4,0,0,0,0,0,0,0,5,4,1
"OTT","2016-12-27","2016020519","20162017","NYR","0",6.07,1,0,0,0,0,0,0,0,0,3,2,1
"OTT","2016-12-29","2016020534","20162017","DET","1",9.17,2,1,0,1,0,1,0,0,1,6,6,0
"OTT","2017-01-01","2016020560","20162017","WSH","0",4,0,1,0,1,0,0,0,0,0,2,1,1
"OTT","2017-01-07","2016020595","20162017","WSH","1",4,0,0,1,1,0,0,0,0,0,2,2,0
"OTT","2017-01-08","2016020606","20162017","EDM","1",2,1,0,1,0,0,0,0,0,0,1,0,1
"OTT","2017-01-12","2016020625","20162017","PIT","1",6,0,1,0,1,0,0,0,0,0,3,4,-1
"OTT","2017-01-14","2016020643","20162017","TOR","1",0.87,0,0,0,0,0,0,0,0,0,1,0,1
"OTT","2017-01-17","2016020666","20162017","STL","0",2.87,0,1,0,0,0,0,0,0,0,1,2,-1
"OTT","2017-01-19","2016020678","20162017","CBJ","0",4.63,0,0,0,0,1,0,0,0,-1,3,2,1
"OTT","2017-01-21","2016020693","20162017","TOR","0",7.48,2,2,2,1,0,0,0,0,0,5,3,2
"OTT","2017-01-22","2016020704","20162017","CBJ","1",4.52,1,0,0,0,0,0,0,0,0,4,3,1
"OTT","2017-01-24","2016020719","20162017","WSH","1",9.78,1,1,1,0,0,1,0,0,1,7,5,2
"OTT","2017-01-26","2016020733","20162017","CGY","1",4,0,0,2,0,0,0,0,0,0,1,2,-1
"OTT","2017-01-31","2016020748","20162017","FLA","0",4.3,0,1,1,0,1,2,0,0,1,3,1,2
"OTT","2017-02-02","2016020760","20162017","T.B","0",6,0,0,0,1,0,0,0,0,0,2,6,-4
"OTT","2017-02-04","2016020775","20162017","BUF","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"OTT","2017-02-07","2016020795","20162017","STL","1",5.13,1,0,1,0,0,0,0,0,0,1,2,-1
"OTT","2017-02-09","2016020809","20162017","DAL","1",9.8,1,1,1,0,0,0,1,1,0,5,7,-2
"OTT","2017-02-11","2016020816","20162017","NYI","1",4,0,2,1,2,0,0,0,0,0,2,1,1
"OTT","2017-02-14","2016020839","20162017","BUF","1",4,1,0,2,0,0,0,0,0,0,5,0,5
"OTT","2017-02-16","2016020848","20162017","N.J","0",2,0,1,1,1,0,0,0,0,0,2,0,2
"OTT","2017-02-18","2016020861","20162017","TOR","0",6.88,0,1,2,1,0,0,0,0,0,4,3,1
"OTT","2017-02-19","2016020871","20162017","WPG","1",0.45,0,0,0,0,0,1,0,0,1,1,1,0
"OTT","2017-02-21","2016020882","20162017","N.J","0",0.7,0,0,0,0,0,0,0,0,0,1,1,0
"OTT","2017-02-24","2016020902","20162017","CAR","0",4,0,0,1,0,0,0,0,0,0,4,1,3
"OTT","2017-02-26","2016020916","20162017","FLA","0",8.67,0,0,2,0,0,0,0,0,0,5,13,-8
"OTT","2017-02-27","2016020920","20162017","T.B","0",2.63,1,0,1,0,0,0,0,0,0,3,3,0
"OTT","2017-03-02","2016020942","20162017","COL","1",2.35,0,0,1,0,0,0,0,0,0,1,2,-1
"OTT","2017-03-04","2016020954","20162017","CBJ","1",6.92,1,0,0,1,0,0,0,0,0,3,5,-2
"OTT","2017-03-06","2016020970","20162017","BOS","1",0.47,0,0,0,0,0,0,0,0,0,1,0,1
"OTT","2017-03-08","2016020983","20162017","DAL","0",6.12,1,0,1,0,0,0,0,0,0,4,4,0
"OTT","2017-03-09","2016020991","20162017","ARI","0",7.4,0,0,1,0,0,1,0,0,1,5,2,3
"OTT","2017-03-11","2016021006","20162017","COL","0",8.33,0,0,0,1,0,0,0,0,0,3,6,-3
"OTT","2017-03-14","2016021028","20162017","T.B","1",2,0,0,0,1,0,0,0,0,0,2,1,1
"OTT","2017-03-16","2016021042","20162017","CHI","1",6.57,1,0,1,0,0,1,0,0,1,3,2,1
"OTT","2017-03-18","2016021056","20162017","MTL","1",2.75,1,1,0,1,0,1,0,0,1,2,2,0
"OTT","2017-03-19","2016021068","20162017","MTL","0",5.47,2,1,2,1,0,0,0,0,0,3,2,1
"OTT","2017-03-21","2016021075","20162017","BOS","0",6.72,0,0,1,0,0,0,0,0,0,3,5,-2
"OTT","2017-03-23","2016021093","20162017","PIT","1",5.7,1,0,2,1,0,0,0,0,0,4,1,3
"OTT","2017-03-25","2016021108","20162017","MTL","0",5.82,5,0,1,0,0,0,0,0,0,1,4,-3
"OTT","2017-03-28","2016021128","20162017","PHI","0",5.53,0,0,1,0,0,1,0,0,1,2,4,-2
"OTT","2017-03-30","2016021147","20162017","MIN","0",3.93,0,1,0,0,0,0,0,0,0,2,1,1
"OTT","2017-04-01","2016021163","20162017","WPG","0",2.62,2,0,0,0,0,0,0,0,0,0,1,-1
"OTT","2017-04-03","2016021177","20162017","DET","0",2.82,0,0,2,0,0,0,0,0,0,1,1,0
"OTT","2017-04-04","2016021183","20162017","DET","1",1.05,0,0,0,0,0,1,0,0,1,0,1,-1
"OTT","2017-04-06","2016021194","20162017","BOS","0",1.3,1,0,0,0,0,0,0,0,0,0,1,-1
"OTT","2017-04-08","2016021207","20162017","NYR","1",4,1,0,0,1,0,0,0,0,0,3,1,2
