"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PHI","2015-10-08","2015020007","20152016","T.B","0",50.83,33.33,36.59,40,47.5,33.84,1,2,15,26,24,36,38,42,1.07,2.09,-1,-11,-12,-4,-1.02
"PHI","2015-10-10","2015020020","20152016","FLA","0",45.5,0,54,56.67,57.14,54.97,0,4,27,23,34,26,44,33,1.8,1.47,-4,4,8,11,0.32
"PHI","2015-10-12","2015020035","20152016","FLA","1",41.05,100,51.06,43.94,43.18,59.7,1,0,24,23,29,37,38,50,2.59,1.75,1,1,-8,-12,0.84
"PHI","2015-10-14","2015020047","20152016","CHI","1",43.63,100,53.49,50,48.89,59.83,2,0,23,20,31,31,44,46,3.33,2.24,2,3,0,-2,1.1
"PHI","2015-10-20","2015020082","20152016","DAL","1",47.87,33.33,45.1,45.07,43.16,38.87,1,2,23,28,32,39,41,54,1.69,2.66,-1,-5,-7,-13,-0.97
"PHI","2015-10-21","2015020089","20152016","BOS","0",51.83,66.67,57.38,60.27,55.56,60.6,4,2,35,26,44,29,50,40,2.09,1.36,2,9,15,10,0.73
"PHI","2015-10-24","2015020110","20152016","NYR","1",55.07,66.67,54.43,53.06,51.59,48.93,2,1,43,36,52,46,65,61,3.33,3.48,1,7,6,4,-0.15
"PHI","2015-10-27","2015020126","20152016","BUF","1",54.68,40,40.68,41.46,42.5,39.73,2,3,24,35,34,48,51,69,1.78,2.71,-1,-11,-14,-18,-0.92
"PHI","2015-10-29","2015020138","20152016","N.J","1",46.22,50,44.19,47.22,52.04,44.81,1,1,19,24,34,38,51,47,1.78,2.2,0,-5,-4,4,-0.41
"PHI","2015-10-30","2015020145","20152016","BUF","0",42.47,33.33,47.62,45.45,51.35,40.97,1,2,20,22,25,30,38,36,1.45,2.08,-1,-2,-5,2,-0.64
"PHI","2015-11-02","2015020171","20152016","VAN","0",52.83,25,42.86,44.78,50,38.23,1,3,24,32,30,37,41,41,1.42,2.3,-2,-8,-7,0,-0.88
"PHI","2015-11-03","2015020179","20152016","EDM","0",47.73,50,39.22,41.43,38.14,33.77,2,2,20,31,29,41,37,60,1.34,2.62,0,-11,-12,-23,-1.29
"PHI","2015-11-05","2015020190","20152016","CGY","0",52.55,33.33,44.23,53.12,59.14,28.15,1,2,23,29,34,30,55,38,0.93,2.38,-1,-6,4,17,-1.44
"PHI","2015-11-07","2015020205","20152016","WPG","0",42.4,0,34.48,35.42,33.85,44.74,0,0,10,19,17,31,22,43,1.15,1.43,0,-9,-14,-21,-0.27
"PHI","2015-11-10","2015020218","20152016","COL","1",54.7,0,40,46.25,50.98,40.8,0,3,24,36,37,43,52,50,1.48,2.15,-3,-12,-6,2,-0.67
"PHI","2015-11-12","2015020232","20152016","WSH","1",48.22,25,39.53,49.21,48.28,34.58,1,3,17,26,31,32,42,45,1.33,2.51,-2,-9,-1,-3,-1.18
"PHI","2015-11-14","2015020253","20152016","CAR","0",55.92,75,47.22,58.21,59.8,49.32,3,1,17,19,39,28,61,41,1.73,1.78,2,-2,11,20,-0.05
"PHI","2015-11-17","2015020269","20152016","L.A","1",53,100,43.08,43.37,43.69,52.31,1,0,28,37,36,47,45,58,2.53,2.3,1,-9,-11,-13,0.22
"PHI","2015-11-19","2015020279","20152016","S.J","1",52.88,0,59.57,55.07,58.25,57.25,0,1,28,19,38,31,60,43,1.64,1.23,-1,9,7,17,0.42
"PHI","2015-11-21","2015020294","20152016","OTT","0",45.47,0,46.3,52.7,58.88,40.29,0,4,25,29,39,35,63,44,1.46,2.16,-4,-4,4,19,-0.7
"PHI","2015-11-23","2015020310","20152016","CAR","1",48.17,0,46.3,49.32,49,41.88,0,2,25,29,36,37,49,51,1.93,2.69,-2,-4,-1,-2,-0.75
"PHI","2015-11-25","2015020319","20152016","NYI","0",49.05,0,32.5,37.74,43.33,32.69,0,1,13,27,20,33,39,51,1.07,2.2,-1,-14,-13,-12,-1.13
"PHI","2015-11-27","2015020331","20152016","NSH","1",55.48,66.67,54.24,50.65,52.94,55.02,2,1,32,27,39,38,54,48,2.11,1.72,1,5,1,6,0.38
"PHI","2015-11-28","2015020342","20152016","NYR","0",50.03,100,62.22,55.93,52.38,71.27,2,0,28,17,33,26,44,40,2.54,1.02,2,11,7,4,1.52
"PHI","2015-12-01","2015020361","20152016","OTT","0",47.32,50,50,58.33,54.22,57.41,2,2,23,23,35,25,45,38,1.95,1.45,0,0,10,7,0.5
"PHI","2015-12-04","2015020382","20152016","N.J","0",52.58,50,57.58,59.57,55.74,74.36,2,2,19,14,28,19,34,27,2.02,0.7,0,5,9,7,1.32
"PHI","2015-12-05","2015020394","20152016","CBJ","1",50.93,25,48.15,44.44,44.66,47.98,1,3,26,28,32,40,46,57,1.83,1.98,-2,-2,-8,-11,-0.15
"PHI","2015-12-08","2015020408","20152016","NYI","1",59,50,63.08,63.04,61.29,63.03,2,2,41,24,58,34,76,48,3.84,2.25,0,17,24,28,1.59
"PHI","2015-12-10","2015020424","20152016","STL","0",52.98,75,44.83,49.28,47.92,46.81,3,1,26,32,34,35,46,50,1.56,1.77,2,-6,-1,-4,-0.21
"PHI","2015-12-11","2015020431","20152016","DAL","0",44.02,0,34.62,35.14,36.63,27.9,0,2,18,34,26,48,37,64,1.26,3.26,-2,-16,-22,-27,-2
"PHI","2015-12-15","2015020456","20152016","CAR","1",50.3,66.67,53.19,50.79,52.63,47.28,4,2,25,22,32,31,50,45,1.27,1.41,2,3,1,5,-0.15
"PHI","2015-12-17","2015020468","20152016","VAN","1",46.2,100,42,46.48,41.76,58.59,1,0,21,29,33,38,38,53,1.92,1.36,1,-8,-5,-15,0.56
"PHI","2015-12-19","2015020488","20152016","CBJ","0",50.07,100,54,50.7,57.73,44.71,2,0,27,23,36,35,56,41,2.04,2.53,2,4,1,15,-0.48
"PHI","2015-12-21","2015020500","20152016","STL","1",50.48,50,48.98,50,51.52,52.01,2,2,24,25,33,33,51,48,1.87,1.73,0,-1,0,3,0.14
"PHI","2015-12-27","2015020533","20152016","ANA","0",45.62,50,34.78,33.33,34.78,41.31,1,1,16,30,19,38,24,45,1.08,1.54,0,-14,-19,-21,-0.45
"PHI","2015-12-30","2015020555","20152016","S.J","0",45.12,66.67,43.24,49.06,59.46,45.11,2,1,16,21,26,27,44,30,1.38,1.68,1,-5,-1,14,-0.3
"PHI","2016-01-02","2015020569","20152016","L.A","0",46.8,0,41.46,42.11,48.15,43.93,0,1,17,24,24,33,39,42,1.13,1.44,-1,-7,-9,-3,-0.31
"PHI","2016-01-05","2015020591","20152016","MTL","1",45.32,60,64.1,53.45,45.78,60.44,3,2,25,14,31,27,38,45,2.12,1.38,1,11,4,-7,0.73
"PHI","2016-01-07","2015020603","20152016","MIN","0",57.85,57.14,53.23,58.89,56.19,48.55,4,3,33,29,53,37,59,46,2.69,2.85,1,4,16,13,-0.16
"PHI","2016-01-09","2015020615","20152016","NYI","1",49.03,100,61.36,57.81,58.43,65.7,4,0,27,17,37,27,52,37,1.89,0.99,4,10,10,15,0.9
"PHI","2016-01-13","2015020643","20152016","BOS","1",48.78,75,42.22,49.23,53.33,48.39,3,1,19,26,32,33,48,42,2.21,2.35,2,-7,-1,6,-0.15
"PHI","2016-01-16","2015020660","20152016","NYR","1",53.17,50,54.9,54.67,60.71,61.71,1,1,28,23,41,34,68,44,2.97,1.84,0,5,7,24,1.13
"PHI","2016-01-17","2015020675","20152016","DET","0",49.45,50,43.59,37.29,37.18,36.75,1,1,17,22,22,37,29,49,1.05,1.81,0,-5,-15,-20,-0.76
"PHI","2016-01-19","2015020684","20152016","TOR","1",47.87,33.33,49.12,55.7,52.88,54.58,1,2,28,29,44,35,55,49,2.73,2.27,-1,-1,9,6,0.46
"PHI","2016-01-21","2015020695","20152016","PIT","0",46.13,0,34.48,36.49,35,23.46,0,2,20,38,27,47,35,65,1.13,3.68,-2,-18,-20,-30,-2.55
"PHI","2016-04-10","2015020716","20152016","NYI","0",50.82,50,61.76,61.7,58.46,54.28,2,2,21,13,29,18,38,27,1.1,0.93,0,8,11,11,0.17
