"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PHI","2018-10-04","2018020014","20182019","VGK","0",47.22,80,51.35,46,42.65,51.53,4,1,19,18,23,27,29,39,2.32,2.18,3,1,-4,-10,0.14
"PHI","2018-10-06","2018020026","20182019","COL","0",46.08,40,51.85,53.62,50,42.66,2,3,28,26,37,32,50,50,1.86,2.49,-1,2,5,0,-0.64
"PHI","2018-10-09","2018020036","20182019","S.J","1",41.33,0,40,39.02,40.43,30.96,0,5,24,36,32,50,38,56,1.83,4.08,-5,-12,-18,-18,-2.25
"PHI","2018-10-10","2018020042","20182019","OTT","0",38.58,80,50,50,48.75,42.62,4,1,20,20,29,29,39,41,1.66,2.23,3,0,0,-2,-0.57
"PHI","2018-10-13","2018020058","20182019","VGK","1",48.47,0,55.26,49.15,47.67,50.55,0,1,21,17,29,30,41,45,2.02,1.98,-1,4,-1,-4,0.04
"PHI","2018-10-16","2018020080","20182019","FLA","1",56.63,55.56,50,43.08,45.45,51.82,5,4,23,23,28,37,40,48,1.66,1.54,1,0,-9,-8,0.12
"PHI","2018-10-18","2018020092","20182019","CBJ","0",52,33.33,51.85,48.05,50.54,52.11,3,6,28,26,37,40,47,46,2.4,2.2,-3,2,-3,1,0.19
"PHI","2018-10-20","2018020102","20182019","N.J","1",45.47,100,48.39,53.7,58.23,57.02,2,0,15,16,29,25,46,33,1.45,1.09,2,-1,4,13,0.36
"PHI","2018-10-22","2018020118","20182019","COL","1",49.98,33.33,52.94,58.82,60.82,59.3,1,2,27,24,40,28,59,38,2.41,1.65,-1,3,12,21,0.76
"PHI","2018-10-25","2018020134","20182019","BOS","0",44.63,0,54.29,57.14,53.52,59.91,0,1,19,16,28,21,38,33,1.22,0.82,-1,3,7,5,0.4
"PHI","2018-10-27","2018020149","20182019","NYI","1",49.12,16.67,59.46,57.41,55.81,48.14,1,5,22,15,31,23,48,38,1.36,1.46,-4,7,8,10,-0.1
"PHI","2018-10-30","2018020176","20182019","ANA","0",46.32,66.67,62.22,55.38,50.52,72.5,2,1,28,17,36,29,49,48,2.92,1.11,1,11,7,1,1.81
"PHI","2018-11-01","2018020190","20182019","L.A","0",50.07,80,56.25,54.17,52.87,53.56,4,1,27,21,39,33,46,41,2.27,1.96,3,6,6,5,0.3
"PHI","2018-11-03","2018020206","20182019","S.J","0",49.6,50,44.44,46.88,42.68,41.46,3,3,20,25,30,34,35,47,1.56,2.2,0,-5,-4,-12,-0.64
"PHI","2018-11-05","2018020214","20182019","ARI","0",47.23,75,42.59,37.14,36.89,41.67,3,1,23,31,26,44,38,65,1.78,2.49,2,-8,-18,-27,-0.71
"PHI","2018-11-08","2018020229","20182019","ARI","1",50.15,83.33,50.88,57.89,59.43,70.39,5,1,29,28,44,32,63,43,3.26,1.37,4,1,12,20,1.89
"PHI","2018-11-10","2018020243","20182019","CHI","1",48.82,100,39.13,44.12,41.84,46.22,2,0,18,28,30,38,41,57,1.81,2.11,2,-10,-8,-16,-0.3
"PHI","2018-11-13","2018020267","20182019","FLA","1",52.22,50,50,61.84,62.04,56.05,1,1,26,26,47,29,67,41,2.29,1.8,0,0,18,26,0.5
"PHI","2018-11-15","2018020278","20182019","N.J","1",47.28,0,51.11,60.56,57.73,59.94,0,2,23,22,43,28,56,41,2.52,1.68,-2,1,15,15,0.84
"PHI","2018-11-17","2018020293","20182019","T.B","1",51.1,40,59.62,51.95,50,59.44,2,3,31,21,40,37,54,54,3.13,2.14,-1,10,3,0,0.99
"PHI","2018-11-21","2018020318","20182019","BUF","0",51.77,40,59.46,59.62,58.21,63.85,2,3,22,15,31,21,39,28,1.71,0.97,-1,7,10,11,0.74
"PHI","2018-11-23","2018020332","20182019","NYR","1",51.82,100,60.87,61.36,63.48,73.82,3,0,42,27,54,34,73,42,4.84,1.72,3,15,20,31,3.12
"PHI","2018-11-24","2018020348","20182019","TOR","0",60,0,45.33,48.48,46.03,32.17,0,6,34,41,48,51,58,68,1.39,2.93,-6,-7,-3,-10,-1.54
"PHI","2018-11-27","2018020368","20182019","OTT","1",52.72,33.33,58.49,64.38,62.24,55.79,2,4,31,22,47,26,61,37,2.43,1.93,-2,9,21,24,0.5
"PHI","2018-12-01","2018020402","20182019","PIT","0",50.9,50,40,40,40.91,38.01,2,2,20,30,24,36,36,52,1.39,2.28,0,-10,-12,-16,-0.88
"PHI","2018-12-06","2018020431","20182019","CBJ","1",43.72,42.86,48.84,52.54,53.57,44.06,3,4,21,22,31,28,45,39,1.46,1.85,-1,-1,3,6,-0.39
"PHI","2018-12-08","2018020444","20182019","BUF","0",53.35,71.43,51.67,48,47.31,50.38,5,2,31,29,36,39,44,49,1.91,1.88,3,2,-3,-5,0.03
