"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PHI","2017-10-04","2017020004","20172018","S.J","0",4.28,100,80,80,84.62,93.25,3,0,8,2,8,2,11,2,1.16,0.08,3,6,6,9,1.08
"PHI","2017-10-05","2017020012","20172018","L.A","0",10,0,100,100,100,100,0,0,8,0,15,0,18,0,1.24,0,0,8,15,18,1.24
"PHI","2017-10-07","2017020029","20172018","ANA","0",8.52,0,80,84.62,84.21,89.49,0,1,8,2,11,2,16,3,1,0.12,-1,6,9,13,0.89
"PHI","2017-10-10","2017020042","20172018","NSH","0",6.95,100,100,100,100,100,2,0,6,0,8,0,13,0,0.88,0,2,6,8,13,0.88
"PHI","2017-10-14","2017020066","20172018","WSH","1",1.53,100,100,100,100,100,1,0,1,0,1,0,1,0,0.15,0,1,1,1,1,0.15
"PHI","2017-10-17","2017020083","20172018","FLA","1",7.35,100,93.33,94.74,95.24,98.86,1,0,14,1,18,1,20,1,1.85,0.02,1,13,17,19,1.83
"PHI","2017-10-19","2017020097","20172018","NSH","1",6.5,0,100,100,100,100,0,0,7,0,10,0,15,0,0.77,0,0,7,10,15,0.77
"PHI","2017-10-21","2017020111","20172018","EDM","1",2.6,100,100,100,100,100,1,0,3,0,4,0,6,0,0.27,0,1,3,4,6,0.27
"PHI","2017-10-24","2017020127","20172018","ANA","1",10.68,0,90.91,94.12,90.48,97.81,0,0,10,1,16,1,19,2,1.83,0.04,0,9,15,17,1.79
"PHI","2017-10-26","2017020143","20172018","OTT","0",4,0,87.5,88.89,90,92.52,0,1,7,1,8,1,9,1,0.84,0.07,-1,6,7,8,0.78
"PHI","2017-10-28","2017020157","20172018","TOR","0",1.3,100,100,100,100,100,1,0,3,0,3,0,3,0,0.32,0,1,3,3,3,0.32
"PHI","2017-10-30","2017020171","20172018","ARI","1",0.47,100,100,100,100,100,1,0,2,0,3,0,3,0,0.15,0,1,2,3,3,0.15
"PHI","2017-11-01","2017020181","20172018","CHI","0",6,0,88.89,90.91,87.5,97.3,0,0,8,1,10,1,14,2,1.01,0.03,0,7,9,12,0.98
"PHI","2017-11-02","2017020191","20172018","STL","0",4,0,0,100,100,100,0,0,0,0,3,0,3,0,0.25,0,0,0,3,3,0.25
"PHI","2017-11-04","2017020204","20172018","COL","1",10.62,50,81.82,87.5,91.67,96.58,1,1,9,2,14,2,22,2,1.32,0.05,0,7,12,20,1.28
"PHI","2017-11-09","2017020236","20172018","CHI","1",4,0,100,100,100,100,0,0,6,0,6,0,7,0,0.35,0,0,6,6,7,0.35
"PHI","2017-11-11","2017020255","20172018","MIN","1",6,0,80,85.71,92.31,81.81,0,0,4,1,6,1,12,1,0.34,0.07,0,3,5,11,0.26
"PHI","2017-11-14","2017020271","20172018","MIN","0",4,0,100,100,100,100,0,0,2,0,6,0,6,0,0.31,0,0,2,6,6,0.31
"PHI","2017-11-16","2017020284","20172018","WPG","0",6.75,100,100,100,100,100,1,0,9,0,9,0,16,0,0.79,0,1,9,9,16,0.79
"PHI","2017-11-18","2017020292","20172018","CGY","1",3.92,100,100,100,100,100,1,0,7,0,8,0,8,0,0.77,0,1,7,8,8,0.77
"PHI","2017-11-21","2017020316","20172018","VAN","1",4,0,66.67,71.43,77.78,81.06,0,0,4,2,5,2,7,2,0.52,0.12,0,2,3,5,0.4
"PHI","2017-11-22","2017020323","20172018","NYI","0",2.65,100,83.33,85.71,87.5,99.19,1,0,5,1,6,1,7,1,0.52,0,1,4,5,6,0.51
"PHI","2017-11-24","2017020335","20172018","NYI","1",2,0,50,50,85.71,59.99,0,0,1,1,1,1,6,1,0.1,0.06,0,0,0,5,0.03
"PHI","2017-11-27","2017020363","20172018","PIT","0",5.03,100,100,88.89,91.67,87.17,1,0,7,0,8,1,11,1,0.48,0.07,1,7,7,10,0.41
"PHI","2017-11-28","2017020370","20172018","S.J","1",1.83,0,100,100,100,100,0,0,2,0,3,0,4,0,0.4,0,0,2,3,4,0.4
"PHI","2017-12-02","2017020396","20172018","BOS","1",8.95,0,77.78,75,81.25,74.15,0,0,7,2,9,3,13,3,0.46,0.16,0,5,6,10,0.3
"PHI","2017-12-04","2017020415","20172018","CGY","0",7.17,100,42.86,45.45,57.14,68.67,1,0,3,4,5,6,8,6,0.77,0.35,1,-1,-1,2,0.42
"PHI","2017-12-06","2017020428","20172018","EDM","0",7.08,50,75,78.57,80.95,77.8,1,1,9,3,11,3,17,4,1.51,0.43,0,6,8,13,1.08
"PHI","2017-12-07","2017020436","20172018","VAN","0",9.38,100,80,86.67,80,98.75,2,0,8,2,13,2,16,4,0.95,0.01,2,6,11,12,0.94
"PHI","2017-12-12","2017020468","20172018","TOR","1",2,0,100,100,100,100,0,0,1,0,2,0,2,0,0.42,0,0,1,2,2,0.42
"PHI","2017-12-14","2017020480","20172018","BUF","1",4,0,85.71,87.5,90,79.03,0,0,6,1,7,1,9,1,0.54,0.14,0,5,6,8,0.39
"PHI","2017-12-16","2017020500","20172018","DAL","1",7.9,100,85.71,87.5,90,81.27,2,0,12,2,14,2,18,2,1.09,0.25,2,10,12,16,0.84
"PHI","2017-12-18","2017020513","20172018","L.A","1",8.37,100,81.25,84.21,85.71,92.95,1,0,13,3,16,3,18,3,1.62,0.12,1,10,13,15,1.49
"PHI","2017-12-20","2017020527","20172018","DET","1",0.75,100,100,100,100,100,1,0,1,0,1,0,2,0,0.24,0,1,1,1,2,0.24
"PHI","2017-12-22","2017020539","20172018","BUF","0",8.27,0,85.71,88.89,90.91,90.18,0,0,6,1,8,1,10,1,0.43,0.05,0,5,7,9,0.39
"PHI","2017-12-23","2017020551","20172018","CBJ","0",5.22,0,25,42.86,50,55.04,0,0,1,3,3,4,4,4,0.29,0.24,0,-2,-1,0,0.05
"PHI","2017-12-28","2017020571","20172018","FLA","0",7.97,0,85.71,92.31,94.44,88.49,0,1,6,1,12,1,17,1,0.83,0.11,-1,5,11,16,0.73
"PHI","2017-12-29","2017020579","20172018","T.B","0",9.53,66.67,92.86,94.74,95.83,86.9,2,1,13,1,18,1,23,1,1.13,0.17,1,12,17,22,0.96
"PHI","2018-01-02","2017020604","20172018","PIT","1",8,0,83.33,90,92.86,90.14,0,0,5,1,9,1,13,1,0.8,0.09,0,4,8,12,0.71
"PHI","2018-01-04","2017020618","20172018","NYI","1",6.35,100,100,100,88.89,100,2,0,5,0,7,0,8,1,0.62,0,2,5,7,7,0.62
"PHI","2018-01-06","2017020633","20172018","STL","1",6.55,100,70,66.67,71.43,85.83,1,0,7,3,8,4,10,4,0.75,0.12,1,4,4,6,0.63
"PHI","2018-01-07","2017020643","20172018","BUF","1",4.35,100,100,100,100,100,1,0,4,0,5,0,9,0,0.87,0,1,4,5,9,0.87
"PHI","2018-01-13","2017020673","20172018","N.J","0",2.78,100,100,100,100,100,2,0,4,0,4,0,5,0,0.37,0,2,4,4,5,0.37
"PHI","2018-01-16","2017020689","20172018","NYR","0",6,0,60,55.56,60,39.74,0,1,3,2,5,4,6,4,0.39,0.58,-1,1,1,2,-0.2
"PHI","2018-01-18","2017020698","20172018","TOR","1",4,0,66.67,72.73,81.25,75.85,0,0,4,2,8,3,13,3,1.17,0.37,0,2,5,10,0.79
"PHI","2018-01-20","2017020709","20172018","N.J","1",7.65,0,85.71,90,88.24,99.35,0,0,6,1,9,1,15,2,0.57,0,0,5,8,13,0.57
"PHI","2018-01-21","2017020721","20172018","WSH","0",5.68,0,100,100,100,100,0,0,5,0,8,0,9,0,0.81,0,0,5,8,9,0.81
"PHI","2018-01-23","2017020735","20172018","DET","0",2.2,100,83.33,83.33,83.33,83.11,1,0,5,1,5,1,5,1,0.61,0.12,1,4,4,4,0.49
"PHI","2018-01-25","2017020747","20172018","T.B","1",7.22,0,84.62,86.67,88.24,77.45,0,1,11,2,13,2,15,2,0.82,0.24,-1,9,11,13,0.58
"PHI","2018-01-31","2017020775","20172018","WSH","0",2,0,100,75,75,79.81,0,0,3,0,3,1,3,1,0.39,0.1,0,3,2,2,0.3
"PHI","2018-02-01","2017020778","20172018","N.J","0",3.83,100,100,100,100,100,2,0,5,0,5,0,5,0,0.51,0,2,5,5,5,0.51
"PHI","2018-02-03","2017020793","20172018","OTT","1",6,0,100,100,100,100,0,0,2,0,4,0,9,0,0.32,0,0,2,4,9,0.32
"PHI","2018-02-06","2017020814","20172018","CAR","0",10,0,80,84.62,82.35,93.36,0,0,4,1,11,2,14,3,1.27,0.09,0,3,9,11,1.18
"PHI","2018-02-08","2017020828","20172018","MTL","1",5.98,66.67,80,83.33,78.57,87.48,2,1,8,2,10,2,11,3,1.17,0.17,1,6,8,8,1
"PHI","2018-02-10","2017020850","20172018","ARI","0",3.42,100,100,100,100,100,2,0,6,0,6,0,6,0,0.66,0,2,6,6,6,0.66
"PHI","2018-02-11","2017020859","20172018","VGK","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHI","2018-02-13","2017020867","20172018","N.J","1",7.52,100,57.14,66.67,70.59,95.5,1,0,4,3,6,3,12,5,0.76,0.04,1,1,3,7,0.72
