"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PHI","2017-10-04","2017020004","20172018","S.J","0",8.12,0,22.22,30,18.75,29.75,0,2,2,7,3,7,3,13,0.22,0.53,-2,-5,-4,-10,-0.3
"PHI","2017-10-05","2017020012","20172018","L.A","0",8.43,0,27.27,21.43,15.79,3.73,0,0,3,8,3,11,3,16,0.04,0.94,0,-5,-8,-13,-0.91
"PHI","2017-10-07","2017020029","20172018","ANA","0",2.55,0,100,20,33.33,4.73,0,0,1,0,1,4,2,4,0.01,0.18,0,1,-3,-2,-0.18
"PHI","2017-10-10","2017020042","20172018","NSH","0",2.37,0,0,0,0,0,0,2,0,3,0,3,0,4,0,0.41,-2,-3,-3,-4,-0.41
"PHI","2017-10-14","2017020066","20172018","WSH","1",3.2,100,50,42.86,33.33,64.85,1,0,3,3,3,4,3,6,0.31,0.17,1,0,-1,-3,0.14
"PHI","2017-10-17","2017020083","20172018","FLA","1",10.35,0,29.41,23.81,17.86,3.45,0,1,5,12,5,16,5,23,0.05,1.45,-1,-7,-11,-18,-1.4
"PHI","2017-10-19","2017020097","20172018","NSH","1",2.5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.06,0,0,-1,-2,-0.06
"PHI","2017-10-21","2017020111","20172018","EDM","1",4,0,25,20,11.11,1.89,0,0,1,3,1,4,1,8,0,0.22,0,-2,-3,-7,-0.21
"PHI","2017-10-24","2017020127","20172018","ANA","1",4.78,0,33.33,22.22,18.18,22.59,0,1,2,4,2,7,2,9,0.17,0.58,-1,-2,-5,-7,-0.41
"PHI","2017-10-26","2017020143","20172018","OTT","0",3.92,0,20,16.67,22.22,2.18,0,1,1,4,1,5,2,7,0.01,0.55,-1,-3,-4,-5,-0.53
"PHI","2017-10-28","2017020157","20172018","TOR","0",5.57,0,42.86,36.36,33.33,7.9,0,0,3,4,4,7,4,8,0.05,0.55,0,-1,-3,-4,-0.51
"PHI","2017-10-30","2017020171","20172018","ARI","1",5.65,0,14.29,25,14.29,17.16,0,1,1,6,2,6,2,12,0.14,0.67,-1,-5,-4,-10,-0.53
"PHI","2017-11-01","2017020181","20172018","CHI","0",6.1,0,0,0,0,0,0,1,0,5,0,6,0,9,0,1.03,-1,-5,-6,-9,-1.03
"PHI","2017-11-02","2017020191","20172018","STL","0",4,0,0,0,0,0,0,0,0,3,0,7,0,13,0,0.48,0,-3,-7,-13,-0.48
"PHI","2017-11-04","2017020204","20172018","COL","1",3.13,0,0,0,0,0,0,2,0,4,0,6,0,7,0,0.61,-2,-4,-6,-7,-0.61
"PHI","2017-11-09","2017020236","20172018","CHI","1",6.27,0,50,28.57,22.22,28.49,0,0,2,2,2,5,2,7,0.15,0.37,0,0,-3,-5,-0.23
"PHI","2017-11-11","2017020255","20172018","MIN","1",6,0,14.29,30,21.43,11.3,0,0,1,6,3,7,3,11,0.09,0.69,0,-5,-4,-8,-0.6
"PHI","2017-11-14","2017020271","20172018","MIN","0",2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.1,0,-2,-2,-2,-0.1
"PHI","2017-11-16","2017020284","20172018","WPG","0",10.62,0,14.29,18.18,14.29,5.42,0,1,1,6,2,9,2,12,0.04,0.65,-1,-5,-7,-10,-0.61
"PHI","2017-11-18","2017020292","20172018","CGY","1",6.17,0,16.67,14.29,10,13.87,0,3,2,10,2,12,2,18,0.22,1.37,-3,-8,-10,-16,-1.15
"PHI","2017-11-21","2017020316","20172018","VAN","1",4.58,0,20,14.29,11.11,4.22,0,2,1,4,1,6,1,8,0.04,0.89,-2,-3,-5,-7,-0.85
"PHI","2017-11-22","2017020323","20172018","NYI","0",7.85,0,22.22,22.22,15.38,17.39,0,2,2,7,2,7,2,11,0.15,0.7,-2,-5,-5,-9,-0.55
"PHI","2017-11-24","2017020335","20172018","NYI","1",5.5,0,16.67,12.5,9.09,10.53,0,1,1,5,1,7,1,10,0.13,1.08,-1,-4,-6,-9,-0.95
"PHI","2017-11-27","2017020363","20172018","PIT","0",6.83,0,20,14.29,18.75,15.38,0,1,2,8,2,12,3,13,0.27,1.51,-1,-6,-10,-10,-1.24
"PHI","2017-11-28","2017020370","20172018","S.J","1",6.52,0,42.86,33.33,30.77,21.72,0,1,3,4,3,6,4,9,0.28,0.99,-1,-1,-3,-5,-0.72
"PHI","2017-12-02","2017020396","20172018","BOS","1",2.95,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0.12,0,-1,-2,-4,-0.12
"PHI","2017-12-04","2017020415","20172018","CGY","0",4,0,0,14.29,10,2.75,0,0,0,5,1,6,1,9,0.01,0.42,0,-5,-5,-8,-0.41
"PHI","2017-12-06","2017020428","20172018","EDM","0",4,0,0,0,25,0,0,0,0,1,0,2,1,3,0,0.15,0,-1,-2,-2,-0.15
"PHI","2017-12-07","2017020436","20172018","VAN","0",4,0,0,0,0,0,0,0,0,10,0,11,0,11,0,0.99,0,-10,-11,-11,-0.99
"PHI","2017-12-12","2017020468","20172018","TOR","1",0.65,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.09,-1,-1,-1,-1,-0.09
"PHI","2017-12-14","2017020480","20172018","BUF","1",2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0.11,0,-1,-2,-2,-0.11
"PHI","2017-12-16","2017020500","20172018","DAL","1",2,0,0,0,0,0,0,0,0,2,0,3,0,5,0,0.29,0,-2,-3,-5,-0.29
"PHI","2017-12-18","2017020513","20172018","L.A","1",4,0,100,33.33,33.33,2.78,0,0,1,0,1,2,1,2,0,0.12,0,1,-1,-1,-0.12
"PHI","2017-12-20","2017020527","20172018","DET","1",3.97,0,0,0,0,0,0,2,0,5,0,6,0,8,0,0.58,-2,-5,-6,-8,-0.58
"PHI","2017-12-22","2017020539","20172018","BUF","0",4,0,40,28.57,22.22,7.59,0,0,2,3,2,5,2,7,0.03,0.34,0,-1,-3,-5,-0.31
"PHI","2017-12-23","2017020551","20172018","CBJ","0",3.85,0,33.33,33.33,16.67,4.5,0,1,1,2,1,2,1,5,0,0.08,-1,-1,-1,-4,-0.08
"PHI","2017-12-28","2017020571","20172018","FLA","0",6.65,0,0,0,0,0,0,0,0,7,0,11,0,17,0,1.37,0,-7,-11,-17,-1.37
"PHI","2017-12-29","2017020579","20172018","T.B","0",4.2,0,0,0,0,0,0,1,0,2,0,3,0,8,0,0.28,-1,-2,-3,-8,-0.28
"PHI","2018-01-02","2017020604","20172018","PIT","1",2.22,0,0,0,0,0,0,2,0,5,0,6,0,7,0,0.85,-2,-5,-6,-7,-0.85
