"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"PHI","2016-10-14","2016020016","20162017","L.A","0",50.47,11,1,28,30,2,2,0,0,0,18,35,-17
"PHI","2016-10-15","2016020028","20162017","ARI","0",46.15,1,1,20,28,4,1,0,0,-3,23,15,8
"PHI","2016-10-18","2016020045","20162017","CHI","0",48.75,10,9,29,17,2,2,0,0,0,24,24,0
"PHI","2016-10-20","2016020052","20162017","ANA","1",42.37,4,2,22,24,2,6,0,0,4,13,16,-3
"PHI","2016-10-22","2016020070","20162017","CAR","1",45.75,9,2,13,19,4,4,0,0,0,27,22,5
"PHI","2016-10-24","2016020081","20162017","MTL","0",50.5,10,3,37,30,3,0,0,0,-3,26,29,-3
"PHI","2016-10-25","2016020085","20162017","BUF","1",54.63,9,5,20,26,3,4,0,0,1,31,27,4
"PHI","2016-10-27","2016020099","20162017","ARI","1",38.65,9,3,19,16,3,4,1,1,1,14,14,0
"PHI","2016-10-29","2016020117","20162017","PIT","1",49.78,8,6,23,18,2,2,0,0,0,31,28,3
"PHI","2016-10-30","2016020125","20162017","CAR","0",51.93,3,3,21,22,1,2,0,0,1,20,33,-13
"PHI","2016-11-02","2016020144","20162017","DET","1",57.33,8,1,21,16,2,2,1,1,0,20,24,-4
"PHI","2016-11-03","2016020147","20162017","NYI","0",51.17,4,7,13,28,3,6,0,0,3,30,20,10
"PHI","2016-11-05","2016020164","20162017","MTL","0",44.95,11,6,34,24,3,2,0,0,-1,20,23,-3
"PHI","2016-11-08","2016020185","20162017","DET","1",56.48,7,4,28,27,3,0,1,1,-3,29,17,12
"PHI","2016-11-11","2016020207","20162017","TOR","0",50.7,10,11,30,29,3,2,0,0,-1,18,23,-5
"PHI","2016-11-12","2016020216","20162017","MIN","1",50.35,5,6,33,26,2,3,0,0,1,23,25,-2
"PHI","2016-11-15","2016020230","20162017","OTT","1",52.48,12,6,26,38,2,1,0,0,-1,30,26,4
"PHI","2016-11-17","2016020246","20162017","WPG","1",54.7,9,9,32,32,0,1,0,0,1,24,23,1
"PHI","2016-11-19","2016020260","20162017","T.B","1",46.15,6,4,27,27,2,3,1,1,1,19,19,0
"PHI","2016-11-22","2016020286","20162017","FLA","0",48.93,2,0,15,16,3,1,0,0,-2,24,22,2
"PHI","2016-11-23","2016020294","20162017","T.B","0",39.53,4,4,21,17,5,3,0,0,-2,24,29,-5
"PHI","2016-11-25","2016020302","20162017","NYR","1",53.97,9,5,26,37,3,1,2,2,-2,31,29,2
"PHI","2016-11-27","2016020327","20162017","CGY","1",46.93,9,3,22,31,2,7,0,0,5,32,24,8
"PHI","2016-11-29","2016020331","20162017","BOS","1",49.37,10,3,26,30,4,6,0,0,2,23,30,-7
"PHI","2016-12-01","2016020349","20162017","OTT","0",53.15,7,7,24,30,2,5,0,0,3,27,30,-3
"PHI","2016-12-03","2016020361","20162017","CHI","1",50.62,5,1,26,23,0,2,0,0,2,24,21,3
"PHI","2016-12-04","2016020373","20162017","NSH","0",46.25,2,5,15,26,2,4,0,0,2,23,29,-6
"PHI","2016-12-06","2016020385","20162017","FLA","1",55.62,9,10,26,34,2,3,0,0,1,31,25,6
"PHI","2016-12-08","2016020397","20162017","EDM","1",44.77,7,4,28,29,4,3,0,0,-1,27,18,9
"PHI","2016-12-10","2016020411","20162017","DAL","1",43.32,7,2,22,35,4,5,2,2,1,33,22,11
"PHI","2016-12-11","2016020422","20162017","DET","0",44.73,2,1,12,12,5,4,1,1,-1,20,21,-1
"PHI","2016-12-14","2016020444","20162017","COL","0",49.67,1,3,12,19,1,3,1,1,2,22,31,-9
"PHI","2016-12-17","2016020460","20162017","DAL","0",55.33,14,1,19,28,0,1,1,1,1,27,24,3
"PHI","2016-12-19","2016020476","20162017","NSH","1",56.3,8,5,25,38,2,1,0,0,-1,27,22,5
"PHI","2016-12-21","2016020493","20162017","WSH","1",58.93,13,11,41,27,1,3,0,0,2,26,22,4
"PHI","2016-12-22","2016020496","20162017","N.J","0",47.93,3,3,15,17,10,5,2,2,-5,23,17,6
"PHI","2016-12-28","2016020530","20162017","STL","0",45.17,1,3,27,27,5,4,0,0,-1,39,23,16
"PHI","2016-12-30","2016020547","20162017","S.J","0",48.87,13,1,22,10,0,2,0,0,2,25,23,2
"PHI","2017-01-01","2016020561","20162017","ANA","0",52.65,7,5,26,25,3,6,1,1,3,24,24,0
"PHI","2017-01-04","2016020573","20162017","NYR","1",53.78,8,4,34,27,1,2,0,0,1,35,18,17
"PHI","2017-01-07","2016020592","20162017","T.B","1",47.95,3,7,23,27,2,2,0,0,0,25,18,7
"PHI","2017-01-08","2016020605","20162017","CBJ","0",55.78,3,7,11,22,1,1,1,1,0,20,23,-3
"PHI","2017-01-10","2016020613","20162017","BUF","0",51.4,7,3,10,17,2,2,1,1,0,36,19,17
"PHI","2017-01-12","2016020624","20162017","VAN","1",43.53,10,4,29,20,4,4,0,0,0,27,27,0
"PHI","2017-01-14","2016020640","20162017","BOS","0",44.22,8,6,17,14,4,4,1,0,-1,20,25,-5
"PHI","2017-01-15","2016020652","20162017","WSH","0",46.07,4,3,24,26,1,3,0,0,2,14,16,-2
"PHI","2017-01-21","2016020696","20162017","N.J","1",37.08,5,2,27,21,7,6,1,1,-1,27,22,5
"PHI","2017-01-22","2016020705","20162017","NYI","0",53.78,12,10,12,23,1,2,0,0,1,23,29,-6
"PHI","2017-01-25","2016020725","20162017","NYR","0",48.48,8,5,17,16,3,1,0,0,-2,22,16,6
"PHI","2017-01-26","2016020731","20162017","TOR","1",50.35,7,3,26,27,3,1,0,0,-2,31,17,14
"PHI","2017-01-31","2016020744","20162017","CAR","0",44.13,12,7,22,18,5,3,0,0,-2,19,22,-3
"PHI","2017-02-02","2016020759","20162017","MTL","1",51.08,12,6,30,16,0,2,0,0,2,22,18,4
"PHI","2017-02-04","2016020772","20162017","L.A","1",56.6,13,2,34,35,0,2,0,0,2,25,25,0
"PHI","2017-02-06","2016020789","20162017","STL","1",47.32,5,1,23,31,4,5,0,0,1,25,13,12
"PHI","2017-02-09","2016020805","20162017","NYI","1",52.4,10,1,31,18,3,3,0,0,0,15,21,-6
"PHI","2017-02-11","2016020817","20162017","S.J","1",50.05,7,6,25,33,3,3,0,0,0,22,22,0
"PHI","2017-02-15","2016020845","20162017","CGY","0",45.97,4,5,15,19,1,2,1,2,2,33,27,6
"PHI","2017-02-16","2016020853","20162017","EDM","0",55.43,7,5,24,32,1,4,1,1,3,32,34,-2
"PHI","2017-02-19","2016020879","20162017","VAN","0",46.8,3,2,25,16,3,3,0,0,0,25,27,-2
"PHI","2017-02-22","2016020892","20162017","WSH","1",52.5,12,6,33,31,4,5,0,0,1,37,20,17
"PHI","2017-02-25","2016020908","20162017","PIT","0",44.17,2,2,36,46,6,5,0,0,-1,28,16,12
"PHI","2017-02-28","2016020925","20162017","COL","1",49.48,11,7,19,36,4,2,1,1,-2,19,18,1
"PHI","2017-03-02","2016020938","20162017","FLA","1",54.08,12,9,27,26,4,5,0,0,1,25,21,4
"PHI","2017-03-04","2016020957","20162017","WSH","0",44.12,5,3,23,25,4,7,0,0,3,15,20,-5
"PHI","2017-03-07","2016020973","20162017","BUF","0",49.33,3,3,11,22,2,3,1,1,1,23,19,4
"PHI","2017-03-09","2016020986","20162017","TOR","0",52.1,9,5,15,12,2,2,0,0,0,33,24,9
"PHI","2017-03-11","2016021000","20162017","BOS","0",52.08,8,14,27,25,3,1,1,1,-2,23,29,-6
"PHI","2017-03-13","2016021018","20162017","CBJ","1",40.07,10,1,20,18,4,8,0,0,4,23,20,3
"PHI","2017-03-15","2016021033","20162017","PIT","1",49.65,10,3,28,36,2,4,0,0,2,26,17,9
"PHI","2017-03-16","2016021037","20162017","N.J","0",50.73,5,5,18,17,2,3,0,0,1,23,22,1
"PHI","2017-03-19","2016021066","20162017","CAR","1",51.87,6,10,29,29,2,2,0,0,0,21,26,-5
"PHI","2017-03-21","2016021083","20162017","WPG","0",43.77,8,3,13,21,7,5,0,0,-2,22,18,4
"PHI","2017-03-23","2016021097","20162017","MIN","0",54.52,5,1,10,8,0,1,0,0,1,28,18,10
"PHI","2017-03-25","2016021105","20162017","CBJ","0",48.88,1,3,14,9,4,5,1,1,1,19,24,-5
"PHI","2017-03-26","2016021117","20162017","PIT","0",53.7,0,1,35,26,2,1,1,1,-1,31,19,12
"PHI","2017-03-28","2016021128","20162017","OTT","1",56.03,8,6,23,30,1,2,1,1,1,21,21,0
"PHI","2017-03-30","2016021142","20162017","NYI","1",52.32,14,4,41,43,4,4,3,3,0,30,29,1
"PHI","2017-04-01","2016021161","20162017","N.J","1",46.58,5,2,24,21,5,5,1,2,1,38,13,25
"PHI","2017-04-02","2016021173","20162017","NYR","0",47.22,8,4,17,16,4,1,0,0,-3,18,17,1
"PHI","2017-04-04","2016021180","20162017","N.J","0",43.83,5,3,22,17,3,3,0,0,0,21,13,8
"PHI","2017-04-08","2016021208","20162017","CBJ","1",50.22,9,5,23,29,2,4,1,1,2,21,13,8
"PHI","2017-04-09","2016021227","20162017","CAR","1",57.22,10,10,14,19,3,1,0,0,-2,19,23,-4
"PHI","Total","-","20162017","-","-",49.54,593,365,1907,2008,227,250,31,32,24,2034,1828,206
