"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"PHI","2016-10-14","2016020016","20162017","L.A","0",4,0,1,1,0,0,0,0,0,0,1,2,-1
"PHI","2016-10-15","2016020028","20162017","ARI","0",9.4,0,0,1,2,0,2,0,0,2,3,7,-4
"PHI","2016-10-18","2016020045","20162017","CHI","0",4.17,1,0,1,1,0,0,0,0,0,2,1,1
"PHI","2016-10-20","2016020052","20162017","ANA","1",4,1,0,0,0,0,0,0,0,0,1,4,-3
"PHI","2016-10-22","2016020070","20162017","CAR","1",7.95,0,1,0,0,0,0,0,0,0,1,4,-3
"PHI","2016-10-24","2016020081","20162017","MTL","0",6.07,2,1,1,0,0,0,0,0,0,5,3,2
"PHI","2016-10-25","2016020085","20162017","BUF","1",5.52,2,0,0,1,0,0,0,0,0,3,2,1
"PHI","2016-10-27","2016020099","20162017","ARI","1",6.72,3,0,3,1,0,2,0,0,2,4,2,2
"PHI","2016-10-29","2016020117","20162017","PIT","1",2.2,0,0,0,0,0,0,0,0,0,2,1,1
"PHI","2016-10-30","2016020125","20162017","CAR","0",2.67,1,0,0,1,0,0,0,0,0,4,1,3
"PHI","2016-11-02","2016020144","20162017","DET","1",2,0,0,1,0,0,0,0,0,0,1,1,0
"PHI","2016-11-03","2016020147","20162017","NYI","0",4.05,1,1,1,0,1,0,0,0,-1,1,6,-5
"PHI","2016-11-05","2016020164","20162017","MTL","0",5.82,1,1,1,0,0,0,0,0,0,5,1,4
"PHI","2016-11-08","2016020185","20162017","DET","1",6,2,0,1,0,0,0,0,0,0,3,4,-1
"PHI","2016-11-11","2016020207","20162017","TOR","0",7.1,0,1,1,0,1,0,0,0,-1,4,6,-2
"PHI","2016-11-12","2016020216","20162017","MIN","1",4,0,0,2,0,0,0,0,0,0,0,2,-2
"PHI","2016-11-15","2016020230","20162017","OTT","1",4,2,0,0,0,0,0,0,0,0,3,1,2
"PHI","2016-11-17","2016020246","20162017","WPG","1",2,1,1,0,0,0,0,0,0,0,2,1,1
"PHI","2016-11-19","2016020260","20162017","T.B","1",3.32,0,1,2,0,0,0,0,0,0,1,1,0
"PHI","2016-11-22","2016020286","20162017","FLA","0",7.27,0,0,2,1,1,2,0,0,1,6,4,2
"PHI","2016-11-23","2016020294","20162017","T.B","0",12.27,1,2,3,0,0,0,0,0,0,10,4,6
"PHI","2016-11-25","2016020302","20162017","NYR","1",4,1,1,4,0,0,0,0,0,0,1,1,0
"PHI","2016-11-27","2016020327","20162017","CGY","1",0.93,0,0,0,0,0,0,0,0,0,1,1,0
"PHI","2016-11-29","2016020331","20162017","BOS","1",6.83,1,0,2,0,0,1,0,0,1,2,4,-2
"PHI","2016-12-01","2016020349","20162017","OTT","0",0.88,0,0,0,0,0,0,0,0,0,0,2,-2
"PHI","2016-12-03","2016020361","20162017","CHI","1",1.97,1,1,0,1,0,0,0,0,0,1,0,1
"PHI","2016-12-04","2016020373","20162017","NSH","0",4,0,0,2,0,0,0,0,0,0,1,4,-3
"PHI","2016-12-06","2016020385","20162017","FLA","1",3.18,0,0,1,0,0,0,0,0,0,1,3,-2
"PHI","2016-12-08","2016020397","20162017","EDM","1",5.82,0,0,0,1,0,1,0,0,1,2,3,-1
"PHI","2016-12-10","2016020411","20162017","DAL","1",8,0,1,4,0,0,0,0,0,0,4,4,0
"PHI","2016-12-11","2016020422","20162017","DET","0",10,0,0,2,0,0,0,0,0,0,4,12,-8
"PHI","2016-12-14","2016020444","20162017","COL","0",4.43,2,0,0,0,0,0,0,0,0,4,0,4
"PHI","2016-12-17","2016020460","20162017","DAL","0",2,1,0,0,0,0,0,0,0,0,0,2,-2
"PHI","2016-12-19","2016020476","20162017","NSH","1",4,1,0,1,0,0,0,0,0,0,0,2,-2
"PHI","2016-12-21","2016020493","20162017","WSH","1",2,0,1,0,0,0,0,0,0,0,2,1,1
"PHI","2016-12-22","2016020496","20162017","N.J","0",9.33,0,1,2,0,0,0,0,0,0,5,6,-1
"PHI","2016-12-28","2016020530","20162017","STL","0",6.22,1,2,0,1,0,0,0,0,0,3,5,-2
"PHI","2016-12-30","2016020547","20162017","S.J","0",5.6,1,1,0,0,0,0,0,0,0,2,3,-1
"PHI","2017-01-01","2016020561","20162017","ANA","0",4,1,0,0,0,0,0,0,0,0,2,0,2
"PHI","2017-01-04","2016020573","20162017","NYR","1",0.95,0,2,0,0,0,0,0,0,0,0,2,-2
"PHI","2017-01-07","2016020592","20162017","T.B","1",4,0,0,1,0,0,0,0,0,0,1,1,0
"PHI","2017-01-08","2016020605","20162017","CBJ","0",4,1,0,0,1,0,0,0,0,0,1,1,0
"PHI","2017-01-10","2016020613","20162017","BUF","0",3.3,0,0,0,0,0,0,0,0,0,1,2,-1
"PHI","2017-01-12","2016020624","20162017","VAN","1",14.42,2,2,6,1,2,0,0,0,-2,4,8,-4
"PHI","2017-01-14","2016020640","20162017","BOS","0",9.75,2,2,3,0,1,0,0,0,-1,4,3,1
"PHI","2017-01-15","2016020652","20162017","WSH","0",3.7,1,0,0,0,0,0,0,0,0,0,2,-2
"PHI","2017-01-21","2016020696","20162017","N.J","1",10.92,2,1,5,2,0,0,0,0,0,4,5,-1
"PHI","2017-01-22","2016020705","20162017","NYI","0",4,1,0,0,0,0,0,0,0,0,1,1,0
"PHI","2017-01-25","2016020725","20162017","NYR","0",6,0,0,0,1,0,0,0,0,0,4,3,1
"PHI","2017-01-26","2016020731","20162017","TOR","1",6,1,0,0,2,0,0,0,0,0,2,2,0
"PHI","2017-01-31","2016020744","20162017","CAR","0",7.97,0,1,3,2,0,1,0,0,1,3,6,-3
"PHI","2017-02-02","2016020759","20162017","MTL","1",2,0,0,2,1,0,0,0,0,0,1,0,1
"PHI","2017-02-04","2016020772","20162017","L.A","1",2.95,1,0,1,0,0,0,0,0,0,1,1,0
"PHI","2017-02-06","2016020789","20162017","STL","1",4,0,0,2,0,0,0,0,0,0,0,3,-3
"PHI","2017-02-09","2016020805","20162017","NYI","1",1.68,0,0,0,0,0,0,0,0,0,1,1,0
"PHI","2017-02-11","2016020817","20162017","S.J","1",4.93,2,0,0,0,0,0,0,0,0,1,3,-2
"PHI","2017-02-15","2016020845","20162017","CGY","0",4,0,2,0,0,0,0,0,0,0,1,1,0
"PHI","2017-02-16","2016020853","20162017","EDM","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHI","2017-02-19","2016020879","20162017","VAN","0",8,0,1,2,1,0,0,0,0,0,2,3,-1
"PHI","2017-02-22","2016020892","20162017","WSH","1",3.18,0,0,1,0,0,0,0,0,0,1,1,0
"PHI","2017-02-25","2016020908","20162017","PIT","0",9.6,1,0,2,0,0,0,0,0,0,5,6,-1
"PHI","2017-02-28","2016020925","20162017","COL","1",7.97,0,2,3,2,0,0,0,0,0,3,4,-1
"PHI","2017-03-02","2016020938","20162017","FLA","1",4,1,1,2,0,0,0,0,0,0,0,5,-5
"PHI","2017-03-04","2016020957","20162017","WSH","0",7.08,0,0,2,2,0,0,0,0,0,3,4,-1
"PHI","2017-03-07","2016020973","20162017","BUF","0",4.3,0,1,2,0,0,0,0,0,0,1,3,-2
"PHI","2017-03-09","2016020986","20162017","TOR","0",1.58,1,0,0,0,0,0,0,0,0,1,1,0
"PHI","2017-03-11","2016021000","20162017","BOS","0",5.53,2,1,1,1,0,0,0,0,0,3,3,0
"PHI","2017-03-13","2016021018","20162017","CBJ","1",3.43,0,0,2,0,0,0,0,0,0,0,2,-2
"PHI","2017-03-15","2016021033","20162017","PIT","1",4,0,0,3,0,0,0,0,0,0,2,1,1
"PHI","2017-03-16","2016021037","20162017","N.J","0",4.95,0,0,0,0,0,0,0,0,0,3,4,-1
"PHI","2017-03-19","2016021066","20162017","CAR","1",3.37,1,1,0,0,0,0,0,0,0,3,0,3
"PHI","2017-03-21","2016021083","20162017","WPG","0",10.17,1,1,3,1,0,0,0,0,0,5,5,0
"PHI","2017-03-23","2016021097","20162017","MIN","0",3,0,0,0,0,0,0,0,0,0,1,2,-1
"PHI","2017-03-25","2016021105","20162017","CBJ","0",4,0,0,1,0,0,0,0,0,0,1,1,0
"PHI","2017-03-26","2016021117","20162017","PIT","0",3.73,0,0,3,0,0,0,0,0,0,2,4,-2
"PHI","2017-03-28","2016021128","20162017","OTT","1",3.38,1,0,1,0,1,1,0,0,0,2,4,-2
"PHI","2017-03-30","2016021142","20162017","NYI","1",4,0,2,1,4,0,0,0,0,0,2,2,0
"PHI","2017-04-01","2016021161","20162017","N.J","1",6.32,0,0,3,0,0,0,0,0,0,5,5,0
"PHI","2017-04-02","2016021173","20162017","NYR","0",6.17,2,1,0,0,0,0,0,0,0,3,2,1
"PHI","2017-04-04","2016021180","20162017","N.J","0",9.17,0,1,5,1,0,0,0,0,0,4,5,-1
"PHI","2017-04-08","2016021208","20162017","CBJ","1",2.38,1,0,0,0,0,0,0,0,0,2,1,1
"PHI","2017-04-09","2016021227","20162017","CAR","1",5.78,1,2,3,1,0,0,0,0,0,4,3,1
"PHI","Total","-","20162017","-","-",5.04,53,42,102,33,7,10,0,0,3,185,227,-42
