"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"PHI","2019-10-04","2019020016","20192020","CHI","1",51.7,10,13,11,120,14,16,18,5,2
"PHI","2019-10-09","2019020045","20192020","N.J","1",45.98,19,11,14,91,22,14,21,7,8
"PHI","2019-10-12","2019020073","20192020","VAN","0",56.72,15,15,12,152,18,18,19,7,6
"PHI","2019-10-15","2019020088","20192020","CGY","0",48.77,9,14,15,126,11,15,26,12,2
"PHI","2019-10-16","2019020095","20192020","EDM","0",48.53,12,24,6,78,13,27,9,2,5
"PHI","2019-10-19","2019020117","20192020","DAL","1",49.53,21,16,5,99,22,16,11,6,8
"PHI","2019-10-21","2019020130","20192020","VGK","1",45.65,9,11,11,98,13,11,18,5,6
"PHI","2019-10-24","2019020151","20192020","CHI","0",51.07,7,15,9,105,9,15,15,6,5
"PHI","2019-10-26","2019020165","20192020","CBJ","1",46.97,10,19,7,95,15,20,11,3,4
"PHI","2019-10-27","2019020173","20192020","NYI","0",47.15,11,17,8,96,12,17,13,4,5
"PHI","2019-10-29","2019020182","20192020","PIT","0",45.85,14,17,8,100,17,19,14,5,4
"PHI","2019-11-01","2019020196","20192020","N.J","0",52.07,22,19,13,90,25,19,18,3,9
"PHI","2019-11-02","2019020209","20192020","TOR","1",55,13,13,6,124,18,13,8,2,10
"PHI","2019-11-05","2019020226","20192020","CAR","1",52.05,8,18,10,96,8,21,16,4,1
"PHI","2019-11-07","2019020240","20192020","MTL","1",49.03,8,10,12,109,11,13,15,3,1
"PHI","2019-11-09","2019020253","20192020","TOR","0",55.43,12,14,15,134,15,14,23,6,5
"PHI","2019-11-10","2019020267","20192020","BOS","0",58.48,17,13,11,140,18,13,16,5,7
"PHI","2019-11-13","2019020283","20192020","WSH","1",51.6,11,15,15,116,12,17,19,2,5
"PHI","2019-11-15","2019020298","20192020","OTT","0",47.02,9,10,12,93,12,11,16,3,4
"PHI","2019-11-16","2019020307","20192020","NYI","1",53.18,8,15,7,104,9,16,13,7,1
