"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"PHI","2018-10-04","2018020014","20182019","VGK","0",7.42,5,0,1,6,6,1,1,0,0
"PHI","2018-10-06","2018020026","20182019","COL","0",5.95,3,0,0,7,4,0,0,0,0
"PHI","2018-10-09","2018020036","20182019","S.J","1",10.33,8,1,0,9,8,1,0,0,0
"PHI","2018-10-10","2018020042","20182019","OTT","0",10.02,8,1,1,10,12,1,1,0,0
"PHI","2018-10-13","2018020058","20182019","VGK","1",4,2,0,0,6,2,0,0,0,0
"PHI","2018-10-16","2018020080","20182019","FLA","1",4,2,0,0,2,4,0,0,0,0
"PHI","2018-10-18","2018020092","20182019","CBJ","0",4,3,0,0,3,6,0,0,0,0
"PHI","2018-10-20","2018020102","20182019","N.J","1",9.42,6,3,0,11,8,4,1,0,0
"PHI","2018-10-22","2018020118","20182019","COL","1",6,5,1,0,9,8,1,0,0,0
"PHI","2018-10-25","2018020134","20182019","BOS","0",5.93,5,1,0,4,7,1,0,0,0
"PHI","2018-10-27","2018020149","20182019","NYI","1",6,3,0,1,8,3,0,1,0,0
"PHI","2018-10-30","2018020176","20182019","ANA","0",7.65,5,0,1,5,5,0,1,1,0
"PHI","2018-11-01","2018020190","20182019","L.A","0",2,1,0,0,1,1,0,0,0,0
"PHI","2018-11-03","2018020206","20182019","S.J","0",6,4,2,0,7,4,2,0,0,0
"PHI","2018-11-05","2018020214","20182019","ARI","0",4.98,4,0,0,4,5,0,0,0,0
"PHI","2018-11-08","2018020229","20182019","ARI","1",8,5,3,0,6,5,4,0,0,0
"PHI","2018-11-10","2018020243","20182019","CHI","1",4.88,3,1,0,6,5,1,0,0,0
"PHI","2018-11-13","2018020267","20182019","FLA","1",2,1,1,1,2,1,1,1,0,0
"PHI","2018-11-15","2018020278","20182019","N.J","1",8,4,0,0,9,6,1,0,0,0
"PHI","2018-11-17","2018020293","20182019","T.B","1",6.02,5,1,0,5,8,1,0,0,0
"PHI","2018-11-21","2018020318","20182019","BUF","0",2,1,1,0,1,1,1,0,0,0
"PHI","2018-11-23","2018020332","20182019","NYR","1",2,1,0,0,3,1,0,0,0,0
"PHI","2018-11-24","2018020348","20182019","TOR","0",0,0,0,0,0,0,0,0,0,0
"PHI","2018-11-27","2018020368","20182019","OTT","1",0,0,0,0,0,0,0,0,0,0
