"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"PHI","2019-10-04","2019020016","20192020","CHI","1",2.28,0,0,1,4,0,1,1,0,0
"PHI","2019-10-09","2019020045","20192020","N.J","1",7.83,0,0,4,21,0,0,4,0,0
"PHI","2019-10-12","2019020073","20192020","VAN","0",3.22,0,0,3,3,0,0,3,0,0
"PHI","2019-10-15","2019020088","20192020","CGY","0",3.75,1,1,4,7,1,2,4,0,0
"PHI","2019-10-16","2019020095","20192020","EDM","0",1.87,0,0,2,1,0,0,2,0,0
"PHI","2019-10-19","2019020117","20192020","DAL","1",1.72,1,0,2,3,1,0,2,0,1
"PHI","2019-10-21","2019020130","20192020","VGK","1",6.58,0,3,5,6,0,3,5,0,0
"PHI","2019-10-24","2019020151","20192020","CHI","0",6.47,0,1,5,12,0,1,5,0,0
"PHI","2019-10-26","2019020165","20192020","CBJ","1",8.37,0,1,5,15,0,2,5,0,0
"PHI","2019-10-27","2019020173","20192020","NYI","0",4,0,0,4,9,0,0,4,0,0
"PHI","2019-10-29","2019020182","20192020","PIT","0",5.4,1,0,4,9,1,0,4,0,1
"PHI","2019-11-01","2019020196","20192020","N.J","0",6.17,0,1,7,9,0,1,7,0,0
"PHI","2019-11-02","2019020209","20192020","TOR","1",2.25,0,1,1,5,0,1,1,0,0
"PHI","2019-11-05","2019020226","20192020","CAR","1",4.15,0,1,5,5,0,1,5,0,0
"PHI","2019-11-07","2019020240","20192020","MTL","1",0,0,0,0,0,0,0,0,0,0
"PHI","2019-11-09","2019020253","20192020","TOR","0",4.13,1,0,4,6,1,0,5,0,0
"PHI","2019-11-10","2019020267","20192020","BOS","0",4.15,0,0,4,8,0,0,4,0,0
"PHI","2019-11-13","2019020283","20192020","WSH","1",5.9,0,1,4,13,0,1,5,0,0
"PHI","2019-11-15","2019020298","20192020","OTT","0",4.13,0,0,2,11,0,0,2,0,0
"PHI","2019-11-16","2019020307","20192020","NYI","1",5.92,0,0,6,7,0,0,6,0,0
"PHI","2019-11-19","2019020319","20192020","FLA","0",6,0,2,1,10,0,2,1,0,0
"PHI","2019-11-21","2019020336","20192020","CAR","0",8.47,1,1,5,12,1,2,6,0,1
"PHI","2019-11-23","2019020349","20192020","CGY","1",6,0,0,3,12,0,0,3,0,0
"PHI","2019-11-25","2019020367","20192020","VAN","1",4.23,0,0,2,7,0,0,2,0,0
"PHI","2019-11-27","2019020384","20192020","CBJ","0",2.2,0,0,2,4,0,0,2,0,0
"PHI","2019-11-29","2019020393","20192020","DET","1",6.22,1,0,7,9,1,0,7,0,0
"PHI","2019-11-30","2019020404","20192020","MTL","0",4.18,0,1,4,8,0,1,4,0,0
"PHI","2019-12-03","2019020428","20192020","TOR","1",2.52,0,0,3,3,0,0,4,0,0
"PHI","2019-12-05","2019020442","20192020","ARI","1",5.02,2,0,4,5,2,1,5,0,1
"PHI","2019-12-07","2019020452","20192020","OTT","1",6.37,0,0,7,13,0,0,7,0,0
"PHI","2019-12-11","2019020486","20192020","COL","0",2.55,0,0,2,6,0,0,2,0,0
"PHI","2019-12-14","2019020510","20192020","MIN","0",8.97,0,1,5,18,0,1,5,0,0
"PHI","2019-12-15","2019020515","20192020","WPG","0",7.13,1,2,3,11,1,2,4,0,0
"PHI","2019-12-17","2019020528","20192020","ANA","1",8.62,0,3,7,17,0,3,8,0,0
"PHI","2019-12-19","2019020540","20192020","BUF","1",3.63,1,0,2,2,1,0,2,0,0
"PHI","2019-12-21","2019020557","20192020","OTT","0",5.7,0,0,6,3,0,0,6,0,0
"PHI","2019-12-23","2019020574","20192020","NYR","1",6.73,0,0,5,10,0,0,6,0,0
"PHI","2019-12-28","2019020601","20192020","S.J","0",2,0,0,1,5,0,0,1,0,0
"PHI","2019-12-29","2019020610","20192020","ANA","0",6.02,0,1,2,8,0,1,3,0,0
"PHI","2019-12-31","2019020625","20192020","L.A","0",3.33,0,1,3,2,0,1,3,0,0
"PHI","2020-01-02","2019020638","20192020","VGK","0",0.27,0,0,1,0,0,0,1,0,0
"PHI","2020-01-04","2019020650","20192020","ARI","0",8.43,0,3,5,14,0,3,5,0,0
"PHI","2020-01-07","2019020668","20192020","CAR","0",2,0,0,1,3,1,0,1,0,0
"PHI","2020-01-08","2019020676","20192020","WSH","1",10,0,1,6,17,0,1,6,0,0
"PHI","2020-01-11","2019020695","20192020","T.B","1",8,0,0,4,14,0,0,4,0,0
"PHI","2020-01-13","2019020711","20192020","BOS","1",3.32,0,0,3,6,0,0,3,0,0
"PHI","2020-01-15","2019020726","20192020","STL","0",9.57,0,0,8,16,0,0,8,0,0
"PHI","2020-01-16","2019020731","20192020","MTL","1",5.22,0,1,3,7,0,1,3,0,0
"PHI","2020-01-18","2019020750","20192020","L.A","1",4,0,0,4,6,0,0,4,0,0
"PHI","2020-01-21","2019020763","20192020","PIT","1",6,0,2,5,9,0,2,6,0,0
"PHI","2020-01-31","2019020786","20192020","PIT","0",2.38,0,0,2,2,0,0,2,0,0
"PHI","2020-02-01","2019020798","20192020","COL","1",3.65,0,1,4,4,0,2,4,0,0
"PHI","2020-02-03","2019020811","20192020","DET","0",2.68,0,2,2,2,0,2,2,0,0
"PHI","2020-02-06","2019020832","20192020","N.J","1",4.32,1,0,4,8,1,0,4,0,0
"PHI","2020-02-08","2019020849","20192020","WSH","0",6.45,0,0,4,5,1,0,4,0,1
"PHI","2020-02-10","2019020861","20192020","FLA","1",9.13,1,1,5,13,1,1,5,0,0
"PHI","2020-02-11","2019020869","20192020","NYI","0",2,0,0,1,6,0,0,1,0,0
"PHI","2020-02-13","2019020883","20192020","FLA","0",2,0,0,1,7,0,0,1,0,0
"PHI","2020-02-15","2019020897","20192020","T.B","0",8.7,0,0,7,12,0,0,8,0,0
"PHI","2020-02-18","2019020920","20192020","CBJ","1",4.47,0,0,3,7,0,1,3,0,0
"PHI","2020-02-20","2019020936","20192020","CBJ","0",4.55,0,2,5,4,0,2,7,0,0
"PHI","2020-02-22","2019020949","20192020","WPG","1",0.92,0,0,1,1,0,0,1,0,0
"PHI","2020-02-25","2019020972","20192020","S.J","1",4,0,2,2,7,0,2,2,0,0
"PHI","2020-02-28","2019020994","20192020","NYR","1",6,0,1,3,6,0,1,3,0,0
"PHI","2020-03-01","2019021011","20192020","NYR","0",7.65,0,2,7,8,0,2,7,0,0
"PHI","2020-03-04","2019021029","20192020","WSH","0",9.53,0,1,5,17,1,1,5,0,1
"PHI","2020-03-05","2019021037","20192020","CAR","1",0,0,0,0,0,0,0,0,0,0
"PHI","2020-03-07","2019021056","20192020","BUF","1",8,0,1,6,8,0,1,7,0,0
"PHI","2020-03-10","2019021073","20192020","BOS","1",5.73,0,1,4,9,0,1,4,0,0
"PHI","Total","-","20192020","-","-",4.97,12,43,252,537,15,50,266,0,6
