"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PIT","2019-10-03","2019020007","20192020","BUF","1",47.47,0,37.25,42.19,42.55,25.89,0,2,19,32,27,37,40,54,0.76,2.18,-2,-13,-10,-14,-1.42
"PIT","2019-10-05","2019020022","20192020","CBJ","1",51.52,75,57.89,57.69,58.59,65.63,6,2,33,24,45,33,58,41,2.39,1.25,4,9,12,17,1.14
"PIT","2019-10-08","2019020038","20192020","WPG","1",56,20,60,64.47,63.44,59.48,1,4,33,22,49,27,59,34,2.78,1.89,-3,11,22,25,0.88
"PIT","2019-10-10","2019020050","20192020","ANA","1",43.43,50,42.55,49.21,50,46,1,1,20,27,31,32,41,41,1.58,1.85,0,-7,-1,0,-0.27
"PIT","2019-10-12","2019020071","20192020","MIN","0",54.02,50,51.72,52.94,48.91,37.75,3,3,30,28,36,32,45,47,1.32,2.17,0,2,4,-2,-0.85
"PIT","2019-10-13","2019020075","20192020","WPG","0",47.42,83.33,46.51,43.64,45.12,54.61,5,1,20,23,24,31,37,45,1.71,1.42,4,-3,-7,-8,0.29
"PIT","2019-10-16","2019020092","20192020","COL","1",54.3,50,49.09,50,47.42,47.73,2,2,27,28,38,38,46,51,1.98,2.16,0,-1,0,-5,-0.19
"PIT","2019-10-18","2019020108","20192020","DAL","1",52.77,60,53.19,57.14,52.22,55.66,3,2,25,22,40,30,47,43,1.92,1.53,1,3,10,4,0.39
"PIT","2019-10-19","2019020118","20192020","VGK","1",47.02,0,55.81,57.41,62.5,53.62,0,0,24,19,31,23,45,27,1.48,1.28,0,5,8,18,0.2
"PIT","2019-10-22","2019020135","20192020","FLA","0",55.32,40,52.27,48.44,50,43.15,2,3,23,21,31,33,42,42,1.55,2.05,-1,2,-2,0,-0.49
"PIT","2019-10-23","2019020144","20192020","T.B","0",47.63,50,43.28,42.5,42.86,45.95,2,2,29,38,34,46,42,56,1.8,2.12,0,-9,-12,-14,-0.32
"PIT","2019-10-26","2019020166","20192020","DAL","0",54.02,100,54.17,57.35,53.85,73.88,2,0,26,22,39,29,56,48,3.38,1.19,2,4,10,8,2.18
"PIT","2019-10-29","2019020182","20192020","PHI","1",45.85,87.5,63.79,60,55.81,62.08,7,1,37,21,42,28,48,38,2.24,1.37,6,16,14,10,0.87
"PIT","2019-11-02","2019020204","20192020","EDM","1",50.28,0,65,64.1,65,53.44,0,2,39,21,50,28,65,35,2.5,2.18,-2,18,22,30,0.32
"PIT","2019-11-04","2019020220","20192020","BOS","0",50.98,44.44,64.52,60.26,60.42,68.29,4,5,40,22,47,31,58,38,3.06,1.42,-1,18,16,20,1.64
"PIT","2019-11-07","2019020239","20192020","NYI","0",56.95,66.67,61.11,63.75,62.26,66.23,4,2,33,21,51,29,66,40,2.47,1.26,2,12,22,26,1.21
"PIT","2019-11-09","2019020257","20192020","CHI","1",56.12,50,50.88,47.89,46.88,54.2,2,2,29,28,34,37,45,51,2.52,2.13,0,1,-3,-6,0.39
