"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PIT","2019-10-03","2019020007","20192020","BUF","1",6.72,100,62.5,70,78.57,70.6,1,0,5,3,7,3,11,3,0.67,0.28,1,2,4,8,0.39
"PIT","2019-10-05","2019020022","20192020","CBJ","1",6.4,100,87.5,88.89,90.91,82.86,1,0,7,1,8,1,10,1,0.82,0.17,1,6,7,9,0.65
"PIT","2019-10-08","2019020038","20192020","WPG","1",4,0,100,100,100,100,0,0,5,0,5,0,6,0,0.57,0,0,5,5,6,0.57
"PIT","2019-10-10","2019020050","20192020","ANA","1",9.15,100,100,100,100,100,1,0,7,0,10,0,13,0,0.88,0,1,7,10,13,0.88
"PIT","2019-10-12","2019020071","20192020","MIN","0",3.58,100,75,60,66.67,96.32,2,0,3,1,3,2,4,2,0.47,0.02,2,2,1,2,0.45
"PIT","2019-10-13","2019020075","20192020","WPG","0",3,100,100,100,100,100,1,0,4,0,5,0,10,0,0.82,0,1,4,5,10,0.82
"PIT","2019-10-16","2019020092","20192020","COL","1",5.17,0,100,88.89,85.71,87.2,0,0,5,0,8,1,12,2,0.8,0.12,0,5,7,10,0.68
"PIT","2019-10-18","2019020108","20192020","DAL","1",4,0,100,100,100,100,0,0,7,0,8,0,10,0,0.86,0,0,7,8,10,0.86
"PIT","2019-10-19","2019020118","20192020","VGK","1",7.07,0,83.33,88.89,84.62,99.46,0,0,5,1,8,1,11,2,0.85,0,0,4,7,9,0.84
"PIT","2019-10-22","2019020135","20192020","FLA","0",2,0,100,100,100,100,0,0,1,0,2,0,2,0,0.13,0,0,1,2,2,0.13
"PIT","2019-10-23","2019020144","20192020","T.B","0",2.08,0,66.67,80,83.33,97.94,0,0,2,1,4,1,5,1,0.24,0.01,0,1,3,4,0.24
"PIT","2019-10-26","2019020166","20192020","DAL","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT","2019-10-29","2019020182","20192020","PHI","1",5.4,0,0,60,60,89.74,0,0,0,1,3,2,3,2,0.26,0.03,0,-1,1,1,0.23
"PIT","2019-11-02","2019020204","20192020","EDM","1",9.17,0,78.57,81.25,83.33,85.84,0,0,11,3,13,3,15,3,1.01,0.17,0,8,10,12,0.84
"PIT","2019-11-04","2019020220","20192020","BOS","0",2,0,100,100,100,100,0,0,1,0,2,0,3,0,0.12,0,0,1,2,3,0.12
"PIT","2019-11-07","2019020239","20192020","NYI","0",4,0,80,83.33,85.71,81.81,0,1,4,1,5,1,6,1,0.48,0.11,-1,3,4,5,0.37
"PIT","2019-11-09","2019020257","20192020","CHI","1",6.28,0,100,66.67,75,83.14,0,0,2,0,2,1,3,1,0.09,0.02,0,2,1,2,0.07
"PIT","2019-11-12","2019020274","20192020","NYR","0",5.5,100,80,83.33,90,98.42,1,0,4,1,5,1,9,1,0.24,0,1,3,4,8,0.23
"PIT","2019-11-15","2019020295","20192020","N.J","0",5.4,0,66.67,57.14,66.67,78.01,0,0,4,2,4,3,6,3,0.53,0.15,0,2,1,3,0.38
"PIT","2019-11-16","2019020308","20192020","TOR","1",1.87,100,100,100,90.91,100,1,0,7,0,8,0,10,1,0.83,0,1,7,8,9,0.83
"PIT","2019-11-19","2019020321","20192020","NYI","1",5.15,100,100,100,100,100,2,0,8,0,8,0,14,0,0.73,0,2,8,8,14,0.73
"PIT","2019-11-21","2019020335","20192020","NYI","0",4.32,0,50,66.67,83.33,61.78,0,0,1,1,2,1,5,1,0.3,0.19,0,0,1,4,0.11
"PIT","2019-11-22","2019020346","20192020","N.J","1",4.53,0,60,66.67,75,71.51,0,0,3,2,4,2,6,2,0.33,0.13,0,1,2,4,0.2
"PIT","2019-11-25","2019020368","20192020","CGY","1",5.98,100,87.5,91.67,91.67,98.13,1,0,7,1,11,1,11,1,0.81,0.02,1,6,10,10,0.8
"PIT","2019-11-27","2019020382","20192020","VAN","1",4.65,100,88.89,90.91,92.86,97.22,2,0,8,1,10,1,13,1,1.74,0.05,2,7,9,12,1.69
"PIT","2019-11-29","2019020400","20192020","CBJ","0",6.58,0,66.67,62.5,72.73,71.58,0,0,4,2,5,3,8,3,0.82,0.32,0,2,2,5,0.49
"PIT","2019-11-30","2019020411","20192020","STL","0",4,0,85.71,87.5,87.5,98.89,0,0,6,1,7,1,7,1,0.59,0.01,0,5,6,6,0.58
"PIT","2019-12-04","2019020435","20192020","STL","1",9.12,0,83.33,88.89,91.67,99.51,0,0,5,1,8,1,11,1,0.69,0,0,4,7,10,0.69
"PIT","2019-12-06","2019020449","20192020","ARI","1",2.18,0,100,100,100,100,0,0,3,0,4,0,5,0,0.68,0,0,3,4,5,0.68
"PIT","2019-12-07","2019020455","20192020","DET","0",2.6,0,100,100,100,100,0,0,1,0,1,0,1,0,0.05,0,0,1,1,1,0.05
"PIT","2019-12-10","2019020474","20192020","MTL","1",2,0,100,100,100,100,0,0,1,0,3,0,4,0,0.19,0,0,1,3,4,0.19
"PIT","2019-12-12","2019020490","20192020","CBJ","1",5.62,100,66.67,80,90,98.51,1,0,2,1,4,1,9,1,0.39,0.01,1,1,3,8,0.38
"PIT","2019-12-14","2019020509","20192020","L.A","1",6.03,100,66.67,75,80,86.04,1,0,4,2,6,2,8,2,0.57,0.09,1,2,4,6,0.47
"PIT","2019-12-17","2019020531","20192020","CGY","0",6,0,100,80,81.82,76.77,0,0,2,0,4,1,9,2,0.39,0.12,0,2,3,7,0.27
"PIT","2019-12-20","2019020551","20192020","EDM","0",1.8,50,75,75,80,58.79,1,1,3,1,3,1,4,1,0.18,0.13,0,2,2,3,0.05
"PIT","2019-12-21","2019020563","20192020","VAN","0",8.05,100,88.89,91.67,93.75,99.73,1,0,8,1,11,1,15,1,1.19,0,1,7,10,14,1.19
"PIT","2019-12-27","2019020586","20192020","NSH","0",2,0,0,0,50,0,0,0,0,0,0,1,1,1,0,0.11,0,0,-1,0,-0.11
"PIT","2019-12-28","2019020596","20192020","NSH","1",4.58,100,100,100,100,100,3,0,4,0,5,0,6,0,0.46,0,3,4,5,6,0.46
"PIT","2019-12-30","2019020612","20192020","OTT","1",0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT","2020-01-02","2019020631","20192020","S.J","1",2.77,0,100,100,100,100,0,0,4,0,5,0,5,0,0.35,0,0,4,5,5,0.35
"PIT","2020-01-04","2019020647","20192020","MTL","0",5.85,0,62.5,75,73.33,65.53,0,0,5,3,9,3,11,4,1.02,0.53,0,2,6,7,0.48
"PIT","2020-01-05","2019020654","20192020","FLA","1",4.43,0,80,75,75,62.6,0,0,4,1,6,2,6,2,0.43,0.25,0,3,4,4,0.17
"PIT","2020-01-07","2019020673","20192020","VGK","0",3.93,100,100,100,100,100,1,0,1,0,1,0,2,0,0.08,0,1,1,1,2,0.08
"PIT","2020-01-10","2019020691","20192020","COL","0",4,0,50,66.67,75,94.6,0,0,1,1,2,1,3,1,0.2,0.01,0,0,1,2,0.19
"PIT","2020-01-12","2019020706","20192020","ARI","0",5.2,100,87.5,90,91.67,99.67,2,0,7,1,9,1,11,1,1,0,2,6,8,10,1
"PIT","2020-01-14","2019020718","20192020","MIN","1",5.27,100,83.33,90.91,92.31,99.5,2,0,5,1,10,1,12,1,1.01,0.01,2,4,9,11,1.01
"PIT","2020-01-16","2019020727","20192020","BOS","0",6,0,50,60,66.67,77.09,0,0,2,2,3,2,6,3,0.31,0.09,0,0,1,3,0.22
"PIT","2020-01-17","2019020740","20192020","DET","0",3.08,100,100,100,100,100,2,0,6,0,7,0,8,0,0.62,0,2,6,7,8,0.62
"PIT","2020-01-19","2019020755","20192020","BOS","1",2.82,0,66.67,66.67,66.67,90.25,0,0,4,2,4,2,4,2,0.71,0.08,0,2,2,2,0.63
"PIT","2020-01-21","2019020763","20192020","PHI","0",6,0,75,75,80,93.26,0,0,3,1,3,1,4,1,0.46,0.03,0,2,2,3,0.42
"PIT","2020-01-31","2019020786","20192020","PHI","1",2.38,100,100,100,100,100,2,0,3,0,3,0,4,0,0.28,0,2,3,3,4,0.28
