"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PIT","2018-10-04","2018020007","20182019","WSH","1",4,0,50,33.33,25,23.08,0,0,2,2,2,4,2,6,0.1,0.34,0,0,-2,-4,-0.24
"PIT","2018-10-06","2018020022","20182019","MTL","1",5.25,0,33.33,25,20,29.34,0,0,1,2,1,3,1,4,0.09,0.22,0,-1,-2,-3,-0.13
"PIT","2018-10-11","2018020050","20182019","VGK","1",4,0,0,0,0,0,0,0,0,4,0,6,0,7,0,0.48,0,-4,-6,-7,-0.48
"PIT","2018-10-13","2018020062","20182019","MTL","0",8.57,0,14.29,15.38,10,3.78,0,1,1,6,2,11,2,18,0.05,1.27,-1,-5,-9,-16,-1.22
"PIT","2018-10-16","2018020081","20182019","VAN","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT","2018-10-18","2018020090","20182019","TOR","0",1.38,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.1,0,-1,-1,-1,-0.1
"PIT","2018-10-23","2018020129","20182019","EDM","0",7.15,0,22.22,18.18,28.57,5.55,0,2,2,7,2,9,4,10,0.06,0.96,-2,-5,-7,-6,-0.9
"PIT","2018-10-25","2018020141","20182019","CGY","0",6,0,20,17.65,20,8.65,0,0,3,12,3,14,4,16,0.13,1.33,0,-9,-11,-12,-1.2
"PIT","2018-10-27","2018020158","20182019","VAN","0",6,0,33.33,22.22,22.22,39.43,0,0,2,4,2,7,2,7,0.37,0.57,0,-2,-5,-5,-0.2
"PIT","2018-10-30","2018020168","20182019","NYI","1",7.15,0,28.57,25,25,27.05,0,1,2,5,2,6,2,6,0.25,0.67,-1,-3,-4,-4,-0.42
"PIT","2018-11-01","2018020181","20182019","NYI","0",2.23,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0.09,0,-1,-1,-2,-0.09
"PIT","2018-11-03","2018020199","20182019","TOR","1",4.85,0,25,30,27.27,10.69,0,1,2,6,3,7,3,8,0.1,0.84,-1,-4,-4,-5,-0.74
"PIT","2018-11-05","2018020212","20182019","N.J","1",4.65,0,25,37.5,30,14.1,0,2,1,3,3,5,3,7,0.09,0.57,-2,-2,-2,-4,-0.48
"PIT","2018-11-07","2018020224","20182019","WSH","0",12.23,0,27.27,18.75,20,22.82,0,1,3,8,3,13,4,16,0.29,0.98,-1,-5,-10,-12,-0.69
"PIT","2018-11-10","2018020249","20182019","ARI","1",7.13,0,0,0,0,0,0,0,0,4,0,4,0,7,0,0.23,0,-4,-4,-7,-0.23
"PIT","2018-11-13","2018020265","20182019","N.J","0",4,0,50,50,60,27.16,0,0,2,2,2,2,3,2,0.13,0.36,0,0,0,1,-0.22
"PIT","2018-11-15","2018020279","20182019","T.B","1",7.45,0,18.18,16.67,14.29,0.53,0,4,2,9,2,10,2,12,0.01,1.35,-4,-7,-8,-10,-1.34
"PIT","2018-11-17","2018020295","20182019","OTT","0",6,0,25,28.57,20,16.09,0,0,1,3,2,5,2,8,0.14,0.74,0,-2,-3,-6,-0.6
"PIT","2018-11-19","2018020310","20182019","BUF","1",6,0,25,18.18,15.38,37.38,0,0,2,6,2,9,2,11,0.37,0.62,0,-4,-7,-9,-0.25
"PIT","2018-11-21","2018020321","20182019","DAL","1",2.87,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0.16,0,-1,-3,-3,-0.16
"PIT","2018-11-23","2018020340","20182019","BOS","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT","2018-11-24","2018020353","20182019","CBJ","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT","2018-11-27","2018020373","20182019","WPG","0",4,0,25,14.29,12.5,2.57,0,0,1,3,1,6,1,7,0.01,0.4,0,-2,-5,-6,-0.39
"PIT","2018-11-28","2018020381","20182019","COL","0",0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT","2018-12-01","2018020402","20182019","PHI","1",6,0,33.33,37.5,30,29.91,0,0,2,4,3,5,3,7,0.16,0.38,0,-2,-2,-4,-0.22
"PIT","2018-12-04","2018020419","20182019","COL","1",4.32,0,0,0,0,0,0,1,0,3,0,6,0,8,0,0.43,-1,-3,-6,-8,-0.43
"PIT","2018-12-06","2018020432","20182019","NYI","1",4,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0.31,0,-3,-4,-4,-0.31
"PIT","2018-12-08","2018020447","20182019","OTT","0",8.37,0,0,0,0,0,0,1,0,8,0,10,0,10,0,0.96,-1,-8,-10,-10,-0.96
"PIT","2018-12-10","2018020461","20182019","NYI","0",8,0,0,0,0,0,0,0,0,5,0,8,0,17,0,0.61,0,-5,-8,-17,-0.61
"PIT","2018-12-12","2018020476","20182019","CHI","0",2.37,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.11,-1,-1,-1,-1,-0.11
"PIT","2018-12-14","2018020489","20182019","BOS","1",4,100,12.5,10,7.69,26,1,0,1,7,1,9,1,12,0.23,0.65,1,-6,-8,-11,-0.42
"PIT","2018-12-15","2018020499","20182019","L.A","1",5.93,50,33.33,33.33,27.27,41.39,1,1,3,6,3,6,3,8,0.36,0.51,0,-3,-3,-5,-0.15
"PIT","2018-12-17","2018020512","20182019","ANA","1",3.9,0,0,0,0,0,0,1,0,8,0,10,0,14,0,1.15,-1,-8,-10,-14,-1.15
"PIT","2018-12-19","2018020528","20182019","WSH","0",9.05,0,45.45,31.58,23.08,26.36,0,0,5,6,6,13,6,20,0.29,0.81,0,-1,-7,-14,-0.52
"PIT","2018-12-20","2018020533","20182019","MIN","1",3.27,0,20,16.67,12.5,4.55,0,0,1,4,1,5,1,7,0.02,0.45,0,-3,-4,-6,-0.42
"PIT","2018-12-22","2018020554","20182019","CAR","0",7.6,0,33.33,40,28.57,9.7,0,0,1,2,2,3,2,5,0.02,0.16,0,-1,-1,-3,-0.14
"PIT","2018-12-27","2018020569","20182019","DET","1",2,0,33.33,25,25,1.76,0,0,1,2,1,3,1,3,0,0.21,0,-1,-2,-2,-0.21
