"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"PIT","2017-10-04","2017020002","20172018","STL","1",49.57,10,2,25,34,3,3,0,0,0,32,25,7
"PIT","2017-10-05","2017020010","20172018","CHI","0",47.45,8,4,31,26,5,1,0,0,-4,25,35,-10
"PIT","2017-10-07","2017020021","20172018","NSH","1",47.67,0,8,24,28,5,7,2,2,2,23,29,-6
"PIT","2017-10-11","2017020047","20172018","WSH","0",39.98,2,5,13,23,3,6,0,0,3,19,28,-9
"PIT","2017-10-12","2017020051","20172018","T.B","0",43.4,8,3,14,22,4,5,0,0,1,24,29,-5
"PIT","2017-10-14","2017020067","20172018","FLA","1",44.48,1,7,21,21,4,2,0,0,-2,21,27,-6
"PIT","2017-10-17","2017020082","20172018","NYR","0",46.3,10,6,18,23,6,4,0,0,-2,21,22,-1
"PIT","2017-10-20","2017020107","20172018","FLA","0",48.75,7,5,20,20,2,3,0,0,1,25,35,-10
"PIT","2017-10-21","2017020114","20172018","T.B","0",47.92,6,3,17,15,5,5,0,0,0,36,27,9
"PIT","2017-10-24","2017020128","20172018","EDM","1",50.62,6,6,22,24,2,2,1,1,0,26,16,10
"PIT","2017-10-26","2017020141","20172018","WPG","1",49.12,3,5,29,16,3,5,0,0,2,29,22,7
"PIT","2017-10-28","2017020164","20172018","MIN","0",47.02,4,1,9,10,4,1,0,0,-3,24,18,6
"PIT","2017-10-29","2017020168","20172018","WPG","0",51.25,14,5,22,20,6,6,0,0,0,22,27,-5
"PIT","2017-11-01","2017020182","20172018","EDM","0",44.52,5,5,37,20,5,3,0,0,-2,22,29,-7
"PIT","2017-11-02","2017020195","20172018","CGY","0",53.77,4,10,15,13,4,0,0,0,-4,24,26,-2
"PIT","2017-11-04","2017020210","20172018","VAN","0",45.75,2,3,14,28,2,4,0,0,2,23,28,-5
"PIT","2017-11-07","2017020226","20172018","ARI","1",45.27,5,1,17,26,1,4,0,0,3,28,24,4
"PIT","2017-11-10","2017020244","20172018","WSH","0",44.38,11,5,15,29,4,4,1,1,0,21,25,-4
"PIT","2017-11-11","2017020258","20172018","NSH","0",53.02,9,3,21,23,6,4,0,0,-2,22,25,-3
"PIT","2017-11-14","2017020267","20172018","BUF","1",48.37,3,4,33,26,3,4,0,0,1,35,20,15
"PIT","2017-11-16","2017020281","20172018","OTT","0",52.12,11,2,18,22,2,1,0,0,-1,26,30,-4
"PIT","2017-11-18","2017020300","20172018","CHI","1",44.85,4,1,20,13,5,4,0,0,-1,32,21,11
"PIT","2017-11-22","2017020324","20172018","VAN","1",48.65,7,3,34,12,2,5,0,0,3,23,26,-3
"PIT","2017-11-24","2017020334","20172018","BOS","0",52.63,15,14,36,23,2,1,0,0,-1,24,23,1
"PIT","2017-11-25","2017020353","20172018","T.B","1",44.22,7,9,28,25,6,3,0,0,-3,31,22,9
"PIT","2017-11-27","2017020363","20172018","PHI","1",49.12,9,6,23,18,2,3,0,0,1,22,33,-11
"PIT","2017-12-01","2017020388","20172018","BUF","0",50,5,3,17,29,5,2,0,0,-3,25,25,0
"PIT","2017-12-02","2017020400","20172018","BUF","1",40.05,7,7,20,27,4,6,1,1,2,19,21,-2
"PIT","2017-12-05","2017020416","20172018","NYR","1",51.25,8,9,20,14,2,2,0,0,0,25,21,4
"PIT","2017-12-07","2017020431","20172018","NYI","1",51.1,13,8,23,28,3,2,0,0,-1,23,27,-4
"PIT","2017-12-09","2017020450","20172018","TOR","1",48.52,5,6,37,24,1,3,0,0,2,25,24,1
"PIT","2017-12-11","2017020462","20172018","COL","1",48.63,10,6,22,17,3,2,0,0,-1,18,21,-3
"PIT","2017-12-14","2017020490","20172018","VGK","0",49.97,3,6,11,26,2,3,0,0,1,29,13,16
"PIT","2017-12-16","2017020504","20172018","ARI","0",47.82,5,3,16,30,3,5,0,0,2,21,19,2
"PIT","2017-12-18","2017020514","20172018","COL","0",51.53,7,5,11,10,3,2,0,0,-1,20,23,-3
"PIT","2017-12-21","2017020532","20172018","CBJ","1",51.33,8,7,30,28,7,6,2,3,0,27,30,-3
"PIT","2017-12-23","2017020549","20172018","ANA","1",52.77,11,5,26,20,3,3,0,0,0,28,20,8
"PIT","2017-12-27","2017020562","20172018","CBJ","1",54.02,7,5,30,36,3,4,0,0,1,33,28,5
"PIT","2017-12-29","2017020580","20172018","CAR","0",50.62,2,7,30,39,2,2,0,0,0,32,20,12
"PIT","2017-12-31","2017020595","20172018","DET","0",52.52,11,1,25,28,1,3,0,0,2,32,29,3
