"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"PIT","2019-10-03","2019020007","20192020","BUF","1",47.47,9,9,15,91,11,13,24,8,3
"PIT","2019-10-05","2019020022","20192020","CBJ","1",51.52,5,21,4,109,7,26,11,5,1
"PIT","2019-10-08","2019020038","20192020","WPG","1",56,15,10,7,116,21,14,10,3,7
"PIT","2019-10-10","2019020050","20192020","ANA","1",43.43,14,7,11,96,17,7,14,1,1
"PIT","2019-10-12","2019020071","20192020","MIN","0",54.02,10,16,10,107,16,18,19,8,3
"PIT","2019-10-13","2019020075","20192020","WPG","0",47.42,10,17,12,93,14,18,19,3,2
"PIT","2019-10-16","2019020092","20192020","COL","1",54.3,11,16,16,114,14,19,23,6,4
"PIT","2019-10-18","2019020108","20192020","DAL","1",52.77,8,16,10,97,12,17,12,1,2
"PIT","2019-10-19","2019020118","20192020","VGK","1",47.02,14,10,10,104,21,12,18,5,8
"PIT","2019-10-22","2019020135","20192020","FLA","0",55.32,8,14,6,103,10,17,11,4,3
"PIT","2019-10-23","2019020144","20192020","T.B","0",47.63,6,13,12,97,7,17,24,9,3
"PIT","2019-10-26","2019020166","20192020","DAL","0",54.02,17,10,13,92,23,12,20,5,6
"PIT","2019-10-29","2019020182","20192020","PHI","1",45.85,9,16,10,93,14,19,17,4,5
"PIT","2019-11-02","2019020204","20192020","EDM","1",50.28,17,10,7,100,23,12,15,6,3
"PIT","2019-11-04","2019020220","20192020","BOS","0",50.98,20,13,5,106,25,16,7,2,9
"PIT","2019-11-07","2019020239","20192020","NYI","0",56.95,11,14,11,130,16,15,11,0,6
"PIT","2019-11-09","2019020257","20192020","CHI","1",56.12,11,14,15,95,15,16,17,1,4
"PIT","2019-11-12","2019020274","20192020","NYR","0",52.9,8,12,7,135,10,14,15,6,3
"PIT","2019-11-15","2019020295","20192020","N.J","0",48.93,20,14,7,99,23,17,11,2,7
"PIT","2019-11-16","2019020308","20192020","TOR","1",54.05,10,16,12,109,15,17,18,3,4
