"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"S.J","2019-10-02","2019020004","20192020","VGK","0",48.8,33.33,38.1,37.5,39.76,20.81,1,2,16,26,24,40,33,50,0.92,3.49,-1,-10,-16,-17,-2.57
"S.J","2019-10-04","2019020017","20192020","VGK","1",46.47,25,53.33,56.67,49.37,40.13,1,3,24,21,34,26,39,40,1.71,2.55,-2,3,8,-1,-0.84
"S.J","2019-10-05","2019020030","20192020","ANA","0",44.32,33.33,52.27,46.97,51.81,31.45,1,2,23,21,31,35,43,40,0.92,2,-1,2,-4,3,-1.08
"S.J","2019-10-08","2019020041","20192020","NSH","0",47.77,25,63.27,58.9,61.96,56.27,1,3,31,18,43,30,57,35,1.74,1.35,-2,13,13,22,0.39
"S.J","2019-10-10","2019020054","20192020","CHI","0",51.07,42.86,50.94,54.29,63.64,49.18,3,4,27,26,38,32,56,32,2.41,2.49,-1,1,6,24,-0.08
"S.J","2019-10-13","2019020077","20192020","CGY","1",46.25,66.67,39.13,43.55,42.86,47.51,2,1,18,28,27,35,36,48,1.21,1.33,1,-10,-8,-12,-0.13
"S.J","2019-10-16","2019020097","20192020","CAR","1",46.35,50,38.3,33.93,37.18,43.78,2,2,18,29,19,37,29,49,1.49,1.92,0,-11,-18,-20,-0.42
"S.J","2019-10-19","2019020123","20192020","BUF","1",42.8,20,44.68,49.21,50,42.06,1,4,21,26,31,32,38,38,1.7,2.34,-3,-5,-1,0,-0.64
"S.J","2019-10-22","2019020134","20192020","BUF","0",51.83,50,55.56,55,57.33,45.49,3,3,25,20,33,27,43,32,1.94,2.33,0,5,6,11,-0.39
"S.J","2019-10-24","2019020145","20192020","MTL","0",49.95,50,38.64,37.7,37.21,30.05,2,2,17,27,23,38,32,54,1.11,2.59,0,-10,-15,-22,-1.48
"S.J","2019-10-25","2019020156","20192020","TOR","0",46.6,25,38.89,40,40.79,32.79,1,3,14,22,22,33,31,45,0.81,1.67,-2,-8,-11,-14,-0.85
"S.J","2019-10-27","2019020172","20192020","OTT","0",45.58,16.67,48.84,48.44,53.68,37.89,1,5,21,22,31,33,51,44,1.3,2.14,-4,-1,-2,7,-0.83
"S.J","2019-10-29","2019020179","20192020","BOS","0",43.78,0,29.03,33.33,35,24.46,0,3,9,22,15,30,21,39,0.72,2.21,-3,-13,-15,-18,-1.5
"S.J","2019-11-01","2019020203","20192020","WPG","1",50.48,25,74,77.05,71.6,81.22,1,3,37,13,47,14,58,23,3.13,0.72,-2,24,33,35,2.41
"S.J","2019-11-02","2019020216","20192020","VAN","1",47.72,25,40.54,41.18,50,41.9,1,3,15,22,21,30,41,41,1.42,1.97,-2,-7,-9,0,-0.55
"S.J","2019-11-05","2019020234","20192020","CHI","1",45.92,66.67,59.46,58.82,63.38,56.54,2,1,22,15,30,21,45,26,1.79,1.37,1,7,9,19,0.41
"S.J","2019-11-07","2019020247","20192020","MIN","1",47.35,44.44,55.81,51.61,45.78,49.67,4,5,24,19,32,30,38,45,1.95,1.97,-1,5,2,-7,-0.03
"S.J","2019-11-09","2019020262","20192020","NSH","1",48.65,50,61.54,61.4,59.09,64.63,1,1,24,15,35,22,52,36,2.59,1.42,0,9,13,16,1.17
"S.J","2019-11-12","2019020280","20192020","EDM","1",52.33,66.67,51.16,50,49.45,41.2,6,3,22,21,32,32,45,46,2,2.86,3,1,0,-1,-0.86
"S.J","2019-11-14","2019020292","20192020","ANA","0",45.82,60,59.18,54.05,55.79,56.44,3,2,29,20,40,34,53,42,2.79,2.15,1,9,6,11,0.64
"S.J","2019-11-16","2019020313","20192020","DET","1",54.58,40,40.54,40.38,44.59,36.54,2,3,15,22,21,31,33,41,1.08,1.88,-1,-7,-10,-8,-0.8
"S.J","2019-11-19","2019020330","20192020","EDM","1",52.9,33.33,53.57,50,53.85,42.24,2,4,30,26,40,40,56,48,2.83,3.87,-2,4,0,8,-1.04
"S.J","2019-11-21","2019020344","20192020","VGK","0",53.03,66.67,42.86,41.67,41.84,43.09,2,1,24,32,30,42,41,57,1.65,2.18,1,-8,-12,-16,-0.53
"S.J","2019-11-23","2019020361","20192020","NYI","1",48.35,66.67,53.85,50.91,50,53.93,2,1,21,18,28,27,40,40,1.6,1.36,1,3,1,0,0.23
"S.J","2019-11-25","2019020373","20192020","L.A","0",48.15,57.14,51.11,45.59,43.01,41.1,4,3,23,22,31,37,40,53,2.06,2.96,1,1,-6,-13,-0.89
"S.J","2019-11-27","2019020389","20192020","WPG","1",43.95,25,52.38,55.77,60.87,61.05,1,3,22,20,29,23,42,27,2.16,1.38,-2,2,6,15,0.78
"S.J","2019-11-29","2019020397","20192020","L.A","1",51.17,75,35.29,40.62,43.96,40.92,3,1,18,33,26,38,40,51,1.89,2.74,2,-15,-12,-11,-0.84
"S.J","2019-11-30","2019020412","20192020","ARI","0",50.65,60,57.78,51.56,51.95,48.12,3,2,26,19,33,31,40,37,1.38,1.49,1,7,2,3,-0.11
"S.J","2019-12-03","2019020433","20192020","WSH","1",52.98,28.57,53.19,50,51.09,37.18,2,5,25,22,36,36,47,45,1.63,2.76,-3,3,0,2,-1.13
"S.J","2019-12-05","2019020443","20192020","CAR","0",53.65,50,51.02,51.39,52.17,55.16,2,2,25,24,37,35,48,44,2.69,2.18,0,1,2,4,0.5
"S.J","2019-12-07","2019020456","20192020","T.B","0",47.25,16.67,47.37,48.1,51.61,45.37,1,5,27,30,38,41,48,45,2.57,3.1,-4,-3,-3,3,-0.52
"S.J","2019-12-08","2019020464","20192020","FLA","0",50.15,0,48.94,54.17,54.64,55.61,0,2,23,24,39,33,53,44,2.21,1.77,-2,-1,6,9,0.45
"S.J","2019-12-10","2019020475","20192020","NSH","0",43.17,0,41.67,41.51,40.54,49.78,0,1,15,21,22,31,30,44,1.22,1.23,-1,-6,-9,-14,-0.01
"S.J","2019-12-12","2019020498","20192020","NYR","1",50.18,33.33,41.03,43.4,41.77,51,2,4,16,23,23,30,33,46,1.8,1.73,-2,-7,-7,-13,0.07
