"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"S.J","2015-10-07","2015020004","20152016","L.A","0",11.23,100,86.67,88.89,85.71,92.45,2,0,13,2,16,2,18,3,1.5,0.12,2,11,14,15,1.38
"S.J","2015-10-10","2015020030","20152016","ANA","1",2,0,100,100,100,100,0,0,2,0,4,0,5,0,0.35,0,0,2,4,5,0.35
"S.J","2015-10-13","2015020040","20152016","WSH","0",8.22,100,61.54,68.75,68.75,65.76,1,0,8,5,11,5,11,5,0.83,0.43,1,3,6,6,0.4
"S.J","2015-10-16","2015020058","20152016","N.J","0",2,0,75,75,80,78.59,0,0,3,1,3,1,4,1,0.25,0.07,0,2,2,3,0.18
"S.J","2015-10-17","2015020071","20152016","NYI","0",2.9,0,50,50,50,88.97,0,0,1,1,1,1,2,2,0.03,0,0,0,0,0,0.03
"S.J","2015-10-19","2015020080","20152016","NYR","0",3.65,0,25,20,42.86,17.02,0,0,1,3,1,4,3,4,0.05,0.27,0,-2,-3,-1,-0.21
"S.J","2015-10-22","2015020099","20152016","L.A","1",7.88,0,100,100,92.31,100,0,0,8,0,11,0,12,1,0.82,0,0,8,11,11,0.82
"S.J","2015-10-24","2015020117","20152016","CAR","1",2,0,100,100,100,100,0,0,1,0,4,0,6,0,0.51,0,0,1,4,6,0.51
"S.J","2015-10-28","2015020136","20152016","NSH","1",4,0,75,80,83.33,96.38,0,0,3,1,4,1,5,1,0.35,0.01,0,2,3,4,0.34
"S.J","2015-10-31","2015020155","20152016","DAL","0",6.05,66.67,83.33,90.91,91.67,83.07,2,1,5,1,10,1,11,1,0.81,0.17,1,4,9,10,0.65
"S.J","2015-11-01","2015020164","20152016","COL","0",2,0,100,100,100,100,0,0,2,0,3,0,3,0,0.17,0,0,2,3,3,0.17
"S.J","2015-11-03","2015020180","20152016","CBJ","1",8.1,0,100,84.62,86.67,87.68,0,0,9,0,11,2,13,2,0.7,0.1,0,9,9,11,0.6
"S.J","2015-11-05","2015020193","20152016","FLA","1",4,0,75,83.33,90,88.71,0,0,3,1,5,1,9,1,0.33,0.04,0,2,4,8,0.29
"S.J","2015-11-07","2015020210","20152016","ANA","1",5.02,0,100,100,100,100,0,0,5,0,7,0,9,0,0.55,0,0,5,7,9,0.55
"S.J","2015-11-10","2015020227","20152016","NYI","1",4,0,66.67,71.43,80,86.58,0,0,4,2,5,2,8,2,0.22,0.03,0,2,3,6,0.19
"S.J","2015-11-13","2015020244","20152016","DET","0",1.45,0,50,75,80,92.04,0,0,1,1,3,1,4,1,0.28,0.02,0,0,2,3,0.25
"S.J","2015-11-14","2015020248","20152016","BUF","0",5.18,100,100,88.89,90.91,97.79,1,0,7,0,8,1,10,1,0.7,0.02,1,7,7,9,0.68
"S.J","2015-11-17","2015020267","20152016","BOS","0",6.7,100,100,71.43,69.23,90.01,2,0,4,0,5,2,9,4,0.6,0.07,2,4,3,5,0.54
"S.J","2015-11-19","2015020279","20152016","PHI","0",7.43,0,66.67,75,85.71,98.96,0,0,2,1,3,1,6,1,0.36,0,0,1,2,5,0.36
"S.J","2015-11-21","2015020297","20152016","PIT","0",6.33,0,100,100,100,100,0,0,7,0,7,0,8,0,0.36,0,0,7,7,8,0.36
"S.J","2015-11-22","2015020305","20152016","CBJ","0",6.33,100,85.71,90,92.31,94.09,1,0,6,1,9,1,12,1,1.03,0.06,1,5,8,11,0.96
"S.J","2015-11-25","2015020329","20152016","CHI","1",9.17,100,100,100,95.83,100,1,0,15,0,19,0,23,1,1.65,0,1,15,19,22,1.65
"S.J","2015-11-28","2015020352","20152016","CGY","1",2.63,100,75,80,80,73.43,2,0,3,1,4,1,4,1,0.49,0.18,2,2,3,3,0.31
"S.J","2015-12-01","2015020368","20152016","PIT","1",5.08,100,88.89,90.91,91.67,98.82,1,0,8,1,10,1,11,1,1.24,0.01,1,7,9,10,1.22
"S.J","2015-12-04","2015020387","20152016","ANA","0",8,0,100,90.91,91.67,98.53,0,0,6,0,10,1,11,1,1.2,0.02,0,6,9,10,1.18
"S.J","2015-12-05","2015020397","20152016","T.B","1",11.03,100,88.89,87.5,88.46,91.56,3,0,16,2,21,3,23,3,1.57,0.15,3,14,18,20,1.43
"S.J","2015-12-08","2015020416","20152016","CGY","0",3.4,100,100,100,100,100,1,0,5,0,5,0,7,0,1.11,0,1,5,5,7,1.11
"S.J","2015-12-09","2015020419","20152016","EDM","0",6,0,100,100,100,100,0,0,3,0,6,0,9,0,0.37,0,0,3,6,9,0.37
"S.J","2015-12-12","2015020444","20152016","MIN","1",4,0,75,66.67,66.67,97.29,0,0,3,1,4,2,4,2,0.54,0.02,0,2,2,2,0.53
"S.J","2015-12-15","2015020458","20152016","MTL","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.J","2015-12-17","2015020469","20152016","TOR","0",1.15,100,100,100,75,100,2,0,2,0,2,0,3,1,0.33,0,2,2,2,2,0.33
"S.J","2015-12-18","2015020480","20152016","OTT","0",5.18,100,80,85.71,90,99.27,1,0,4,1,6,1,9,1,0.49,0,1,3,5,8,0.49
"S.J","2015-12-20","2015020498","20152016","CHI","0",5.25,100,100,100,100,100,1,0,6,0,8,0,11,0,0.43,0,1,6,8,11,0.43
"S.J","2015-12-22","2015020516","20152016","L.A","0",5.02,100,100,75,50,97.92,2,0,3,0,3,1,3,3,0.56,0.01,2,3,2,0,0.55
"S.J","2015-12-28","2015020540","20152016","COL","1",6,0,100,100,100,100,0,0,4,0,6,0,12,0,0.54,0,0,4,6,12,0.54
"S.J","2015-12-30","2015020555","20152016","PHI","1",8.88,100,100,100,100,100,3,0,12,0,14,0,21,0,1.6,0,3,12,14,21,1.6
"S.J","2016-01-02","2015020578","20152016","WPG","1",7.2,50,63.64,71.43,77.78,73.71,1,1,7,4,10,4,14,4,1.19,0.42,0,3,6,10,0.76
"S.J","2016-01-07","2015020607","20152016","DET","1",6,0,100,75,90.91,89.03,0,0,2,0,3,1,10,1,0.14,0.02,0,2,2,9,0.12
