"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"S.J","2019-10-02","2019020004","20192020","VGK","0",4.08,0,0,0,0,0,0,1,0,6,0,9,0,11,0,0.9,-1,-6,-9,-11,-0.9
"S.J","2019-10-04","2019020017","20192020","VGK","1",4.77,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0.55,0,-5,-5,-6,-0.55
"S.J","2019-10-05","2019020030","20192020","ANA","0",4.6,0,0,0,0,0,0,0,0,6,0,7,0,8,0,0.64,0,-6,-7,-8,-0.64
"S.J","2019-10-08","2019020041","20192020","NSH","0",7.62,0,0,0,8.33,0,0,1,0,6,0,7,1,11,0,0.77,-1,-6,-7,-10,-0.77
"S.J","2019-10-10","2019020054","20192020","CHI","0",4,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0.22,0,0,-4,-7,-0.22
"S.J","2019-10-13","2019020077","20192020","CGY","1",7.2,100,33.33,16.67,20,24.42,1,0,1,2,1,5,2,8,0.17,0.52,1,-1,-4,-6,-0.35
"S.J","2019-10-16","2019020097","20192020","CAR","1",7.25,0,0,0,0,0,0,0,0,7,0,7,0,7,0,1.25,0,-7,-7,-7,-1.25
"S.J","2019-10-19","2019020123","20192020","BUF","1",8,0,0,0,0,0,0,0,0,9,0,10,0,13,0,1.24,0,-9,-10,-13,-1.24
"S.J","2019-10-22","2019020134","20192020","BUF","0",7.18,0,0,0,0,0,0,1,0,7,0,8,0,9,0,0.77,-1,-7,-8,-9,-0.77
"S.J","2019-10-24","2019020145","20192020","MTL","0",4,0,12.5,20,20,8.56,0,0,1,7,2,8,2,8,0.05,0.5,0,-6,-6,-6,-0.45
"S.J","2019-10-25","2019020156","20192020","TOR","0",10,0,42.86,33.33,29.41,23.4,0,0,3,4,4,8,5,12,0.14,0.46,0,-1,-4,-7,-0.32
"S.J","2019-10-27","2019020172","20192020","OTT","0",5.15,0,0,0,0,0,0,0,0,5,0,7,0,10,0,0.66,0,-5,-7,-10,-0.66
"S.J","2019-10-29","2019020179","20192020","BOS","0",13.3,0,17.39,20,17.86,19.59,0,2,4,19,5,20,5,23,0.46,1.88,-2,-15,-15,-18,-1.42
"S.J","2019-11-01","2019020203","20192020","WPG","1",4,0,50,44.44,41.67,60.31,0,0,4,4,4,5,5,7,0.54,0.36,0,0,-1,-2,0.19
"S.J","2019-11-02","2019020216","20192020","VAN","1",6.12,50,50,50,42.86,23.09,1,1,3,3,3,3,3,4,0.12,0.41,0,0,0,-1,-0.29
"S.J","2019-11-05","2019020234","20192020","CHI","1",6,100,60,60,33.33,53.1,1,0,3,2,3,2,3,6,0.2,0.18,1,1,1,-3,0.02
"S.J","2019-11-07","2019020247","20192020","MIN","1",6,0,0,0,0,0,0,0,0,5,0,6,0,9,0,0.51,0,-5,-6,-9,-0.51
"S.J","2019-11-09","2019020262","20192020","NSH","1",7.6,0,10,7.69,6.67,0.41,0,0,1,9,1,12,1,14,0,1.1,0,-8,-11,-13,-1.1
"S.J","2019-11-12","2019020280","20192020","EDM","1",2.88,0,0,0,0,0,0,0,0,2,0,3,0,4,0,0.28,0,-2,-3,-4,-0.28
"S.J","2019-11-14","2019020292","20192020","ANA","0",6.32,50,25,18.18,14.29,29.48,1,1,2,6,2,9,2,12,0.42,1.01,0,-4,-7,-10,-0.58
"S.J","2019-11-16","2019020313","20192020","DET","1",6,0,0,0,0,0,0,0,0,5,0,5,0,8,0,0.76,0,-5,-5,-8,-0.76
"S.J","2019-11-19","2019020330","20192020","EDM","1",2.98,0,25,25,20,20.76,0,1,1,3,1,3,1,4,0.09,0.35,-1,-2,-2,-3,-0.26
"S.J","2019-11-21","2019020344","20192020","VGK","0",6,0,0,0,0,0,0,0,0,5,0,6,0,10,0,0.43,0,-5,-6,-10,-0.43
"S.J","2019-11-23","2019020361","20192020","NYI","1",12,0,9.09,6.25,4.76,0.15,0,0,1,10,1,15,1,20,0,1.75,0,-9,-14,-19,-1.74
"S.J","2019-11-25","2019020373","20192020","L.A","0",10.43,0,0,0,0,0,0,0,0,13,0,15,0,18,0,1.64,0,-13,-15,-18,-1.64
"S.J","2019-11-27","2019020389","20192020","WPG","1",4.38,0,33.33,28.57,25,35.86,0,1,2,4,2,5,2,6,0.17,0.31,-1,-2,-3,-4,-0.14
"S.J","2019-11-29","2019020397","20192020","L.A","1",2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.08,0,-1,-1,-1,-0.08
"S.J","2019-11-30","2019020412","20192020","ARI","0",6,0,66.67,50,50,68.28,0,0,2,1,2,2,2,2,0.22,0.1,0,1,0,0,0.12
"S.J","2019-12-03","2019020433","20192020","WSH","1",7.02,0,0,0,0,0,0,0,0,6,0,7,0,10,0,0.64,0,-6,-7,-10,-0.64
"S.J","2019-12-05","2019020443","20192020","CAR","0",6.58,0,20,14.29,12.5,0.95,0,0,1,4,1,6,1,7,0.01,0.66,0,-3,-5,-6,-0.66
"S.J","2019-12-07","2019020456","20192020","T.B","0",5.4,0,33.33,33.33,30,1.4,0,2,3,6,3,6,3,7,0.01,0.94,-2,-3,-3,-4,-0.92
"S.J","2019-12-08","2019020464","20192020","FLA","0",4.42,0,12.5,9.09,7.14,0.28,0,2,1,7,1,10,1,13,0,1.03,-2,-6,-9,-12,-1.02
"S.J","2019-12-10","2019020475","20192020","NSH","0",9.25,0,20,31.25,29.41,21.17,0,1,2,8,5,11,5,12,0.32,1.2,-1,-6,-6,-7,-0.88
"S.J","2019-12-12","2019020498","20192020","NYR","1",5.5,50,14.29,11.11,7.69,8.04,1,1,1,6,1,8,1,12,0.06,0.67,0,-5,-7,-11,-0.61
"S.J","2019-12-14","2019020514","20192020","VAN","1",6,0,0,0,0,0,0,0,0,6,0,7,0,10,0,0.55,0,-6,-7,-10,-0.55
"S.J","2019-12-17","2019020534","20192020","ARI","1",6,0,0,20,20,8.38,0,0,0,4,1,4,1,4,0.04,0.43,0,-4,-3,-3,-0.39
"S.J","2019-12-21","2019020564","20192020","STL","1",3.15,0,0,0,0,0,0,1,0,2,0,2,0,3,0,0.18,-1,-2,-2,-3,-0.18
"S.J","2019-12-22","2019020568","20192020","VGK","1",5.92,0,33.33,25,20,9.96,0,0,2,4,2,6,2,8,0.08,0.69,0,-2,-4,-6,-0.61
"S.J","2019-12-27","2019020592","20192020","L.A","1",2,0,0,0,0,0,0,0,0,2,0,5,0,5,0,0.35,0,-2,-5,-5,-0.35
"S.J","2019-12-28","2019020601","20192020","PHI","1",4.95,0,0,0,0,0,0,1,0,6,0,6,0,8,0,0.75,-1,-6,-6,-8,-0.75
"S.J","2019-12-31","2019020620","20192020","DET","0",4,0,20,10,9.09,0.29,0,0,1,4,1,9,1,10,0,1.08,0,-3,-8,-9,-1.07
"S.J","2020-01-02","2019020631","20192020","PIT","0",2.77,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0.35,0,-4,-5,-5,-0.35
"S.J","2020-01-04","2019020642","20192020","CBJ","0",4,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0.11,0,-1,-2,-2,-0.11
"S.J","2020-01-05","2019020653","20192020","WSH","0",4,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0.27,0,-3,-3,-3,-0.27
"S.J","2020-01-07","2019020670","20192020","STL","0",6,100,100,66.67,57.14,61.44,1,0,4,0,4,2,4,3,0.17,0.11,1,4,2,1,0.06
"S.J","2020-01-09","2019020688","20192020","CBJ","1",3.67,0,0,0,0,0,0,0,0,2,0,3,0,4,0,0.21,0,-2,-3,-4,-0.21
"S.J","2020-01-11","2019020702","20192020","DAL","1",2.67,0,0,0,0,0,0,1,0,3,0,3,0,4,0,0.3,-1,-3,-3,-4,-0.3
"S.J","2020-01-14","2019020724","20192020","ARI","0",3.3,0,0,0,0,0,0,1,0,3,0,4,0,5,0,0.25,-1,-3,-4,-5,-0.25
"S.J","2020-01-16","2019020738","20192020","COL","0",5.78,0,0,11.11,10,3.08,0,0,0,4,1,8,1,9,0.02,0.58,0,-4,-7,-8,-0.56
"S.J","2020-01-18","2019020754","20192020","VAN","0",7.85,0,0,0,0,0,0,1,0,10,0,18,0,21,0,1.73,-1,-10,-18,-21,-1.73
"S.J","2020-01-27","2019020773","20192020","ANA","1",2.33,0,0,0,0,0,0,1,0,3,0,4,0,4,0,0.3,-1,-3,-4,-4,-0.3
"S.J","2020-01-29","2019020781","20192020","VAN","1",4.22,0,0,0,0,0,0,1,0,3,0,6,0,10,0,0.68,-1,-3,-6,-10,-0.68
"S.J","2020-02-01","2019020805","20192020","T.B","1",7.92,0,0,20,20,15.07,0,0,0,3,1,4,1,4,0.07,0.37,0,-3,-3,-3,-0.31
"S.J","2020-02-04","2019020823","20192020","CGY","0",3.75,0,0,0,0,0,0,1,0,4,0,4,0,5,0,0.47,-1,-4,-4,-5,-0.47
"S.J","2020-02-06","2019020837","20192020","EDM","0",2.07,0,0,0,50,0,0,0,0,1,0,1,1,1,0,0.05,0,-1,-1,0,-0.05
"S.J","2020-02-10","2019020865","20192020","CGY","1",9.6,0,33.33,26.67,25,5.36,0,3,4,8,4,11,4,12,0.1,1.69,-3,-4,-7,-8,-1.6
"S.J","2020-02-14","2019020893","20192020","WPG","0",5.5,0,12.5,11.76,11.11,10.21,0,1,2,14,2,15,2,16,0.18,1.59,-1,-12,-13,-14,-1.41
"S.J","2020-02-15","2019020899","20192020","MIN","0",6,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0.28,0,-3,-4,-6,-0.28
"S.J","2020-02-17","2019020917","20192020","FLA","1",6.58,0,16.67,10,9.09,2.69,0,0,1,5,1,9,1,10,0.02,0.89,0,-4,-8,-9,-0.86
"S.J","2020-02-20","2019020934","20192020","N.J","0",10.08,0,22.22,18.18,16.67,13.9,0,1,2,7,2,9,2,10,0.11,0.71,-1,-5,-7,-8,-0.6
"S.J","2020-02-22","2019020953","20192020","NYR","0",4,0,57.14,44.44,40,32.57,0,0,4,3,4,5,4,6,0.25,0.52,0,1,-1,-2,-0.27
"S.J","2020-02-23","2019020962","20192020","NYI","0",6,0,0,0,9.09,0,0,0,0,5,0,5,1,10,0,0.33,0,-5,-5,-9,-0.33
"S.J","2020-02-25","2019020972","20192020","PHI","0",3.28,0,16.67,16.67,16.67,0.55,0,1,1,5,1,5,1,5,0,0.61,-1,-4,-4,-4,-0.61
"S.J","2020-02-27","2019020993","20192020","N.J","1",6.13,100,16.67,22.22,27.27,20.37,1,0,1,5,2,7,3,8,0.17,0.65,1,-4,-5,-5,-0.49
"S.J","2020-02-29","2019021010","20192020","PIT","1",6,0,12.5,10,8.33,16.87,0,0,1,7,1,9,1,11,0.15,0.73,0,-6,-8,-10,-0.58
