"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"S.J","2015-10-07","2015020004","20152016","L.A","0",39.68,1,1,16,31,6,7,2,2,1,22,23,-1
"S.J","2015-10-10","2015020030","20152016","ANA","1",55.12,12,14,31,22,1,1,0,0,0,22,32,-10
"S.J","2015-10-13","2015020040","20152016","WSH","0",39.68,6,4,8,21,3,4,0,0,1,19,16,3
"S.J","2015-10-16","2015020058","20152016","N.J","0",54.77,2,3,24,33,3,3,0,0,0,29,17,12
"S.J","2015-10-17","2015020071","20152016","NYI","0",52.77,8,9,16,29,4,1,0,0,-3,25,32,-7
"S.J","2015-10-19","2015020080","20152016","NYR","0",55.92,5,9,27,21,1,1,0,0,0,26,20,6
"S.J","2015-10-22","2015020099","20152016","L.A","1",48.17,12,7,19,16,3,4,0,0,1,29,26,3
"S.J","2015-10-24","2015020117","20152016","CAR","1",52.08,17,3,17,17,3,1,0,0,-2,23,18,5
"S.J","2015-10-28","2015020136","20152016","NSH","1",50.1,11,8,23,23,3,4,0,0,1,30,15,15
"S.J","2015-10-31","2015020155","20152016","DAL","0",45.87,3,1,14,13,4,2,0,0,-2,21,24,-3
"S.J","2015-11-01","2015020164","20152016","COL","0",51.95,0,6,10,22,3,1,1,1,-2,28,24,4
"S.J","2015-11-03","2015020180","20152016","CBJ","1",46.35,12,4,16,22,2,2,1,1,0,37,17,20
"S.J","2015-11-05","2015020193","20152016","FLA","1",50.33,10,8,16,25,2,1,1,1,-1,23,21,2
"S.J","2015-11-07","2015020210","20152016","ANA","1",51.08,13,6,34,27,0,4,2,2,4,32,19,13
"S.J","2015-11-10","2015020227","20152016","NYI","1",50.62,21,6,29,36,3,3,0,0,0,23,24,-1
"S.J","2015-11-13","2015020244","20152016","DET","0",52.5,2,2,26,21,2,2,0,0,0,23,21,2
"S.J","2015-11-14","2015020248","20152016","BUF","0",53.22,5,2,16,27,1,3,0,0,2,24,23,1
"S.J","2015-11-17","2015020267","20152016","BOS","0",48.63,8,4,20,32,3,4,0,0,1,20,28,-8
"S.J","2015-11-19","2015020279","20152016","PHI","0",52.88,4,3,23,27,1,4,0,0,3,31,27,4
"S.J","2015-11-21","2015020297","20152016","PIT","0",40.43,2,1,17,21,6,2,0,0,-4,23,28,-5
"S.J","2015-11-22","2015020305","20152016","CBJ","0",49.48,2,3,7,8,1,4,2,2,3,32,24,8
"S.J","2015-11-25","2015020329","20152016","CHI","1",43.8,20,8,35,18,3,4,0,0,1,14,18,-4
