"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"S.J","2019-10-02","2019020004","20192020","VGK","0",48.8,12,10,8,105,16,11,12,4,8
"S.J","2019-10-04","2019020017","20192020","VGK","1",46.47,16,9,7,93,18,12,10,2,5
"S.J","2019-10-05","2019020030","20192020","ANA","0",44.32,8,9,5,69,12,11,9,2,2
"S.J","2019-10-08","2019020041","20192020","NSH","0",47.77,21,15,6,86,27,16,8,1,5
"S.J","2019-10-10","2019020054","20192020","CHI","0",51.07,18,12,0,119,23,14,6,6,5
"S.J","2019-10-13","2019020077","20192020","CGY","1",46.25,12,8,12,92,13,14,19,5,1
"S.J","2019-10-16","2019020097","20192020","CAR","1",46.35,9,13,9,82,15,17,20,7,5
"S.J","2019-10-19","2019020123","20192020","BUF","1",42.8,4,11,10,90,6,14,14,3,2
"S.J","2019-10-22","2019020134","20192020","BUF","0",51.83,12,18,6,115,15,20,9,1,3
"S.J","2019-10-24","2019020145","20192020","MTL","0",49.95,8,14,13,78,18,21,28,12,6
"S.J","2019-10-25","2019020156","20192020","TOR","0",46.6,3,8,9,126,6,11,11,1,2
"S.J","2019-10-27","2019020172","20192020","OTT","0",45.58,12,9,6,91,14,12,8,2,5
"S.J","2019-10-29","2019020179","20192020","BOS","0",43.78,9,10,7,97,12,13,11,2,2
"S.J","2019-11-01","2019020203","20192020","WPG","1",50.48,11,14,4,113,16,17,13,9,2
"S.J","2019-11-02","2019020216","20192020","VAN","1",47.72,10,18,6,88,13,19,8,1,8
"S.J","2019-11-05","2019020234","20192020","CHI","1",45.92,7,10,7,93,10,14,9,1,3
"S.J","2019-11-07","2019020247","20192020","MIN","1",47.35,8,19,6,94,12,22,11,4,1
"S.J","2019-11-09","2019020262","20192020","NSH","1",48.65,13,8,6,99,21,9,10,3,3
"S.J","2019-11-12","2019020280","20192020","EDM","1",52.33,8,15,7,125,12,19,15,7,6
"S.J","2019-11-14","2019020292","20192020","ANA","0",45.82,7,13,6,66,12,16,11,5,1
"S.J","2019-11-16","2019020313","20192020","DET","1",54.58,3,18,10,120,6,23,15,5,2
"S.J","2019-11-19","2019020330","20192020","EDM","1",52.9,10,14,8,99,16,18,16,5,8
"S.J","2019-11-21","2019020344","20192020","VGK","0",53.03,8,10,11,116,10,13,21,9,5
"S.J","2019-11-23","2019020361","20192020","NYI","1",48.35,6,11,4,104,9,12,9,4,0
"S.J","2019-11-25","2019020373","20192020","L.A","0",48.15,11,10,7,107,13,14,15,5,4
"S.J","2019-11-27","2019020389","20192020","WPG","1",43.95,5,15,7,98,9,15,9,1,2
"S.J","2019-11-29","2019020397","20192020","L.A","1",51.17,5,11,8,112,13,13,16,5,4
"S.J","2019-11-30","2019020412","20192020","ARI","0",50.65,10,14,7,118,12,15,11,4,5
"S.J","2019-12-03","2019020433","20192020","WSH","1",52.98,11,14,3,106,15,17,9,4,8
"S.J","2019-12-05","2019020443","20192020","CAR","0",53.65,19,15,8,108,24,17,13,6,8
"S.J","2019-12-07","2019020456","20192020","T.B","0",47.25,10,17,11,85,13,22,17,6,1
"S.J","2019-12-08","2019020464","20192020","FLA","0",50.15,3,11,9,107,5,13,13,4,0
"S.J","2019-12-10","2019020475","20192020","NSH","0",43.17,9,6,5,93,12,9,12,4,2
"S.J","2019-12-12","2019020498","20192020","NYR","1",50.18,12,20,4,98,14,20,9,5,3
"S.J","2019-12-14","2019020514","20192020","VAN","1",48.82,5,14,12,94,9,15,21,7,3
"S.J","2019-12-17","2019020534","20192020","ARI","1",48.63,13,12,4,96,16,12,8,3,7
"S.J","2019-12-21","2019020564","20192020","STL","1",50.37,9,16,6,98,13,20,14,6,3
"S.J","2019-12-22","2019020568","20192020","VGK","1",47.1,9,11,12,95,11,14,21,7,2
"S.J","2019-12-27","2019020592","20192020","L.A","1",57.45,8,10,9,135,12,13,16,5,3
"S.J","2019-12-28","2019020601","20192020","PHI","1",53.05,12,12,6,105,18,12,15,7,8
"S.J","2019-12-31","2019020620","20192020","DET","0",47.65,15,10,4,95,21,10,8,2,6
"S.J","2020-01-02","2019020631","20192020","PIT","0",56.97,8,13,19,111,14,18,29,8,2
