"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"S.J","2019-10-02","2019020004","20192020","VGK","0",4.08,0,0,6,4,0,0,6,0,0
"S.J","2019-10-04","2019020017","20192020","VGK","1",4.77,0,2,4,6,0,2,4,0,0
"S.J","2019-10-05","2019020030","20192020","ANA","0",4.6,0,1,3,6,0,1,3,0,0
"S.J","2019-10-08","2019020041","20192020","NSH","0",7.62,0,0,7,12,1,0,7,0,0
"S.J","2019-10-10","2019020054","20192020","CHI","0",4,0,2,2,5,0,2,2,0,0
"S.J","2019-10-13","2019020077","20192020","CGY","1",7.2,0,2,5,11,0,3,5,0,0
"S.J","2019-10-16","2019020097","20192020","CAR","1",7.25,0,2,4,10,0,2,5,0,0
"S.J","2019-10-19","2019020123","20192020","BUF","1",8,0,1,7,7,0,1,8,0,0
"S.J","2019-10-22","2019020134","20192020","BUF","0",7.18,0,1,5,12,0,2,6,0,0
"S.J","2019-10-24","2019020145","20192020","MTL","0",4,0,1,4,4,0,1,4,0,0
"S.J","2019-10-25","2019020156","20192020","TOR","0",10,1,0,6,17,1,0,6,0,0
"S.J","2019-10-27","2019020172","20192020","OTT","0",5.15,1,1,6,4,1,2,6,0,0
"S.J","2019-10-29","2019020179","20192020","BOS","0",13.3,0,2,10,16,0,2,11,0,0
"S.J","2019-11-01","2019020203","20192020","WPG","1",4,1,2,2,3,1,2,3,0,0
"S.J","2019-11-02","2019020216","20192020","VAN","1",6.12,0,4,3,7,0,4,3,0,0
"S.J","2019-11-05","2019020234","20192020","CHI","1",6,0,3,5,7,0,3,6,0,0
"S.J","2019-11-07","2019020247","20192020","MIN","1",6,0,1,3,8,0,2,3,0,0
"S.J","2019-11-09","2019020262","20192020","NSH","1",7.6,0,0,7,9,0,1,7,0,0
"S.J","2019-11-12","2019020280","20192020","EDM","1",2.88,0,0,2,5,0,0,2,0,0
"S.J","2019-11-14","2019020292","20192020","ANA","0",6.32,0,2,5,10,0,2,5,0,0
"S.J","2019-11-16","2019020313","20192020","DET","1",6,0,1,3,7,0,1,4,0,0
"S.J","2019-11-19","2019020330","20192020","EDM","1",2.98,0,1,2,5,0,1,2,0,0
"S.J","2019-11-21","2019020344","20192020","VGK","0",6,0,0,6,7,0,0,6,0,0
"S.J","2019-11-23","2019020361","20192020","NYI","1",12,0,1,9,16,0,2,10,0,0
"S.J","2019-11-25","2019020373","20192020","L.A","0",10.43,0,1,10,9,0,2,10,0,0
"S.J","2019-11-27","2019020389","20192020","WPG","1",4.38,0,0,4,6,0,0,5,0,0
