"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"STL","2019-10-02","2019020002","20192020","WSH","1",53.72,33.33,37.78,38.33,38.89,43.53,1,2,17,28,23,37,28,44,1.44,1.87,-1,-11,-14,-16,-0.43
"STL","2019-10-05","2019020024","20192020","DAL","1",49.75,75,54.35,56.92,56.79,36.53,3,1,25,21,37,28,46,35,1,1.74,2,4,9,11,-0.74
"STL","2019-10-07","2019020034","20192020","TOR","0",47.37,60,44.23,39.76,38.1,39.63,3,2,23,29,33,50,40,65,1.83,2.79,1,-6,-17,-25,-0.96
"STL","2019-10-10","2019020051","20192020","OTT","0",52.38,57.14,53.45,50.59,48.18,44.45,4,3,31,27,43,42,53,57,1.85,2.32,1,4,1,-4,-0.46
"STL","2019-10-12","2019020065","20192020","MTL","0",48.8,28.57,43.64,40.85,38.89,24.7,2,5,24,31,29,42,35,55,0.97,2.94,-3,-7,-13,-20,-1.98
"STL","2019-10-14","2019020081","20192020","NYI","0",54.97,33.33,45.45,49.09,46.74,37.69,1,2,20,24,27,28,43,49,1.16,1.93,-1,-4,-1,-6,-0.76
"STL","2019-10-17","2019020101","20192020","VAN","1",51.9,60,49.15,49.33,52.22,58.04,3,2,29,30,37,38,47,43,3.58,2.59,1,-1,-1,4,0.99
"STL","2019-10-19","2019020114","20192020","MTL","1",41.02,33.33,60.53,63.04,66.04,64.94,1,2,23,15,29,17,35,18,1.55,0.84,-1,8,12,17,0.71
"STL","2019-10-21","2019020131","20192020","COL","1",41.53,0,66.67,65,61.02,58.52,0,0,18,9,26,14,36,23,1.44,1.02,0,9,12,13,0.42
"STL","2019-10-24","2019020149","20192020","L.A","1",46.52,33.33,54.17,59.09,64.63,64.55,1,2,26,22,39,27,53,29,1.97,1.08,-1,4,12,24,0.89
"STL","2019-10-26","2019020162","20192020","BOS","0",42.52,0,53.12,47.73,46.55,47.4,0,1,17,15,21,23,27,31,0.71,0.79,-1,2,-2,-4,-0.08
"STL","2019-10-27","2019020171","20192020","DET","0",51.7,50,27.91,32.81,31.76,31.66,3,3,12,31,21,43,27,58,1.17,2.54,0,-19,-22,-31,-1.36
"STL","2019-10-30","2019020190","20192020","MIN","1",48.33,66.67,39.13,40.68,41.89,30.7,2,1,18,28,24,35,31,43,1.07,2.42,1,-10,-11,-12,-1.35
"STL","2019-11-01","2019020200","20192020","CBJ","1",48.25,50,45.83,46.97,51.81,39.41,2,2,22,26,31,35,43,40,1.66,2.56,0,-4,-4,3,-0.89
"STL","2019-11-02","2019020213","20192020","MIN","0",52.97,66.67,55.1,53.12,55.17,59.18,4,2,27,22,34,30,48,39,1.59,1.09,2,5,4,9,0.49
"STL","2019-11-05","2019020232","20192020","VAN","0",51.47,66.67,48.08,43.94,44.83,48.93,2,1,25,27,29,37,39,48,2.47,2.58,1,-2,-8,-9,-0.11
"STL","2019-11-06","2019020236","20192020","EDM","0",51.37,50,36.17,40.91,45.26,46.07,1,1,17,30,27,39,43,52,2.38,2.78,0,-13,-12,-9,-0.41
"STL","2019-11-09","2019020261","20192020","CGY","0",54.6,33.33,46.81,47.62,46.34,41.23,1,2,22,25,30,33,38,44,1.47,2.1,-1,-3,-3,-6,-0.63
"STL","2019-11-12","2019020275","20192020","ARI","1",53.32,66.67,67.35,67.19,70.59,74.32,2,1,33,16,43,21,60,25,2.2,0.76,1,17,22,35,1.44
"STL","2019-11-15","2019020297","20192020","CBJ","0",55.05,33.33,40.68,45.95,49.49,46.26,1,2,24,35,34,40,49,50,1.84,2.14,-1,-11,-6,-1,-0.3
"STL","2019-11-16","2019020309","20192020","ANA","1",47.53,33.33,69.57,70,70,62.77,1,2,32,14,42,18,49,21,2.18,1.29,-1,18,24,28,0.89
"STL","2019-11-19","2019020324","20192020","T.B","1",48.05,66.67,61.9,57.38,55.56,57.78,2,1,26,16,35,26,45,36,2,1.46,1,10,9,9,0.54
"STL","2019-11-21","2019020338","20192020","CGY","1",53.42,100,45.31,44.32,43.27,57.43,4,0,29,35,39,49,45,59,2.5,1.85,4,-6,-10,-14,0.65
"STL","2019-11-23","2019020358","20192020","NSH","1",47.6,25,40,39.71,46.51,32.27,1,3,22,33,27,41,40,46,1.05,2.2,-2,-11,-14,-6,-1.15
"STL","2019-11-25","2019020370","20192020","NSH","0",53.32,50,42,41.18,40.22,35.03,2,2,21,29,28,40,37,55,1.59,2.94,0,-8,-12,-18,-1.36
"STL","2019-11-27","2019020380","20192020","T.B","0",48.45,50,50.94,51.67,47.95,49.25,2,2,27,26,31,29,35,38,1.59,1.64,0,1,2,-3,-0.05
"STL","2019-11-29","2019020402","20192020","DAL","0",54.32,66.67,53.97,53.16,55.46,49.63,2,1,34,29,42,37,66,53,2.95,2.99,1,5,5,13,-0.04
"STL","2019-11-30","2019020411","20192020","PIT","1",50.37,66.67,39.02,37.5,41.1,38.7,4,2,16,25,21,35,30,43,1.26,1.99,2,-9,-14,-13,-0.74
"STL","2019-12-02","2019020422","20192020","CHI","0",53.18,100,43.75,41.56,45.45,49.41,3,0,28,36,32,45,45,54,2.32,2.38,3,-8,-13,-9,-0.06
"STL","2019-12-04","2019020435","20192020","PIT","0",40.98,0,40.43,39.29,41.79,31.19,0,3,19,28,22,34,28,39,1.25,2.75,-3,-9,-12,-11,-1.5
"STL","2019-12-07","2019020459","20192020","TOR","1",49.23,50,55.56,56.67,50,49.95,2,2,25,20,34,26,44,44,1.72,1.72,0,5,8,0,0
