"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"STL","2015-10-08","2015020008","20152016","EDM","1",6.18,0,50,66.67,75,58.49,0,0,3,3,6,3,9,3,0.32,0.23,0,0,3,6,0.09
"STL","2015-10-10","2015020025","20152016","MIN","0",5.45,100,100,100,100,100,1,0,7,0,9,0,12,0,0.95,0,1,7,9,12,0.95
"STL","2015-10-13","2015020044","20152016","CGY","0",0.45,100,100,100,100,100,1,0,1,0,1,0,1,0,0.03,0,1,1,1,1,0.03
"STL","2015-10-15","2015020056","20152016","EDM","0",3.65,100,100,100,83.33,100,1,0,3,0,4,0,5,1,0.35,0,1,3,4,4,0.35
"STL","2015-10-16","2015020062","20152016","VAN","0",7.57,0,75,85.71,90.91,89.16,0,1,3,1,6,1,10,1,0.54,0.07,-1,2,5,9,0.47
"STL","2015-10-18","2015020076","20152016","WPG","0",10.85,100,92.86,92.86,90.48,97.12,1,0,13,1,13,1,19,2,1.32,0.04,1,12,12,17,1.28
"STL","2015-10-20","2015020085","20152016","MTL","0",4.15,0,25,40,50,36.97,0,0,1,3,2,3,3,3,0.09,0.16,0,-2,-1,0,-0.06
"STL","2015-10-24","2015020111","20152016","NYI","1",10,0,100,100,90,100,0,0,5,0,8,0,9,1,0.55,0,0,5,8,8,0.55
"STL","2015-10-27","2015020129","20152016","T.B","1",4.47,0,100,100,100,100,0,0,1,0,4,0,4,0,0.19,0,0,1,4,4,0.19
"STL","2015-10-29","2015020141","20152016","ANA","1",7.63,0,80,75,80,52.7,0,0,4,1,6,2,8,2,0.26,0.24,0,3,4,6,0.03
"STL","2015-10-31","2015020162","20152016","MIN","1",2,0,100,100,100,100,0,0,1,0,1,0,1,0,0.04,0,0,1,1,1,0.04
"STL","2015-11-03","2015020177","20152016","L.A","1",5.48,0,66.67,62.5,70,58.75,0,0,4,2,5,3,7,3,0.35,0.25,0,2,2,4,0.11
"STL","2015-11-04","2015020182","20152016","CHI","0",1.05,100,100,100,100,100,1,0,1,0,2,0,2,0,0.2,0,1,1,2,2,0.2
"STL","2015-11-07","2015020206","20152016","NSH","0",3.48,100,100,100,100,100,2,0,4,0,8,0,9,0,0.49,0,2,4,8,9,0.49
"STL","2015-11-10","2015020216","20152016","N.J","0",4,0,50,66.67,80,79.3,0,0,1,1,2,1,4,1,0.17,0.04,0,0,1,3,0.12
