"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"STL","2017-10-04","2017020002","20172018","PIT","0",6.32,0,25,14.29,10,6.14,0,1,1,3,1,6,1,9,0.08,1.19,-1,-2,-5,-8,-1.12
"STL","2017-10-07","2017020024","20172018","DAL","1",6.88,0,13.33,11.11,9.52,0.92,0,1,2,13,2,16,2,19,0.02,1.67,-1,-11,-14,-17,-1.66
"STL","2017-10-09","2017020033","20172018","NYI","0",10.62,0,21.43,14.29,12,0.74,0,0,3,11,3,18,3,22,0.01,1.83,0,-8,-15,-19,-1.81
"STL","2017-10-10","2017020039","20172018","NYR","0",6.63,0,20,16.67,12.5,30.08,0,1,1,4,1,5,1,7,0.22,0.52,-1,-3,-4,-6,-0.3
"STL","2017-10-12","2017020052","20172018","FLA","0",9.5,0,8.33,6.67,10,0.96,0,1,1,11,1,14,2,18,0.01,1.22,-1,-10,-13,-16,-1.2
"STL","2017-10-14","2017020064","20172018","T.B","0",3.33,0,50,33.33,25,3.52,0,1,2,2,2,4,2,6,0.01,0.24,-1,0,-2,-4,-0.23
"STL","2017-10-18","2017020093","20172018","CHI","1",11.28,0,12.5,15.38,10.53,16.73,0,1,1,7,2,11,2,17,0.16,0.77,-1,-6,-9,-15,-0.62
"STL","2017-10-19","2017020101","20172018","COL","0",3.25,0,0,0,0,0,0,1,0,12,0,12,0,12,0,1.46,-1,-12,-12,-12,-1.46
"STL","2017-10-21","2017020121","20172018","VGK","0",4.03,0,16.67,12.5,11.11,37.44,0,2,1,5,1,7,1,8,0.31,0.52,-2,-4,-6,-7,-0.21
"STL","2017-10-25","2017020137","20172018","CGY","1",3.88,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0.22,0,-3,-3,-6,-0.22
"STL","2017-10-27","2017020152","20172018","CAR","0",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL","2017-10-28","2017020162","20172018","CBJ","1",4,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.13,0,-2,-2,-2,-0.13
"STL","2017-10-30","2017020175","20172018","L.A","1",4.32,0,0,11.11,9.09,3.13,0,1,0,4,1,8,1,10,0.03,0.83,-1,-4,-7,-9,-0.81
"STL","2017-11-02","2017020191","20172018","PHI","1",4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0.25,0,0,-3,-3,-0.25
"STL","2017-11-04","2017020205","20172018","TOR","1",4,0,20,14.29,14.29,6.25,0,0,1,4,1,6,1,6,0.03,0.43,0,-3,-5,-5,-0.4
"STL","2017-11-07","2017020224","20172018","N.J","0",7.95,0,28.57,25,30.77,20.62,0,0,2,5,3,9,4,9,0.24,0.93,0,-3,-6,-5,-0.69
"STL","2017-11-09","2017020238","20172018","ARI","1",4.48,0,25,16.67,15.38,1.71,0,1,2,6,2,10,2,11,0.02,0.96,-1,-4,-8,-9,-0.94
"STL","2017-11-11","2017020257","20172018","NYI","1",2,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0.16,0,-2,-2,-3,-0.16
"STL","2017-11-13","2017020266","20172018","CGY","0",4.45,0,12.5,22.22,22.22,5.07,0,1,1,7,2,7,2,7,0.05,0.99,-1,-6,-5,-5,-0.94
"STL","2017-11-16","2017020286","20172018","EDM","0",5.73,50,42.86,27.27,21.43,19.49,1,1,3,4,3,8,3,11,0.16,0.67,0,-1,-5,-8,-0.51
"STL","2017-11-18","2017020303","20172018","VAN","0",4.57,0,42.86,33.33,30,32.56,0,1,3,4,3,6,3,7,0.39,0.8,-1,-1,-3,-4,-0.41
"STL","2017-11-21","2017020317","20172018","EDM","1",2,0,33.33,20,20,5.07,0,0,1,2,1,4,1,4,0.01,0.26,0,-1,-3,-3,-0.25
"STL","2017-11-24","2017020344","20172018","NSH","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL","2017-11-25","2017020354","20172018","MIN","1",3.62,33.33,40,33.33,22.22,29.05,1,2,2,3,2,4,2,7,0.25,0.61,-1,-1,-2,-5,-0.36
"STL","2017-11-29","2017020379","20172018","ANA","1",9.92,0,50,46.67,42.11,6.23,0,2,7,7,7,8,8,11,0.06,0.85,-2,0,-1,-3,-0.8
"STL","2017-12-01","2017020393","20172018","L.A","1",5.25,0,28.57,22.22,20,0.78,0,0,2,5,2,7,2,8,0.01,0.91,0,-3,-5,-6,-0.91
"STL","2017-12-02","2017020397","20172018","MIN","0",6,0,0,0,0,0,0,0,0,4,0,7,0,7,0,0.42,0,-4,-7,-7,-0.42
"STL","2017-12-05","2017020418","20172018","MTL","0",2,0,25,20,20,37.97,0,0,1,3,1,4,1,4,0.14,0.23,0,-2,-3,-3,-0.09
"STL","2017-12-07","2017020435","20172018","DAL","1",2.38,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0.38,0,-5,-5,-5,-0.38
"STL","2017-12-09","2017020446","20172018","DET","0",5.87,0,0,0,0,0,0,0,0,3,0,8,0,11,0,0.58,0,-3,-8,-11,-0.58
"STL","2017-12-10","2017020458","20172018","BUF","1",6.8,0,14.29,14.29,11.11,31.54,0,1,1,6,1,6,1,8,0.2,0.44,-1,-5,-5,-7,-0.24
"STL","2017-12-12","2017020471","20172018","T.B","1",6,0,0,0,0,0,0,0,0,4,0,5,0,13,0,0.53,0,-4,-5,-13,-0.53
"STL","2017-12-14","2017020483","20172018","ANA","1",1.62,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0.29,0,0,-2,-3,-0.29
"STL","2017-12-16","2017020501","20172018","WPG","1",7.45,0,23.08,18.75,20,14.6,0,0,3,10,3,13,4,16,0.27,1.57,0,-7,-10,-12,-1.3
"STL","2017-12-17","2017020507","20172018","WPG","0",5.33,0,0,0,0,0,0,1,0,5,0,7,0,7,0,0.45,-1,-5,-7,-7,-0.45
"STL","2017-12-20","2017020528","20172018","CGY","0",8,0,0,0,0,0,0,0,0,10,0,12,0,17,0,0.77,0,-10,-12,-17,-0.77
"STL","2017-12-21","2017020536","20172018","EDM","0",6,0,33.33,22.22,14.29,35.5,0,0,2,4,2,7,2,12,0.17,0.31,0,-2,-5,-10,-0.14
"STL","2017-12-23","2017020556","20172018","VAN","0",2,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0.16,0,-1,-2,-3,-0.16
"STL","2017-12-27","2017020564","20172018","NSH","1",10,0,25,21.43,21.05,2.31,0,0,2,6,3,11,4,15,0.02,1.04,0,-4,-8,-11,-1.01
"STL","2017-12-29","2017020583","20172018","DAL","0",6.28,0,25,16.67,12.5,2.97,0,1,2,6,2,10,2,14,0.02,0.65,-1,-4,-8,-12,-0.63
"STL","2017-12-30","2017020590","20172018","CAR","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STL","2018-01-02","2017020607","20172018","N.J","1",2.15,0,0,0,0,0,0,1,0,3,0,6,0,6,0,0.96,-1,-3,-6,-6,-0.96
"STL","2018-01-04","2017020621","20172018","VGK","1",2,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0.18,0,-2,-2,-3,-0.18
"STL","2018-01-06","2017020633","20172018","PHI","0",6.55,0,30,33.33,28.57,14.17,0,1,3,7,4,8,4,10,0.12,0.75,-1,-4,-4,-6,-0.63
"STL","2018-01-07","2017020644","20172018","WSH","0",5.33,0,0,12.5,12.5,0.58,0,2,0,6,1,7,1,7,0,0.52,-2,-6,-6,-6,-0.52
"STL","2018-01-09","2017020657","20172018","FLA","1",3.75,0,40,37.5,30,23.1,0,0,2,3,3,5,3,7,0.11,0.35,0,-1,-2,-4,-0.25
"STL","2018-01-16","2017020687","20172018","TOR","0",2,0,50,50,25,3.82,0,0,1,1,1,1,1,3,0,0.11,0,0,0,-2,-0.11
"STL","2018-01-18","2017020700","20172018","OTT","0",3.33,0,40,33.33,22.22,50.85,0,0,2,3,2,4,2,7,0.33,0.31,0,-1,-2,-5,0.01
"STL","2018-01-20","2017020715","20172018","ARI","1",5.93,0,0,0,0,0,0,1,0,6,0,6,0,8,0,0.37,-1,-6,-6,-8,-0.37
"STL","2018-01-23","2017020736","20172018","OTT","1",7.03,0,0,0,0,0,0,0,0,6,0,8,0,11,0,0.59,0,-6,-8,-11,-0.59
"STL","2018-01-25","2017020753","20172018","COL","1",4,0,50,40,33.33,50.9,0,0,2,2,2,3,2,4,0.15,0.14,0,0,-1,-2,0.01
"STL","2018-01-30","2017020767","20172018","MTL","1",2.37,0,50,33.33,33.33,2.87,0,0,1,1,1,2,1,2,0,0.1,0,0,-1,-1,-0.09
