"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"STL","2019-10-02","2019020002","20192020","WSH","1",53.72,9,9,22,23,3,2,0,0,-1,28,22,6
"STL","2019-10-05","2019020024","20192020","DAL","1",49.75,5,6,17,22,1,2,0,0,1,24,22,2
"STL","2019-10-07","2019020034","20192020","TOR","0",47.37,10,4,23,13,2,3,0,0,1,23,23,0
"STL","2019-10-10","2019020051","20192020","OTT","0",52.38,8,5,31,28,0,3,0,0,3,24,31,-7
"STL","2019-10-12","2019020065","20192020","MTL","0",48.8,11,5,25,29,5,1,0,0,-4,35,24,11
"STL","2019-10-14","2019020081","20192020","NYI","0",54.97,13,8,21,33,0,2,0,0,2,33,20,13
"STL","2019-10-17","2019020101","20192020","VAN","1",51.9,8,9,11,14,2,3,0,0,1,23,22,1
"STL","2019-10-19","2019020114","20192020","MTL","1",41.02,2,7,12,12,5,2,0,0,-3,27,17,10
"STL","2019-10-21","2019020131","20192020","COL","1",41.53,8,6,17,16,5,5,0,0,0,25,18,7
"STL","2019-10-24","2019020149","20192020","L.A","1",46.52,1,8,20,18,3,2,1,1,-1,18,17,1
"STL","2019-10-26","2019020162","20192020","BOS","0",42.52,7,12,25,21,6,6,0,0,0,18,13,5
"STL","2019-10-27","2019020171","20192020","DET","0",51.7,9,3,19,13,2,3,0,0,1,20,13,7
"STL","2019-10-30","2019020190","20192020","MIN","1",48.33,6,3,11,16,2,3,0,0,1,24,16,8
"STL","2019-11-01","2019020200","20192020","CBJ","1",48.25,6,6,21,12,2,2,0,0,0,19,27,-8
"STL","2019-11-02","2019020213","20192020","MIN","0",52.97,6,5,12,20,2,2,0,0,0,22,30,-8
"STL","2019-11-05","2019020232","20192020","VAN","0",51.47,5,5,16,27,5,3,0,0,-2,18,21,-3
"STL","2019-11-06","2019020236","20192020","EDM","0",51.37,7,9,20,15,2,1,0,0,-1,29,17,12
"STL","2019-11-09","2019020261","20192020","CGY","0",54.6,7,8,19,18,3,3,0,0,0,26,24,2
"STL","2019-11-12","2019020275","20192020","ARI","1",53.32,10,7,22,10,1,2,0,0,1,31,20,11
"STL","2019-11-15","2019020297","20192020","CBJ","0",55.05,13,3,18,15,2,3,0,0,1,27,33,-6
"STL","2019-11-16","2019020309","20192020","ANA","1",47.53,6,5,27,19,3,3,0,0,0,17,22,-5
"STL","2019-11-19","2019020324","20192020","T.B","1",48.05,9,11,15,30,3,4,0,0,1,30,24,6
"STL","2019-11-21","2019020338","20192020","CGY","1",53.42,7,7,10,20,1,1,1,1,0,27,22,5
"STL","2019-11-23","2019020358","20192020","NSH","1",47.6,7,5,24,18,2,2,0,0,0,21,28,-7
"STL","2019-11-25","2019020370","20192020","NSH","0",53.32,6,3,15,22,3,2,1,1,-1,17,32,-15
"STL","2019-11-27","2019020380","20192020","T.B","0",48.45,4,2,19,22,2,0,0,0,-2,28,24,4
"STL","2019-11-29","2019020402","20192020","DAL","0",54.32,14,9,19,34,0,2,0,0,2,22,27,-5
"STL","2019-11-30","2019020411","20192020","PIT","1",50.37,8,9,14,13,2,2,0,0,0,16,20,-4
"STL","2019-12-02","2019020422","20192020","CHI","0",53.18,4,9,26,28,2,2,0,0,0,26,20,6
"STL","2019-12-04","2019020435","20192020","PIT","0",40.98,4,3,38,33,3,4,0,0,1,14,20,-6
"STL","2019-12-07","2019020459","20192020","TOR","1",49.23,3,9,24,8,1,4,1,1,3,23,20,3
"STL","2019-12-10","2019020472","20192020","BUF","0",50.52,6,3,22,17,2,2,0,0,0,23,19,4
"STL","2019-12-12","2019020492","20192020","VGK","1",51.93,6,7,17,14,3,0,0,0,-3,17,18,-1
"STL","2019-12-14","2019020512","20192020","CHI","1",49.38,4,10,16,9,1,3,0,0,2,21,22,-1
"STL","2019-12-16","2019020522","20192020","COL","1",53.17,3,9,17,20,3,2,0,0,-1,24,17,7
"STL","2019-12-18","2019020537","20192020","EDM","1",44.63,9,11,17,9,1,3,0,0,2,14,22,-8
"STL","2019-12-21","2019020564","20192020","S.J","0",50.37,7,12,11,18,2,2,0,0,0,24,23,1
"STL","2019-12-23","2019020581","20192020","L.A","0",51.27,5,3,6,17,3,2,0,0,-1,27,20,7
"STL","2019-12-27","2019020587","20192020","WPG","0",54.27,5,6,17,23,2,3,0,0,1,23,19,4
"STL","2019-12-29","2019020602","20192020","WPG","1",50.38,6,8,18,19,2,1,0,0,-1,29,17,12
"STL","2019-12-31","2019020624","20192020","ARI","0",44.73,4,2,23,18,3,3,0,0,0,18,15,3
"STL","2020-01-02","2019020634","20192020","COL","0",49.55,6,11,15,14,4,3,0,0,-1,16,34,-18
"STL","2020-01-04","2019020644","20192020","VGK","0",55.33,1,8,28,34,4,6,0,0,2,38,20,18
"STL","2020-01-07","2019020670","20192020","S.J","1",52.8,9,5,16,27,1,3,0,0,2,31,20,11
"STL","2020-01-09","2019020683","20192020","BUF","1",55.5,5,10,16,23,2,1,0,0,-1,26,22,4
"STL","2020-01-11","2019020698","20192020","NYR","1",50.3,4,8,12,15,2,3,0,0,1,15,24,-9
"STL","2020-01-13","2019020713","20192020","ANA","1",55.88,7,12,16,18,3,2,0,0,-1,27,19,8
"STL","2020-01-15","2019020726","20192020","PHI","1",49.33,4,6,17,21,3,5,0,0,2,27,23,4
"STL","2020-01-18","2019020744","20192020","COL","0",45.62,7,12,17,15,1,4,0,0,3,20,13,7
"STL","2020-01-27","2019020772","20192020","VAN","0",45.83,3,6,22,18,3,2,0,0,-1,18,26,-8
"STL","2020-01-28","2019020775","20192020","CGY","0",58.67,9,6,18,18,3,2,0,0,-1,24,28,-4
"STL","2020-01-31","2019020790","20192020","EDM","0",50.97,9,1,34,19,1,2,0,0,1,25,33,-8
"STL","2020-02-01","2019020799","20192020","WPG","0",53.6,4,5,12,13,2,3,0,0,1,28,20,8
"STL","2020-02-04","2019020820","20192020","CAR","1",47.12,4,9,18,10,4,4,0,0,0,18,13,5
"STL","2020-02-06","2019020834","20192020","WPG","1",54.35,6,5,27,13,1,2,0,0,1,29,22,7
"STL","2020-02-08","2019020852","20192020","DAL","1",49.07,6,4,27,29,3,3,0,0,0,23,20,3
"STL","2020-03-11","2019020876","20192020","ANA","0",52.57,13,4,20,25,1,2,0,0,1,22,28,-6
"STL","2020-02-13","2019020889","20192020","VGK","0",52.72,4,8,41,43,5,3,0,0,-2,26,28,-2
"STL","2020-02-15","2019020896","20192020","NSH","1",45.47,4,5,31,13,5,5,2,2,0,20,25,-5
"STL","2020-02-16","2019020912","20192020","NSH","0",51.67,4,4,13,19,2,1,0,0,-1,13,27,-14
"STL","2020-02-18","2019020924","20192020","N.J","1",51.7,7,12,13,13,3,1,0,0,-2,16,26,-10
"STL","2020-02-20","2019020938","20192020","ARI","1",46.62,6,8,15,10,2,2,0,0,0,14,23,-9
"STL","2020-02-21","2019020944","20192020","DAL","0",50,9,6,22,25,6,3,0,0,-3,17,16,1
"STL","2020-02-23","2019020964","20192020","MIN","0",47.78,3,1,9,10,2,2,0,0,0,26,16,10
"STL","2020-02-25","2019020976","20192020","CHI","1",46.57,4,7,11,11,2,3,0,0,1,26,23,3
"STL","2020-02-27","2019020990","20192020","NYI","1",58.55,5,10,18,17,2,1,0,0,-1,30,19,11
"STL","2020-02-29","2019021006","20192020","DAL","1",58.32,3,8,26,27,0,3,0,0,3,30,26,4
"STL","2020-03-03","2019021021","20192020","NYR","0",52.43,5,3,32,23,3,1,0,0,-2,18,11,7
"STL","2020-03-06","2019021043","20192020","N.J","0",48.07,9,10,21,18,1,3,0,0,2,26,27,-1
"STL","2020-03-08","2019021061","20192020","CHI","0",44.18,8,9,30,26,5,3,1,1,-2,19,17,2
"STL","2020-03-09","2019021075","20192020","FLA","1",52.02,9,6,5,11,1,2,0,0,1,29,28,1
"STL","Total","-","20192020","-","-",50.38,455,480,1379,1364,174,180,7,7,6,1652,1558,94
