"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"STL","2015-10-08","2015020008","20152016","EDM","1",4.05,1,0,0,1,0,0,0,0,0,4,1,3
"STL","2015-10-10","2015020025","20152016","MIN","0",4.4,0,0,0,0,0,0,0,0,0,2,3,-1
"STL","2015-10-13","2015020044","20152016","CGY","0",6.28,1,0,1,0,0,0,0,0,0,4,3,1
"STL","2015-10-15","2015020056","20152016","EDM","0",10,2,1,6,1,0,0,0,0,0,3,9,-6
"STL","2015-10-16","2015020062","20152016","VAN","0",9.57,1,1,1,0,0,0,0,0,0,3,7,-4
"STL","2015-10-18","2015020076","20152016","WPG","0",8.68,1,1,2,1,0,1,0,0,1,8,7,1
"STL","2015-10-20","2015020085","20152016","MTL","0",4,2,1,1,0,0,0,0,0,0,3,2,1
"STL","2015-10-24","2015020111","20152016","NYI","1",4.43,0,0,0,1,0,0,0,0,0,0,3,-3
"STL","2015-10-27","2015020129","20152016","T.B","1",0.47,0,0,0,0,0,0,0,0,0,1,0,1
"STL","2015-10-29","2015020141","20152016","ANA","1",5.37,1,0,1,2,0,1,0,0,1,5,3,2
"STL","2015-10-31","2015020162","20152016","MIN","1",6.98,0,2,2,0,2,2,0,0,0,4,3,1
"STL","2015-11-03","2015020177","20152016","L.A","1",6.68,0,0,1,0,0,0,0,0,0,4,7,-3
"STL","2015-11-04","2015020182","20152016","CHI","0",6.65,0,1,0,0,0,1,0,0,1,3,4,-1
"STL","2015-11-07","2015020206","20152016","NSH","0",8.47,0,0,0,2,2,0,0,0,-2,1,7,-6
"STL","2015-11-10","2015020216","20152016","N.J","0",2,0,1,0,0,0,0,0,0,0,0,2,-2
"STL","2015-11-12","2015020231","20152016","NYR","0",3.3,0,0,0,1,0,0,0,0,0,1,1,0
"STL","2015-11-14","2015020256","20152016","CHI","1",6.98,0,0,1,0,0,0,0,0,0,2,3,-1
"STL","2015-11-16","2015020266","20152016","WPG","1",10,1,0,2,3,0,0,0,0,0,3,7,-4
"STL","2015-11-17","2015020271","20152016","CBJ","0",8,0,1,1,0,0,0,0,0,0,3,5,-2
"STL","2015-11-19","2015020286","20152016","BUF","1",5.42,0,0,0,0,2,0,0,0,-2,1,5,-4
"STL","2015-11-21","2015020300","20152016","DET","1",3.62,0,0,0,0,0,0,0,0,0,3,2,1
"STL","2015-11-23","2015020308","20152016","BUF","0",4,0,0,0,0,0,0,0,0,0,3,2,1
"STL","2015-11-25","2015020321","20152016","PIT","0",6.27,0,0,0,1,0,1,0,0,1,3,4,-1
"STL","2015-11-28","2015020347","20152016","CBJ","1",2,0,0,0,0,0,0,0,0,0,4,1,3
"STL","2015-12-01","2015020363","20152016","FLA","1",2,0,1,0,0,0,0,0,0,0,0,1,-1
"STL","2015-12-04","2015020384","20152016","NYI","0",4,0,0,4,1,0,0,0,0,0,1,1,0
"STL","2015-12-05","2015020393","20152016","TOR","1",6.4,0,1,0,1,0,1,0,0,1,2,5,-3
"STL","2015-12-08","2015020413","20152016","ARI","1",8,0,0,3,0,0,0,0,0,0,4,7,-3
"STL","2015-12-10","2015020424","20152016","PHI","1",2,0,0,0,2,0,0,0,0,0,2,0,2
"STL","2015-12-12","2015020440","20152016","DAL","1",6.7,0,4,1,1,2,1,0,0,-1,3,5,-2
"STL","2015-12-13","2015020446","20152016","COL","1",3.65,0,2,0,1,1,0,0,0,-1,2,0,2
"STL","2015-12-15","2015020461","20152016","WPG","0",4,0,0,0,1,0,0,0,0,0,2,3,-1
"STL","2015-12-17","2015020471","20152016","NSH","1",5.22,0,0,0,0,0,0,0,0,0,4,2,2
"STL","2015-12-19","2015020484","20152016","CGY","1",8,0,1,3,1,0,0,0,0,0,7,5,2
"STL","2015-12-21","2015020500","20152016","PHI","0",5.35,2,1,1,0,0,0,0,0,0,1,4,-3
"STL","2015-12-22","2015020507","20152016","BOS","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"STL","2015-12-26","2015020521","20152016","DAL","1",2,0,1,0,0,0,0,0,0,0,1,0,1
"STL","2015-12-27","2015020529","20152016","DAL","0",4.1,2,1,3,0,0,0,0,0,0,4,0,4
"STL","2015-12-29","2015020546","20152016","NSH","1",6,0,1,1,1,0,0,0,0,0,6,3,3
"STL","2015-12-31","2015020559","20152016","MIN","1",2,0,1,0,0,0,0,0,0,0,1,0,1
"STL","2016-01-02","2015020570","20152016","TOR","0",7.07,1,2,2,1,0,0,0,0,0,2,9,-7
"STL","2016-01-04","2015020584","20152016","OTT","1",2.03,0,0,1,0,0,1,0,0,1,2,1,1
"STL","2016-01-06","2015020598","20152016","COL","0",5.43,0,1,0,0,1,0,0,0,-1,0,5,-5
"STL","2016-01-08","2015020613","20152016","ANA","0",7.4,2,0,3,0,0,0,0,0,0,0,6,-6
"STL","2016-01-09","2015020623","20152016","L.A","0",8,3,0,2,1,0,0,0,0,0,4,5,-1
"STL","2016-01-12","2015020636","20152016","N.J","1",4.2,0,1,2,0,0,0,0,0,0,3,1,2
"STL","2016-01-14","2015020649","20152016","CAR","1",5.75,1,0,1,0,0,0,0,0,0,4,1,3
"STL","2016-01-16","2015020665","20152016","MTL","1",12.45,1,0,1,0,3,1,0,0,-2,1,9,-8
"STL","2016-01-18","2015020678","20152016","PIT","1",4,0,1,1,0,0,0,0,0,0,2,3,-1
"STL","2016-01-20","2015020690","20152016","DET","0",4.78,0,0,2,2,1,1,0,0,0,3,2,1
"STL","2016-01-22","2015020708","20152016","COL","0",5.97,0,0,0,0,0,0,0,0,0,2,6,-4
"STL","2016-01-24","2015020723","20152016","CHI","0",0.7,0,0,0,0,0,0,0,0,0,1,1,0
"STL","2016-02-02","2015020750","20152016","NSH","0",6,1,3,0,2,0,0,0,0,0,3,6,-3
"STL","2016-02-04","2015020765","20152016","S.J","1",4.87,0,0,0,0,0,1,0,0,1,4,0,4
"STL","2016-02-06","2015020782","20152016","MIN","1",11.42,1,1,1,2,1,0,0,0,-1,7,11,-4
"STL","2016-02-09","2015020800","20152016","WPG","1",10,0,1,1,0,0,0,0,0,0,5,6,-1
"STL","2016-02-12","2015020823","20152016","FLA","0",5.95,0,1,1,1,0,0,0,0,0,1,5,-4
"STL","2016-02-14","2015020838","20152016","T.B","0",6,1,0,2,0,0,0,0,0,0,3,2,1
"STL","2016-02-16","2015020853","20152016","DAL","1",13.47,0,4,1,0,1,1,0,0,0,10,5,5
"STL","2016-02-18","2015020864","20152016","L.A","1",9.22,1,1,2,2,1,1,0,0,0,4,5,-1
"STL","2016-02-20","2015020881","20152016","ARI","0",4,0,0,3,0,0,0,0,0,0,3,1,2
"STL","2016-02-22","2015020892","20152016","S.J","1",8.92,1,3,2,0,1,1,0,0,0,2,9,-7
"STL","2016-02-25","2015020910","20152016","NYR","1",4,0,2,0,0,0,0,0,0,0,0,3,-3
"STL","2016-02-27","2015020924","20152016","NSH","0",9.48,1,2,3,1,0,0,0,0,0,5,1,4
"STL","2016-02-28","2015020931","20152016","CAR","0",5.87,1,0,2,0,0,0,0,0,0,5,2,3
"STL","2016-03-01","2015020946","20152016","OTT","0",4.32,0,0,0,0,0,0,0,0,0,2,2,0
"STL","2016-03-06","2015020985","20152016","MIN","0",8,0,3,2,0,0,0,0,0,0,4,4,0
"STL","2016-03-09","2015021002","20152016","CHI","1",9,0,1,0,0,0,0,0,0,0,5,5,0
"STL","2016-03-11","2015021015","20152016","ANA","1",4.93,1,2,1,0,0,0,0,0,0,2,2,0
"STL","2016-03-12","2015021025","20152016","DAL","0",3.68,0,1,0,0,0,0,0,0,0,2,0,2
"STL","2016-03-14","2015021035","20152016","CGY","0",4.75,2,0,1,0,0,0,0,0,0,4,2,2
"STL","2016-03-16","2015021049","20152016","EDM","0",6.37,0,1,2,0,0,0,0,0,0,3,6,-3
"STL","2016-03-19","2015021075","20152016","VAN","0",6,0,1,0,1,0,0,0,0,0,3,2,1
