"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"T.B","2015-10-08","2015020007","20152016","PHI","1",50.83,66.67,63.41,60,52.5,66.16,2,1,26,15,36,24,42,38,2.09,1.07,1,11,12,4,1.02
"T.B","2015-10-10","2015020017","20152016","BUF","0",49.78,75,52.08,50.72,47.62,57.71,3,1,25,23,35,34,40,44,1.67,1.23,2,2,1,-4,0.45
"T.B","2015-10-12","2015020032","20152016","BOS","0",49.2,100,45.24,48.33,49.33,53.03,4,0,19,23,29,31,37,38,1.34,1.19,4,-4,-2,-1,0.15
"T.B","2015-10-13","2015020042","20152016","DET","0",47.92,50,48.57,46.55,44.16,37.71,1,1,17,18,27,31,34,43,0.91,1.5,0,-1,-4,-9,-0.59
"T.B","2015-10-15","2015020054","20152016","DAL","1",47.6,50,65.31,71.62,70.79,74.64,3,3,32,17,53,21,63,26,2.26,0.77,0,15,32,37,1.49
"T.B","2015-10-17","2015020067","20152016","BUF","1",43.1,50,36.59,52.46,53.33,46.98,1,1,15,26,32,29,40,35,1.32,1.49,0,-11,3,5,-0.17
"T.B","2015-10-20","2015020086","20152016","NSH","0",55.18,42.86,51.85,50.65,51.4,56.33,3,4,28,26,39,38,55,52,2.36,1.83,-1,2,1,3,0.53
"T.B","2015-10-23","2015020102","20152016","WPG","0",54.53,66.67,45.9,40.23,43.75,43.99,4,2,28,33,35,52,49,63,2.51,3.19,2,-5,-17,-14,-0.69
"T.B","2015-10-24","2015020114","20152016","CHI","0",45.95,0,40,39.66,41.94,42.86,0,1,16,24,23,35,39,54,1.4,1.87,-1,-8,-12,-15,-0.47
"T.B","2015-10-27","2015020129","20152016","STL","0",53.8,0,54.17,54.55,56.52,43.21,0,1,26,22,36,30,52,40,1.09,1.43,-1,4,6,12,-0.34
