"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"T.B","2019-10-03","2019020005","20192020","FLA","1",4.23,50,87.5,87.5,87.5,89.4,1,1,7,1,7,1,7,1,0.84,0.1,0,6,6,6,0.74
"T.B","2019-10-05","2019020021","20192020","FLA","0",2,0,100,100,100,100,0,0,3,0,3,0,3,0,0.17,0,0,3,3,3,0.17
"T.B","2019-10-06","2019020031","20192020","CAR","0",4.25,100,100,100,100,100,1,0,1,0,2,0,3,0,0.08,0,1,1,2,3,0.08
"T.B","2019-10-10","2019020047","20192020","TOR","0",4.53,100,87.5,91.67,93.33,99.48,2,0,7,1,11,1,14,1,1,0.01,2,6,10,13,1
"T.B","2019-10-12","2019020062","20192020","OTT","0",6.33,0,33.33,66.67,77.78,85.2,0,0,1,2,4,2,7,2,0.31,0.05,0,-1,2,5,0.25
"T.B","2019-10-15","2019020086","20192020","MTL","0",0.55,100,100,50,50,68.66,1,0,1,0,1,1,1,1,0.08,0.04,1,1,0,0,0.05
"T.B","2019-10-17","2019020098","20192020","BOS","0",6,0,100,100,80,100,0,0,2,0,4,0,4,1,0.08,0,0,2,4,3,0.08
"T.B","2019-10-19","2019020116","20192020","COL","1",2.45,0,0,50,75,18.59,0,0,0,1,1,1,3,1,0.03,0.14,0,-1,0,2,-0.11
"T.B","2019-10-23","2019020144","20192020","PIT","1",7.13,100,85.71,88.89,80,83.64,1,0,6,1,8,1,8,2,0.43,0.08,1,5,7,6,0.34
"T.B","2019-10-26","2019020164","20192020","NSH","1",6.1,100,71.43,71.43,71.43,70.39,1,0,5,2,5,2,5,2,0.29,0.12,1,3,3,3,0.17
"T.B","2019-10-29","2019020181","20192020","NYR","0",4,0,83.33,87.5,88.89,99.26,0,0,5,1,7,1,8,1,0.5,0,0,4,6,7,0.49
"T.B","2019-10-30","2019020188","20192020","N.J","0",1.78,100,50,50,66.67,92.46,1,0,1,1,1,1,2,1,0.06,0,1,0,0,1,0.05
"T.B","2019-11-01","2019020197","20192020","NYI","0",6,0,88.89,90,93.33,86.47,0,0,8,1,9,1,14,1,0.52,0.08,0,7,8,13,0.43
"T.B","2019-11-08","2019020249","20192020","BUF","0",6.9,100,75,75,72.73,74,1,0,6,2,6,2,8,3,0.75,0.26,1,4,4,5,0.48
"T.B","2019-11-09","2019020256","20192020","BUF","1",4.03,100,100,100,100,100,2,0,12,0,16,0,18,0,1.48,0,2,12,16,18,1.48
"T.B","2019-11-14","2019020287","20192020","NYR","1",8.95,100,94.12,90,92.31,99.1,5,0,16,1,18,2,24,2,1.81,0.02,5,15,16,22,1.79
"T.B","2019-11-16","2019020300","20192020","WPG","1",3.77,0,50,66.67,71.43,48.42,0,0,2,2,4,2,5,2,0.27,0.29,0,0,2,3,-0.02
"T.B","2019-11-19","2019020324","20192020","STL","0",3.27,0,0,0,40,0,0,0,0,3,0,3,2,3,0,0.15,0,-3,-3,-1,-0.15
"T.B","2019-11-21","2019020341","20192020","CHI","0",5.17,100,87.5,90,91.67,94.63,1,0,7,1,9,1,11,1,0.94,0.05,1,6,8,10,0.88
"T.B","2019-11-23","2019020353","20192020","ANA","1",4.62,75,90.91,92.31,86.67,91.93,3,1,10,1,12,1,13,2,1.33,0.12,2,9,11,11,1.22
"T.B","2019-11-25","2019020365","20192020","BUF","1",8.15,100,80,84.62,86.67,80.99,1,0,8,2,11,2,13,2,0.81,0.19,1,6,9,11,0.62
"T.B","2019-11-27","2019020380","20192020","STL","1",7.18,50,60,71.43,80,51.26,1,1,3,2,5,2,8,2,0.42,0.4,0,1,3,6,0.02
"T.B","2019-11-29","2019020398","20192020","WSH","0",6.93,100,100,90,92.86,97.14,1,0,4,0,9,1,13,1,0.81,0.02,1,4,8,12,0.78
"T.B","2019-11-30","2019020407","20192020","CAR","1",8.5,100,81.82,84.62,87.5,97.09,1,0,9,2,11,2,14,2,0.94,0.03,1,7,9,12,0.92
"T.B","2019-12-03","2019020430","20192020","NSH","0",9.78,0,58.33,66.67,71.43,80.83,0,0,7,5,12,6,15,6,1.02,0.24,0,2,6,9,0.78
