"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"T.B","2016-10-13","2016020009","20162017","DET","1",2.53,0,0,0,0,0,0,1,0,4,0,5,0,8,0,0.67,-1,-4,-5,-8,-0.67
"T.B","2016-10-15","2016020019","20162017","N.J","1",6,0,11.11,10,8.33,21.52,0,0,1,8,1,9,1,11,0.12,0.42,0,-7,-8,-10,-0.31
"T.B","2016-10-18","2016020042","20162017","FLA","1",6,0,50,50,42.86,45.05,0,0,1,1,3,3,3,4,0.25,0.31,0,0,0,-1,-0.06
"T.B","2016-10-20","2016020055","20162017","COL","1",4,0,100,33.33,33.33,42.16,0,0,1,0,1,2,2,4,0.04,0.05,0,1,-1,-2,-0.01
"T.B","2016-10-22","2016020066","20162017","OTT","0",6,0,11.11,11.11,7.14,7.15,0,0,1,8,1,8,1,13,0.04,0.5,0,-7,-7,-12,-0.47
"T.B","2016-10-25","2016020087","20162017","TOR","0",7.37,0,0,0,0,0,0,1,0,9,0,9,0,9,0,1.03,-1,-9,-9,-9,-1.03
"T.B","2016-10-27","2016020102","20162017","MTL","0",5.23,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.13,-1,-2,-2,-2,-0.13
"T.B","2016-10-29","2016020116","20162017","N.J","0",2,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0.29,0,-3,-3,-4,-0.29
"T.B","2016-10-30","2016020127","20162017","NYR","0",7.37,0,0,0,8.33,0,0,0,0,4,0,6,1,11,0,0.55,0,-4,-6,-10,-0.55
"T.B","2016-11-01","2016020131","20162017","NYI","0",8,100,27.27,26.67,26.67,48.92,1,0,3,8,4,11,4,11,1.2,1.25,1,-5,-7,-7,-0.05
"T.B","2016-11-03","2016020151","20162017","BOS","1",6.15,0,0,0,0,0,0,1,0,7,0,9,0,12,0,0.57,-1,-7,-9,-12,-0.57
"T.B","2016-11-05","2016020166","20162017","N.J","1",8,0,14.29,10,13.33,7.49,0,0,1,6,1,9,2,13,0.07,0.91,0,-5,-8,-11,-0.84
"T.B","2016-11-07","2016020182","20162017","FLA","0",4.7,0,0,0,0,0,0,1,0,6,0,8,0,13,0,0.57,-1,-6,-8,-13,-0.57
"T.B","2016-11-10","2016020201","20162017","NYI","1",2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0.07,0,0,-2,-2,-0.07
"T.B","2016-11-12","2016020213","20162017","S.J","1",1.07,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.12,-1,-2,-2,-2,-0.12
"T.B","2016-11-14","2016020229","20162017","NYI","0",6.37,0,0,0,0,0,0,0,0,11,0,13,0,18,0,1.34,0,-11,-13,-18,-1.34
"T.B","2016-11-15","2016020235","20162017","DET","0",5.27,0,11.11,10,7.69,15.15,0,2,1,8,1,9,1,12,0.2,1.11,-2,-7,-8,-11,-0.91
"T.B","2016-11-17","2016020245","20162017","BUF","0",9.83,0,10,8.33,7.14,4.27,0,1,1,9,1,11,1,13,0.03,0.71,-1,-8,-10,-12,-0.68
"T.B","2016-11-19","2016020260","20162017","PHI","0",10,0,0,0,0,0,0,0,0,9,0,12,0,18,0,1.04,0,-9,-12,-18,-1.04
"T.B","2016-11-21","2016020279","20162017","NSH","0",5.15,0,0,0,0,0,0,1,0,6,0,9,0,11,0,0.73,-1,-6,-9,-11,-0.73
"T.B","2016-11-23","2016020294","20162017","PHI","1",6.62,0,14.29,8.33,6.67,6.56,0,0,1,6,1,11,1,14,0.08,1.09,0,-5,-10,-13,-1.01
"T.B","2016-11-25","2016020309","20162017","CBJ","1",2.98,0,0,0,0,0,0,1,0,2,0,5,0,7,0,0.77,-1,-2,-5,-7,-0.77
"T.B","2016-11-27","2016020322","20162017","BOS","0",0.75,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.09,-1,-2,-2,-2,-0.09
"T.B","2016-11-29","2016020332","20162017","CBJ","0",2,0,0,0,0,0,0,0,0,5,0,6,0,6,0,0.97,0,-5,-6,-6,-0.97
"T.B","2016-12-01","2016020351","20162017","STL","0",9.97,0,0,11.11,13.33,19.88,0,3,0,7,1,8,2,13,0.22,0.89,-3,-7,-7,-11,-0.67
"T.B","2016-12-03","2016020364","20162017","WSH","1",9.27,0,15.38,13.33,12.5,9.45,0,1,2,11,2,13,2,14,0.11,1.04,-1,-9,-11,-12,-0.93
"T.B","2016-12-04","2016020371","20162017","CAR","0",8,0,33.33,21.43,15,17.19,0,0,3,6,3,11,3,17,0.21,0.99,0,-3,-8,-14,-0.78
"T.B","2016-12-08","2016020399","20162017","VAN","1",6,0,40,25,25,37.86,0,0,2,3,2,6,2,6,0.17,0.28,0,-1,-4,-4,-0.11
"T.B","2016-12-10","2016020415","20162017","PIT","1",6.25,0,0,0,0,0,0,3,0,8,0,8,0,10,0,0.52,-3,-8,-8,-10,-0.52
"T.B","2016-12-14","2016020443","20162017","CGY","0",4.75,33.33,57.14,57.14,40,49.65,1,2,4,3,4,3,4,6,0.25,0.25,-1,1,1,-2,0
"T.B","2016-12-16","2016020459","20162017","VAN","0",3.63,0,0,0,0,0,0,1,0,5,0,8,0,11,0,0.74,-1,-5,-8,-11,-0.74
"T.B","2016-12-17","2016020469","20162017","EDM","0",6.75,0,10,8.33,5.88,30.8,0,2,1,9,1,11,1,16,0.36,0.81,-2,-8,-10,-15,-0.45
"T.B","2016-12-20","2016020486","20162017","DET","1",9.35,0,16.67,12.5,15.38,2.8,0,0,1,5,1,7,2,11,0.01,0.44,0,-4,-6,-9,-0.43
"T.B","2016-12-22","2016020500","20162017","STL","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T.B","2016-12-23","2016020508","20162017","WSH","0",4,0,0,0,0,0,0,0,0,4,0,6,0,7,0,0.36,0,-4,-6,-7,-0.36
"T.B","2016-12-28","2016020529","20162017","MTL","1",2.13,0,0,0,25,0,0,1,0,3,0,3,1,3,0,0.23,-1,-3,-3,-2,-0.23
"T.B","2016-12-29","2016020535","20162017","TOR","1",9.6,0,22.22,25,21.05,8.89,0,1,2,7,4,12,4,15,0.11,1.16,-1,-5,-8,-11,-1.05
"T.B","2016-12-31","2016020551","20162017","CAR","1",8,0,16.67,12.5,8.33,23.65,0,0,1,5,1,7,1,11,0.14,0.45,0,-4,-6,-10,-0.31
"T.B","2017-01-03","2016020569","20162017","WPG","1",4.68,0,0,0,0,0,0,1,0,1,0,3,0,5,0,0.22,-1,-1,-3,-5,-0.22
"T.B","2017-01-05","2016020580","20162017","NSH","1",4.8,0,25,14.29,22.22,3.91,0,1,1,3,1,6,2,7,0.01,0.36,-1,-2,-5,-5,-0.35
"T.B","2017-01-07","2016020592","20162017","PHI","0",4,0,0,0,0,0,0,0,0,8,0,9,0,12,0,0.93,0,-8,-9,-12,-0.93
"T.B","2017-01-08","2016020603","20162017","PIT","0",4.22,0,0,0,0,0,0,1,0,6,0,6,0,8,0,0.64,-1,-6,-6,-8,-0.64
"T.B","2017-01-12","2016020626","20162017","BUF","1",8,0,33.33,25,16.67,41.56,0,0,2,4,2,6,2,10,0.29,0.41,0,-2,-4,-8,-0.12
"T.B","2017-01-13","2016020635","20162017","CBJ","1",5.82,0,0,10,8.33,1.63,0,1,0,8,1,9,1,11,0.02,0.91,-1,-8,-8,-10,-0.9
"T.B","2017-01-16","2016020659","20162017","L.A","0",6,0,0,0,0,0,0,0,0,6,0,10,0,15,0,1.28,0,-6,-10,-15,-1.28
"T.B","2017-01-17","2016020671","20162017","ANA","0",8.07,0,12.5,8.33,6.25,4.01,0,1,1,7,1,11,1,15,0.05,1.08,-1,-6,-10,-14,-1.04
"T.B","2017-01-19","2016020684","20162017","S.J","0",2,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0.38,0,-3,-4,-4,-0.38
"T.B","2017-01-21","2016020698","20162017","ARI","0",2.58,0,50,25,25,6.79,0,1,1,1,1,3,1,3,0.03,0.46,-1,0,-2,-2,-0.43
"T.B","2017-01-24","2016020722","20162017","CHI","0",6,0,20,28.57,18.18,21.76,0,0,1,4,2,5,2,9,0.1,0.35,0,-3,-3,-7,-0.26
"T.B","2017-01-26","2016020734","20162017","FLA","0",5,0,0,0,0,0,0,1,0,9,0,12,0,13,0,0.92,-1,-9,-12,-13,-0.92
"T.B","2017-01-31","2016020747","20162017","BOS","1",0.78,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.07,-1,-1,-1,-1,-0.07
"T.B","2017-02-02","2016020760","20162017","OTT","1",6.85,0,0,0,0,0,0,2,0,9,0,12,0,16,0,0.63,-2,-9,-12,-16,-0.63
"T.B","2017-02-04","2016020776","20162017","ANA","1",6.98,0,33.33,16.67,9.09,14.5,0,0,1,2,1,5,1,10,0.05,0.28,0,-1,-4,-9,-0.23
"T.B","2017-02-07","2016020797","20162017","L.A","1",4,0,0,0,0,0,0,0,0,2,0,6,0,10,0,0.36,0,-2,-6,-10,-0.36
"T.B","2017-02-10","2016020813","20162017","MIN","0",4.95,0,0,0,0,0,0,1,0,5,0,7,0,9,0,0.84,-1,-5,-7,-9,-0.84
"T.B","2017-02-11","2016020825","20162017","WPG","0",6,0,0,0,0,0,0,0,0,2,0,4,0,7,0,0.34,0,-2,-4,-7,-0.34
"T.B","2017-02-18","2016020864","20162017","DAL","0",4,0,66.67,66.67,50,89.09,0,0,2,1,2,1,2,2,0.29,0.03,0,1,1,0,0.25
"T.B","2017-02-19","2016020876","20162017","COL","0",8,0,20,15.38,12.5,1.05,0,0,2,8,2,11,2,14,0.01,0.77,0,-6,-9,-12,-0.77
"T.B","2017-02-21","2016020887","20162017","EDM","1",2,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0.25,0,-3,-3,-3,-0.25
"T.B","2017-02-23","2016020896","20162017","CGY","1",7.28,0,0,0,0,0,0,1,0,7,0,9,0,12,0,0.8,-1,-7,-9,-12,-0.8
"T.B","2017-02-27","2016020920","20162017","OTT","1",8.78,0,0,0,0,0,0,1,0,6,0,6,0,7,0,0.53,-1,-6,-6,-7,-0.53
"T.B","2017-03-01","2016020934","20162017","CAR","1",3.72,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0.3,-1,-3,-5,-7,-0.3
"T.B","2017-03-03","2016020946","20162017","PIT","0",3.05,0,0,0,0,0,0,2,0,5,0,7,0,10,0,0.83,-2,-5,-7,-10,-0.83
"T.B","2017-03-04","2016020953","20162017","BUF","0",4.15,0,0,0,0,0,0,1,0,5,0,6,0,8,0,0.33,-1,-5,-6,-8,-0.33
"T.B","2017-03-06","2016020971","20162017","NYR","1",5.38,0,16.67,12.5,18.18,5.78,0,0,1,5,1,7,2,9,0.02,0.38,0,-4,-6,-7,-0.36
"T.B","2017-03-09","2016020987","20162017","MIN","1",7.28,0,25,20,18.18,2.89,0,0,2,6,2,8,2,9,0.03,0.93,0,-4,-6,-7,-0.9
"T.B","2017-03-11","2016021003","20162017","FLA","1",5.07,100,25,16.67,10,29.52,1,0,1,3,1,5,1,9,0.27,0.64,1,-2,-4,-8,-0.37
"T.B","2017-03-13","2016021017","20162017","NYR","0",2,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0.21,0,-1,-3,-3,-0.21
"T.B","2017-03-14","2016021028","20162017","OTT","0",4,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0.2,0,-4,-4,-4,-0.2
"T.B","2017-03-16","2016021043","20162017","TOR","1",3.98,0,33.33,25,20,12.16,0,1,2,4,2,6,2,8,0.08,0.59,-1,-2,-4,-6,-0.51
"T.B","2017-03-18","2016021057","20162017","WSH","1",3.18,0,0,0,0,0,0,1,0,6,0,9,0,11,0,0.46,-1,-6,-9,-11,-0.46
"T.B","2017-03-21","2016021080","20162017","ARI","1",4,0,0,0,0,0,0,0,0,7,0,8,0,8,0,0.52,0,-7,-8,-8,-0.52
"T.B","2017-03-23","2016021089","20162017","BOS","0",5.9,0,0,11.11,9.09,0.61,0,1,0,8,1,8,1,10,0,0.62,-1,-8,-7,-9,-0.62
"T.B","2017-03-24","2016021102","20162017","DET","0",9.2,0,16.67,16.67,11.76,1.05,0,0,2,10,2,10,2,15,0.01,1.27,0,-8,-8,-13,-1.26
"T.B","2017-03-27","2016021124","20162017","CHI","1",6,0,33.33,33.33,33.33,21.29,0,0,2,4,2,4,3,6,0.05,0.18,0,-2,-2,-3,-0.13
"T.B","2017-03-30","2016021145","20162017","DET","1",3.12,0,0,0,0,0,0,1,0,2,0,3,0,4,0,0.16,-1,-2,-3,-4,-0.16
"T.B","2017-04-01","2016021160","20162017","MTL","1",4,0,0,0,0,0,0,0,0,8,0,8,0,10,0,0.35,0,-8,-8,-10,-0.35
