"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"T.B","2018-10-06","2018020019","20182019","FLA","1",50.23,11,9,11,90,13,12,15,4,5
"T.B","2018-10-11","2018020053","20182019","VAN","1",40.55,11,13,2,89,14,13,7,5,2
"T.B","2018-10-13","2018020063","20182019","CBJ","1",39.63,4,18,11,69,10,20,13,1,5
"T.B","2018-10-16","2018020082","20182019","CAR","1",48.43,13,18,12,82,19,18,22,9,7
"T.B","2018-10-18","2018020093","20182019","DET","1",42.13,13,17,13,52,16,19,21,5,3
"T.B","2018-10-20","2018020110","20182019","MIN","0",50.87,13,18,14,80,20,22,17,2,6
"T.B","2018-10-21","2018020116","20182019","CHI","0",46.93,10,14,5,90,15,16,9,3,4
"T.B","2018-10-24","2018020132","20182019","COL","0",44.67,7,9,10,114,9,10,14,5,3
"T.B","2018-10-26","2018020144","20182019","VGK","0",47.08,9,19,13,75,14,21,18,5,7
"T.B","2018-10-27","2018020157","20182019","ARI","0",43.73,10,9,9,93,14,15,13,4,1
"T.B","2018-10-30","2018020172","20182019","N.J","1",50.45,18,24,4,72,22,25,8,4,3
"T.B","2018-11-01","2018020185","20182019","NSH","1",53.73,15,15,12,91,20,16,15,3,7
"T.B","2018-11-03","2018020196","20182019","MTL","0",46,16,11,13,96,18,14,24,7,4
"T.B","2018-11-04","2018020207","20182019","OTT","0",52.03,12,18,7,107,17,19,11,2,6
"T.B","2018-11-06","2018020220","20182019","EDM","1",45.55,11,15,6,69,16,17,14,5,4
"T.B","2018-11-08","2018020232","20182019","NYI","1",43.8,8,12,14,82,9,14,16,2,4
"T.B","2018-11-10","2018020247","20182019","OTT","1",50.18,12,17,11,70,16,24,15,2,4
"T.B","2018-11-13","2018020264","20182019","BUF","0",54.48,18,13,12,118,22,17,17,3,8
"T.B","2018-11-15","2018020279","20182019","PIT","0",42.95,8,16,11,74,10,18,17,5,2
"T.B","2018-11-17","2018020293","20182019","PHI","0",51.1,11,16,11,87,15,21,14,3,7
"T.B","2018-11-19","2018020314","20182019","NSH","0",49.73,12,10,13,85,18,13,15,1,5
"T.B","2018-11-21","2018020325","20182019","FLA","1",48.27,11,17,13,76,11,20,15,0,2
"T.B","2018-11-23","2018020341","20182019","CHI","1",47.32,4,12,9,86,7,16,12,4,2
"T.B","2018-11-25","2018020359","20182019","N.J","1",50.78,12,11,13,81,19,15,23,6,3
"T.B","2018-11-27","2018020370","20182019","ANA","1",47.13,9,14,6,79,11,14,10,3,0
"T.B","2018-11-29","2018020385","20182019","BUF","1",49.97,16,18,6,87,17,20,11,4,2
"T.B","2018-12-01","2018020399","20182019","FLA","0",51.6,21,16,7,67,27,18,15,5,9
"T.B","2018-12-03","2018020413","20182019","N.J","0",48.67,15,15,6,89,19,19,9,3,5
"T.B","2018-12-04","2018020422","20182019","DET","0",58.48,14,16,9,110,15,20,12,3,3
"T.B","2018-12-06","2018020434","20182019","BOS","1",52.47,10,9,11,96,12,11,18,3,3
"T.B","2018-12-08","2018020449","20182019","COL","1",52.58,11,14,12,95,17,16,18,1,4
"T.B","2018-12-10","2018020463","20182019","NYR","1",47.67,11,16,8,71,18,18,14,3,8
"T.B","2018-12-13","2018020482","20182019","TOR","1",43.32,11,14,12,71,13,21,25,10,7
"T.B","2018-12-16","2018020510","20182019","WPG","0",59.78,18,15,17,94,24,16,25,4,9
"T.B","2018-12-18","2018020526","20182019","VAN","0",43.43,11,11,9,107,16,16,17,4,5
"T.B","2018-12-20","2018020537","20182019","CGY","0",55,14,23,10,95,17,23,21,9,7
"T.B","2018-12-22","2018020557","20182019","EDM","0",52.67,14,16,7,108,18,16,12,4,9
"T.B","2018-12-27","2018020571","20182019","PHI","1",50.4,11,17,13,78,16,20,20,6,3
"T.B","2018-12-29","2018020590","20182019","MTL","1",49.23,12,26,10,72,18,30,14,4,8
"T.B","2018-12-31","2018020611","20182019","ANA","0",52.35,5,11,13,95,10,15,17,4,3
"T.B","2019-01-03","2018020628","20182019","L.A","0",46.53,10,10,8,76,15,11,10,1,6
"T.B","2019-01-05","2018020644","20182019","S.J","0",50.25,8,16,7,102,12,22,12,4,3
"T.B","2019-01-08","2018020663","20182019","CBJ","1",55.63,6,10,14,91,10,13,17,3,3
"T.B","2019-01-10","2018020676","20182019","CAR","1",48.32,9,19,9,79,15,20,15,5,7
"T.B","2019-01-12","2018020689","20182019","BUF","0",50.23,10,14,13,93,15,16,20,7,2
"T.B","2019-01-13","2018020702","20182019","NYI","0",47.92,13,13,10,68,15,14,15,3,7
"T.B","2019-01-15","2018020719","20182019","DAL","0",47.55,7,10,8,96,10,13,14,5,1
"T.B","2019-01-17","2018020729","20182019","TOR","1",46.72,12,17,9,67,19,19,16,6,5
"T.B","2019-01-19","2018020744","20182019","S.J","1",49.72,7,18,14,85,9,23,16,1,1
"T.B","2019-01-30","2018020776","20182019","PIT","0",51.75,13,18,7,96,17,21,11,2,6
"T.B","2019-02-01","2018020783","20182019","NYI","0",56.78,17,9,10,120,22,11,12,2,6
"T.B","2019-02-02","2018020795","20182019","NYR","0",48.45,8,12,14,88,9,18,16,3,2
