"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"T.B","2017-10-06","2017020014","20172018","FLA","1",5.32,3,1,0,5,4,3,0,0,0
"T.B","2017-10-07","2017020018","20172018","FLA","0",8.23,7,0,0,3,11,0,0,0,0
"T.B","2017-10-09","2017020036","20172018","WSH","1",9.78,5,1,1,5,7,1,2,1,0
"T.B","2017-10-12","2017020051","20172018","PIT","1",5.98,7,0,1,0,7,1,2,1,0
"T.B","2017-10-14","2017020064","20172018","STL","1",3.33,3,1,0,0,3,1,0,0,0
"T.B","2017-10-16","2017020080","20172018","DET","0",6.75,4,0,1,7,5,0,1,0,0
"T.B","2017-10-17","2017020081","20172018","N.J","0",8.4,8,1,0,3,9,1,0,0,0
"T.B","2017-10-19","2017020098","20172018","CBJ","0",4,2,0,0,5,2,0,0,0,0
"T.B","2017-10-21","2017020114","20172018","PIT","1",5.67,6,0,0,4,6,1,0,0,0
"T.B","2017-10-24","2017020129","20172018","CAR","0",1.92,1,0,0,1,2,0,0,0,0
"T.B","2017-10-26","2017020144","20172018","DET","1",9.65,7,1,0,7,9,1,0,0,0
"T.B","2017-10-28","2017020159","20172018","ANA","1",8,6,2,1,3,6,2,1,0,0
"T.B","2017-10-30","2017020174","20172018","FLA","0",8.22,4,2,0,13,6,2,0,0,0
"T.B","2017-11-02","2017020189","20172018","NYR","1",4,3,0,0,1,4,0,0,0,0
"T.B","2017-11-04","2017020202","20172018","CBJ","1",4.22,2,1,0,2,2,3,0,0,0
"T.B","2017-11-08","2017020234","20172018","S.J","0",6.82,3,1,0,13,3,2,0,0,0
"T.B","2017-11-09","2017020241","20172018","L.A","0",7.2,6,1,1,3,6,1,1,0,0
"T.B","2017-11-12","2017020263","20172018","ANA","0",3.88,2,0,0,2,2,0,0,0,0
"T.B","2017-11-16","2017020282","20172018","DAL","1",5.2,4,1,0,5,6,1,0,0,0
"T.B","2017-11-18","2017020299","20172018","NYI","1",2,2,0,0,1,4,0,0,0,0
"T.B","2017-11-22","2017020328","20172018","CHI","1",9.52,9,1,0,11,11,2,0,0,0
"T.B","2017-11-24","2017020338","20172018","WSH","0",2.63,2,0,0,4,2,0,1,1,0
"T.B","2017-11-25","2017020353","20172018","PIT","0",9.6,8,1,0,9,9,1,0,0,0
"T.B","2017-11-28","2017020367","20172018","BUF","0",3.4,5,0,0,0,5,0,0,0,0
"T.B","2017-11-29","2017020377","20172018","BOS","0",1.78,1,0,0,3,1,1,0,0,0
"T.B","2017-12-02","2017020399","20172018","S.J","1",2.77,2,1,0,1,2,1,0,0,0
"T.B","2017-12-05","2017020420","20172018","NYI","1",5.58,5,1,0,3,6,1,0,0,0
"T.B","2017-12-07","2017020433","20172018","COL","1",9.33,5,0,0,6,6,0,0,0,0
"T.B","2017-12-09","2017020447","20172018","WPG","1",5.82,3,0,0,7,5,0,0,0,0
"T.B","2017-12-12","2017020471","20172018","STL","0",6,5,0,0,3,5,0,0,0,0
"T.B","2017-12-14","2017020489","20172018","ARI","0",3.75,3,0,0,1,4,0,0,0,0
"T.B","2017-12-16","2017020505","20172018","COL","0",5.13,1,2,0,4,1,4,0,0,0
"T.B","2017-12-19","2017020525","20172018","VGK","0",5.38,4,0,0,3,7,0,0,0,0
"T.B","2017-12-21","2017020533","20172018","OTT","1",5.13,3,0,0,6,5,0,0,0,0
"T.B","2017-12-23","2017020545","20172018","MIN","1",9.93,6,1,0,9,7,2,0,0,0
"T.B","2017-12-28","2017020570","20172018","MTL","1",11.12,6,2,0,11,7,2,0,0,0
"T.B","2017-12-29","2017020579","20172018","PHI","1",4.2,2,0,0,2,3,1,0,0,0
"T.B","2017-12-31","2017020594","20172018","CBJ","0",9.17,5,0,0,13,8,0,1,0,0
"T.B","2018-01-02","2017020602","20172018","TOR","0",6,4,2,0,3,4,2,0,0,0
"T.B","2018-01-04","2017020620","20172018","MTL","0",2.28,2,0,0,2,2,0,0,0,0
"T.B","2018-01-06","2017020638","20172018","OTT","0",6.9,4,1,0,6,6,3,0,0,0
"T.B","2018-01-07","2017020649","20172018","DET","0",0,0,0,0,0,0,0,0,0,0
"T.B","2018-01-09","2017020656","20172018","CAR","1",0,0,0,0,0,0,0,0,0,0
"T.B","2018-01-11","2017020664","20172018","CGY","1",6,4,1,1,1,5,1,1,0,0
"T.B","2018-01-18","2017020701","20172018","VGK","1",4.92,3,1,0,3,4,1,0,0,0
"T.B","2018-01-20","2017020719","20172018","MIN","0",6,3,1,1,3,3,1,1,0,0
"T.B","2018-01-22","2017020729","20172018","CHI","0",3.45,1,0,0,6,2,0,0,0,0
"T.B","2018-01-23","2017020737","20172018","NSH","0",4,2,0,0,2,4,1,0,0,0
"T.B","2018-01-25","2017020747","20172018","PHI","0",2,1,1,1,0,1,1,1,0,0
"T.B","2018-01-30","2017020769","20172018","WPG","0",6.72,6,0,0,2,7,2,0,0,0
"T.B","2018-02-01","2017020784","20172018","CGY","0",4.63,4,0,0,7,4,0,0,0,0
"T.B","2018-02-03","2017020803","20172018","VAN","0",6.05,4,1,0,8,7,2,0,0,0
"T.B","2018-02-05","2017020811","20172018","EDM","0",5.1,4,1,0,6,4,1,0,0,0
"T.B","2018-02-08","2017020830","20172018","VAN","1",4.17,3,2,0,4,4,2,0,0,0
"T.B","2018-02-10","2017020846","20172018","L.A","1",9,3,0,1,8,3,1,1,1,0
"T.B","2018-02-12","2017020861","20172018","TOR","0",4,4,1,0,0,5,1,0,0,0
"T.B","2018-02-13","2017020865","20172018","BUF","0",7.33,4,0,0,6,9,1,0,0,0
"T.B","2018-02-15","2017020883","20172018","DET","1",5,4,0,1,4,7,0,1,0,0
"T.B","2018-02-17","2017020898","20172018","N.J","1",10.08,7,2,0,5,11,2,0,0,0
"T.B","2018-02-20","2017020921","20172018","WSH","0",2.32,2,0,0,2,2,0,0,0,0
"T.B","2018-02-22","2017020934","20172018","OTT","0",6.08,3,0,0,7,3,0,0,0,0
"T.B","2018-02-24","2017020949","20172018","MTL","0",6.58,5,0,0,3,8,0,0,0,0
"T.B","2018-02-26","2017020966","20172018","TOR","1",6.83,5,2,1,1,5,2,1,0,0
"T.B","2018-02-28","2017020979","20172018","BUF","1",2,1,0,0,1,1,0,0,0,0
"T.B","2018-03-01","2017020986","20172018","DAL","0",4,3,0,1,2,4,0,1,0,0
"T.B","2018-03-03","2017021000","20172018","PHI","1",0.37,1,0,0,0,1,0,0,0,0
"T.B","2018-03-06","2017021024","20172018","FLA","1",0,0,0,0,0,0,0,0,0,0
"T.B","2018-03-08","2017021037","20172018","NYR","1",6.85,3,0,1,6,4,1,1,0,0
"T.B","2018-03-10","2017021050","20172018","MTL","1",7.08,7,2,0,4,8,2,0,0,0
"T.B","2018-03-13","2017021073","20172018","OTT","1",5.67,5,1,1,0,9,1,1,0,0
"T.B","2018-03-17","2017021102","20172018","BOS","1",6,4,1,0,4,4,1,1,0,0
"T.B","2018-03-18","2017021110","20172018","EDM","1",6.03,6,1,0,3,6,1,0,0,0
"T.B","2018-03-20","2017021127","20172018","TOR","1",2,1,0,0,3,1,0,0,0,0
"T.B","2018-03-22","2017021136","20172018","NYI","0",4.28,6,1,0,0,7,1,0,0,0
"T.B","2018-03-24","2017021157","20172018","N.J","0",3.15,3,0,0,1,5,0,0,0,0
"T.B","2018-03-26","2017021173","20172018","ARI","1",2.47,2,0,0,2,3,0,0,0,0
"T.B","2018-03-29","2017021190","20172018","BOS","0",6.43,4,1,0,6,6,1,0,0,0
"T.B","2018-03-30","2017021201","20172018","NYR","0",2.97,2,1,0,5,3,1,0,0,0
"T.B","2018-04-01","2017021219","20172018","NSH","1",7.85,7,1,0,7,7,2,0,0,0
"T.B","2018-04-03","2017021233","20172018","BOS","1",7.93,5,1,0,9,7,1,1,1,0
"T.B","2018-04-06","2017021254","20172018","BUF","1",6,2,1,1,5,3,1,1,0,0
"T.B","2018-04-07","2017021263","20172018","CAR","0",2,1,0,0,4,2,1,1,1,0
"T.B","Total","-","20172018","-","-",5.33,305,49,15,330,389,73,22,6,0
