"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"T.B","2018-10-06","2018020019","20182019","FLA","1",9.38,0,4,9,13,0,4,9,0,0
"T.B","2018-10-11","2018020053","20182019","VAN","1",7.55,0,1,6,10,0,1,7,0,0
"T.B","2018-10-13","2018020063","20182019","CBJ","1",10,0,0,7,11,0,0,7,0,0
"T.B","2018-10-16","2018020082","20182019","CAR","1",8,0,1,6,8,0,1,6,0,0
"T.B","2018-10-18","2018020093","20182019","DET","1",8.02,0,2,6,6,0,2,6,0,0
"T.B","2018-10-20","2018020110","20182019","MIN","0",3.98,0,0,2,7,0,0,2,0,0
"T.B","2018-10-21","2018020116","20182019","CHI","0",6.5,0,1,4,10,0,2,4,0,0
"T.B","2018-10-24","2018020132","20182019","COL","0",7.97,0,0,8,14,0,1,8,0,0
"T.B","2018-10-26","2018020144","20182019","VGK","0",6.52,0,2,6,11,0,2,7,0,0
"T.B","2018-10-27","2018020157","20182019","ARI","0",8,0,1,5,11,1,1,6,0,1
"T.B","2018-10-30","2018020172","20182019","N.J","1",4.77,0,0,3,8,1,0,4,0,0
"T.B","2018-11-01","2018020185","20182019","NSH","1",2,1,0,1,1,1,0,1,0,0
"T.B","2018-11-03","2018020196","20182019","MTL","0",8,0,1,6,11,0,1,6,0,0
"T.B","2018-11-04","2018020207","20182019","OTT","0",2.95,0,1,3,1,0,1,3,0,0
"T.B","2018-11-06","2018020220","20182019","EDM","1",5.43,0,1,5,2,0,1,5,0,0
"T.B","2018-11-08","2018020232","20182019","NYI","1",8.37,0,1,4,12,1,1,4,0,0
"T.B","2018-11-10","2018020247","20182019","OTT","1",4.15,1,0,5,7,1,0,5,0,0
"T.B","2018-11-13","2018020264","20182019","BUF","0",2,0,1,1,2,0,1,1,0,0
"T.B","2018-11-15","2018020279","20182019","PIT","0",6.87,0,0,6,9,0,0,6,0,0
"T.B","2018-11-17","2018020293","20182019","PHI","0",6.02,0,1,7,4,0,1,8,0,0
"T.B","2018-11-19","2018020314","20182019","NSH","0",5.07,1,2,3,7,1,2,3,0,0
"T.B","2018-11-21","2018020325","20182019","FLA","1",5.05,0,0,5,5,0,1,5,0,0
"T.B","2018-11-23","2018020341","20182019","CHI","1",3.85,0,0,3,5,0,0,4,0,0
"T.B","2018-11-25","2018020359","20182019","N.J","1",4,1,0,3,8,1,0,3,0,0
"T.B","2018-11-27","2018020370","20182019","ANA","1",4.63,1,1,3,6,1,1,3,0,0
"T.B","2018-11-29","2018020385","20182019","BUF","1",2.1,0,0,3,5,0,0,3,0,0
"T.B","2018-12-01","2018020399","20182019","FLA","0",7.23,0,3,9,6,0,3,9,0,0
"T.B","2018-12-03","2018020413","20182019","N.J","0",8,1,0,6,13,1,0,7,0,1
"T.B","2018-12-04","2018020422","20182019","DET","0",4,0,2,2,5,0,2,2,0,0
"T.B","2018-12-06","2018020434","20182019","BOS","1",4,0,0,4,6,0,1,4,0,0
"T.B","2018-12-08","2018020449","20182019","COL","1",4,0,0,2,7,0,1,2,0,0
"T.B","2018-12-10","2018020463","20182019","NYR","1",2,0,0,1,4,0,0,1,0,0
"T.B","2018-12-13","2018020482","20182019","TOR","1",11.38,0,3,11,9,0,4,11,0,0
