"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"TOR","2016-10-12","2016020001","20162017","OTT","0",8,0,87.5,90.91,85.71,87.2,0,0,7,1,10,1,12,2,0.56,0.08,0,6,9,10,0.48
"TOR","2016-10-15","2016020017","20162017","BOS","1",8,0,66.67,77.78,80,96.23,0,0,4,2,7,2,8,2,0.46,0.02,0,2,5,6,0.45
"TOR","2016-10-19","2016020050","20162017","WPG","0",2.1,100,100,100,100,100,2,0,6,0,6,0,6,0,0.72,0,2,6,6,6,0.72
"TOR","2016-10-20","2016020057","20162017","MIN","0",5.78,100,100,100,100,100,1,0,11,0,12,0,13,0,1.28,0,1,11,12,13,1.28
"TOR","2016-10-22","2016020072","20162017","CHI","0",3.63,100,100,100,100,100,1,0,3,0,3,0,4,0,0.45,0,1,3,3,4,0.45
"TOR","2016-10-25","2016020087","20162017","T.B","1",7.37,100,100,100,100,100,1,0,9,0,9,0,9,0,1.03,0,1,9,9,9,1.03
"TOR","2016-10-27","2016020101","20162017","FLA","1",4,0,100,100,100,100,0,0,4,0,6,0,7,0,0.55,0,0,4,6,7,0.55
"TOR","2016-10-29","2016020114","20162017","MTL","0",6.22,100,87.5,90,93.33,99.65,1,0,7,1,9,1,14,1,1.18,0,1,6,8,13,1.18
"TOR","2016-10-30","2016020126","20162017","NYI","0",5.18,100,100,100,100,100,1,0,4,0,4,0,6,0,0.27,0,1,4,4,6,0.27
"TOR","2016-11-01","2016020134","20162017","EDM","1",2,0,0,0,100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
"TOR","2016-11-03","2016020146","20162017","BUF","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOR","2016-11-05","2016020163","20162017","VAN","1",5.53,100,85.71,90.91,92.86,92.27,1,0,6,1,10,1,13,1,1.23,0.1,1,5,9,12,1.13
"TOR","2016-11-08","2016020188","20162017","L.A","1",2,0,50,50,66.67,53.81,0,0,1,1,1,1,2,1,0.12,0.1,0,0,0,1,0.02
"TOR","2016-11-11","2016020207","20162017","PHI","1",7.1,66.67,44.44,66.67,70.59,72.76,2,1,4,5,10,5,12,5,1.1,0.41,1,-1,5,7,0.69
"TOR","2016-11-12","2016020217","20162017","PIT","0",3.08,0,66.67,75,80,85.05,0,0,2,1,3,1,4,1,0.27,0.05,0,1,2,3,0.22
"TOR","2016-11-15","2016020233","20162017","NSH","1",1.37,0,0,0,50,0,0,0,0,0,0,1,1,1,0,0.02,0,0,-1,0,-0.02
"TOR","2016-11-17","2016020247","20162017","FLA","1",7.33,0,70,72.73,73.33,73.86,0,0,7,3,8,3,11,4,0.5,0.18,0,4,5,7,0.32
"TOR","2016-11-19","2016020264","20162017","MTL","0",7.6,100,100,100,100,100,1,0,7,0,8,0,14,0,0.6,0,1,7,8,14,0.6
"TOR","2016-11-22","2016020284","20162017","CAR","1",6,0,60,66.67,75,50.2,0,1,3,2,6,3,9,3,0.49,0.48,-1,1,3,6,0
"TOR","2016-11-23","2016020289","20162017","N.J","0",5.92,100,85.71,90.91,84.62,99.52,1,0,6,1,10,1,11,2,0.89,0,1,5,9,9,0.88
"TOR","2016-11-26","2016020313","20162017","WSH","1",8.65,100,70,76.92,76.92,89.67,1,0,7,3,10,3,10,3,1.26,0.14,1,4,7,7,1.11
"TOR","2016-11-29","2016020338","20162017","EDM","0",6,100,100,100,100,100,1,0,4,0,6,0,13,0,0.85,0,1,4,6,13,0.85
"TOR","2016-11-30","2016020343","20162017","CGY","0",4,0,88.89,91.67,92.31,98.14,0,0,8,1,11,1,12,1,1.33,0.03,0,7,10,11,1.31
"TOR","2016-12-03","2016020367","20162017","VAN","0",6.23,100,83.33,81.82,83.33,67.73,1,0,5,1,9,2,10,2,0.83,0.4,1,4,7,8,0.43
"TOR","2016-12-07","2016020391","20162017","MIN","1",4,0,100,100,100,100,0,0,6,0,9,0,12,0,1.01,0,0,6,9,12,1.01
