"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"TOR","2019-10-02","2019020001","20192020","OTT","1",44.13,10,10,17,41,3,3,0,0,0,22,35,-13
"TOR","2019-10-04","2019020015","20192020","CBJ","0",47.68,4,3,17,18,5,6,0,0,1,27,17,10
"TOR","2019-10-05","2019020019","20192020","MTL","1",51.53,14,9,18,24,3,4,0,0,1,29,25,4
"TOR","2019-10-07","2019020034","20192020","STL","1",47.37,10,11,13,23,3,2,0,0,-1,23,23,0
"TOR","2019-10-10","2019020047","20192020","T.B","1",51.87,5,5,15,23,2,1,0,0,-1,27,19,8
"TOR","2019-10-12","2019020066","20192020","DET","0",51.62,8,3,13,19,1,3,0,0,2,31,22,9
"TOR","2019-10-15","2019020085","20192020","MIN","1",50.63,12,4,10,30,2,3,0,0,1,24,17,7
"TOR","2019-10-16","2019020093","20192020","WSH","0",47.53,3,3,9,28,4,1,0,0,-3,23,21,2
"TOR","2019-10-19","2019020115","20192020","BOS","1",57.73,16,13,34,32,3,1,0,0,-2,23,20,3
"TOR","2019-10-21","2019020129","20192020","CBJ","1",48.67,10,5,24,14,6,2,0,0,-4,33,16,17
"TOR","2019-10-22","2019020133","20192020","BOS","0",46.03,4,4,15,32,4,4,0,0,0,22,29,-7
"TOR","2019-10-25","2019020156","20192020","S.J","1",46.6,14,5,12,19,1,4,0,0,3,15,13,2
"TOR","2019-10-26","2019020163","20192020","MTL","0",54.15,14,1,31,28,1,1,0,0,0,28,30,-2
"TOR","2019-10-29","2019020180","20192020","WSH","1",37.52,6,4,9,14,5,7,0,0,2,32,20,12
"TOR","2019-11-02","2019020209","20192020","PHI","0",55,15,4,27,23,3,2,0,0,-1,17,22,-5
"TOR","2019-11-05","2019020228","20192020","L.A","1",46.4,10,10,24,20,1,2,0,0,1,26,16,10
"TOR","2019-11-07","2019020237","20192020","VGK","1",40.9,15,6,21,24,3,5,0,0,2,23,19,4
