"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"TOR","2015-10-07","2015020001","20152016","MTL","1",2,0,0,1,0,0,0,0,0,0,1,1,0
"TOR","2015-10-09","2015020014","20152016","DET","0",5.07,0,0,1,0,0,0,0,0,0,6,1,5
"TOR","2015-10-10","2015020019","20152016","OTT","1",8.75,1,0,2,0,1,1,0,0,0,8,4,4
"TOR","2015-10-16","2015020059","20152016","CBJ","0",7.57,0,1,2,2,0,0,0,0,0,2,4,-2
"TOR","2015-10-17","2015020069","20152016","PIT","0",6.93,0,0,0,2,0,1,0,0,1,6,3,3
"TOR","2015-10-21","2015020088","20152016","BUF","0",8,1,0,1,0,0,0,0,0,0,7,4,3
"TOR","2015-10-24","2015020108","20152016","MTL","0",6.5,1,0,0,0,0,0,0,0,0,2,4,-2
"TOR","2015-10-26","2015020122","20152016","ARI","1",5.15,1,2,0,2,0,0,0,0,0,2,4,-2
"TOR","2015-10-30","2015020146","20152016","NYR","0",6,0,0,2,0,0,0,0,0,0,5,1,4
"TOR","2015-10-31","2015020157","20152016","PIT","1",7.52,1,0,2,1,0,0,0,0,0,4,5,-1
"TOR","2015-11-02","2015020169","20152016","DAL","1",4,0,2,0,0,0,0,0,0,0,3,5,-2
"TOR","2015-11-04","2015020181","20152016","WPG","1",4,0,1,0,0,0,0,0,0,0,2,2,0
"TOR","2015-11-06","2015020194","20152016","DET","1",6,0,5,1,1,0,0,0,0,0,4,3,1
"TOR","2015-11-07","2015020203","20152016","WSH","0",9.63,2,0,4,0,1,0,0,0,-1,4,5,-1
"TOR","2015-11-10","2015020225","20152016","DAL","0",2,0,0,0,0,0,0,0,0,0,1,2,-1
"TOR","2015-11-12","2015020237","20152016","NSH","0",6.93,1,0,1,0,0,0,0,0,0,3,5,-2
"TOR","2015-11-14","2015020249","20152016","VAN","1",4.3,1,1,0,1,0,1,0,0,1,2,3,-1
"TOR","2015-11-15","2015020259","20152016","NYR","0",3.78,0,0,2,0,0,0,0,0,0,1,2,-1
"TOR","2015-11-17","2015020272","20152016","COL","1",6.77,1,2,2,5,0,0,0,0,0,2,6,-4
"TOR","2015-11-20","2015020287","20152016","CAR","0",2.57,0,1,1,0,1,0,0,0,-1,1,3,-2
"TOR","2015-11-21","2015020293","20152016","BOS","0",2,0,1,0,0,0,0,0,0,0,0,1,-1
"TOR","2015-11-23","2015020312","20152016","BOS","1",6,3,2,5,0,0,0,0,0,0,4,1,3
"TOR","2015-11-28","2015020343","20152016","WSH","1",3.55,0,2,0,0,0,0,0,0,0,1,3,-2
"TOR","2015-11-30","2015020357","20152016","EDM","1",6,1,1,3,1,0,0,0,0,0,6,3,3
"TOR","2015-12-02","2015020369","20152016","WPG","0",9.48,4,0,1,2,0,0,0,0,0,3,4,-1
"TOR","2015-12-03","2015020379","20152016","MIN","0",5.82,0,0,1,0,0,0,0,0,0,0,4,-4
"TOR","2015-12-05","2015020393","20152016","STL","0",2.4,0,0,0,0,0,0,0,0,0,0,2,-2
"TOR","2015-12-08","2015020411","20152016","N.J","1",8.4,2,1,3,1,0,0,0,0,0,6,4,2
"TOR","2015-12-15","2015020457","20152016","T.B","1",4.73,1,0,3,0,1,0,0,0,-1,3,2,1
"TOR","2015-12-17","2015020469","20152016","S.J","1",1.15,0,1,0,0,0,0,0,0,0,1,1,0
"TOR","2015-12-19","2015020485","20152016","L.A","1",2,0,0,0,1,0,0,0,0,0,1,1,0
"TOR","2015-12-21","2015020505","20152016","COL","0",7.62,0,1,1,0,0,0,0,0,0,4,3,1
"TOR","2015-12-22","2015020515","20152016","ARI","0",8,0,2,2,0,0,0,0,0,0,4,5,-1
"TOR","2015-12-27","2015020528","20152016","NYI","0",2,0,2,1,0,0,0,0,0,0,0,2,-2
"TOR","2015-12-29","2015020542","20152016","NYI","1",6.68,1,0,2,1,0,1,0,0,1,4,3,1
"TOR","2015-12-30","2015020551","20152016","PIT","0",9.03,0,1,4,3,0,0,0,0,0,6,8,-2
"TOR","2016-01-02","2015020570","20152016","STL","1",0.33,0,0,0,0,0,0,0,0,0,0,1,-1
"TOR","2016-01-06","2015020600","20152016","ANA","0",4,2,2,1,0,0,0,0,0,0,0,5,-5
"TOR","2016-01-07","2015020606","20152016","L.A","0",5,1,1,3,0,0,0,0,0,0,1,3,-2
"TOR","2016-01-09","2015020619","20152016","S.J","0",8,0,1,3,0,0,0,0,0,0,4,5,-1
"TOR","2016-01-13","2015020642","20152016","CBJ","1",2.18,0,1,3,0,0,0,0,0,0,1,2,-1
"TOR","2016-01-15","2015020655","20152016","CHI","1",9.37,2,0,2,0,1,0,0,0,-1,2,7,-5
"TOR","2016-01-16","2015020662","20152016","BOS","0",2,0,1,1,0,0,0,0,0,0,3,2,1
"TOR","2016-01-19","2015020684","20152016","PHI","0",5.9,2,1,2,0,0,0,0,0,0,2,3,-1
"TOR","2016-01-21","2015020697","20152016","CAR","1",8,1,1,1,1,0,0,0,0,0,4,4,0
"TOR","2016-01-23","2015020712","20152016","MTL","1",8,1,3,1,1,0,0,0,0,0,2,5,-3
"TOR","2016-01-26","2015020736","20152016","FLA","0",8.35,0,0,7,1,0,0,0,0,0,5,4,1
"TOR","2016-01-27","2015020740","20152016","T.B","0",10.65,0,1,5,1,0,0,0,0,0,4,6,-2
"TOR","2016-02-02","2015020744","20152016","BOS","0",7.88,1,1,5,0,0,0,0,0,0,2,5,-3
"TOR","2016-02-04","2015020762","20152016","N.J","1",8.85,2,1,3,3,0,0,0,0,0,2,7,-5
"TOR","2016-02-06","2015020780","20152016","OTT","0",6,1,0,5,1,0,0,0,0,0,3,2,1
"TOR","2016-02-09","2015020805","20152016","CGY","0",3,0,0,0,0,0,0,0,0,0,2,3,-1
"TOR","2016-02-11","2015020816","20152016","EDM","0",8.3,2,1,0,0,2,1,0,0,-1,4,7,-3
"TOR","2016-02-13","2015020830","20152016","VAN","0",6,0,2,0,1,0,0,0,0,0,3,3,0
"TOR","2016-02-15","2015020844","20152016","CHI","0",8.18,0,0,2,1,1,0,0,0,-1,5,6,-1
"TOR","2016-02-18","2015020860","20152016","NYR","1",4.97,0,2,3,0,2,0,0,0,-2,2,2,0
"TOR","2016-02-20","2015020875","20152016","PHI","1",2,1,0,2,0,0,0,0,0,0,2,0,2
"TOR","2016-02-23","2015020895","20152016","NSH","1",2.58,0,0,0,0,0,0,0,0,0,3,1,2
"TOR","2016-02-25","2015020908","20152016","CAR","1",6.8,0,2,1,1,0,0,0,0,0,4,4,0
"TOR","2016-02-27","2015020926","20152016","MTL","0",8,2,0,3,0,0,0,0,0,0,6,3,3
"TOR","2016-02-29","2015020940","20152016","T.B","1",2,0,1,0,0,0,0,0,0,0,2,0,2
"TOR","2016-03-02","2015020951","20152016","WSH","0",6.18,0,1,2,1,0,0,0,0,0,5,6,-1
"TOR","2016-03-03","2015020958","20152016","MIN","1",6.75,3,2,1,0,0,0,0,0,0,4,2,2
"TOR","2016-03-05","2015020974","20152016","OTT","1",2,0,0,0,0,0,0,0,0,0,1,0,1
"TOR","2016-03-07","2015020987","20152016","BUF","1",6.4,1,1,1,0,1,1,0,0,0,3,2,1
