"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"TOR","2019-10-02","2019020001","20192020","OTT","1",44.13,11,15,11,84,17,20,20,6,6
"TOR","2019-10-04","2019020015","20192020","CBJ","0",47.68,12,15,10,99,15,15,14,3,4
"TOR","2019-10-05","2019020019","20192020","MTL","1",51.53,10,21,8,112,14,22,18,6,5
"TOR","2019-10-07","2019020034","20192020","STL","1",47.37,10,13,9,95,17,13,16,5,6
"TOR","2019-10-10","2019020047","20192020","T.B","1",51.87,10,20,8,110,10,23,13,4,1
"TOR","2019-10-12","2019020066","20192020","DET","0",51.62,15,17,10,98,19,17,17,5,7
"TOR","2019-10-15","2019020085","20192020","MIN","1",50.63,9,10,10,136,16,11,14,3,5
"TOR","2019-10-16","2019020093","20192020","WSH","0",47.53,10,12,11,89,14,12,18,5,3
"TOR","2019-10-19","2019020115","20192020","BOS","1",57.73,10,13,10,164,13,18,12,2,2
"TOR","2019-10-21","2019020129","20192020","CBJ","1",48.67,14,11,8,99,21,14,14,5,10
"TOR","2019-10-22","2019020133","20192020","BOS","0",46.03,12,15,14,106,14,19,18,3,3
"TOR","2019-10-25","2019020156","20192020","S.J","1",46.6,10,10,4,128,11,11,6,2,1
"TOR","2019-10-26","2019020163","20192020","MTL","0",54.15,18,16,10,113,25,20,13,2,5
"TOR","2019-10-29","2019020180","20192020","WSH","1",37.52,17,16,5,78,21,17,14,7,7
"TOR","2019-11-02","2019020209","20192020","PHI","0",55,5,12,7,153,8,13,18,10,2
"TOR","2019-11-05","2019020228","20192020","L.A","1",46.4,13,12,9,106,14,13,15,4,5
"TOR","2019-11-07","2019020237","20192020","VGK","1",40.9,4,9,12,95,7,11,24,8,2
"TOR","2019-11-09","2019020253","20192020","PHI","1",55.43,18,12,10,130,23,14,15,5,6
"TOR","2019-11-10","2019020268","20192020","CHI","0",45.25,17,14,8,99,19,19,11,2,3
"TOR","2019-11-13","2019020282","20192020","NYI","0",49.83,8,17,2,114,11,20,5,2,3
"TOR","2019-11-15","2019020294","20192020","BOS","1",51.55,16,14,13,88,21,19,21,6,8
"TOR","2019-11-16","2019020308","20192020","PIT","0",54.05,12,13,10,110,18,17,15,4,3
"TOR","2019-11-19","2019020329","20192020","VGK","0",53.25,12,13,19,117,14,14,31,8,5
"TOR","2019-11-21","2019020343","20192020","ARI","0",53.92,18,15,8,111,22,20,15,6,6
"TOR","2019-11-23","2019020357","20192020","COL","0",49.03,12,12,12,114,15,15,20,8,2
"TOR","2019-11-27","2019020379","20192020","DET","0",58.63,17,12,8,84,26,15,13,1,9
"TOR","2019-11-29","2019020392","20192020","BUF","0",46.82,7,21,10,101,10,21,16,4,4
"TOR","2019-11-30","2019020405","20192020","BUF","1",55.98,15,9,12,111,18,10,20,4,3
"TOR","2019-12-03","2019020428","20192020","PHI","0",50.85,8,12,8,147,14,14,13,3,4
"TOR","2019-12-04","2019020434","20192020","COL","1",51.22,16,10,9,95,20,12,15,5,2
"TOR","2019-12-07","2019020459","20192020","STL","0",49.23,14,9,10,104,16,12,15,2,2
"TOR","2019-12-10","2019020481","20192020","VAN","0",52.58,8,8,17,146,10,11,23,4,3
"TOR","2019-12-12","2019020494","20192020","CGY","0",48.37,7,12,9,154,12,13,16,4,3
"TOR","2019-12-14","2019020511","20192020","EDM","0",56.18,15,11,11,111,17,15,19,3,2
