"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"TOR","2018-10-03","2018020001","20182019","MTL","1",4.97,4,1,0,5,4,3,0,0,0
"TOR","2018-10-06","2018020018","20182019","OTT","1",2.33,2,1,0,2,2,1,0,0,0
"TOR","2018-10-07","2018020030","20182019","CHI","0",2.53,3,0,0,3,4,0,0,0,0
"TOR","2018-10-09","2018020041","20182019","DAL","0",3.07,3,0,0,2,3,0,0,0,0
"TOR","2018-10-11","2018020052","20182019","DET","0",5.62,5,0,0,5,6,0,0,0,0
"TOR","2018-10-13","2018020065","20182019","WSH","0",4.68,3,1,0,3,5,1,0,0,0
"TOR","2018-10-15","2018020074","20182019","L.A","1",3.45,4,0,0,3,4,0,0,0,0
"TOR","2018-10-18","2018020090","20182019","PIT","1",1.38,0,0,0,4,0,0,0,0,0
"TOR","2018-10-20","2018020106","20182019","STL","1",6.52,6,2,0,3,6,3,0,0,0
"TOR","2018-10-24","2018020131","20182019","WPG","0",2,1,1,0,1,2,1,0,0,0
"TOR","2018-10-27","2018020153","20182019","WPG","1",6,3,0,0,7,5,0,0,0,0
"TOR","2018-10-29","2018020165","20182019","CGY","1",4.02,3,1,0,3,3,1,0,0,0
"TOR","2018-11-01","2018020179","20182019","DAL","1",8,5,0,0,11,8,0,0,0,0
"TOR","2018-11-03","2018020199","20182019","PIT","0",4.85,4,1,0,3,5,1,0,0,0
"TOR","2018-11-06","2018020215","20182019","VGK","1",2,1,0,0,3,1,0,0,0,0
"TOR","2018-11-09","2018020236","20182019","N.J","1",6.88,3,1,0,11,3,1,0,0,0
"TOR","2018-11-10","2018020245","20182019","BOS","0",6,8,0,0,3,10,0,0,0,0
"TOR","2018-11-13","2018020271","20182019","L.A","0",11.12,11,1,0,8,11,1,0,0,0
"TOR","2018-11-15","2018020285","20182019","S.J","0",6,4,0,1,8,4,1,1,0,0
"TOR","2018-11-16","2018020291","20182019","ANA","0",4,3,0,0,2,3,0,1,0,0
"TOR","2018-11-19","2018020308","20182019","CBJ","1",0,0,0,0,0,0,0,0,0,0
"TOR","2018-11-21","2018020323","20182019","CAR","0",4,3,0,0,7,4,0,0,0,0
"TOR","2018-11-23","2018020339","20182019","CBJ","0",4.98,2,1,0,8,2,1,0,0,0
"TOR","2018-11-24","2018020348","20182019","PHI","1",0,0,0,0,0,0,0,0,0,0
"TOR","2018-11-26","2018020362","20182019","BOS","1",1.67,1,0,0,1,1,0,0,0,0
"TOR","2018-11-28","2018020379","20182019","S.J","1",4.02,5,0,0,1,5,0,0,0,0
"TOR","2018-12-01","2018020403","20182019","MIN","0",0.75,1,0,0,0,1,0,0,0,0
"TOR","2018-12-04","2018020416","20182019","BUF","0",1.8,2,0,0,6,2,0,0,0,0
"TOR","2018-12-06","2018020429","20182019","DET","1",8,4,3,0,4,5,3,0,0,0
"TOR","2018-12-08","2018020446","20182019","BOS","0",3.45,3,0,0,2,3,0,0,0,0
"TOR","2018-12-11","2018020468","20182019","CAR","0",6.05,4,0,0,5,6,0,0,0,0
"TOR","2018-12-13","2018020482","20182019","T.B","0",11.38,9,4,0,4,11,4,0,0,0
"TOR","2018-12-15","2018020497","20182019","FLA","0",8,3,1,0,12,6,1,2,1,0
"TOR","2018-12-18","2018020518","20182019","N.J","0",6,2,1,0,7,2,1,0,0,0
"TOR","2018-12-20","2018020531","20182019","FLA","1",1.68,3,0,0,1,3,0,0,0,0
"TOR","2018-12-22","2018020552","20182019","NYR","1",4,0,1,0,8,1,1,0,0,0
"TOR","2018-12-23","2018020563","20182019","DET","1",4,3,0,0,8,5,0,0,0,0
"TOR","2018-12-28","2018020582","20182019","CBJ","0",2.53,2,1,0,2,3,1,0,0,0
"TOR","2018-12-29","2018020588","20182019","NYI","1",3.2,2,1,0,3,3,1,0,0,0
"TOR","2019-01-03","2018020621","20182019","MIN","1",8,6,0,0,7,7,0,0,0,0
"TOR","2019-01-05","2018020639","20182019","VAN","1",0,0,0,0,0,0,0,0,0,0
"TOR","2019-01-07","2018020652","20182019","NSH","1",6,3,1,0,9,3,1,0,0,0
"TOR","2019-01-10","2018020672","20182019","N.J","0",2.07,2,0,0,2,2,0,0,0,0
"TOR","2019-01-12","2018020690","20182019","BOS","1",2.52,3,0,0,4,6,0,0,0,0
"TOR","2019-01-14","2018020706","20182019","COL","1",4,3,1,0,5,3,1,0,0,0
"TOR","2019-01-17","2018020729","20182019","T.B","0",4,3,0,0,2,3,0,0,0,0
"TOR","2019-01-18","2018020733","20182019","FLA","0",0.77,0,0,0,4,0,0,0,0,0
"TOR","2019-01-20","2018020754","20182019","ARI","1",2,2,0,0,2,2,0,0,0,0
"TOR","2019-01-23","2018020765","20182019","WSH","1",0.73,1,0,0,0,1,0,0,0,0
