"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VAN","2016-10-15","2016020029","20162017","CGY","1",7.4,0,88.89,90.91,94.12,88.49,0,0,8,1,10,1,16,1,0.64,0.08,0,7,9,15,0.56
"VAN","2016-10-16","2016020032","20162017","CAR","1",4,0,40,57.14,62.5,81.46,0,0,2,3,4,3,5,3,0.21,0.05,0,-1,1,2,0.16
"VAN","2016-10-18","2016020048","20162017","STL","1",8,0,75,83.33,86.67,73.95,0,0,6,2,10,2,13,2,0.61,0.22,0,4,8,11,0.4
"VAN","2016-10-20","2016020061","20162017","BUF","1",6.3,100,100,100,100,100,1,0,3,0,6,0,8,0,0.64,0,1,3,6,8,0.64
"VAN","2016-10-22","2016020076","20162017","L.A","0",9.95,50,80,78.57,80,61.9,1,1,8,2,11,3,12,3,0.78,0.48,0,6,8,9,0.3
"VAN","2016-10-23","2016020080","20162017","ANA","0",4,0,75,85.71,88.89,98.99,0,0,3,1,6,1,8,1,0.67,0.01,0,2,5,7,0.66
"VAN","2016-10-25","2016020091","20162017","OTT","1",0.1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.01,0,-1,-1,-1,-0.01
"VAN","2016-10-28","2016020111","20162017","EDM","1",2,0,100,100,100,100,0,0,1,0,2,0,2,0,0.13,0,0,1,2,2,0.13
"VAN","2016-10-29","2016020121","20162017","WSH","1",6,0,100,100,100,100,0,0,5,0,8,0,9,0,0.45,0,0,5,8,9,0.45
"VAN","2016-11-02","2016020143","20162017","MTL","0",9.27,0,80,83.33,87.5,87,0,0,4,1,5,1,7,1,0.41,0.06,0,3,4,6,0.35
"VAN","2016-11-03","2016020150","20162017","OTT","0",4,0,100,100,100,100,0,0,2,0,3,0,9,0,0.34,0,0,2,3,9,0.34
"VAN","2016-11-05","2016020163","20162017","TOR","0",4.9,0,33.33,50,66.67,68.95,0,0,1,2,2,2,4,2,0.12,0.05,0,-1,0,2,0.07
"VAN","2016-11-07","2016020181","20162017","NYI","0",2.77,100,100,66.67,80,91.56,1,0,2,0,2,1,4,1,0.32,0.03,1,2,1,3,0.29
"VAN","2016-11-08","2016020184","20162017","NYR","0",4,0,40,40,42.86,73.5,0,0,2,3,2,3,3,4,0.35,0.13,0,-1,-1,-1,0.23
"VAN","2016-11-10","2016020200","20162017","DET","0",4.07,0,75,83.33,71.43,95.05,0,0,3,1,5,1,5,2,0.5,0.03,0,2,4,3,0.48
"VAN","2016-11-13","2016020224","20162017","DAL","1",5.33,100,100,75,80,41.65,1,0,5,0,6,2,8,2,0.28,0.39,1,5,4,6,-0.11
"VAN","2016-11-15","2016020241","20162017","NYR","1",8,0,75,83.33,88.24,93.63,0,0,6,2,10,2,15,2,0.76,0.05,0,4,8,13,0.7
"VAN","2016-11-17","2016020252","20162017","ARI","1",2.97,100,83.33,83.33,85.71,96.86,1,0,5,1,5,1,6,1,0.4,0.01,1,4,4,5,0.39
"VAN","2016-11-19","2016020270","20162017","CHI","1",3.23,100,100,100,100,100,1,0,4,0,6,0,9,0,0.46,0,1,4,6,9,0.46
"VAN","2016-11-23","2016020297","20162017","ARI","0",4,0,100,100,88.89,100,0,0,5,0,6,0,8,1,0.42,0,0,5,6,7,0.42
"VAN","2016-11-25","2016020311","20162017","DAL","0",2.63,0,0,50,50,11.11,0,0,0,0,1,1,2,2,0.04,0.32,0,0,0,0,-0.28
"VAN","2016-11-26","2016020319","20162017","COL","0",4.12,100,71.43,71.43,80,77.27,1,0,5,2,5,2,8,2,0.43,0.13,1,3,3,6,0.3
"VAN","2016-11-29","2016020339","20162017","MIN","1",4.9,100,85.71,87.5,88.89,97.74,2,0,6,1,7,1,8,1,0.94,0.02,2,5,6,7,0.92
"VAN","2016-12-01","2016020356","20162017","ANA","1",5.03,0,80,66.67,75,76.39,0,0,4,1,4,2,6,2,0.94,0.29,0,3,2,4,0.65
"VAN","2016-12-03","2016020367","20162017","TOR","1",3.98,0,100,100,100,100,0,0,2,0,2,0,4,0,0.17,0,0,2,2,4,0.17
"VAN","2016-12-06","2016020383","20162017","N.J","0",4,100,100,100,100,100,1,0,4,0,6,0,7,0,0.51,0,1,4,6,7,0.51
"VAN","2016-12-08","2016020399","20162017","T.B","0",6,0,60,75,75,62.14,0,0,3,2,6,2,6,2,0.28,0.17,0,1,4,4,0.11
"VAN","2016-12-10","2016020416","20162017","FLA","0",6.53,100,77.78,80,78.57,90.75,1,0,7,2,8,2,11,3,0.55,0.06,1,5,6,8,0.5
"VAN","2016-12-11","2016020423","20162017","WSH","0",10,0,50,83.33,90,92.5,0,0,1,1,5,1,9,1,0.29,0.02,0,0,4,8,0.26
"VAN","2016-12-13","2016020434","20162017","CAR","0",4,0,100,100,100,100,0,0,5,0,6,0,6,0,0.31,0,0,5,6,6,0.31
"VAN","2016-12-16","2016020459","20162017","T.B","1",3.63,100,100,100,100,100,1,0,5,0,8,0,11,0,0.74,0,1,5,8,11,0.74
"VAN","2016-12-18","2016020472","20162017","CBJ","1",6.83,100,100,100,100,100,1,0,3,0,4,0,6,0,0.5,0,1,3,4,6,0.5
"VAN","2016-12-20","2016020491","20162017","WPG","1",6,0,100,100,100,100,0,0,1,0,5,0,7,0,0.28,0,0,1,5,7,0.28
