"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VAN","2015-10-07","2015020003","20152016","CGY","0",3.58,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0.39,0,-2,-2,-3,-0.39
"VAN","2015-10-10","2015020028","20152016","CGY","1",2.8,0,0,0,0,0,0,1,0,5,0,5,0,7,0,0.53,-1,-5,-5,-7,-0.53
"VAN","2015-10-12","2015020036","20152016","ANA","0",3.67,0,25,25,20,15.2,0,0,1,3,1,3,1,4,0.04,0.21,0,-2,-2,-3,-0.17
"VAN","2015-10-13","2015020045","20152016","L.A","0",6,0,50,33.33,33.33,45.86,0,0,2,2,2,4,2,4,0.12,0.14,0,0,-2,-2,-0.02
"VAN","2015-10-16","2015020062","20152016","STL","1",7.57,100,25,14.29,9.09,10.84,1,0,1,3,1,6,1,10,0.07,0.54,1,-2,-5,-9,-0.47
"VAN","2015-10-18","2015020078","20152016","EDM","1",1.98,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.16,-1,-2,-2,-2,-0.16
"VAN","2015-10-22","2015020098","20152016","WSH","1",4,0,0,0,25,0,0,0,0,2,0,2,1,3,0,0.2,0,-2,-2,-2,-0.2
"VAN","2015-10-24","2015020116","20152016","DET","1",10.08,0,30,20,17.65,18.15,0,1,3,7,3,12,3,14,0.21,0.96,-1,-4,-9,-11,-0.74
"VAN","2015-10-27","2015020133","20152016","MTL","1",2.97,0,0,50,50,28.69,0,0,0,1,1,1,1,1,0.03,0.08,0,-1,0,0,-0.05
"VAN","2015-10-29","2015020143","20152016","DAL","0",6,0,0,0,0,0,0,0,0,6,0,7,0,12,0,0.62,0,-6,-7,-12,-0.62
"VAN","2015-10-30","2015020153","20152016","ARI","0",4,0,0,0,0,0,0,0,0,4,0,5,0,9,0,0.32,0,-4,-5,-9,-0.32
"VAN","2015-11-02","2015020171","20152016","PHI","1",4,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0.24,0,-4,-4,-6,-0.24
"VAN","2015-11-04","2015020183","20152016","PIT","1",4.83,0,25,28.57,22.22,30.46,0,1,1,3,2,5,2,7,0.22,0.5,-1,-2,-3,-5,-0.28
"VAN","2015-11-07","2015020200","20152016","BUF","0",3.73,0,33.33,28.57,25,18,0,1,2,4,2,5,2,6,0.12,0.52,-1,-2,-3,-4,-0.41
"VAN","2015-11-08","2015020212","20152016","N.J","0",7.78,0,0,0,0,0,0,1,0,8,0,13,0,15,0,1.31,-1,-8,-13,-15,-1.31
"VAN","2015-11-10","2015020219","20152016","CBJ","0",2.23,0,20,20,20,22.4,0,2,2,8,2,8,2,8,0.25,0.88,-2,-6,-6,-6,-0.63
"VAN","2015-11-12","2015020234","20152016","OTT","0",7.22,0,12.5,16.67,15.38,13.76,0,2,1,7,2,10,2,11,0.12,0.77,-2,-6,-8,-9,-0.65
"VAN","2015-11-14","2015020249","20152016","TOR","0",6.05,0,10,14.29,10.53,5.41,0,1,1,9,2,12,2,17,0.09,1.63,-1,-8,-10,-15,-1.53
"VAN","2015-11-16","2015020263","20152016","MTL","0",8.15,0,9.09,6.67,5.26,0.56,0,0,1,10,1,14,1,18,0.01,1.14,0,-9,-13,-17,-1.14
"VAN","2015-11-18","2015020275","20152016","WPG","0",6.05,0,11.11,9.09,8.33,13.97,0,1,1,8,1,10,1,11,0.15,0.91,-1,-7,-9,-10,-0.76
"VAN","2015-11-21","2015020303","20152016","CHI","1",2.65,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.18,-1,-2,-2,-2,-0.18
"VAN","2015-11-22","2015020307","20152016","N.J","1",8.73,50,22.22,18.18,14.29,45.02,1,1,2,7,2,9,2,12,0.58,0.71,0,-5,-7,-10,-0.13
"VAN","2015-11-25","2015020324","20152016","MIN","0",2.45,0,0,12.5,11.11,13.33,0,1,0,6,1,7,1,8,0.08,0.52,-1,-6,-6,-7,-0.44
"VAN","2015-11-27","2015020340","20152016","DAL","0",6.23,0,0,0,0,0,0,2,0,6,0,7,0,10,0,0.77,-2,-6,-7,-10,-0.77
"VAN","2015-11-30","2015020358","20152016","ANA","0",5.65,0,14.29,12.5,9.09,3.72,0,1,1,6,1,7,1,10,0.03,0.73,-1,-5,-6,-9,-0.7
"VAN","2015-12-01","2015020367","20152016","L.A","0",9.75,0,14.29,11.11,7.69,30.06,0,1,1,6,1,8,1,12,0.24,0.55,-1,-5,-7,-11,-0.31
"VAN","2015-12-03","2015020380","20152016","DAL","1",6,0,0,25,12.5,18.58,0,0,0,2,1,3,1,7,0.03,0.14,0,-2,-2,-6,-0.1
