"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"VAN","2019-10-02","2019020003","20192020","EDM","0",46.23,10,5,19,22,1,2,0,0,1,19,18,1
"VAN","2019-10-05","2019020028","20192020","CGY","0",41.22,10,4,6,12,2,4,0,0,2,21,25,-4
"VAN","2019-10-09","2019020046","20192020","L.A","1",48.1,6,13,20,14,2,1,0,0,-1,20,37,-17
"VAN","2019-10-12","2019020073","20192020","PHI","1",56.72,13,6,22,21,2,2,0,0,0,29,26,3
"VAN","2019-10-15","2019020089","20192020","DET","1",49.9,5,8,23,13,3,5,0,0,2,21,21,0
"VAN","2019-10-17","2019020101","20192020","STL","0",51.9,4,9,14,11,3,2,0,0,-1,22,23,-1
"VAN","2019-10-19","2019020113","20192020","N.J","0",39.22,4,3,9,12,5,6,0,0,1,28,14,14
"VAN","2019-10-20","2019020124","20192020","NYR","0",46.5,10,8,19,18,3,3,0,0,0,22,11,11
"VAN","2019-10-22","2019020137","20192020","DET","0",40.25,6,1,15,13,5,5,0,0,0,17,14,3
"VAN","2019-10-25","2019020160","20192020","WSH","1",51.92,7,8,14,24,0,4,0,0,4,29,17,12
"VAN","2019-10-28","2019020178","20192020","FLA","1",51.95,5,12,17,16,2,2,0,0,0,25,20,5
"VAN","2019-10-30","2019020193","20192020","L.A","0",42.05,6,0,14,22,6,4,1,1,-2,29,15,14
"VAN","2019-11-01","2019020202","20192020","ANA","0",44.5,7,1,11,16,5,6,0,0,1,15,19,-4
"VAN","2019-11-02","2019020216","20192020","S.J","0",47.72,4,5,7,21,3,2,0,0,-1,16,24,-8
"VAN","2019-11-05","2019020232","20192020","STL","1",51.47,4,12,27,16,3,5,0,0,2,21,18,3
"VAN","2019-11-07","2019020243","20192020","CHI","0",45.87,10,7,25,21,3,4,0,0,1,25,16,9
"VAN","2019-11-08","2019020250","20192020","WPG","0",49.97,12,5,13,15,3,2,0,0,-1,23,19,4
"VAN","2019-11-10","2019020265","20192020","N.J","1",50.32,7,5,24,11,2,2,0,0,0,23,20,3
"VAN","2019-11-12","2019020277","20192020","NSH","1",49.05,6,4,24,18,0,1,0,0,1,25,21,4
"VAN","2019-11-14","2019020291","20192020","DAL","1",48.72,8,5,19,15,2,3,1,1,1,20,31,-11
"VAN","2019-11-16","2019020311","20192020","COL","1",41.65,5,6,15,10,3,4,0,0,1,27,13,14
"VAN","2019-11-19","2019020327","20192020","DAL","0",46.7,9,0,10,15,2,3,0,0,1,15,31,-16
"VAN","2019-11-21","2019020339","20192020","NSH","0",42.13,9,3,4,15,5,6,0,0,1,26,30,-4
"VAN","2019-11-23","2019020348","20192020","WSH","0",49.9,7,10,11,23,3,3,0,0,0,17,22,-5
"VAN","2019-11-25","2019020367","20192020","PHI","0",51.12,13,4,19,17,0,2,0,0,2,19,28,-9
"VAN","2019-11-27","2019020382","20192020","PIT","0",52.1,3,2,42,31,4,3,0,0,-1,24,31,-7
"VAN","2019-11-30","2019020414","20192020","EDM","0",47.68,13,5,14,25,2,3,0,0,1,23,22,1
"VAN","2019-12-01","2019020418","20192020","EDM","1",51.78,3,10,19,13,2,1,0,0,-1,16,20,-4
"VAN","2019-12-03","2019020432","20192020","OTT","1",51.25,8,11,21,20,3,2,0,0,-1,20,22,-2
"VAN","2019-12-07","2019020453","20192020","BUF","1",51.9,9,6,28,15,4,2,0,0,-2,35,17,18
"VAN","2019-12-10","2019020481","20192020","TOR","1",52.58,6,4,15,8,1,2,0,0,1,20,24,-4
"VAN","2019-12-12","2019020496","20192020","CAR","1",45.83,6,7,15,13,3,4,0,0,1,21,22,-1
"VAN","2019-12-14","2019020514","20192020","S.J","0",48.82,4,7,10,13,3,4,0,0,1,28,17,11
"VAN","2019-12-15","2019020518","20192020","VGK","0",50.1,3,8,25,28,3,4,0,0,1,34,22,12
"VAN","2019-12-17","2019020532","20192020","MTL","1",46.58,10,7,19,16,1,4,0,0,3,20,21,-1
"VAN","2019-12-19","2019020547","20192020","VGK","1",49.25,8,7,24,27,3,4,0,0,1,33,20,13
"VAN","2019-12-21","2019020563","20192020","PIT","1",41.45,2,3,29,14,5,3,0,0,-2,22,14,8
"VAN","2019-12-23","2019020579","20192020","EDM","1",51.62,3,6,21,11,2,1,0,0,-1,22,18,4
"VAN","2019-12-28","2019020599","20192020","L.A","1",50.23,7,5,23,16,2,0,0,0,-2,26,18,8
"VAN","2019-12-29","2019020611","20192020","CGY","0",43.93,10,11,13,11,5,4,0,0,-1,30,10,20
"VAN","2020-01-02","2019020637","20192020","CHI","1",49.7,6,10,23,13,4,2,0,0,-2,27,24,3
"VAN","2020-01-04","2019020651","20192020","NYR","1",48.22,6,7,29,19,1,1,0,0,0,28,20,8
"VAN","2020-01-07","2019020663","20192020","T.B","0",45.08,2,1,18,16,3,1,0,0,-2,21,22,-1
"VAN","2020-01-09","2019020681","20192020","FLA","0",49.08,9,4,23,19,2,2,0,0,0,25,29,-4
"VAN","2020-01-11","2019020692","20192020","BUF","0",51.53,0,1,11,14,3,1,0,0,-2,27,23,4
"VAN","2020-01-12","2019020704","20192020","MIN","0",41.23,1,7,5,13,2,4,0,0,2,22,16,6
"VAN","2020-01-14","2019020721","20192020","WPG","0",44.58,3,3,11,10,3,4,0,0,1,20,26,-6
"VAN","2020-01-16","2019020739","20192020","ARI","1",51.42,7,7,14,18,1,2,0,0,1,21,21,0
"VAN","2020-01-18","2019020754","20192020","S.J","1",49.53,8,3,25,19,3,8,0,0,5,26,16,10
"VAN","2020-01-27","2019020772","20192020","STL","1",45.83,7,6,18,22,2,3,0,0,1,26,18,8
"VAN","2020-01-29","2019020781","20192020","S.J","0",50.23,5,9,9,20,2,1,0,0,-1,33,17,16
"VAN","2020-02-01","2019020793","20192020","NYI","0",55.55,18,5,18,27,3,1,0,0,-2,26,20,6
"VAN","2020-02-02","2019020808","20192020","CAR","0",54.25,9,3,27,29,1,3,0,0,2,28,27,1
"VAN","2020-02-04","2019020812","20192020","BOS","0",46.45,7,12,24,29,2,3,0,0,1,23,23,0
"VAN","2020-02-06","2019020835","20192020","MIN","0",46.47,3,1,6,10,3,4,2,2,1,24,18,6
"VAN","2020-02-08","2019020853","20192020","CGY","1",51.07,5,4,16,16,2,5,1,1,3,22,23,-1
"VAN","2020-02-10","2019020864","20192020","NSH","1",43.83,6,5,19,14,6,2,1,1,-4,29,22,7
"VAN","2020-02-12","2019020879","20192020","CHI","1",43.13,10,6,18,14,3,2,2,2,-1,22,18,4
"VAN","2020-02-16","2019020909","20192020","ANA","1",52.85,6,6,10,19,4,4,0,0,0,36,16,20
"VAN","2020-02-19","2019020932","20192020","MIN","1",58.67,8,6,25,20,0,1,0,0,1,27,23,4
"VAN","2020-02-22","2019020956","20192020","BOS","1",52.63,12,13,30,28,3,3,1,1,0,31,27,4
"VAN","2020-02-25","2019020969","20192020","MTL","0",57.8,16,12,19,28,0,1,0,0,1,29,22,7
"VAN","2020-02-27","2019020988","20192020","OTT","0",54.62,9,4,18,28,1,1,1,1,0,25,23,2
"VAN","2020-02-29","2019021003","20192020","TOR","0",48.75,7,8,19,7,2,2,0,0,0,21,26,-5
"VAN","2020-03-01","2019021013","20192020","CBJ","0",51.47,7,2,20,33,1,2,1,1,1,30,27,3
"VAN","2020-03-04","2019021032","20192020","ARI","1",48.47,8,7,28,24,2,3,0,0,1,31,14,17
"VAN","2020-03-06","2019021047","20192020","COL","1",49.08,4,6,23,18,5,3,0,0,-2,29,23,6
"VAN","2020-03-08","2019021064","20192020","CBJ","1",48.28,8,3,23,19,2,2,0,0,0,21,27,-6
"VAN","2020-03-10","2019021077","20192020","NYI","1",57.05,9,9,34,36,2,1,0,0,-1,27,25,2
"VAN","Total","-","20192020","-","-",48.8,488,413,1282,1254,179,196,11,11,17,1685,1467,218
