"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"VAN","2017-10-07","2017020028","20172018","EDM","1",9.88,1,0,0,1,2,0,0,0,-2,6,2,4
"VAN","2017-10-10","2017020044","20172018","OTT","1",5.33,0,0,0,0,2,0,0,0,-2,5,3,2
"VAN","2017-10-12","2017020055","20172018","WPG","1",8.05,0,0,0,2,0,0,0,0,0,7,5,2
"VAN","2017-10-14","2017020074","20172018","CGY","1",12.82,0,0,0,1,0,1,0,0,1,6,4,2
"VAN","2017-10-17","2017020085","20172018","OTT","0",2.83,0,0,0,1,0,0,0,0,0,1,1,0
"VAN","2017-10-19","2017020095","20172018","BOS","0",10.48,2,2,2,1,0,0,0,0,0,6,6,0
"VAN","2017-10-20","2017020104","20172018","BUF","0",8,0,0,0,0,0,0,0,0,0,3,4,-1
"VAN","2017-10-22","2017020122","20172018","DET","0",4,0,1,0,1,0,0,0,0,0,2,3,-1
"VAN","2017-10-24","2017020133","20172018","MIN","0",3.77,1,1,0,0,1,0,0,0,-1,2,3,-1
"VAN","2017-10-26","2017020148","20172018","WSH","1",7.47,0,2,0,0,0,0,0,0,0,5,3,2
"VAN","2017-10-30","2017020176","20172018","DAL","1",7.47,4,0,0,1,1,0,0,0,-1,3,3,0
"VAN","2017-11-01","2017020183","20172018","N.J","1",8,1,1,1,0,0,0,0,0,0,6,2,4
"VAN","2017-11-04","2017020210","20172018","PIT","1",4,0,0,1,0,0,0,0,0,0,1,1,0
"VAN","2017-11-06","2017020222","20172018","DET","1",4,0,0,0,0,0,0,0,0,0,0,4,-4
"VAN","2017-11-07","2017020230","20172018","CGY","0",4.37,1,0,0,0,0,0,0,0,0,2,1,1
"VAN","2017-11-09","2017020240","20172018","ANA","0",8.6,4,0,0,0,1,0,1,1,-1,3,3,0
"VAN","2017-11-11","2017020260","20172018","S.J","0",7.22,2,3,0,0,1,1,0,0,0,4,2,2
"VAN","2017-11-14","2017020274","20172018","L.A","0",4.97,1,0,0,2,0,0,0,0,0,3,1,2
"VAN","2017-11-16","2017020287","20172018","VGK","1",3.9,0,0,1,2,0,0,0,0,0,3,2,1
"VAN","2017-11-18","2017020303","20172018","STL","1",4.57,1,0,0,0,1,0,0,0,-1,1,4,-3
"VAN","2017-11-21","2017020316","20172018","PHI","0",4.58,1,0,0,1,0,0,0,0,0,1,3,-2
