"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"VAN","2019-10-02","2019020003","20192020","EDM","0",4,0,1,1,0,0,0,0,0,0,1,3,-2
"VAN","2019-10-05","2019020028","20192020","CGY","0",7.1,1,1,0,0,0,1,0,0,1,4,3,1
"VAN","2019-10-09","2019020046","20192020","L.A","1",7.07,1,3,1,1,0,0,0,0,0,2,2,0
"VAN","2019-10-12","2019020073","20192020","PHI","1",5.07,0,1,0,0,0,0,0,0,0,2,1,1
"VAN","2019-10-15","2019020089","20192020","DET","1",4.4,0,1,0,0,2,2,0,0,0,2,2,0
"VAN","2019-10-17","2019020101","20192020","STL","0",5.85,0,2,1,0,1,1,0,0,0,5,4,1
"VAN","2019-10-19","2019020113","20192020","N.J","0",7.13,1,0,1,0,0,0,0,0,0,5,3,2
"VAN","2019-10-20","2019020124","20192020","NYR","0",6,0,1,2,0,0,0,0,0,0,3,3,0
"VAN","2019-10-22","2019020137","20192020","DET","0",9.58,1,0,1,0,1,1,0,0,0,7,7,0
"VAN","2019-10-25","2019020160","20192020","WSH","1",4,0,0,0,0,0,0,0,0,0,2,1,1
"VAN","2019-10-28","2019020178","20192020","FLA","1",4,0,0,0,0,0,0,0,0,0,3,0,3
"VAN","2019-10-30","2019020193","20192020","L.A","0",10.58,2,3,1,1,0,0,0,0,0,5,6,-1
"VAN","2019-11-01","2019020202","20192020","ANA","0",8,0,0,1,0,0,0,0,0,0,3,3,0
"VAN","2019-11-02","2019020216","20192020","S.J","0",5.97,2,0,0,0,0,0,0,0,0,4,5,-1
"VAN","2019-11-05","2019020232","20192020","STL","1",4,0,0,1,0,0,0,0,0,0,3,1,2
"VAN","2019-11-07","2019020243","20192020","CHI","0",7,1,0,2,1,0,0,0,0,0,7,2,5
"VAN","2019-11-08","2019020250","20192020","WPG","0",4.9,0,0,0,0,0,0,0,0,0,1,3,-2
"VAN","2019-11-10","2019020265","20192020","N.J","1",2.97,0,1,0,1,0,0,0,0,0,2,1,1
"VAN","2019-11-12","2019020277","20192020","NSH","1",3.7,0,0,0,0,0,0,0,0,0,2,6,-4
"VAN","2019-11-14","2019020291","20192020","DAL","1",4,0,0,0,0,0,0,0,0,0,0,4,-4
"VAN","2019-11-16","2019020311","20192020","COL","1",7.52,0,0,1,0,1,1,0,0,0,5,3,2
"VAN","2019-11-19","2019020327","20192020","DAL","0",4.38,0,0,0,1,0,1,0,0,1,2,3,-1
"VAN","2019-11-21","2019020339","20192020","NSH","0",10.67,1,1,0,1,0,0,0,0,0,6,5,1
"VAN","2019-11-23","2019020348","20192020","WSH","0",6,1,1,1,2,0,0,0,0,0,3,2,1
