"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"VAN","2017-10-07","2017020028","20172018","EDM","1",40.68,6,11,13,120,7,14,21,8,3
"VAN","2017-10-10","2017020044","20172018","OTT","1",53.77,11,15,10,125,14,18,18,6,3
"VAN","2017-10-12","2017020055","20172018","WPG","1",48.23,26,10,7,119,28,10,8,1,11
"VAN","2017-10-14","2017020074","20172018","CGY","1",37.98,10,10,7,85,15,16,10,2,2
"VAN","2017-10-17","2017020085","20172018","OTT","0",50.13,11,16,12,109,12,17,22,8,4
"VAN","2017-10-19","2017020095","20172018","BOS","0",37.65,12,12,11,84,14,12,14,2,2
"VAN","2017-10-20","2017020104","20172018","BUF","0",44.55,14,12,14,104,17,18,17,3,3
"VAN","2017-10-22","2017020122","20172018","DET","0",53.83,14,15,8,93,15,17,17,7,4
"VAN","2017-10-24","2017020133","20172018","MIN","0",50.87,16,10,14,106,18,13,21,4,3
"VAN","2017-10-26","2017020148","20172018","WSH","1",48.02,8,20,11,128,10,29,17,5,4
"VAN","2017-10-30","2017020176","20172018","DAL","1",46.13,14,14,9,116,20,18,12,2,3
"VAN","2017-11-01","2017020183","20172018","N.J","1",48.8,20,12,6,137,21,15,9,3,6
"VAN","2017-11-04","2017020210","20172018","PIT","1",45.75,10,13,12,127,14,13,24,8,8
"VAN","2017-11-06","2017020222","20172018","DET","1",52.05,21,15,13,109,23,16,17,2,8
"VAN","2017-11-07","2017020230","20172018","CGY","0",47.92,5,18,10,124,6,19,15,4,2
"VAN","2017-11-09","2017020240","20172018","ANA","0",44.48,12,13,7,63,19,14,12,5,5
"VAN","2017-11-11","2017020260","20172018","S.J","0",44.87,17,8,10,78,24,10,15,4,7
"VAN","2017-11-14","2017020274","20172018","L.A","0",43.47,14,15,8,87,17,18,13,5,7
"VAN","2017-11-16","2017020287","20172018","VGK","1",55.63,12,21,9,122,19,27,18,6,11
"VAN","2017-11-18","2017020303","20172018","STL","1",53.08,12,15,13,147,16,15,17,4,5
